pitcher,player_name,xfp_v7,gs_2026,fp_per_start_actual_2026,k_pct_2026,xfp_v6,xfp_v5,delta_v7_v6
650911,"Sánchez, Cristopher",15.546856502602985,7.0,12.557142857142852,0.2777777777777778,16.195165393627438,15.538564058068005,-0.6483088910244525
656288,"Canning, Griffin",9.411048430462358,,,,9.619141657164581,9.458093065870091,-0.20809322670222308
656302,"Cease, Dylan",13.314875447640604,7.0,13.757142857142854,0.3313253012048193,13.595322178112406,13.282505319174224,-0.2804467304718017
656427,"Flaherty, Jack",11.577984673148082,7.0,4.928571428571428,0.2198581560283688,12.095317953736641,11.618842626329116,-0.5173332805885593
656550,"Holmes, Grant",9.94999790898624,7.0,9.314285714285711,0.18125,,9.85869192487245,
656605,"Keller, Mitch",9.624365953151232,7.0,13.27142857142857,0.1840490797546012,10.160328158368165,9.580658082116356,-0.5359622052169328
656731,"Megill, Tylor",11.527907307974544,,,,12.29024258938472,12.166465074884963,-0.7623352814101754
656849,"Peterson, David",9.572627765599748,5.0,4.4,0.2,10.47008111144363,9.766900503387298,-0.897453345843882
656876,"Rasmussen, Drew",12.519049588026613,6.0,14.199999999999998,0.2622950819672131,13.00456918762524,12.830330006232694,-0.4855195995986268
657277,"Webb, Logan",13.246840507166567,6.0,12.6,0.191358024691358,14.32524285959316,12.991544011890737,-1.0784023524265933
657376,"Schmidt, Clarke",13.837587400571136,,,,13.728241626092483,13.56440842010682,0.10934577447865301
657746,"Ryan, Joe",12.836408039834545,7.0,11.614285714285712,0.2531645569620253,13.25144867004183,12.898729202763782,-0.4150406302072849
660271,"Ohtani, Shohei",15.88980775751805,5.0,19.4,0.2857142857142857,16.379314119185246,15.932156206737538,-0.4895063616671962
661563,"Gil, Luis",7.977982859275865,4.0,5.174999999999999,0.1058823529411764,8.775399188317358,8.37521993261386,-0.7974163290414937
663436,"Martin, Davis",7.276010591537647,6.0,15.816666666666665,0.2291666666666666,7.043926253310807,7.503108463076365,0.23208433822683983
663460,"Bubic, Kris",14.019191131496333,7.0,13.985714285714284,0.2576687116564417,14.426653600866384,14.544906003664002,-0.40746246937005104
663554,"Mize, Casey",12.266490707081143,6.0,13.0,0.2713178294573643,12.73434876703862,12.387531950080799,-0.46785805995747687
663559,"Falter, Bailey",7.7204722007752125,,,,8.364482486056874,8.405561265922834,-0.6440102852816612
663568,"Kolek, Stephen",9.280039400933752,,,,,9.281109428114174,
663623,"Irvin, Jake",6.453440395003667,7.0,9.77142857142857,0.2532467532467532,7.2222475759267155,7.185657418609534,-0.7688071809230488
663855,"Hicks, Jordan",9.264354355061858,,,,9.942921595592317,9.487876893864051,-0.6785672405304588
663903,"Singer, Brady",9.98231748735377,7.0,3.7857142857142847,0.1298701298701298,10.841393215682901,10.378319914409959,-0.859075728329131
663978,"Paddack, Chris",7.7314171346257154,6.0,1.9666666666666648,0.184931506849315,8.077432197697156,8.118278065382082,-0.3460150630714409
664285,"Valdez, Framber",11.59484953539523,7.0,12.01428571428571,0.1849710982658959,11.977096357294643,11.706041573787417,-0.38224682189941284
665152,"Kremer, Dean",11.011546490219528,,,,11.058992187666847,11.054012338622197,-0.04744569744731919
665795,"Cabrera, Edward",11.573776414955546,6.0,11.533333333333331,0.1944444444444444,12.078551089876765,11.974843590756732,-0.5047746749212187
666142,"Ragans, Cole",15.882391091515323,6.0,10.699999999999998,0.2949640287769784,15.923432413691174,15.914154679376306,-0.041041322175850325
666157,"Lodolo, Nick",12.890061650916193,,,,12.923298128107152,12.974337148945086,-0.033236477190959235
666200,"Luzardo, Jesús",14.17454502532101,7.0,12.999999999999998,0.2947976878612717,14.389925065287777,14.20041319651229,-0.21538003996676736
666214,"Wentz, Joey",8.755214752697684,,,,8.741638785765518,9.194268552161232,0.013575966932165784
667755,"Soriano, José",10.593651311700107,7.0,20.085714285714285,0.298780487804878,11.235248835105573,10.895956056965408,-0.6415975234054656
