pitcher,player_name,cohort,xfp_v5,xfp_v6,xfp_v7,xfp_v8,xfp_v8_1,delta_v8_1_v8,n_pitches_2025,n_pitches_2026,weight_2026,gs_2026,fp_per_start_actual_2026,k_pct_2026
608337,"Giolito, Lucas",2025_only,8.356589017791102,8.894823406833972,8.212150952778304,8.09118663144516,8.09118663144516,0.0,2372.0,0.0,0.0,,,
608372,"Sugano, Tomoyuki",blended,6.467987436221309,,6.38265992823432,6.353862974787699,6.564127478647121,0.2102645038594222,2573.0,517.0,0.1673139158576052,6.0,11.233333333333333,0.1603053435114503
608379,"Wacha, Michael",blended,10.111183053494862,10.469786784645205,10.08636905733081,9.655725827445156,9.69380654710553,0.038080719660372964,2666.0,561.0,0.17384567709947318,6.0,14.316666666666665,0.2229729729729729
608566,"Márquez, Germán",blended,5.99671153350092,6.160346185819138,5.777100509012636,5.937684803632077,6.232995855553385,0.295311051921308,2091.0,501.0,0.19328703703703703,6.0,4.899999999999998,0.1472868217054263
615698,"Quantrill, Cal",2025_only,6.732139741955947,6.789452941623333,6.593935425612088,6.438073926339148,6.438073926339148,0.0,2006.0,0.0,0.0,,,
621107,"Eflin, Zach",2025_only,9.780108451728994,9.603490361663887,9.74019237826672,8.807073773919678,8.807073773919678,0.0,1127.0,0.0,0.0,,,
621111,"Buehler, Walker",blended,7.167730368063314,6.880158780272168,7.221660740836947,7.575166354776181,8.003747708595924,0.4285813538197427,2191.0,463.0,0.17445365486058778,6.0,6.399999999999999,0.2105263157894736
621121,"McCullers Jr., Lance",blended,7.613844245811579,7.798785109187492,7.533214024446894,8.68905769685096,9.55481405216901,0.8657563553180516,1147.0,536.0,0.3184789067142008,6.0,8.549999999999997,0.2462686567164179
621244,"Berríos, José",2025_only,8.996888660043524,9.522278670951968,9.099923874050758,8.793559817834998,8.793559817834998,0.0,2592.0,0.0,0.0,,,
622491,"Castillo, Luis",blended,10.966840607285494,11.129154066678078,11.094333911019516,10.47516929873876,9.57775101187104,-0.897418286867719,2988.0,661.0,0.18114551932036174,7.0,3.2428571428571424,0.186335403726708
622608,"Senzatela, Antonio",2025_only,3.2528123715733868,3.2665363548844795,3.302431629858805,4.0422156025046,4.0422156025046,0.0,2289.0,0.0,0.0,,,
622663,"Severino, Luis",blended,8.887625410331552,9.08112619887014,8.727654212786838,8.618707577466386,8.961320064670726,0.3426124872043399,2735.0,666.0,0.19582475742428698,7.0,10.314285714285711,0.2469135802469135
623474,"Herget, Jimmy",2026_only,,,,,10.725644965017313,,0.0,245.0,1.0,,,
624133,"Suarez, Ranger",blended,13.685302693900296,13.235987011640065,13.603964988895491,13.287775506476809,12.745723873711874,-0.5420516327649345,2432.0,576.0,0.19148936170212766,7.0,14.057142857142855,0.2162162162162162
625643,"López, Reynaldo",2026_only,,,,,8.939484306397494,,0.0,420.0,1.0,,,
640455,"Manaea, Sean",2025_only,11.740430041165656,12.130822020237051,11.731903971671896,11.4204135122698,11.4204135122698,0.0,1095.0,0.0,0.0,,,
641154,"López, Pablo",2025_only,11.970919093794244,12.174183329849958,11.762848697128868,11.465767649580084,11.465767649580084,0.0,1259.0,0.0,0.0,,,
641743,"Kay, Anthony",2026_only,,,,,4.0995151730713895,,0.0,607.0,1.0,,,
641778,"Lauer, Eric",blended,11.564039164568989,11.621132632241672,11.63116056481772,11.444960452232303,10.263435485037974,-1.1815249671943295,1690.0,461.0,0.21431892143189216,5.0,4.899999999999999,0.1626016260162601
641793,"Littell, Zack",blended,10.022065373612978,9.712249632415425,9.938842411505483,9.0731044093585,7.824856115322966,-1.248248294035534,2791.0,514.0,0.15552193645990922,5.0,-1.2000000000000004,0.1133333333333333
641816,"Mahle, Tyler",blended,10.52886399237309,10.392678105555156,10.384506855118437,10.015794322036625,9.860499580254526,-0.15529474178209846,1381.0,619.0,0.3095,7.0,8.228571428571428,0.2151898734177215
641927,"Ober, Bailey",blended,10.718293688050734,10.836104548921632,10.63266412231268,9.74074305878347,10.043288299557796,0.3025452407743252,2356.0,605.0,0.20432286389733198,7.0,10.899999999999997,0.1835443037974683
642547,"Peralta, Freddy",blended,12.84367325702777,13.394169465955722,12.883052663811917,13.554466645123023,13.249449758831194,-0.30501688629182944,3089.0,651.0,0.17406417112299466,7.0,14.07142857142857,0.2560975609756097
645261,"Alcantara, Sandy",blended,9.602694394615318,10.348020297138197,9.63830493558529,8.939020469653538,9.821702418359083,0.8826819487055442,2893.0,670.0,0.18804378332865562,7.0,13.7,0.160621761658031
647336,"Soroka, Michael",blended,12.420384516662208,12.432289912923723,12.121264697972922,12.701756803341866,11.537226132181633,-1.1645306711602323,1528.0,547.0,0.2636144578313253,6.0,9.333333333333332,0.2627737226277372
650633,"King, Michael",blended,10.96098180457376,10.75569912140715,10.661418697396565,10.85767822716647,10.980690419881244,0.12301219271477315,1219.0,646.0,0.3463806970509383,7.0,14.228571428571428,0.24375
650644,"Civale, Aaron",blended,10.62117921143813,9.92437382187848,10.352611349467985,10.430558220175534,10.149630616454077,-0.280927603721457,1748.0,622.0,0.26244725738396624,7.0,10.514285714285714,0.1635220125786163
650911,"Sánchez, Cristopher",blended,15.470310130835646,15.85929967470984,15.65345243047926,15.958584585034584,15.468754794548643,-0.4898297904859419,2897.0,649.0,0.18302312464749013,7.0,12.557142857142852,0.2777777777777778
656288,"Canning, Griffin",2025_only,9.76919597203925,9.75188569936394,9.613522372996808,9.439207093256307,9.439207093256307,0.0,1343.0,0.0,0.0,,,
656302,"Cease, Dylan",blended,13.394232410338526,13.907317521278516,13.35110079951174,13.997525700936468,14.133843515403255,0.13631781446678737,3052.0,708.0,0.18829787234042553,7.0,13.757142857142854,0.3313253012048193
656427,"Flaherty, Jack",blended,11.85831844213803,12.282452552836707,11.879946517939686,11.980952698485831,11.316255317414086,-0.6646973810717451,2835.0,593.0,0.17298716452742124,7.0,4.928571428571428,0.2198581560283688
656492,"Griffin, Foster",2026_only,,,,,9.596741215156605,,0.0,639.0,1.0,,,
656550,"Holmes, Grant",blended,10.168106705393164,,10.109555120024403,9.98000127110598,10.032260991837346,0.05225972073136553,1970.0,578.0,0.22684458398744112,7.0,9.314285714285711,0.18125
656605,"Keller, Mitch",blended,9.63476583323172,9.995008038866088,9.78307908695805,9.530043214396086,9.839703978987558,0.30966076459147196,2871.0,616.0,0.17665615141955837,7.0,13.27142857142857,0.1840490797546012
656731,"Megill, Tylor",2025_only,11.971075947030323,11.98721983099866,11.74015483589079,12.213595453822192,12.213595453822192,0.0,1234.0,0.0,0.0,,,
656849,"Peterson, David",blended,9.684504608345122,10.383457611653425,9.852037837967382,9.589602093811749,9.45492419346427,-0.13467790034747829,2703.0,491.0,0.15372573575453977,5.0,4.4,0.2
656876,"Rasmussen, Drew",blended,12.851823249377368,12.450102350197438,12.722014700738354,12.150068718612095,12.556830282765551,0.4067615641534559,2317.0,491.0,0.17485754985754987,6.0,14.199999999999998,0.2622950819672131
657277,"Webb, Logan",blended,13.131994598307791,13.848349512684615,13.474108954549822,12.896176415007506,12.293465400063786,-0.6027110149437203,3282.0,583.0,0.15084087968952134,6.0,12.6,0.191358024691358
657376,"Schmidt, Clarke",2025_only,13.879555491097284,13.9027127897888,13.953692910867218,14.624959433133508,14.624959433133508,0.0,1227.0,0.0,0.0,,,
657746,"Ryan, Joe",blended,12.79200369391766,13.167968059020293,12.82730666673506,13.30916988422392,13.200352988746241,-0.1088168954776787,2798.0,637.0,0.18544395924308588,7.0,11.614285714285712,0.2531645569620253
660271,"Ohtani, Shohei",blended,15.865898814059369,16.79397240287491,15.841409870070398,18.384430387938096,17.683035579437774,-0.7013948085003214,753.0,473.0,0.38580750407830344,5.0,19.4,0.2857142857142857
661563,"Gil, Luis",blended,8.099665583363173,8.528790438049564,7.9653844397291325,8.446921765311231,8.201986659695821,-0.24493510561540965,970.0,337.0,0.25784238714613616,4.0,5.174999999999999,0.1058823529411764
663362,"Waldron, Matt",2026_only,,,,,7.620197752763062,,0.0,246.0,1.0,,,
663372,"Feltner, Ryan",2026_only,,,,,3.5195286105376082,,0.0,326.0,1.0,,,
663436,"Martin, Davis",blended,7.60506730785824,7.027182174980509,7.54933394477985,7.188820799927585,7.810821530314555,0.6220007303869695,2315.0,543.0,0.1899930020993702,6.0,15.816666666666665,0.2291666666666666
663460,"Bubic, Kris",blended,14.647558731290127,14.803399681629887,14.411000814438228,14.832263652565295,13.932348154378662,-0.8999154981866333,1799.0,631.0,0.25967078189300413,7.0,13.985714285714284,0.2576687116564417
663554,"Mize, Casey",blended,12.307901589425931,12.392463757640344,12.401161090995966,11.911753669399694,12.099022735600666,0.1872690662009724,2357.0,473.0,0.16713780918727916,6.0,13.0,0.2713178294573643
663556,"McClanahan, Shane",2026_only,,,,,11.58552950475794,,0.0,480.0,1.0,,,
663559,"Falter, Bailey",2025_only,8.193620620748721,8.221697078736545,8.045411420911671,8.15755495083218,8.15755495083218,0.0,1952.0,0.0,0.0,,,
663567,"Lambert, Peter",2026_only,,,,,16.51065163843582,,0.0,277.0,1.0,,,
663568,"Kolek, Stephen",2025_only,9.51943650191041,,9.569384007635758,9.169759978873495,9.169759978873495,0.0,1693.0,0.0,0.0,,,
663623,"Irvin, Jake",blended,7.085416117568734,7.44893742558104,6.916404389645431,7.308052146339897,7.742316956328257,0.4342648099883606,2947.0,617.0,0.17312008978675644,7.0,9.77142857142857,0.2532467532467532
663855,"Hicks, Jordan",2025_only,9.47545585022104,9.552714052564848,9.37838559246808,9.388607590952876,9.388607590952876,0.0,1203.0,0.0,0.0,,,
663903,"Singer, Brady",blended,10.36386808315812,10.97861845641862,10.287961537068664,10.615834584913888,9.676322584546664,-0.9395120003672233,2850.0,563.0,0.16495751538236156,7.0,3.7857142857142847,0.1298701298701298
663978,"Paddack, Chris",blended,8.136942984293409,8.178700434570278,8.163103498357755,7.2778725754923315,7.593940970001224,0.3160683945088927,2566.0,585.0,0.1856553475087274,6.0,1.9666666666666648,0.184931506849315
664285,"Valdez, Framber",blended,12.168996497360997,12.490217708024035,11.960806179721564,11.95857938993728,11.758715156752801,-0.19986423318447777,2898.0,634.0,0.17950169875424687,7.0,12.01428571428571,0.1849710982658959
665152,"Kremer, Dean",2025_only,11.478670004187864,11.360454073211535,11.39041209166498,10.857483237715696,10.857483237715696,0.0,2756.0,0.0,0.0,,,
665795,"Cabrera, Edward",blended,12.06868855966488,11.761155943936403,11.839201789944555,11.76731255955212,11.701543063914936,-0.06576949563718415,2253.0,548.0,0.19564441270974653,6.0,11.533333333333331,0.1944444444444444
665871,"Assad, Javier",2026_only,,,,,6.496290379911535,,0.0,321.0,1.0,,,
666142,"Ragans, Cole",blended,16.08186159845944,16.680987985747212,15.890508397315834,18.947215312369984,14.452543162572647,-4.494672149797337,1079.0,581.0,0.35,6.0,10.699999999999998,0.2949640287769784
666157,"Lodolo, Nick",2025_only,13.28692551358944,13.02594108120812,13.21324656243307,12.930664448963904,12.930664448963903,-1.7763568394002505e-15,2483.0,0.0,0.0,,,
666200,"Luzardo, Jesús",blended,14.573417334972408,14.734631516919302,14.32376019022431,14.802643221633373,14.799318689432003,-0.0033245322013701895,3015.0,672.0,0.1822620016273393,7.0,12.999999999999998,0.2947976878612717
666214,"Wentz, Joey",2025_only,9.140740175521673,8.787047782939837,9.120085024477667,8.891686897236333,8.891686897236333,0.0,1825.0,0.0,0.0,,,
