pitcher,year,n_starts,total_pitches,weighted_catcher_framing_runs_per_100,weighted_catcher_framing_runs
641771,2024,1.0,49.0,-0.4855979568730175,-2.175478846791116
641778,2018,23.0,2005.0,-0.17521279706865842,-0.28482555916309443
641778,2019,27.0,2314.0,0.4850669215338438,4.358560683293401
641778,2021,18.0,1569.0,0.48850675682392464,3.8917180449700033
641778,2022,25.0,2272.0,0.5527460597472081,4.187423954040036
641778,2023,9.0,760.0,0.6500662368110836,5.212250529131721
641778,2025,15.0,1235.0,0.9611243052746822,5.685295863332087
641793,2018,1.0,86.0,-0.6583809795924296,-5.188042119188346
641793,2021,1.0,17.0,0.1901807444829055,1.6412598248874748
641793,2023,14.0,1010.0,0.0056012363357189595,-1.1155713189340193
641793,2024,27.0,2308.0,0.04385902544032153,0.607310339401266
641793,2025,32.0,2777.0,-0.4267052317539349,-2.9187988861480596
641816,2018,21.0,1908.0,-0.7886708587464936,-6.512376783778927
641816,2019,22.0,1938.0,0.090003553206891,0.5259151885174163
641816,2021,33.0,3196.0,0.36181253462271645,3.225401540396508
641816,2022,22.0,1967.0,-0.23268627831644856,-1.0639190354013077
641816,2023,5.0,423.0,0.10535196924128205,1.0192069830213866
641816,2024,3.0,229.0,-0.0423376182622487,-0.6193956453432617
641816,2025,14.0,1203.0,0.1668235207283879,0.986084859893234
641851,2018,1.0,68.0,-0.3392875838374514,-1.3096500736125654
641851,2019,1.0,80.0,-0.0847084803616325,-0.7395050335570522
641871,2021,1.0,30.0,-0.23132437235895129,-1.6215838502362487
641907,2021,1.0,46.0,-0.3321280333241914,-0.6708986273148678
641927,2021,20.0,1476.0,0.43089482542266017,2.6463823066489356
641927,2022,11.0,854.0,-0.09974298472584935,-0.6092815528422789
641927,2023,26.0,2327.0,0.08464813065211187,0.8663917046900549
641927,2024,31.0,2697.0,0.016177678316400573,0.14938390087034042
641927,2025,27.0,2356.0,-0.5094414576485398,-2.2765048877057104
641941,2023,1.0,15.0,0.4246184305358982,3.3757165227603894
641941,2024,2.0,42.0,-0.5241506464673737,-5.519306307301442
642003,2018,7.0,540.0,-0.7926784346507393,-6.486350775124882
642008,2018,1.0,46.0,-0.5416125871389095,-3.6125559562165286
642028,2018,3.0,212.0,-0.355308680268815,-2.778513879702138
642028,2021,6.0,533.0,-1.0740130817186517,-2.8580003790408965
642028,2022,3.0,221.0,-0.4782800703552368,-4.62975108103869
642048,2022,1.0,15.0,-0.5653267898694891,-2.770101270360497
642048,2025,1.0,31.0,0.3326976047094402,3.8293494302056494
642083,2018,2.0,113.0,0.08312337461123107,-0.5911470380030411
642083,2021,1.0,5.0,-0.47306172853138506,-3.0890930873099416
642092,2021,7.0,431.0,-0.2675966596875506,-1.6916669601297707
642098,2018,3.0,241.0,0.16928525347694903,-1.2879797488204263
642098,2019,23.0,1950.0,-0.1980873829520041,-0.8245824886709123
642100,2022,1.0,17.0,-0.7803108365855207,-5.290507472049827
642121,2024,2.0,65.0,0.1011995582677024,0.8116204573069712
642130,2022,1.0,24.0,-0.0186023466675508,-0.040739139201935
642152,2018,1.0,11.0,-0.0834657380542266,-0.9047686005078233
642152,2025,2.0,39.0,-0.3277266366709246,-3.2933432301445182
642203,2021,13.0,1050.0,-0.449868268935268,-2.691306101213804
642216,2023,6.0,536.0,0.1050248539625975,0.7670615714247226
642216,2024,2.0,147.0,-0.023383264474318453,0.18658603792782127
642216,2025,1.0,62.0,0.9922979522333324,10.96489237217832
642231,2018,7.0,467.0,-0.4944958225396832,-2.283647348419412
642231,2019,4.0,141.0,-0.282432930551863,-1.620696983039016
642231,2022,1.0,21.0,-0.3809226578463089,-1.5427367642775534
642232,2018,8.0,671.0,-0.7484016739936895,-5.154003831497429
642232,2019,14.0,1237.0,-0.18146770448190258,-0.811744536919988
642232,2021,22.0,1843.0,0.20456999693478398,2.1254586623007703
