ptype,era,year,pid,tier,horizon,n_windows,var_per_unit,var_total,mean_total,mean_rate
H,2010-14,2010,116338,T3,week,25,0.1810489181030078,114.33333333333333,16.2,0.6238390092879257
H,2010-14,2010,116338,T3,month,6,0.011790474601117724,189.4666666666667,66.33333333333333,0.6238390092879257
H,2010-14,2010,116380,T3,game,155,0.4766617591318052,8.123334729786343,2.393548387096774,0.5833333333333334
H,2010-14,2010,116380,T3,week,25,0.09388610532692183,70.58333333333334,14.6,0.5833333333333334
H,2010-14,2010,116380,T3,month,6,0.016884429466757396,220.9666666666667,60.833333333333336,0.5833333333333334
H,2010-14,2010,116539,T3,game,157,0.3680764694140491,7.896864282214601,2.5923566878980893,0.550744248985115
H,2010-14,2010,116539,T3,week,26,0.07362521490916113,54.18,15.5,0.550744248985115
H,2010-14,2010,116539,T3,month,6,0.015173831001806271,52.8,67.0,0.550744248985115
H,2010-14,2010,116974,T1,game,118,0.22220550243855325,4.113356511661597,1.8220338983050848,0.4387755102040816
H,2010-14,2010,116974,T1,week,20,0.03625781275321267,27.736842105263158,10.5,0.4387755102040816
H,2010-14,2010,116974,T1,month,5,0.008743196370753777,157.5,43.0,0.4387755102040816
H,2010-14,2010,117244,T3,game,149,0.9024239753038891,16.21122800653002,3.2684563758389262,0.7717908082408875
H,2010-14,2010,117244,T3,week,26,0.16630266271425564,100.04461538461537,18.73076923076923,0.7717908082408875
H,2010-14,2010,117244,T3,month,6,0.03319161194813201,346.96666666666664,81.16666666666667,0.7717908082408875
H,2010-14,2010,117601,T3,game,148,0.6769656901799759,11.667953667953668,2.27027027027027,0.536741214057508
H,2010-14,2010,117601,T3,week,24,0.08495402782873578,50.369565217391305,12.75,0.536741214057508
H,2010-14,2010,117601,T3,month,6,0.008107652781027801,38.96666666666666,52.833333333333336,0.536741214057508
H,2010-14,2010,120074,T2,game,145,0.8226381704980843,14.750191570881222,2.7655172413793103,0.6617161716171617
H,2010-14,2010,120074,T2,week,26,0.14018918830441984,86.40615384615384,15.384615384615385,0.6617161716171617
H,2010-14,2010,120074,T2,month,6,0.08309806575795527,873.3666666666668,65.83333333333333,0.6617161716171617
H,2010-14,2010,120691,T1,game,120,0.9090997315592905,10.278711484593837,2.0833333333333335,0.5543237250554324
H,2010-14,2010,120691,T1,week,21,0.14252719601911687,64.64761904761905,10.952380952380953,0.5543237250554324
H,2010-14,2010,120691,T1,month,5,0.044257411197945455,241.7,46.2,0.5543237250554324
H,2010-14,2010,121347,T2,game,136,0.819084640028851,16.778594771241828,3.1691176470588234,0.7243697478991596
H,2010-14,2010,121347,T2,week,21,0.11471539471739067,101.74761904761904,19.61904761904762,0.7243697478991596
H,2010-14,2010,121347,T2,month,6,0.013206801591138928,458.8,71.0,0.7243697478991596
H,2010-14,2010,121358,T1,game,111,0.44585831285831296,6.595249795249794,1.5495495495495495,0.4085510688836104
H,2010-14,2010,121358,T1,week,18,0.10959398257407221,43.310457516339866,8.61111111111111,0.4085510688836104
H,2010-14,2010,121358,T1,month,6,0.05718017524473962,180.56666666666666,28.833333333333332,0.4085510688836104
H,2010-14,2010,121409,T2,game,132,0.976646976529065,11.390700902151284,2.727272727272727,0.6703910614525139
H,2010-14,2010,121409,T2,week,23,0.14268757197941567,80.5296442687747,15.565217391304348,0.6703910614525139
H,2010-14,2010,121409,T2,month,6,0.025335149758549808,398.4,60.0,0.6703910614525139
H,2010-14,2010,123173,T3,game,156,0.48412006019667303,9.349875930521092,2.3076923076923075,0.5286343612334802
H,2010-14,2010,123173,T3,week,25,0.0746623418365019,46.71,14.28,0.5286343612334802
H,2010-14,2010,123173,T3,month,6,0.021407168068285375,163.46666666666664,59.666666666666664,0.5286343612334802
H,2010-14,2010,133380,T1,game,124,1.3503425415974588,16.13290060319958,2.4274193548387095,0.5936883629191322
H,2010-14,2010,133380,T1,week,21,0.19548262731425825,143.3285714285714,13.857142857142858,0.5936883629191322
H,2010-14,2010,133380,T1,month,5,0.08888480992775005,1064.0,54.0,0.5936883629191322
H,2010-14,2010,134181,T3,game,152,0.8638312686379301,13.735752875566401,3.138157894736842,0.7441497659906396
H,2010-14,2010,134181,T3,week,25,0.0930413475763933,80.75,18.6,0.7441497659906396
H,2010-14,2010,134181,T3,month,6,0.01914438479982882,424.7,79.5,0.7441497659906396
