pitcher,game_pk,game_date,year,catcher_mlbam,n_pitches
435221,530284,2018-06-02,2018,452095,84
435221,530344,2018-06-08,2018,435559,64
435221,530446,2018-06-15,2018,435559,80
435221,530559,2018-06-24,2018,452095,74
445213,531527,2018-09-08,2018,575929,31
446099,530984,2018-07-28,2018,431145,38
446372,529409,2018-03-29,2018,543228,91
446372,529486,2018-04-04,2018,543228,96
446372,529550,2018-04-09,2018,543228,103
446372,529658,2018-04-17,2018,543228,104
446372,529724,2018-04-22,2018,543228,98
446372,529796,2018-04-27,2018,543228,116
446372,529869,2018-05-02,2018,547379,99
446372,529936,2018-05-08,2018,543228,95
446372,530006,2018-05-13,2018,543228,97
446372,530080,2018-05-19,2018,543228,110
446372,530159,2018-05-25,2018,543228,103
446372,530230,2018-05-30,2018,543228,90
446372,530312,2018-06-05,2018,543228,112
446372,530377,2018-06-10,2018,547379,61
446372,530443,2018-06-15,2018,543228,65
446372,530507,2018-06-20,2018,543228,96
446372,530587,2018-06-26,2018,543228,48
446372,530671,2018-07-02,2018,543228,99
446372,530740,2018-07-07,2018,543228,102
446372,530805,2018-07-12,2018,543228,114
446372,530912,2018-07-23,2018,543228,72
446372,530988,2018-07-29,2018,543228,94
446372,531072,2018-08-04,2018,547379,98
446372,531137,2018-08-09,2018,547379,117
446372,531198,2018-08-14,2018,543228,96
446372,531282,2018-08-20,2018,543228,108
446372,531346,2018-08-25,2018,543228,88
446372,531430,2018-08-31,2018,543228,109
446372,531497,2018-09-05,2018,543228,105
446372,531558,2018-09-10,2018,543228,55
446372,531663,2018-09-18,2018,543228,107
446372,531744,2018-09-24,2018,543228,108
446372,531811,2018-09-29,2018,547379,43
448179,529454,2018-04-01,2018,518735,86
448179,529524,2018-04-07,2018,605131,80
448179,529612,2018-04-14,2018,518735,96
448179,529933,2018-05-08,2018,518735,79
448179,530005,2018-05-13,2018,518735,98
448179,530083,2018-05-19,2018,605131,2
448179,530495,2018-06-19,2018,605131,90
448179,530563,2018-06-24,2018,605131,90
448179,530627,2018-06-29,2018,605131,110
448179,530703,2018-07-04,2018,518735,73
448179,530777,2018-07-10,2018,605131,96
448179,530865,2018-07-20,2018,605131,95
448179,530948,2018-07-26,2018,518735,95
448179,531034,2018-08-01,2018,518735,93
448179,531111,2018-08-07,2018,605131,98
448179,531175,2018-08-12,2018,518735,85
448179,531257,2018-08-18,2018,518735,111
448179,531337,2018-08-24,2018,518735,90
448179,531408,2018-08-30,2018,605131,89
448179,531485,2018-09-04,2018,605131,101
448179,531547,2018-09-09,2018,605131,78
448179,531624,2018-09-15,2018,518735,84
448179,531724,2018-09-22,2018,518735,93
448179,531829,2018-09-30,2018,518735,54
448306,529408,2018-03-29,2018,456078,97
448306,529502,2018-04-05,2018,553882,91
448306,529587,2018-04-11,2018,553882,100
448306,529695,2018-04-20,2018,553882,111
448306,529772,2018-04-25,2018,553882,108
448306,529843,2018-05-01,2018,456078,93
448306,529921,2018-05-06,2018,553882,91
448306,529989,2018-05-12,2018,456078,100
448306,530061,2018-05-17,2018,456078,98
448306,530118,2018-05-22,2018,456078,106
448306,530187,2018-05-27,2018,553882,97
448306,530276,2018-06-02,2018,553882,103
448306,530334,2018-06-07,2018,553882,99
448306,530399,2018-06-12,2018,553882,101
448306,530469,2018-06-17,2018,607345,103
448306,530536,2018-06-22,2018,607345,99
448306,530606,2018-06-27,2018,553882,100
448306,530670,2018-07-02,2018,553882,88
448306,530734,2018-07-07,2018,553882,99
448306,530815,2018-07-13,2018,553882,109
448306,530861,2018-07-20,2018,553882,103
448306,530933,2018-07-25,2018,553882,88
448306,531016,2018-07-31,2018,553882,104
448306,531081,2018-08-05,2018,572863,114
448306,531159,2018-08-11,2018,553882,94
448306,531240,2018-08-17,2018,553882,101
448306,531319,2018-08-23,2018,553882,110
448306,531380,2018-08-28,2018,553882,98
448306,531449,2018-09-02,2018,607345,93
448306,531531,2018-09-08,2018,607345,78
448306,531605,2018-09-14,2018,553882,96
448306,531691,2018-09-20,2018,553882,94
448306,531757,2018-09-25,2018,553882,112
448802,529460,2018-04-02,2018,431145,92
448802,529546,2018-04-08,2018,571912,96
448802,529626,2018-05-03,2018,431145,67
448802,529661,2018-04-17,2018,431145,86
448802,529734,2018-04-22,2018,431145,95
448802,529814,2018-04-28,2018,571912,103
448802,529960,2018-05-09,2018,571912,92
448802,530038,2018-05-15,2018,431145,67
448802,530182,2018-05-26,2018,571912,73
448802,530268,2018-06-01,2018,431145,44
448802,530333,2018-06-07,2018,571912,92
448802,530409,2018-06-12,2018,571912,101
448802,530490,2018-06-19,2018,571912,64
448802,531527,2018-09-08,2018,575929,23
448855,529580,2018-04-11,2018,542908,86
448855,529657,2018-04-17,2018,641924,93
448855,529727,2018-04-22,2018,641924,78
448855,529807,2018-04-28,2018,444489,98
448855,529892,2018-05-04,2018,444489,96
448855,529951,2018-05-09,2018,444489,99
448855,530021,2018-05-14,2018,444489,88
448855,530100,2018-05-20,2018,542908,91
448855,530163,2018-05-25,2018,444489,72
448855,530239,2018-05-30,2018,456124,90
448855,530312,2018-06-05,2018,444489,92
448855,530389,2018-06-11,2018,456124,72
448855,530460,2018-06-16,2018,456124,82
448855,530540,2018-06-22,2018,444489,106
448855,530618,2018-06-28,2018,456124,104
448855,530686,2018-07-03,2018,456124,89
448855,530746,2018-07-08,2018,456124,97
448855,530817,2018-07-13,2018,641924,86
448855,530930,2018-07-24,2018,444489,80
448855,530991,2018-07-29,2018,444489,85
448855,531053,2018-08-03,2018,444489,98
448855,531139,2018-08-09,2018,444489,92
448855,531217,2018-08-15,2018,444489,58
448855,531291,2018-08-21,2018,456124,99
448855,531385,2018-08-28,2018,456124,45
448855,531455,2018-09-02,2018,444489,58
450203,529457,2018-04-02,2018,435263,91
450203,529543,2018-04-08,2018,545358,101
450203,529625,2018-04-14,2018,545358,106
450203,529685,2018-04-19,2018,545358,86
