batter,year,prior_career_fp_per_pa,prior_career_pa
446481,2017,0.46219931271477666,582
446481,2018,0.4054421768707483,735
446481,2019,0.38393839383938394,909
446653,2015,,0
446653,2016,,155
446653,2017,0.36059479553903345,269
448602,2015,,0
448602,2016,0.3787528868360277,433
448602,2017,0.4452054794520548,876
448602,2018,0.48745762711864404,1475
448602,2019,0.49415204678362573,1710
448605,2015,,0
448801,2015,,0
448801,2016,0.6324404761904762,672
448801,2017,0.555886736214605,1342
448801,2018,0.5010718113612004,1866
448801,2019,0.4271966527196653,2390
449107,2015,,0
449107,2016,0.416403785488959,317
449181,2015,,0
449181,2016,0.4860557768924303,251
449786,2015,,0
450314,2015,,0
450314,2016,0.6567164179104478,536
450314,2017,0.6641091219096334,1173
450314,2018,0.6202153110047847,1672
450314,2019,0.6210670314637483,2193
451089,2015,,0
451192,2018,,0
451594,2015,,0
451594,2016,0.5036179450072359,691
451594,2017,0.5333869670152857,1243
451594,2018,0.5611303344867359,1734
451594,2019,0.5323984526112185,2068
451594,2020,0.5238455715367146,2642
452095,2015,,0
452095,2016,0.2782369146005509,363
452095,2017,0.34302325581395343,688
452095,2018,0.4120982986767486,1058
452095,2019,0.4121122599704579,1354
452104,2015,,0
452104,2016,0.4252336448598131,642
452104,2017,0.43467122117847995,1171
452220,2015,,0
452220,2016,0.4672897196261682,428
452220,2017,0.5177065767284992,593
452234,2015,,0
452234,2016,0.4922737306843267,453
452234,2017,0.5297418630751964,891
452239,2015,,0
452252,2015,,0
452252,2016,0.6230366492146597,573
452252,2017,0.5722831505483549,1003
452254,2015,,0
452254,2016,0.6322869955156951,223
452254,2017,0.5757121439280359,667
452254,2018,0.5285832642916322,1207
452254,2019,0.49209621993127145,1455
452655,2015,,0
452655,2016,0.6436363636363637,275
452655,2017,0.5551912568306011,915
452655,2018,0.5641729581331503,1457
452672,2015,,0
452672,2016,0.4278606965174129,201
452672,2017,0.3662420382165605,314
452678,2015,,0
452678,2016,0.5027027027027027,555
452678,2017,0.5338078291814946,1124
452678,2018,0.5450180072028812,1666
452678,2019,0.5427180168216025,2259
452678,2020,0.5567976920302921,2773
452678,2021,0.5565974547890155,2986
453056,2015,,0
453056,2016,0.464,500
453056,2017,0.49821109123434704,1118
453064,2015,,0
453064,2016,0.5437616387337058,537
453064,2017,0.5467160037002775,1081
453203,2015,,0
453203,2016,,197
453211,2015,,0
