pitcher,year,event_date,prev_game,gap_days,optioned,recalled,v4_gap_label
680732,2025,2025-09-10,2025-08-16,25,2025-08-18,2025-09-10,IL_SHORT
681190,2024,2024-08-26,2024-08-08,18,2024-08-09,2024-08-26,IL_SHORT
681190,2024,2024-09-28,2024-08-31,28,2024-09-01,2024-09-28,IL_SHORT
681190,2025,2025-09-06,2025-08-15,22,2025-08-16,2025-09-06,IL_SHORT
681867,2024,2024-07-12,2024-06-15,27,2024-06-18,2024-07-12,IL_SHORT
682052,2025,2025-05-23,2025-04-29,24,2025-04-30,2025-05-23,IL_SHORT
682052,2026,2026-07-07,2026-05-31,37,2026-06-02,2026-07-07,IL_MED
682610,2024,2024-06-08,2024-05-06,33,2024-05-07,2024-06-08,IL_MED
682847,2023,2023-08-23,2023-07-04,50,2023-07-05,2023-08-23,IL_MED
685299,2025,2025-05-23,2025-05-08,15,2025-05-09,2025-05-23,IL_SHORT
685299,2025,2025-07-23,2025-05-28,56,2025-07-01,2025-07-23,IL_MED
686563,2024,2024-06-07,2024-04-27,41,2024-04-28,2024-06-07,IL_MED
686563,2025,2025-09-04,2025-08-06,29,2025-08-08,2025-09-04,IL_SHORT
686563,2025,2025-09-24,2025-09-04,20,2025-09-05,2025-09-24,IL_SHORT
686701,2025,2025-06-03,2025-05-06,28,2025-05-07,2025-06-03,IL_SHORT
686701,2025,2025-07-29,2025-07-11,18,2025-07-12,2025-07-29,IL_SHORT
686799,2025,2025-07-28,2025-07-10,18,2025-07-11,2025-07-28,IL_SHORT
686799,2025,2025-08-27,2025-08-10,17,2025-08-11,2025-08-27,IL_SHORT
687064,2026,2026-04-24,2026-04-06,18,2026-04-07,2026-04-23,IL_SHORT
687562,2026,2026-06-10,2026-05-07,34,2026-05-08,2026-06-10,IL_MED
687792,2024,2024-07-23,2024-07-07,16,2024-07-08,2024-07-23,IL_SHORT
688138,2025,2025-06-10,2025-05-27,14,2025-05-28,2025-06-10,(sub-15d: none)
688138,2025,2025-07-03,2025-06-10,23,2025-06-13,2025-07-03,IL_SHORT
691587,2023,2023-08-07,2023-07-06,32,2023-07-07,2023-08-07,IL_MED
691725,2026,2026-07-31,2026-06-17,44,2026-06-18,2026-07-31,IL_MED
693821,2025,2025-06-01,2025-05-14,18,2025-05-16,2025-06-01,IL_SHORT
694297,2023,2023-06-29,2023-05-26,34,2023-05-27,2023-06-29,IL_MED
694297,2023,2023-07-22,2023-06-29,23,2023-06-30,2023-07-22,IL_SHORT
694477,2025,2025-08-19,2025-07-05,45,2025-07-06,2025-08-18,IL_MED
694477,2025,2025-09-09,2025-08-24,16,2025-08-25,2025-09-09,IL_SHORT
700241,2025,2025-06-08,2025-05-04,35,2025-05-05,2025-06-08,IL_MED
700241,2025,2025-07-21,2025-06-24,27,2025-06-25,2025-07-21,IL_SHORT
700249,2024,2024-07-29,2024-07-12,17,2024-07-13,2024-07-29,IL_SHORT
700712,2026,2026-04-19,2026-03-28,22,2026-03-29,2026-04-18,IL_SHORT
702070,2025,2025-05-17,2025-04-30,17,2025-05-01,2025-05-17,IL_SHORT
801403,2025,2025-08-11,2025-07-06,36,2025-07-07,2025-08-11,IL_MED
