key_year,n_years_rolling,venue_id,venue_name,main_team_id,team_abbr,name_display_club,n_pa,index_woba,index_runs,index_hr
2018,1,680,T-Mobile Park,136,SEA,Mariners,17140,96,92,101
2018,1,2395,Oracle Park,137,SF,Giants,17272,98,96,74
2018,1,2889,Busch Stadium,138,STL,Cardinals,17482,97,94,87
2018,1,12,Tropicana Field,139,TB,Rays,17334,95,90,80
2018,1,13,Globe Life Park in Arlington,140,TEX,Rangers,17988,111,123,122
2018,1,14,Rogers Centre,141,TOR,Blue Jays,17798,102,104,112
2018,1,3309,Nationals Park,120,WSH,Nationals,17432,106,112,118
2018,3,10,Oakland Coliseum,133,ATH,Athletics,55939,96,92,89
2018,3,15,Chase Field,109,AZ,D-backs,56227,105,110,108
2018,3,2,Oriole Park at Camden Yards,110,BAL,Orioles,55307,103,106,116
2018,3,3,Fenway Park,111,BOS,Red Sox,57818,104,108,90
2018,3,17,Wrigley Field,112,CHC,Cubs,58373,99,98,93
2018,3,2602,Great American Ball Park,113,CIN,Reds,54356,104,108,125
2018,3,5,Progressive Field,114,CLE,Guardians,56589,101,102,102
2018,3,19,Coors Field,115,COL,Rockies,54938,114,130,117
2018,3,4,Rate Field,145,CWS,White Sox,55636,100,100,105
2018,3,2394,Comerica Park,116,DET,Tigers,54882,102,104,101
2018,3,2392,Daikin Park,117,HOU,Astros,57423,95,90,96
2018,3,7,Kauffman Stadium,118,KC,Royals,56124,100,100,83
2018,3,1,Angel Stadium,108,LAA,Angels,55183,96,92,100
2018,3,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,57466,95,90,106
2018,3,4169,loanDepot park,146,MIA,Marlins,53481,95,90,75
2018,3,32,American Family Field,158,MIL,Brewers,56294,100,100,110
2018,3,3312,Target Field,142,MIN,Twins,56006,104,108,101
2018,3,3289,Citi Field,121,NYM,Mets,53998,94,88,97
2018,3,3313,Yankee Stadium,147,NYY,Yankees,57893,101,102,120
2018,3,2681,Citizens Bank Park,143,PHI,Phillies,52588,99,98,113
2018,3,31,PNC Park,134,PIT,Pirates,54540,101,102,81
2018,3,2680,Petco Park,135,SD,Padres,54667,97,94,93
2018,3,680,T-Mobile Park,136,SEA,Mariners,56180,97,94,105
2018,3,2395,Oracle Park,137,SF,Giants,54927,97,94,65
2018,3,2889,Busch Stadium,138,STL,Cardinals,54696,97,94,90
2018,3,12,Tropicana Field,139,TB,Rays,56280,95,90,93
2018,3,13,Globe Life Park in Arlington,140,TEX,Rangers,56911,108,117,115
2018,3,14,Rogers Centre,141,TOR,Blue Jays,57345,100,100,103
2018,3,3309,Nationals Park,120,WSH,Nationals,54568,101,102,107
2019,1,10,Oakland Coliseum,133,ATH,Athletics,17861,96,92,89
2019,1,4705,Truist Park,144,ATL,Braves,18275,104,108,102
2019,1,15,Chase Field,109,AZ,D-backs,17762,99,98,94
2019,1,2,Oriole Park at Camden Yards,110,BAL,Orioles,17870,105,110,122
