batter,year,milb_aaa_pa_prior,milb_aaa_iso_prior,milb_aaa_kpct_prior,milb_aaa_bbpct_prior
450641,2017,418,0.0521978021978022,0.2057416267942583,0.0956937799043062
450641,2018,88,0.1282051282051282,0.2272727272727272,0.1022727272727272
450641,2019,106,0.1030927835051546,0.320754716981132,0.0754716981132075
451089,2016,194,0.2034883720930232,0.211340206185567,0.0876288659793814
451089,2017,57,0.3469387755102041,0.2807017543859649,0.1052631578947368
451089,2018,300,0.2178571428571428,0.21,0.0366666666666666
451089,2019,467,0.1643192488262911,0.2419700214132762,0.0749464668094218
451089,2020,309,0.1942446043165467,0.2815533980582524,0.0809061488673139
451109,2016,176,0.0792682926829268,0.2386363636363636,0.034090909090909
451109,2017,105,0.1041666666666666,0.2952380952380952,0.0761904761904762
451109,2018,234,0.1032863849765258,0.2863247863247863,0.0726495726495726
451182,2016,433,0.1536388140161725,0.1639722863741339,0.0808314087759815
451182,2017,325,0.1060070671378091,0.2184615384615384,0.0861538461538461
451182,2018,314,0.1245283018867924,0.1337579617834395,0.1114649681528662
451182,2020,65,0.1206896551724138,0.1538461538461538,0.0769230769230769
451192,2018,239,0.1255813953488372,0.2468619246861924,0.0836820083682008
451192,2019,296,0.1654411764705882,0.2027027027027027,0.0743243243243243
451192,2020,386,0.1643454038997214,0.2305699481865284,0.0544041450777202
451198,2016,166,0.2416107382550335,0.2951807228915662,0.0662650602409638
451500,2016,359,0.1125827814569536,0.1699164345403899,0.1532033426183844
451629,2016,196,0.1017964071856287,0.1071428571428571,0.1020408163265306
451639,2016,186,0.1444444444444444,0.1612903225806451,0.0268817204301075
451705,2017,124,0.043859649122807,0.1612903225806451,0.0483870967741935
451705,2018,204,0.031578947368421,0.1519607843137254,0.0539215686274509
451705,2020,157,0.0571428571428571,0.1719745222929936,0.0955414012738853
451713,2016,115,0.2718446601941747,0.2956521739130435,0.0869565217391304
451713,2017,155,0.1521739130434782,0.2645161290322581,0.0967741935483871
451713,2020,94,0.2222222222222222,0.3085106382978723,0.1276595744680851
452035,2016,69,0.2758620689655172,0.2898550724637681,0.0869565217391304
452035,2018,105,0.1684210526315789,0.3142857142857143,0.0666666666666666
452096,2016,425,0.1421052631578947,0.1835294117647058,0.0917647058823529
452096,2017,171,0.0657894736842105,0.1345029239766081,0.0701754385964912
452215,2016,190,0.1666666666666666,0.3052631578947368,0.1210526315789473
452239,2017,253,0.1004566210045662,0.2411067193675889,0.0988142292490118
452252,2019,252,0.1790393013100436,0.1944444444444444,0.0753968253968253
452254,2019,111,0.0679611650485436,0.2162162162162162,0.054054054054054
452671,2016,144,0.0866141732283464,0.1111111111111111,0.0833333333333333
452671,2017,474,0.2182254196642686,0.0970464135021097,0.0991561181434599
452671,2018,171,0.1858974358974359,0.1637426900584795,0.0701754385964912
452672,2018,69,0.0566037735849056,0.2318840579710145,0.144927536231884
452672,2019,63,0.0175438596491228,0.1746031746031746,0.0793650793650793
452722,2016,231,0.0631067961165048,0.2510822510822511,0.0822510822510822
452740,2016,222,0.1407035175879397,0.3198198198198198,0.0990990990990991
452783,2016,583,0.1692307692307692,0.1903945111492281,0.1012006861063464
453203,2017,80,0.0547945205479452,0.1,0.0375
453203,2018,385,0.1063218390804597,0.0961038961038961,0.0727272727272727
453203,2019,202,0.0691489361702127,0.1336633663366336,0.0396039603960396
453203,2020,356,0.1013071895424836,0.095505617977528,0.1095505617977528
453211,2016,195,0.1036585365853658,0.2358974358974359,0.1384615384615384
453211,2017,51,0.2564102564102564,0.1568627450980392,0.196078431372549
453211,2018,368,0.1538461538461538,0.2826086956521739,0.1413043478260869
