pitcher,year,split_day,ros_park_factor_weighted,n_ros_games
579328,2025,37,0.9976923076923077,130
592332,2025,37,1.0010852713178293,129
592662,2025,37,0.98734375,128
592791,2025,37,0.988671875,128
592836,2025,37,1.0057364341085273,129
592866,2025,37,1.000859375,128
593958,2025,37,1.007829457364341,129
594798,2025,37,1.001171875,128
594902,2025,37,0.9824806201550387,129
601713,2025,37,0.9836923076923076,130
605135,2025,37,1.0010852713178293,129
605280,2025,37,0.9891472868217054,129
605400,2025,37,1.0057364341085273,129
605483,2025,37,1.0026356589147287,129
605488,2025,37,0.983203125,128
606996,2025,37,0.9836923076923076,130
607067,2025,37,0.988671875,128
607074,2025,37,1.004341085271318,129
607192,2025,37,1.0026356589147287,129
607200,2025,37,0.9974418604651162,129
607259,2025,37,1.0228125000000001,128
607536,2025,37,1.0583720930232559,129
607625,2025,37,1.016015625,128
608331,2025,37,1.004341085271318,129
608372,2025,37,0.9900769230769232,130
608379,2025,37,1.016015625,128
608566,2025,37,1.0583720930232559,129
615698,2025,37,1.0061538461538462,130
621107,2025,37,0.9900769230769232,130
621111,2025,37,1.0303149606299211,127
621244,2025,37,1.0010852713178293,129
622491,2025,37,0.9524615384615385,130
622608,2025,37,1.0583720930232559,129
622663,2025,37,0.983203125,128
623211,2025,37,0.9891472868217054,129
641154,2025,37,1.0096875,128
641302,2025,37,0.9966666666666666,129
641482,2025,37,0.9836923076923076,130
641793,2025,37,0.981782945736434,129
641816,2025,37,1.001171875,128
641927,2025,37,1.0096875,128
642232,2025,37,1.004341085271318,129
642547,2025,37,0.981796875,128
645261,2025,37,1.0061538461538462,130
650633,2025,37,0.9836923076923076,130
650911,2025,37,1.0057364341085273,129
656288,2025,37,0.9891472868217054,129
656302,2025,37,0.9836923076923076,130
656427,2025,37,0.994140625,128
656457,2025,37,0.9966666666666666,129
656550,2025,37,1.000076923076923,130
656557,2025,37,1.0303149606299211,127
656605,2025,37,1.004453125,128
656731,2025,37,0.9891472868217054,129
656849,2025,37,0.9891472868217054,129
656876,2025,37,0.981782945736434,129
657277,2025,37,0.98734375,128
657376,2025,37,1.004341085271318,129
657746,2025,37,1.0096875,128
663436,2025,37,0.9966666666666666,129
663460,2025,37,1.016015625,128
663554,2025,37,0.994140625,128
663559,2025,37,1.004453125,128
663623,2025,37,1.000859375,128
663855,2025,37,0.98734375,128
663903,2025,37,1.0228125000000001,128
663978,2025,37,1.0096875,128
664285,2025,37,0.9987692307692307,130
665152,2025,37,0.9900769230769232,130
665795,2025,37,1.0061538461538462,130
666142,2025,37,1.016015625,128
666157,2025,37,1.0228125000000001,128
666200,2025,37,1.0057364341085273,129
667755,2025,37,0.9976923076923077,130
668678,2025,37,1.007829457364341,129
668881,2025,37,1.0228125000000001,128
668909,2025,37,0.9824806201550387,129
668964,2025,37,0.981796875,128
669022,2025,37,1.000859375,128
669160,2025,37,1.0026356589147287,129
669203,2025,37,1.007829457364341,129
669302,2025,37,0.9524615384615385,130
669358,2025,37,0.981782945736434,129
669372,2025,37,0.983203125,128
669373,2025,37,0.994140625,128
669387,2025,37,1.004453125,128
