pitcher,year,primary_catcher,primary_catcher_pitches,total_pitches,primary_catcher_share
527048,2017,455139,2154,3103,0.6941669352239768
527054,2017,452095,1450,3083,0.4703211157963023
527055,2017,452095,478,865,0.5526011560693641
532077,2017,431145,516,961,0.5369406867845994
533167,2017,455117,1132,1264,0.8955696202531646
534812,2017,620443,253,510,0.49607843137254903
534910,2017,519390,790,1209,0.6534325889164598
534947,2017,519023,1048,2092,0.5009560229445507
541640,2017,572287,620,2004,0.3093812375249501
541650,2017,542908,17,17,1.0
541652,2017,543510,237,336,0.7053571428571429
542194,2017,620443,47,106,0.44339622641509435
542432,2017,452095,636,1035,0.6144927536231884
542881,2017,547172,601,1404,0.42806267806267806
542882,2017,491696,885,1445,0.6124567474048442
542888,2017,543228,351,430,0.8162790697674419
542914,2017,518960,111,111,1.0
542924,2017,431145,198,298,0.6644295302013423
542947,2017,456078,468,926,0.5053995680345572
542953,2017,488771,349,564,0.6187943262411347
542960,2017,456078,712,1176,0.6054421768707483
542963,2017,553882,12,12,1.0
543017,2017,592663,63,98,0.6428571428571429
543022,2017,547172,1316,2466,0.5336577453365775
543031,2017,572287,14,14,1.0
543037,2017,465041,1406,3300,0.4260606060606061
543045,2017,592663,1416,1739,0.8142610695802185
543054,2017,595978,243,485,0.5010309278350515
543056,2017,622194,406,909,0.44664466446644663
543118,2017,444489,460,1057,0.43519394512771997
543144,2017,519083,324,904,0.3584070796460177
543169,2017,521692,29,29,1.0
543208,2017,572287,593,1173,0.505541346973572
543219,2017,425784,67,80,0.8375
543243,2017,596142,768,2665,0.2881801125703565
543261,2017,455117,21,21,1.0
543272,2017,595978,814,1205,0.6755186721991702
543278,2017,543510,328,597,0.5494137353433836
543294,2017,575929,958,2277,0.4207290294246816
543331,2017,455104,337,826,0.40799031476997577
543334,2017,471083,40,40,1.0
543339,2017,465041,411,1105,0.3719457013574661
543357,2017,435263,59,90,0.6555555555555556
543359,2017,553882,371,1065,0.3483568075117371
543380,2017,444489,32,32,1.0
543408,2017,592663,826,1293,0.6388244392884764
543475,2017,547172,441,1260,0.35
543506,2017,595978,444,1035,0.4289855072463768
543508,2017,620443,103,188,0.5478723404255319
543521,2017,594828,471,1080,0.4361111111111111
543532,2017,460269,82,134,0.6119402985074627
543542,2017,455117,897,1169,0.76732249786142
543548,2017,518595,260,878,0.296127562642369
543557,2017,575929,932,2087,0.4465740297077144
543606,2017,519083,1142,2631,0.4340554922082858
543652,2017,518595,366,396,0.9242424242424242
543699,2017,446308,1658,3232,0.5129950495049505
543726,2017,506702,100,167,0.5988023952095808
543734,2017,547172,453,1206,0.3756218905472637
543746,2017,444489,205,360,0.5694444444444444
543766,2017,547379,691,1217,0.5677896466721446
543779,2017,425877,502,689,0.7285921625544267
543859,2017,488771,233,397,0.5869017632241813
543867,2017,488771,170,324,0.5246913580246914
543883,2017,572287,742,965,0.7689119170984456
543901,2017,488912,55,55,1.0
543935,2017,543510,570,966,0.5900621118012422
543964,2017,572287,436,651,0.6697388632872504
544150,2017,460026,334,558,0.5985663082437276
544727,2017,608700,199,420,0.4738095238095238
544836,2017,446308,633,1034,0.6121856866537717
544928,2017,425877,769,910,0.845054945054945
544931,2017,446308,1708,2760,0.618840579710145
545064,2017,547172,80,119,0.6722689075630253
545332,2017,455104,197,479,0.4112734864300626
545333,2017,547379,3142,3148,0.9980940279542567
545346,2017,595978,127,172,0.7383720930232558
545348,2017,506702,137,267,0.5131086142322098
545363,2017,446653,396,635,0.6236220472440945
547007,2017,572287,112,112,1.0
547179,2017,571466,957,1386,0.6904761904761905
547749,2017,592663,788,978,0.8057259713701431
547874,2017,434563,307,471,0.6518046709129511
547888,2017,596142,1903,2814,0.6762615493958778
547943,2017,518735,1453,2138,0.6796071094480823
547973,2017,596142,505,879,0.5745164960182025
547982,2017,488671,17,17,1.0
548337,2017,456078,124,161,0.7701863354037267
548357,2017,572287,393,804,0.48880597014925375
548389,2017,518735,927,1191,0.7783375314861462
552640,2017,467092,183,249,0.7349397590361446
553878,2017,465041,510,1167,0.4370179948586118
554374,2017,571466,218,435,0.5011494252873563
554430,2017,518595,1082,1565,0.6913738019169329
570240,2017,575929,264,609,0.43349753694581283
570257,2017,519237,403,511,0.7886497064579256
570632,2017,592663,2117,2896,0.7310082872928176
570663,2017,518595,467,957,0.48798328108672934
570666,2017,596142,405,624,0.6490384615384616
570702,2017,431145,97,215,0.4511627906976744
570810,2017,571466,441,652,0.6763803680981595
571035,2017,488671,15,15,1.0
571473,2017,595978,193,305,0.6327868852459017
571476,2017,553882,651,1164,0.5592783505154639
571510,2017,543510,1409,2368,0.5950168918918919
571521,2017,435559,211,390,0.541025641025641
571561,2017,571466,222,727,0.30536451169188444
571578,2017,455104,1469,3109,0.47249919588292055
571616,2017,471083,142,345,0.4115942028985507
571656,2017,543510,445,900,0.49444444444444446
571666,2017,435263,1295,2630,0.4923954372623574
571670,2017,471083,61,133,0.45864661654135336
571676,2017,471083,37,37,1.0
571697,2017,571466,21,21,1.0
571704,2017,435263,581,952,0.6102941176470589
571710,2017,456078,800,1330,0.6015037593984962
571760,2017,455117,415,415,1.0
571787,2017,607345,635,1087,0.5841766329346826
571863,2017,455104,9,9,1.0
571871,2017,452095,563,862,0.6531322505800464
571882,2017,457763,352,645,0.5457364341085271
571893,2017,518735,52,77,0.6753246753246753
571901,2017,431145,416,1028,0.4046692607003891
571911,2017,455117,20,20,1.0
571927,2017,518595,982,1177,0.8343245539507221
571946,2017,455104,285,387,0.7364341085271318
571948,2017,519237,256,554,0.4620938628158845
571951,2017,519222,297,539,0.5510204081632653
572020,2017,572287,2197,2270,0.9678414096916299
572021,2017,572287,612,929,0.658772874058127
572044,2017,455117,162,218,0.7431192660550459
572070,2017,455117,427,427,1.0
572096,2017,425877,695,883,0.7870894677236693
572140,2017,455117,914,1394,0.6556671449067432
572193,2017,431145,680,1289,0.5275407292474786
572208,2017,594828,60,85,0.7058823529411765
572308,2017,595978,186,294,0.6326530612244898
572403,2017,543510,423,536,0.789179104477612
572728,2017,622194,303,455,0.6659340659340659
572750,2017,575929,751,926,0.8110151187904968
572831,2017,425784,327,618,0.529126213592233
572888,2017,543510,731,1093,0.6688014638609332
572955,2017,575929,29,29,1.0
572971,2017,435263,2094,2194,0.9544211485870556
572998,2017,608348,111,119,0.9327731092436975
573016,2017,506702,42,42,1.0
573046,2017,455117,199,348,0.5718390804597702
573064,2017,456078,228,313,0.7284345047923323
573109,2017,592663,659,1108,0.5947653429602888
573124,2017,488771,538,890,0.604494382022472
573127,2017,452672,55,125,0.44
573185,2017,592663,2052,3099,0.6621490803484995
573186,2017,431145,1776,3144,0.5648854961832062
573244,2017,460269,154,304,0.506578947368421
573589,2017,607345,245,594,0.41245791245791247
573668,2017,607345,441,809,0.5451174289245982
580792,2017,543228,494,909,0.5434543454345434
582494,2017,543877,313,598,0.5234113712374582
584171,2017,543877,233,382,0.6099476439790575
591693,2017,519237,675,1016,0.6643700787401575
591701,2017,642156,78,129,0.6046511627906976
592102,2017,547379,585,1165,0.5021459227467812
592120,2017,571466,97,148,0.6554054054054054
592127,2017,465041,156,478,0.3263598326359833
592130,2017,431145,384,1067,0.3598875351452671
592135,2017,455117,686,769,0.8920676202860858
592169,2017,519023,271,497,0.545271629778672
592170,2017,455117,1294,1759,0.7356452529846503
592222,2017,455139,517,1143,0.45231846019247596
592229,2017,553882,492,1163,0.4230438521066208
592233,2017,456078,199,246,0.8089430894308943
592254,2017,519083,69,69,1.0
592279,2017,595751,157,313,0.5015974440894568
592314,2017,435559,1784,2778,0.6421886249100072
592332,2017,543376,1934,3357,0.5761096216860292
592340,2017,518595,303,501,0.6047904191616766
592341,2017,542908,17,17,1.0
592351,2017,518960,957,1833,0.5220949263502455
592390,2017,506702,562,1113,0.504941599281222
592422,2017,435559,105,177,0.5932203389830508
592426,2017,452095,421,831,0.50661853188929
592454,2017,596142,278,1019,0.2728164867517174
592473,2017,467092,104,143,0.7272727272727273
592499,2017,543510,172,192,0.8958333333333334
592533,2017,434563,50,50,1.0
592547,2017,571466,186,210,0.8857142857142857
592570,2017,452095,111,128,0.8671875
592592,2017,518960,16,16,1.0
592593,2017,592663,714,860,0.8302325581395349
592612,2017,460026,436,765,0.5699346405228758
592614,2017,434563,225,379,0.5936675461741425
592662,2017,543302,1750,2726,0.6419662509170947
592665,2017,518595,440,1198,0.3672787979966611
592717,2017,431145,308,613,0.5024469820554649
592741,2017,596142,606,860,0.7046511627906977
592753,2017,460026,16,16,1.0
592761,2017,596142,193,345,0.5594202898550724
592773,2017,491696,138,426,0.323943661971831
592779,2017,518735,413,593,0.6964586846543002
592789,2017,425784,432,463,0.9330453563714903
592791,2017,553869,819,2334,0.3508997429305913
592811,2017,519390,493,1084,0.4547970479704797
592815,2017,425877,352,655,0.5374045801526718
592826,2017,519237,996,1270,0.784251968503937
592833,2017,519390,54,142,0.38028169014084506
592836,2017,455104,1481,2763,0.5360115816141875
592865,2017,519390,35,78,0.44871794871794873
592866,2017,465041,1132,2436,0.46469622331691296
592869,2017,543376,172,269,0.6394052044609665
592872,2017,460269,102,156,0.6538461538461539
592879,2017,571466,415,1110,0.3738738738738739
593140,2017,435263,627,903,0.6943521594684385
593144,2017,456078,81,124,0.6532258064516129
593334,2017,519222,158,253,0.6245059288537549
593372,2017,425877,2850,3141,0.9073543457497613
593417,2017,519390,128,448,0.2857142857142857
593423,2017,572033,256,620,0.4129032258064516
593576,2017,519237,613,1241,0.4939564867042707
593679,2017,456078,356,540,0.6592592592592592
593958,2017,543877,2454,2466,0.9951338199513382
593969,2017,543376,143,237,0.6033755274261603
593974,2017,571466,654,1021,0.6405484818805093
594056,2017,435263,121,324,0.3734567901234568
594311,2017,594828,75,109,0.6880733944954128
594577,2017,425877,48,105,0.45714285714285713
594580,2017,622194,90,147,0.6122448979591837
594742,2017,543376,572,1074,0.5325884543761639
594760,2017,452095,75,75,1.0
594772,2017,571466,121,234,0.5170940170940171
594795,2017,518735,321,422,0.7606635071090048
594798,2017,518595,2328,3185,0.7309262166405024
594815,2017,543510,174,195,0.8923076923076924
594835,2017,572287,643,701,0.9172610556348074
594840,2017,446308,471,769,0.6124837451235371
594867,2017,543510,221,268,0.8246268656716418
594902,2017,595751,642,1415,0.45371024734982335
594943,2017,519390,182,244,0.7459016393442623
594986,2017,543510,65,126,0.5158730158730159
594992,2017,571466,314,517,0.6073500967117988
595001,2017,622194,265,590,0.4491525423728814
595014,2017,446308,406,1203,0.33748960931005817
595032,2017,491696,320,837,0.3823178016726404
595191,2017,519237,1398,2147,0.6511411271541686
595234,2017,488771,203,330,0.6151515151515151
595307,2017,521692,118,165,0.7151515151515152
595345,2017,457763,237,469,0.5053304904051172
595411,2017,425877,136,218,0.6238532110091743
595465,2017,452095,109,234,0.4658119658119658
595918,2017,446308,402,937,0.42902881536819637
595928,2017,641598,109,165,0.6606060606060606
596001,2017,521692,975,1529,0.6376716808371484
596027,2017,488671,39,109,0.3577981651376147
596043,2017,622194,302,650,0.4646153846153846
596057,2017,543510,1077,1839,0.5856443719412724
596071,2017,592663,432,523,0.8260038240917782
596112,2017,571466,1043,1476,0.7066395663956639
596133,2017,425877,751,1050,0.7152380952380952
596143,2017,620443,16,16,1.0
596271,2017,572287,433,987,0.4387031408308004
596720,2017,553869,245,422,0.580568720379147
596816,2017,460026,51,97,0.5257731958762887
598264,2017,543877,733,1204,0.6088039867109635
598271,2017,506702,351,452,0.7765486725663717
598287,2017,455117,112,214,0.5233644859813084
599683,2017,543510,676,1108,0.6101083032490975
599998,2017,571912,83,226,0.3672566371681416
600526,2017,595978,602,1071,0.5620915032679739
600917,2017,455139,392,866,0.45265588914549654
600921,2017,521692,47,95,0.49473684210526314
600944,2017,594828,362,529,0.6843100189035917
600965,2017,455139,174,242,0.71900826446281
600968,2017,460269,64,64,1.0
600986,2017,572287,10,10,1.0
601713,2017,595284,967,2439,0.3964739647396474
602083,2017,521692,41,50,0.82
602928,2017,488771,85,149,0.5704697986577181
605151,2017,425772,451,1163,0.38779019776440243
605154,2017,425877,493,795,0.620125786163522
605164,2017,456078,1910,2819,0.6775452288045406
605169,2017,595978,158,192,0.8229166666666666
605177,2017,455104,475,887,0.5355129650507328
605182,2017,543228,1343,2112,0.6358901515151515
605194,2017,622194,959,2174,0.4411223551057958
605195,2017,460026,323,607,0.5321252059308073
605200,2017,444489,1443,3098,0.4657843770174306
605204,2017,545358,24,33,0.7272727272727273
605218,2017,575929,691,1137,0.6077396657871592
605222,2017,595978,9,9,1.0
605232,2017,571466,183,241,0.7593360995850622
605240,2017,607345,71,130,0.5461538461538461
605242,2017,543510,1415,2487,0.5689585846401287
605254,2017,622194,690,1581,0.4364326375711575
605309,2017,518960,357,618,0.5776699029126213
605333,2017,455755,34,105,0.3238095238095238
605347,2017,444489,35,35,1.0
605359,2017,572287,102,128,0.796875
605388,2017,519237,371,911,0.407244785949506
605397,2017,435263,1045,1764,0.5924036281179138
605400,2017,519237,1695,2673,0.6341189674523008
605428,2017,572287,96,96,1.0
605441,2017,595751,197,279,0.7060931899641577
605452,2017,446308,931,1212,0.7681518151815182
605476,2017,543877,77,114,0.6754385964912281
605483,2017,467092,870,2282,0.38124452234881684
605528,2017,488771,56,56,1.0
605538,2017,435559,308,557,0.5529622980251346
605540,2017,444489,384,720,0.5333333333333333
605541,2017,456078,211,417,0.5059952038369304
605795,2017,553869,171,208,0.8221153846153846
606131,2017,595978,1328,2568,0.5171339563862928
606149,2017,596142,228,367,0.6212534059945504
606160,2017,425784,986,2235,0.4411633109619687
606167,2017,488771,1345,1760,0.7642045454545454
606273,2017,543877,11,11,1.0
606424,2017,592663,735,892,0.8239910313901345
606625,2017,460026,55,114,0.4824561403508772
606930,2017,444489,669,1243,0.5382139983909895
606959,2017,571466,306,522,0.5862068965517241
606965,2017,435263,681,1282,0.531201248049922
606983,2017,446308,284,317,0.8958990536277602
607074,2017,553882,856,1181,0.724809483488569
607162,2017,460077,96,119,0.8067226890756303
607188,2017,467092,902,1445,0.6242214532871972
607192,2017,465041,536,1228,0.4364820846905538
607200,2017,446308,219,306,0.7156862745098039
607215,2017,521692,269,387,0.6950904392764858
607219,2017,571466,1114,1501,0.7421718854097269
607229,2017,518595,883,2061,0.4284327996118389
607231,2017,608348,181,292,0.6198630136986302
607237,2017,571466,966,1244,0.7765273311897106
607259,2017,518960,910,1815,0.5013774104683195
607320,2017,543228,175,320,0.546875
607352,2017,431145,922,1936,0.4762396694214876
607455,2017,455104,385,422,0.9123222748815166
607457,2017,592663,816,1166,0.6998284734133791
607473,2017,518595,213,511,0.41682974559686886
607481,2017,607345,226,378,0.5978835978835979
607536,2017,452672,794,2587,0.3069192114418245
607625,2017,518595,718,1645,0.43647416413373863
607951,2017,592407,83,125,0.664
607968,2017,488771,57,88,0.6477272727272727
608032,2017,547172,276,583,0.4734133790737564
608328,2017,434563,225,458,0.4912663755458515
608331,2017,435559,340,426,0.7981220657276995
608334,2017,607345,345,427,0.8079625292740047
608337,2017,607345,605,704,0.859375
608349,2017,444489,794,1375,0.5774545454545454
608371,2017,452095,656,993,0.6606243705941591
608379,2017,425877,2366,2700,0.8762962962962964
608566,2017,547172,1402,2673,0.5245043022820801
608601,2017,571912,121,274,0.4416058394160584
608648,2017,488771,679,1144,0.5935314685314685
