batter,year,game_date,team_id,pa,ab,k,bb,h,hr,tb,r,rbi,sb,hbp,fp
134181,2018,2018-07-10,140,4,4,3,0,0,0,0,0,0,0,0,-3
134181,2018,2018-07-11,140,4,4,2,0,1,0,1,0,0,0,0,-1
134181,2018,2018-07-13,140,4,4,0,0,1,0,1,0,0,0,0,1
134181,2018,2018-07-14,140,4,4,1,0,1,0,1,0,0,0,0,0
134181,2018,2018-07-15,140,1,1,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-07-20,140,6,6,1,0,2,0,3,0,1,0,0,3
134181,2018,2018-07-21,140,3,3,1,0,1,1,4,1,2,0,0,6
134181,2018,2018-07-23,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2018,2018-07-24,140,5,4,0,0,0,0,0,0,1,0,0,1
134181,2018,2018-07-25,140,4,4,0,0,2,0,3,0,1,0,0,4
134181,2018,2018-07-26,140,5,5,1,0,3,0,3,1,1,0,0,4
134181,2018,2018-07-27,140,5,5,0,0,3,0,3,1,0,0,0,4
134181,2018,2018-07-28,140,5,5,2,0,1,0,1,1,1,0,0,1
134181,2018,2018-07-30,140,5,4,1,1,1,0,1,1,0,0,0,2
134181,2018,2018-07-31,140,4,4,2,0,0,0,0,0,0,0,0,-2
134181,2018,2018-08-02,140,6,5,1,1,2,0,2,1,0,0,0,3
134181,2018,2018-08-03,140,5,4,0,0,1,0,1,1,0,0,1,3
134181,2018,2018-08-04,140,4,4,2,0,0,0,0,1,0,0,0,-1
134181,2018,2018-08-06,140,5,4,1,1,0,0,0,1,0,0,0,1
134181,2018,2018-08-07,140,4,4,1,0,1,1,4,2,1,0,0,6
134181,2018,2018-08-08,140,5,4,1,1,1,0,1,0,2,0,0,3
134181,2018,2018-08-09,140,4,4,2,0,0,0,0,0,0,0,0,-2
134181,2018,2018-08-10,140,5,5,0,0,2,1,6,1,4,0,0,11
134181,2018,2018-08-11,140,5,3,2,1,1,0,1,0,1,0,1,2
134181,2018,2018-08-12,140,4,4,1,0,1,0,1,0,0,0,0,0
134181,2018,2018-08-13,140,4,4,1,0,1,0,1,1,0,0,0,1
134181,2018,2018-08-18,140,4,4,1,0,1,0,1,0,2,0,0,2
134181,2018,2018-08-21,140,3,3,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-08-22,140,4,4,1,0,2,0,2,0,2,0,0,3
134181,2018,2018-08-24,140,1,0,0,1,0,0,0,0,0,0,0,1
134181,2018,2018-08-25,140,1,1,1,0,0,0,0,0,0,0,0,-1
134181,2018,2018-08-26,140,4,3,0,1,0,0,0,0,0,0,0,1
134181,2018,2018-08-28,140,4,4,0,0,1,0,1,1,0,0,0,2
134181,2018,2018-08-29,140,4,4,2,0,1,0,2,0,1,1,0,2
134181,2018,2018-08-31,140,5,4,1,1,0,0,0,0,1,0,0,1
134181,2018,2018-09-01,140,4,4,1,0,1,1,4,1,1,0,0,5
134181,2018,2018-09-02,140,5,4,1,0,1,0,1,1,0,0,1,2
134181,2018,2018-09-03,140,4,4,1,0,1,0,1,0,0,0,0,0
134181,2018,2018-09-04,140,4,4,0,0,2,1,5,1,1,0,0,7
134181,2018,2018-09-05,140,4,4,1,0,2,1,5,1,2,0,0,7
134181,2018,2018-09-07,140,4,2,0,2,1,0,2,1,0,0,0,5
134181,2018,2018-09-08,140,4,4,0,0,2,2,8,2,3,0,0,13
134181,2018,2018-09-09,140,4,4,0,0,1,0,1,0,1,0,0,2
134181,2018,2018-09-10,140,4,3,1,1,0,0,0,1,0,0,0,1
134181,2018,2018-09-11,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2018,2018-09-12,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-09-14,140,4,4,1,0,2,0,4,1,0,0,0,4
