pitcher,year,split_day,cutoff_date,fps_pct_last100pa,putaway_pct_last50pa,fps_pct_to_sd,putaway_pct_to_sd,fps_pct_delta_l100,putaway_pct_delta_l50
690990,2025,90,2025-06-25,0.68,0.28,0.6666666666666666,0.31,0.01333333333333342,-0.02999999999999997
690990,2025,120,2025-07-25,0.63,0.32,0.6494464944649446,0.3112582781456953,-0.01944649446494462,0.008741721854304718
690990,2026,59,2026-05-22,,,,,,
691725,2026,30,2026-04-25,0.6,0.36,0.6111111111111112,0.375,-0.011111111111111183,-0.015000000000000013
691725,2026,59,2026-05-22,0.63,0.32,0.6030927835051546,0.3737373737373737,0.0269072164948454,-0.053737373737373695
695418,2025,30,2025-04-26,,,0.4358974358974359,0.282051282051282,,
695418,2025,60,2025-05-26,0.6,0.36,0.5365853658536586,0.3333333333333333,0.06341463414634141,0.026666666666666672
695418,2025,90,2025-06-25,0.68,0.4,0.5822784810126582,0.3458646616541353,0.09772151898734183,0.0541353383458647
695418,2025,120,2025-07-25,0.61,0.34,0.5763888888888888,0.3417721518987341,0.03361111111111115,-0.0017721518987340867
696136,2024,30,2024-04-27,0.64,0.52,0.6296296296296297,0.509090909090909,0.010370370370370363,0.01090909090909098
696136,2024,60,2024-05-27,0.64,0.52,0.6296296296296297,0.509090909090909,0.010370370370370363,0.01090909090909098
696136,2024,90,2024-06-26,0.65,0.48,0.6328125,0.4923076923076923,0.017187500000000022,-0.012307692307692297
696136,2024,120,2024-07-26,0.65,0.48,0.6328125,0.4923076923076923,0.017187500000000022,-0.012307692307692297
434378,2018,30,2018-04-28,0.65,0.52,0.6351351351351351,0.5106382978723404,0.014864864864864935,0.009361702127659632
434378,2018,60,2018-05-28,0.63,0.42,0.6381578947368421,0.4974619289340101,-0.008157894736842142,-0.0774619289340101
434378,2018,90,2018-06-27,0.71,0.44,0.6536697247706422,0.4822695035460992,0.05633027522935774,-0.04226950354609921
434378,2018,120,2018-07-27,0.72,0.6,0.6666666666666666,0.5,0.053333333333333344,0.09999999999999998
434378,2019,30,2019-04-19,0.61,0.48,0.6178861788617886,0.4691358024691358,-0.007886178861788662,0.010864197530864206
434378,2019,60,2019-05-19,0.62,0.54,0.6209677419354839,0.506578947368421,-0.000967741935483879,0.03342105263157902
