bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
lucasjo02,2017,Josh Lucas,STL,7.1,5,4,4,0.0
lugose01,2017,Seth Lugo,NYM,101.1,19,0,0,
lylesjo01,2017,Jordan Lyles,TOT,69.2,38,17,8,53.0
lyonsty01,2017,Tyler Lyons*,STL,54.0,50,17,5,71.0
machaan02,2017,Andrés Machado,KCR,3.2,2,1,0,100.0
machije01,2017,Jean Machi,SEA,7.2,5,2,2,0.0
maddoau01,2017,Austin Maddox,BOS,17.1,13,8,0,100.0
madsory01,2017,Ryan Madson,TOT,59.0,60,13,2,85.0
maedake01,2017,Kenta Maeda,LAD,134.1,29,0,0,
magnida01,2017,Damien Magnifico,LAA,0.1,1,0,0,
manesse01,2017,Seth Maness,KCR,9.2,8,4,2,50.0
mapledi01,2017,Dillon Maples,CHC,5.1,6,0,0,
marinjh01,2017,Jhan Mariñez,TOT,58.1,43,23,11,52.0
marksju01,2017,Justin Marks*,TBR,1.1,1,0,0,
marshev01,2017,Evan Marshall,SEA,7.2,6,4,4,0.0
martefr01,2017,Francis Martes,HOU,54.1,32,15,3,80.0
martico01,2017,Cody Martin,SEA,2.0,1,0,0,
martiky01,2017,Kyle Martin,BOS,2.1,2,0,0,
martile01,2017,Leonys Martín,CHC,0.2,1,2,2,0.0
martimi02,2017,Michael Martínez,TOT,1.0,1,0,0,
martini01,2017,Nick Martinez,TEX,111.1,23,6,4,33.0
matonph01,2017,Phil Maton,SDP,43.0,46,22,10,55.0
maurebr01,2017,Brandon Maurer,TOT,59.1,68,17,6,65.0
mayermi01,2017,Mike Mayers,STL,4.2,3,0,0,
mayzati01,2017,Tim Mayza*,TOR,17.0,19,5,3,40.0
mazzoco01,2017,Cory Mazzoni,SDP,8.0,6,4,3,25.0
mcallza01,2017,Zach McAllister,CLE,62.0,50,20,11,45.0
mccarbr01,2017,Brandon McCarthy,LAD,92.2,19,0,0,
mccarke01,2017,Kevin McCarthy,KCR,45.0,33,6,2,67.0
mcfartj01,2017,T.J. McFarland*,ARI,54.0,43,16,4,75.0
mcgeeja01,2017,Jake McGee*,COL,57.1,62,28,8,71.0
mcgowdu01,2017,Dustin McGowan,MIA,77.2,63,39,17,56.0
mcgowke01,2017,Kevin McGowan,NYM,8.2,8,7,3,57.0
mcgraky01,2017,Kyle McGrath*,SDP,19.0,17,10,6,40.0
mcguide02,2017,Deck McGuire,CIN,13.2,6,3,0,100.0
melanma01,2017,Mark Melancon,SFG,30.0,32,1,0,100.0
mellake01,2017,Keury Mella,CIN,4.0,2,0,0,
melviti01,2017,Tim Melville,TOT,5.2,3,0,0,
mendeyo01,2017,Yohander Méndez*,TEX,12.1,7,5,0,100.0
merriry01,2017,Ryan Merritt*,CLE,20.2,5,0,0,
middlke01,2017,Keynan Middleton,LAA,58.1,64,29,10,66.0
millean01,2017,Andrew Miller*,CLE,62.2,57,29,6,79.0
milneho01,2017,Hoby Milner*,PHI,31.1,37,18,4,78.0
milonto01,2017,Tommy Milone*,TOT,48.1,17,4,2,50.0
minayju01,2017,Juan Minaya,CHW,43.2,40,24,5,79.0
minormi01,2017,Mike Minor*,KCR,77.2,65,34,14,59.0
minteaj01,2017,A.J. Minter*,ATL,15.0,16,4,0,100.0
miranar01,2017,Aríel Miranda*,SEA,160.0,31,0,0,
mitchbr01,2017,Bryan Mitchell,NYY,32.2,20,5,3,40.0
mollsa01,2017,Sam Moll*,OAK,6.2,11,5,1,80.0
montafr02,2017,Frankie Montas,OAK,32.0,23,11,4,64.0
montemi01,2017,Miguel Montero,CHC,1.0,1,0,0,
montera01,2017,Rafael Montero,NYM,119.0,34,4,0,100.0
montgmi01,2017,Mike Montgomery*,CHC,130.2,44,10,1,90.0
moorean02,2017,Andrew Moore,SEA,59.0,11,0,0,
moorema02,2017,Matt Moore*,SFG,174.1,32,0,0,
morelmi01,2017,Mitch Moreland*,BOS,1.0,1,0,0,
morendi01,2017,Diego Moreno,TBR,5.2,5,3,2,33.0
morgaad01,2017,Adam Morgan*,PHI,54.2,37,11,4,64.0
morinmi01,2017,Mike Morin,TOT,20.0,16,11,3,73.0
moronre01,2017,Reyes Moronta,SFG,6.2,7,0,0,
morriak01,2017,Akeel Morris,ATL,7.1,8,6,2,67.0
morribr01,2017,Bryan Morris,SFG,21.0,20,10,4,60.0
morrobr01,2017,Brandon Morrow,LAD,43.2,45,9,2,78.0
motteja01,2017,Jason Motte,ATL,40.2,46,24,9,62.0
moyaga01,2017,Gabriel Moya*,MIN,6.1,7,4,0,100.0
moylape01,2017,Peter Moylan,KCR,59.1,79,64,15,77.0
mujiced01,2017,Edward Mujica,DET,6.1,5,6,2,67.0
musgrjo01,2017,Joe Musgrove,HOU,109.1,38,11,3,73.0
nealza01,2017,Zach Neal,OAK,14.2,6,1,1,0.0
nerishe01,2017,Hector Neris,PHI,74.2,74,7,0,100.0
neshepa01,2017,Pat Neshek,TOT,62.1,71,20,3,85.0
neverdo01,2017,Dovydas Neverauskas,PIT,25.1,24,4,0,100.0
nicasju01,2017,Juan Nicasio,TOT,72.1,76,21,5,76.0
nichobr01,2017,Brett Nicholas,TEX,1.0,1,0,0,
nicolju01,2017,Justin Nicolino*,MIA,48.0,20,10,5,50.0
norribu01,2017,Bud Norris,LAA,62.0,60,16,5,69.0
norrida01,2017,Daniel Norris*,DET,101.2,22,0,0,
nunovi01,2017,Vidal Nuño III*,BAL,14.2,12,9,3,67.0
obergsc01,2017,Scott Oberg,COL,58.1,66,38,6,84.0
odayda01,2017,Darren O'Day,BAL,60.1,64,26,5,81.0
oflaher01,2017,Eric O'Flaherty*,ATL,18.1,22,10,3,70.0
ogradch01,2017,Chris O'Grady*,MIA,33.0,13,0,0,
ohse01,2017,Seunghwan Oh,STL,59.1,62,17,8,53.0
okertst01,2017,Steven Okert*,SFG,27.0,44,25,6,76.0
olsonty01,2017,Tyler Olson*,CLE,20.0,30,17,2,88.0
osichjo01,2017,Josh Osich*,SFG,43.1,54,30,6,80.0
osunaro01,2017,Roberto Osuna,TOR,64.0,66,12,2,83.0
oteroda01,2017,Dan Otero,CLE,60.0,52,26,9,65.0
ottavad01,2017,Adam Ottavino,COL,53.1,63,25,9,64.0
overtdi01,2017,Dillon Overton*,TOT,23.0,10,2,2,0.0
paganem01,2017,Emilio Pagán,SEA,50.1,34,16,4,75.0
pareded01,2017,Eduardo Paredes,LAA,22.1,18,5,1,80.0
pareded02,2017,Edward Paredes*,LAD,8.1,10,7,2,71.0
parkebl01,2017,Blake Parker,LAA,67.1,71,37,8,78.0
pazosja01,2017,James Pazos*,SEA,53.2,59,32,16,50.0
peacobr01,2017,Brad Peacock,HOU,132.0,34,3,1,67.0
pelfrmi01,2017,Mike Pelfrey,CHW,120.0,34,9,4,56.0
penafe01,2017,Félix Peña,CHC,34.1,25,5,4,20.0
peralwa01,2017,Wandy Peralta*,CIN,64.2,69,26,9,65.0
peralwi01,2017,Wily Peralta,MIL,57.1,19,2,0,100.0
perezhe01,2017,Hernán Pérez,MIL,1.0,1,0,0,
perezol01,2017,Óliver Pérez*,WSN,33.0,50,35,5,86.0
perkigl01,2017,Glen Perkins*,MIN,5.2,8,1,0,100.0
petityu01,2017,Yusmeiro Petit,LAA,91.1,60,20,0,100.0
petrija01,2017,Jake Petricka,CHW,25.2,27,22,6,73.0
phelpda01,2017,David Phelps,TOT,55.2,54,11,6,45.0
pillty01,2017,Tyler Pill,NYM,22.0,7,0,0,
pintori01,2017,Ricardo Pinto,PHI,29.2,25,7,1,86.0
plaweke01,2017,Kevin Plawecki,NYM,3.0,2,3,2,33.0
poundbr01,2017,Brooks Pounders,LAA,10.1,11,4,2,50.0
povsema01,2017,Max Povse,SEA,3.2,3,0,0,
pressry01,2017,Ryan Pressly,MIN,61.1,57,38,11,71.0
priceda01,2017,David Price*,BOS,74.2,16,2,0,100.0
pruitau01,2017,Austin Pruitt,TBR,83.0,30,8,4,50.0
putnaza01,2017,Zach Putnam,CHW,8.2,7,8,0,100.0
quackke01,2017,Kevin Quackenbush,SDP,26.1,20,6,2,67.0
quallch01,2017,Chad Qualls,COL,16.2,19,6,1,83.0
ramirca01,2017,Carlos Ramírez,TOR,16.2,12,5,0,100.0
ramirer02,2017,Erasmo Ramírez,TOT,131.1,37,8,1,87.0
ramirjc01,2017,JC Ramirez,LAA,147.1,27,0,0,
ramirjo02,2017,José Ramírez,ATL,62.0,68,16,4,75.0
ramirne01,2017,Neil Ramírez,TOT,31.1,29,26,7,73.0
ramirno01,2017,Noé Ramirez,TOT,13.0,12,15,3,80.0
ramosaj01,2017,AJ Ramos,TOT,58.2,61,16,2,87.0
ramosed02,2017,Edubray Ramos,PHI,57.2,59,18,5,72.0
