team_abbr,year,n_lhb_pa,n_rhb_pa,n_pa,pct_lhb,pct_rhb
DET,2022,2806,3078,5884,0.4768864717878994,0.5231135282121007
DET,2023,2221,3871,6092,0.3645764937623112,0.6354235062376887
DET,2024,2761,3271,6032,0.4577254641909814,0.5422745358090185
DET,2025,2987,3112,6099,0.4897524184292507,0.5102475815707493
DET,2026,642,682,1324,0.48489425981873113,0.5151057401812689
HOU,2022,1646,4417,6063,0.2714827643080983,0.7285172356919017
HOU,2023,1349,4910,6259,0.21552963732225594,0.7844703626777441
HOU,2024,1965,4152,6117,0.32123589995095636,0.6787641000490436
HOU,2025,1055,5043,6098,0.1730075434568711,0.8269924565431289
HOU,2026,321,1057,1378,0.23294629898403482,0.7670537010159652
KC,2022,2789,3236,6025,0.4629045643153527,0.5370954356846473
KC,2023,2604,3388,5992,0.43457943925233644,0.5654205607476636
KC,2024,2127,3862,5989,0.35515111036900987,0.6448488896309902
KC,2025,2553,3463,6016,0.4243683510638298,0.5756316489361702
KC,2026,599,691,1290,0.46434108527131784,0.5356589147286822
LAA,2022,2737,3249,5986,0.45723354493818913,0.5427664550618109
LAA,2023,2449,3705,6154,0.39795255118622036,0.6020474488137797
LAA,2024,2087,3900,5987,0.3485886086520795,0.6514113913479205
LAA,2025,1438,4574,6012,0.23918829008649367,0.7608117099135063
LAA,2026,393,966,1359,0.2891832229580574,0.7108167770419426
LAD,2022,2667,3586,6253,0.4265152726691188,0.5734847273308812
LAD,2023,2812,3532,6344,0.4432534678436318,0.5567465321563683
LAD,2024,2736,3436,6172,0.44329228775113416,0.5567077122488658
LAD,2025,2965,3150,6115,0.4848732624693377,0.5151267375306623
LAD,2026,779,531,1310,0.5946564885496183,0.40534351145038167
MIA,2022,1370,4588,5958,0.22994293387042633,0.7700570661295737
MIA,2023,1953,4101,6054,0.3225966303270565,0.6774033696729435
MIA,2024,2385,3677,6062,0.3934345100626856,0.6065654899373144
MIA,2025,2460,3695,6155,0.39967506092607635,0.6003249390739236
MIA,2026,628,656,1284,0.48909657320872274,0.5109034267912772
MIL,2022,2655,3478,6133,0.43290396217185717,0.5670960378281429
MIL,2023,2488,3603,6091,0.4084715153505172,0.5915284846494828
MIL,2024,2476,3705,6181,0.40058243002750366,0.5994175699724964
MIL,2025,2740,3497,6237,0.43931377264710597,0.560686227352894
MIL,2026,788,502,1290,0.6108527131782946,0.3891472868217054
MIN,2022,2477,3646,6123,0.40454025804344274,0.5954597419565573
MIN,2023,2682,3542,6224,0.4309125964010283,0.5690874035989717
MIN,2024,2593,3539,6132,0.42286366601435094,0.577136333985649
MIN,2025,2504,3572,6076,0.4121132323897301,0.5878867676102699
MIN,2026,606,738,1344,0.45089285714285715,0.5491071428571429
NYM,2022,3216,2967,6183,0.5201358563803978,0.4798641436196021
NYM,2023,3287,2774,6061,0.542319749216301,0.45768025078369906
NYM,2024,2280,3822,6102,0.37364798426745327,0.6263520157325467
NYM,2025,3185,2994,6179,0.5154555753358149,0.4845444246641851
NYM,2026,505,756,1261,0.4004758128469469,0.5995241871530531
NYY,2022,1759,4422,6181,0.28458178288302866,0.7154182171169714
NYY,2023,1653,4332,5985,0.2761904761904762,0.7238095238095238
NYY,2024,3009,3245,6254,0.4811320754716981,0.5188679245283019
NYY,2025,3528,2717,6245,0.5649319455564451,0.43506805444355484
NYY,2026,750,505,1255,0.5976095617529881,0.40239043824701193
PHI,2022,2671,3425,6096,0.43815616797900264,0.5618438320209974
PHI,2023,2931,3289,6220,0.4712218649517685,0.5287781350482315
PHI,2024,2802,3378,6180,0.4533980582524272,0.5466019417475728
PHI,2025,2880,3299,6179,0.4660948373523224,0.5339051626476776
