batter,year,split_day,cutoff_date,sb_to,sb_last21
592444,2018,30,2018-04-28,3,1
592450,2018,30,2018-04-28,2,1
592468,2018,30,2018-04-28,0,0
592518,2018,30,2018-04-28,1,0
592547,2018,30,2018-04-28,0,0
592567,2018,30,2018-04-28,0,0
592626,2018,30,2018-04-28,0,0
592647,2018,30,2018-04-28,0,0
592662,2018,30,2018-04-28,0,0
592663,2018,30,2018-04-28,1,1
592669,2018,30,2018-04-28,0,0
592680,2018,30,2018-04-28,0,0
592685,2018,30,2018-04-28,1,0
592696,2018,30,2018-04-28,2,0
592743,2018,30,2018-04-28,2,2
592761,2018,30,2018-04-28,0,0
592779,2018,30,2018-04-28,0,0
592789,2018,30,2018-04-28,0,0
592791,2018,30,2018-04-28,0,0
592808,2018,30,2018-04-28,0,0
592826,2018,30,2018-04-28,0,0
592859,2018,30,2018-04-28,0,0
592863,2018,30,2018-04-28,0,0
592865,2018,30,2018-04-28,0,0
592866,2018,30,2018-04-28,0,0
592885,2018,30,2018-04-28,0,0
593140,2018,30,2018-04-28,0,0
593144,2018,30,2018-04-28,0,0
593160,2018,30,2018-04-28,3,3
593372,2018,30,2018-04-28,0,0
593423,2018,30,2018-04-28,0,0
593428,2018,30,2018-04-28,0,0
593495,2018,30,2018-04-28,0,0
593527,2018,30,2018-04-28,0,0
593528,2018,30,2018-04-28,0,0
593643,2018,30,2018-04-28,0,0
593647,2018,30,2018-04-28,0,0
593700,2018,30,2018-04-28,0,0
593833,2018,30,2018-04-28,0,0
593871,2018,30,2018-04-28,0,0
593934,2018,30,2018-04-28,0,0
593974,2018,30,2018-04-28,0,0
593993,2018,30,2018-04-28,0,0
594011,2018,30,2018-04-28,0,0
594577,2018,30,2018-04-28,0,0
594694,2018,30,2018-04-28,2,1
594777,2018,30,2018-04-28,1,0
594798,2018,30,2018-04-28,0,0
594807,2018,30,2018-04-28,1,1
594809,2018,30,2018-04-28,0,0
594824,2018,30,2018-04-28,0,0
594828,2018,30,2018-04-28,0,0
594840,2018,30,2018-04-28,0,0
594953,2018,30,2018-04-28,0,0
594965,2018,30,2018-04-28,0,0
594988,2018,30,2018-04-28,1,0
595222,2018,30,2018-04-28,0,0
595281,2018,30,2018-04-28,1,1
595284,2018,30,2018-04-28,1,0
595373,2018,30,2018-04-28,0,0
595375,2018,30,2018-04-28,0,0
595453,2018,30,2018-04-28,0,0
595751,2018,30,2018-04-28,0,0
595777,2018,30,2018-04-28,1,1
595879,2018,30,2018-04-28,3,3
595885,2018,30,2018-04-28,0,0
595909,2018,30,2018-04-28,0,0
595943,2018,30,2018-04-28,0,0
595956,2018,30,2018-04-28,0,0
595978,2018,30,2018-04-28,0,0
596001,2018,30,2018-04-28,0,0
596012,2018,30,2018-04-28,0,0
596019,2018,30,2018-04-28,5,2
596059,2018,30,2018-04-28,0,0
596103,2018,30,2018-04-28,0,0
596105,2018,30,2018-04-28,0,0
596112,2018,30,2018-04-28,0,0
596115,2018,30,2018-04-28,5,4
596119,2018,30,2018-04-28,0,0
596129,2018,30,2018-04-28,0,0
596133,2018,30,2018-04-28,0,0
596142,2018,30,2018-04-28,0,0
596144,2018,30,2018-04-28,0,0
596146,2018,30,2018-04-28,0,0
596295,2018,30,2018-04-28,0,0
596451,2018,30,2018-04-28,0,0
596748,2018,30,2018-04-28,0,0
596847,2018,30,2018-04-28,0,0
598265,2018,30,2018-04-28,2,1
598271,2018,30,2018-04-28,0,0
598284,2018,30,2018-04-28,0,0
599096,2018,30,2018-04-28,0,0
600301,2018,30,2018-04-28,0,0
600303,2018,30,2018-04-28,0,0
600474,2018,30,2018-04-28,1,0
600524,2018,30,2018-04-28,0,0
600869,2018,30,2018-04-28,0,0
600968,2018,30,2018-04-28,0,0
601713,2018,30,2018-04-28,0,0
602115,2018,30,2018-04-28,0,0
602922,2018,30,2018-04-28,0,0
605113,2018,30,2018-04-28,1,1
605119,2018,30,2018-04-28,1,1
605131,2018,30,2018-04-28,1,1
605137,2018,30,2018-04-28,0,0
605141,2018,30,2018-04-28,3,1
605154,2018,30,2018-04-28,0,0
605164,2018,30,2018-04-28,0,0
605170,2018,30,2018-04-28,0,0
605182,2018,30,2018-04-28,0,0
605200,2018,30,2018-04-28,0,0
605204,2018,30,2018-04-28,0,0
605232,2018,30,2018-04-28,0,0
605233,2018,30,2018-04-28,2,0
605242,2018,30,2018-04-28,0,0
605244,2018,30,2018-04-28,0,0
605253,2018,30,2018-04-28,0,0
605255,2018,30,2018-04-28,0,0
605276,2018,30,2018-04-28,0,0
605280,2018,30,2018-04-28,0,0
605347,2018,30,2018-04-28,0,0
605361,2018,30,2018-04-28,0,0
605397,2018,30,2018-04-28,0,0
605400,2018,30,2018-04-28,0,0
605412,2018,30,2018-04-28,0,0
605421,2018,30,2018-04-28,0,0
605439,2018,30,2018-04-28,0,0
605446,2018,30,2018-04-28,0,0
605452,2018,30,2018-04-28,0,0
605480,2018,30,2018-04-28,5,5
605486,2018,30,2018-04-28,1,1
605498,2018,30,2018-04-28,0,0
605508,2018,30,2018-04-28,0,0
605509,2018,30,2018-04-28,0,0
605512,2018,30,2018-04-28,0,0
605520,2018,30,2018-04-28,0,0
605538,2018,30,2018-04-28,0,0
605540,2018,30,2018-04-28,0,0
605548,2018,30,2018-04-28,3,2
605612,2018,30,2018-04-28,0,0
606115,2018,30,2018-04-28,0,0
606131,2018,30,2018-04-28,0,0
606132,2018,30,2018-04-28,0,0
606192,2018,30,2018-04-28,1,1
606299,2018,30,2018-04-28,3,3
606424,2018,30,2018-04-28,0,0
606466,2018,30,2018-04-28,0,0
606988,2018,30,2018-04-28,0,0
606992,2018,30,2018-04-28,0,0
606995,2018,30,2018-04-28,0,0
607043,2018,30,2018-04-28,1,0
607054,2018,30,2018-04-28,2,2
607192,2018,30,2018-04-28,0,0
607200,2018,30,2018-04-28,0,0
607208,2018,30,2018-04-28,11,7
607215,2018,30,2018-04-28,0,0
607219,2018,30,2018-04-28,0,0
607229,2018,30,2018-04-28,0,0
607231,2018,30,2018-04-28,0,0
607237,2018,30,2018-04-28,0,0
607257,2018,30,2018-04-28,0,0
607333,2018,30,2018-04-28,0,0
607345,2018,30,2018-04-28,0,0
607387,2018,30,2018-04-28,2,1
607430,2018,30,2018-04-28,0,0
607468,2018,30,2018-04-28,0,0
607471,2018,30,2018-04-28,0,0
607536,2018,30,2018-04-28,0,0
607625,2018,30,2018-04-28,0,0
607680,2018,30,2018-04-28,4,1
607732,2018,30,2018-04-28,0,0
607752,2018,30,2018-04-28,0,0
