pitcher,year,pitcher_team
628711,2018,LAD
629496,2018,TB
630023,2018,TB
635903,2018,TOR
639373,2018,NYM
640447,2018,CIN
640455,2018,ATH
640463,2018,AZ
640464,2018,MIN
641149,2018,ATL
641154,2018,MIA
641341,2018,NYM
641427,2018,MIN
641438,2018,ATL
641482,2018,BAL
641490,2018,CIN
641501,2018,CWS
641525,2018,CIN
641571,2018,KC
641598,2018,MIN
641627,2018,WSH
641656,2018,CWS
641712,2018,STL
641729,2018,DET
641745,2018,KC
641755,2018,MIA
641771,2018,PIT
641778,2018,SD
641793,2018,MIN
641816,2018,CIN
641835,2018,TOR
641838,2018,KC
641851,2018,WSH
641871,2018,LAA
641941,2018,ATH
641962,2018,TEX
642003,2018,CIN
642008,2018,NYM
642028,2018,BAL
642073,2018,AZ
642083,2018,MIN
642098,2018,KC
642152,2018,ATH
642231,2018,BAL
642232,2018,TB
642239,2018,CHC
642528,2018,NYY
642545,2018,LAA
642547,2018,MIL
642558,2018,TEX
642571,2018,MIA
642701,2018,LAD
643230,2018,PIT
643256,2018,SD
643316,2018,BAL
643320,2018,TEX
643327,2018,AZ
643338,2018,NYY
643354,2018,BAL
643410,2018,PHI
643466,2018,COL
643493,2018,TB
643617,2018,DET
643778,2018,STL
644364,2018,PHI
644428,2018,AZ
645261,2018,MIA
647336,2018,ATL
650828,2018,PIT
650895,2018,TB
656186,2018,SEA
656222,2018,TB
656257,2018,MIA
656354,2018,PHI
656427,2018,STL
656546,2018,COL
656547,2018,NYY
656629,2018,CWS
656725,2018,PIT
656738,2018,MIA
656756,2018,NYY
656794,2018,ATL
656798,2018,SD
656803,2018,CHC
656805,2018,KC
656814,2018,BAL
656887,2018,TOR
656945,2018,BAL
656954,2018,NYY
656977,2018,ATL
657053,2018,ATL
657117,2018,WSH
657140,2018,ATL
657205,2018,PHI
657209,2018,HOU
657228,2018,LAA
657571,2018,LAD
657610,2018,MIN
657612,2018,KC
657624,2018,HOU
657681,2018,SD
657770,2018,KC
657786,2018,KC
658792,2018,MIL
660271,2018,LAA
660853,2018,PHI
660875,2018,CIN
661255,2018,AZ
663432,2018,CIN
663465,2018,ATL
663855,2018,STL
664023,2018,CHC
664028,2018,SD
664068,2018,PHI
664180,2018,DET
664192,2018,SD
664196,2018,PIT
664208,2018,SD
664285,2018,HOU
664641,2018,SEA
664682,2018,BAL
664701,2018,CLE
664856,2018,NYY
664869,2018,NYM
669060,2018,ATL
669203,2018,MIL
669456,2018,CLE
670036,2018,SEA
670950,2018,MIA
672335,2018,HOU
673633,2018,AZ
282332,2019,NYY
407845,2019,WSH
424144,2019,CLE
425772,2019,TEX
425794,2019,STL
425844,2019,AZ
429719,2019,DET
429722,2019,CWS
430935,2019,CHC
431145,2019,LAD
433587,2019,SEA
433589,2019,ATH
434378,2019,HOU
434538,2019,PIT
434671,2019,WSH
434778,2019,ATH
435043,2019,CIN
435079,2019,SD
435622,2019,COL
444468,2019,HOU
445197,2019,COL
445213,2019,CHC
445276,2019,LAD
445926,2019,TEX
446321,2019,CWS
446372,2019,CLE
446481,2019,PHI
448179,2019,LAD
448281,2019,WSH
448602,2019,COL
448609,2019,WSH
448614,2019,DET
448801,2019,BAL
448855,2019,MIL
450172,2019,TEX
450203,2019,TB
450212,2019,PHI
450306,2019,NYM
450314,2019,CHC
451584,2019,COL
452657,2019,CHC
453172,2019,CIN
453178,2019,KC
453192,2019,STL
453214,2019,BOS
453265,2019,SF
453281,2019,SEA
453284,2019,MIN
453286,2019,WSH
453329,2019,TOR
453343,2019,SF
453385,2019,TOR
453562,2019,PHI
455119,2019,TEX
456034,2019,BOS
456051,2019,MIA
456387,2019,TOR
456488,2019,BOS
456501,2019,SF
456696,2019,CIN
456701,2019,KC
457754,2019,CLE
457915,2019,WSH
457918,2019,NYY
458006,2019,MIL
458584,2019,CHC
458677,2019,NYM
458681,2019,TEX
458708,2019,ATL
458924,2019,ATL
459429,2019,COL
460086,2019,KC
460283,2019,ATL
461325,2019,CLE
461829,2019,MIL
461872,2019,ATL
462136,2019,ATH
465657,2019,ATH
467008,2019,CHC
467055,2019,SF
467100,2019,CWS
467827,2019,WSH
468504,2019,MIL
471911,2019,CLE
472551,2019,SF
472610,2019,LAA
473879,2019,SF
474463,2019,ATH
475054,2019,TB
475115,2019,DET
475479,2019,CHC
476451,2019,WSH
476454,2019,NYY
476589,2019,SD
476594,2019,SD
477132,2019,LAD
477569,2019,PHI
488671,2019,AZ
488748,2019,ATH
488768,2019,BAL
488984,2019,PHI
489119,2019,HOU
489265,2019,MIA
489295,2019,ATH
489334,2019,SD
489446,2019,SD
491646,2019,TEX
491696,2019,BAL
493200,2019,COL
493603,2019,NYY
500610,2019,MIL
500724,2019,LAA
500779,2019,CHC
501303,2019,MIN
501381,2019,MIN
501593,2019,NYM
501625,2019,PHI
501789,2019,HOU
501817,2019,CHC
501925,2019,HOU
501985,2019,TEX
501992,2019,BAL
502026,2019,MIL
502042,2019,PIT
502043,2019,MIN
502085,2019,PHI
502154,2019,NYY
502171,2019,BAL
502188,2019,SF
502190,2019,SEA
502202,2019,KC
502239,2019,LAA
502273,2019,CLE
502304,2019,TEX
502327,2019,CWS
502381,2019,STL
502522,2019,WSH
502578,2019,WSH
502593,2019,MIL
502624,2019,MIL
502706,2019,SF
502748,2019,HOU
503285,2019,ATL
503449,2019,KC
504379,2019,PHI
506433,2019,CHC
516969,2019,CWS
517008,2019,CWS
517593,2019,CLE
518397,2019,LAD
518452,2019,COL
518468,2019,WSH
518489,2019,BOS
518516,2019,SF
518553,2019,CHC
518566,2019,LAA
518586,2019,ATL
518614,2019,CHC
518617,2019,KC
518633,2019,KC
518693,2019,LAA
518715,2019,SEA
518774,2019,LAA
518813,2019,AZ
518858,2019,CWS
518875,2019,TEX
518876,2019,AZ
518886,2019,CHC
519008,2019,AZ
519043,2019,DET
519076,2019,MIL
519096,2019,CLE
519141,2019,SF
519144,2019,BOS
519151,2019,HOU
519166,2019,CLE
519222,2019,NYY
519242,2019,BOS
519293,2019,SF
519326,2019,WSH
519381,2019,SF
519393,2019,BOS
519443,2019,BOS
519455,2019,DET
520980,2019,LAD
521230,2019,ATH
521655,2019,TOR
523260,2019,LAD
525768,2019,CHC
527048,2019,MIN
527054,2019,ATL
527055,2019,ATL
532077,2019,HOU
533167,2019,TOR
534910,2019,KC
541640,2019,BOS
541650,2019,MIL
542585,2019,DET
542866,2019,DET
542881,2019,COL
542882,2019,AZ
542888,2019,BAL
542914,2019,SEA
542947,2019,BAL
542953,2019,TOR
542960,2019,CHC
543001,2019,DET
543022,2019,CHC
543037,2019,HOU
543045,2019,MIA
543089,2019,CHC
543101,2019,CIN
543118,2019,TB
543135,2019,BOS
543148,2019,TEX
543169,2019,KC
543193,2019,NYM
543208,2019,TOR
543219,2019,BAL
543243,2019,CIN
543272,2019,CLE
543278,2019,DET
543294,2019,CHC
543339,2019,TOR
543343,2019,CHC
543351,2019,MIL
543359,2019,WSH
543376,2019,AZ
543475,2019,PIT
543483,2019,MIN
543507,2019,MIN
543521,2019,HOU
543532,2019,COL
543548,2019,SEA
543557,2019,KC
543606,2019,MIN
543677,2019,LAA
543699,2019,CIN
543734,2019,COL
543766,2019,COL
543776,2019,PIT
543883,2019,SF
543901,2019,BOS
543903,2019,CHC
543935,2019,MIL
544365,2019,CWS
544727,2019,NYM
544928,2019,NYY
544931,2019,WSH
545064,2019,COL
545332,2019,NYY
545333,2019,CLE
545358,2019,HOU
547179,2019,CIN
547888,2019,NYY
547943,2019,LAD
547973,2019,NYY
548389,2019,LAD
552640,2019,TB
553878,2019,PIT
554340,2019,LAD
554430,2019,NYM
570240,2019,LAA
570488,2019,TEX
570632,2019,MIA
570663,2019,LAA
570666,2019,NYY
571437,2019,PHI
571510,2019,DET
571539,2019,SEA
571578,2019,WSH
571656,2019,DET
571657,2019,CIN
571666,2019,ATH
571670,2019,LAD
571704,2019,TOR
