pitcher,year,own_stuff_plus,n_pitches
672782,2025,99.59694558819972,1129
641672,2025,99.58258018932663,586
680732,2025,99.57337294709276,2462
642016,2025,99.51667727572867,255
621366,2025,99.4927158168247,618
660825,2025,99.47452850424274,1407
687223,2025,99.4397610694741,705
657376,2025,99.43262998363488,1226
700669,2025,99.43262368230056,756
664351,2025,99.41947414414983,257
675911,2025,99.41239664715523,2110
605400,2025,99.39903738776306,1670
571927,2025,99.39696140277398,1197
608718,2025,99.39265899980501,1180
595928,2025,99.3563273787425,557
663992,2025,99.34875640901922,243
800049,2025,99.28803009582921,489
686701,2025,99.19266364319105,1312
666168,2025,99.15601529912075,239
663554,2025,99.15334074064981,2516
669371,2025,99.09955859293582,965
680694,2025,99.08871580378104,494
688138,2025,98.93630070548039,1399
696270,2025,98.88058745578152,294
701581,2025,98.87243557240807,882
663969,2025,98.86049879101331,1131
669713,2025,98.84921454989785,508
671737,2025,98.84870795004214,2373
595014,2025,98.77236523432792,615
686563,2025,98.76788052808242,1793
694297,2025,98.73813683463385,3004
623211,2025,98.67991355283702,1058
686228,2025,98.64110728328609,242
606160,2025,98.62215622429946,1098
642701,2025,98.60758658742562,1001
674370,2025,98.60110771232908,1380
472610,2025,98.54380192491838,883
688642,2025,98.53160769472119,527
643410,2025,98.50474072589877,855
605135,2025,98.4882550546483,3043
670167,2025,98.42322075209091,1067
682989,2025,98.41755927243851,314
682847,2025,98.39886622517092,1580
506433,2025,98.33898608332274,1179
660730,2025,98.32179009618363,331
694350,2025,98.31602634735842,459
663460,2025,98.31420376665177,1955
676755,2025,98.2926231963452,777
701519,2025,98.21284018300643,663
681882,2025,98.20964992068261,214
607455,2025,98.19458406110441,1148
656641,2025,98.16113121372014,1388
605347,2025,98.15010767849326,387
621111,2025,98.07517455342915,2189
664139,2025,98.0411351308661,418
663436,2025,98.00262639417585,2362
592454,2025,97.98277519979519,1093
682990,2025,97.96118000473885,2565
669432,2025,97.93474274951305,1626
667755,2025,97.84230966119257,2869
650644,2025,97.7783967605325,1802
621381,2025,97.74317558926562,1024
642547,2025,97.6913056622864,3362
656271,2025,97.64105079220299,1015
676263,2025,97.6134465517893,1213
681190,2025,97.5693198888332,2147
666142,2025,97.56514147491328,1079
601713,2025,97.53814770293774,3012
622786,2025,97.52705527766994,330
663423,2025,97.51464839899143,676
805299,2025,97.45692534776958,285
664991,2025,97.42122912081952,520
477132,2025,97.18520599023407,1826
669387,2025,97.14724653210574,1647
681347,2025,97.08754381845462,1537
641482,2025,97.0776022952417,674
657649,2025,97.04727670354694,1143
656288,2025,97.04342113786765,1426
608650,2025,96.97656176471246,741
489446,2025,96.87115196832809,754
683769,2025,96.85880741452296,1105
641401,2025,96.85180568737869,840
687064,2025,96.84996680251328,940
682610,2025,96.80029669819568,229
607259,2025,96.75885819988686,2595
573204,2025,96.74184803964988,880
702352,2025,96.72634001207639,1300
668716,2025,96.70501114659746,392
672335,2025,96.65333742343088,448
673513,2025,96.5695775696554,1083
700363,2025,96.51465216280259,711
