batter,hbp_per_pa_raw,hbp,pa_ev
643396,0.01089,5,459
664702,0.00334,1,299
500743,0.0,0,317
667670,0.00715,5,699
547180,0.01034,6,580
683737,0.01689,10,592
670770,0.02336,16,685
686765,0.02885,3,104
543510,0.0292,4,137
693304,0.0049,2,408
661388,0.00455,3,659
663586,0.00671,3,447
682998,0.0109,7,642
656716,0.0137,7,511
605170,0.03368,13,386
682985,0.00611,4,655
656976,0.0,0,288
695336,0.00339,1,295
605141,0.00452,3,663
687597,0.0068,4,588
691176,0.00699,3,429
575929,0.04085,23,563
686676,0.0,0,40
687263,0.02527,14,554
592663,0.01636,9,550
682928,0.02205,14,635
664034,0.04286,21,490
595879,0.01373,6,437
681082,0.00179,1,560
673237,0.00353,2,567
680776,0.01724,12,696
671218,0.02446,17,695
595751,0.0,0,39
664040,0.00362,2,553
702332,0.04743,24,506
682626,0.01444,4,277
690993,0.00427,2,468
695578,0.00435,3,689
650402,0.00637,4,628
664728,0.00489,2,409
805904,0.0,0,52
664770,0.00457,2,438
700250,0.01698,9,530
701398,0.0,0,58
683146,0.00463,2,432
670623,0.01826,8,438
683734,0.00671,3,447
805367,0.01188,6,505
642731,0.01212,2,165
665052,0.0,0,86
664059,0.01099,2,182
660644,0.01053,1,95
678662,0.00256,1,390
810938,0.00339,1,295
691026,0.0149,8,537
646240,0.00823,6,729
671277,0.0038,2,526
657757,0.00917,5,545
682653,0.0,0,146
681481,0.01509,7,464
673962,0.00391,2,511
681393,0.01484,5,337
666023,0.00576,2,347
669701,0.01421,8,563
663616,0.00705,4,567
592206,0.00679,4,589
672012,0.0,0,13
667452,0.0,0,13
666198,0.0,0,8
670156,0.0,0,175
663624,0.0112,4,357
656896,0.00787,1,127
670276,0.0,0,8
676572,0.00195,1,514
676466,0.0,0,16
677950,0.01066,5,469
608348,0.00713,3,421
663698,0.02108,7,332
678882,0.01363,8,587
671739,0.00468,3,641
666971,0.01099,6,546
694497,0.03182,7,220
660688,0.01124,3,267
691718,0.01391,9,647
689414,0.02308,9,390
456781,0.01676,3,179
677800,0.0,0,417
663728,0.01277,9,705
606192,0.00549,3,546
640902,0.0,0,78
672640,0.00505,3,594
630105,0.02913,15,515
668804,0.0107,7,654
595777,0.01348,5,371
645302,0.02632,3,114
673548,0.00154,1,651
701305,0.0,0,109
502054,0.00445,2,449
608671,0.0,0,50
571912,0.0,0,54
660844,0.00901,1,111
686681,0.00361,1,277
672761,0.00783,3,383
621020,0.0031,2,645
680718,0.00598,3,502
677588,0.00592,1,169
643446,0.01732,8,462
665828,0.01639,2,122
571970,0.01546,6,388
691594,0.00585,2,342
671221,0.00913,2,219
664023,0.00302,2,663
669289,0.00305,1,328
665862,0.0113,6,531
702616,0.00924,6,649
680728,0.00763,1,131
602104,0.00512,2,391
694671,0.00873,5,573
643289,0.00251,1,398
527038,0.01512,7,463
543309,0.00612,2,327
641584,0.00461,1,217
665966,0.00224,1,446
690022,0.02415,5,207
643217,0.00638,3,470
645277,0.006,4,667
656941,0.01519,11,724
681460,0.00305,1,328
679529,0.01387,9,649
647351,0.02113,6,284
695657,0.00704,2,284
457705,0.00363,2,551
628451,0.02073,4,193
663837,0.03,3,100
657077,0.00939,2,213
668227,0.03808,27,709
662139,0.00369,1,271
668715,0.0088,5,568
572233,0.01719,11,640
624431,0.0,0,302
570482,0.0,0,197
650859,0.00555,3,541
660821,0.00402,2,497
605137,0.00938,5,533
669477,0.01437,5,348
571448,0.00688,3,436
668904,0.0,0,403
656555,0.01524,5,328
686894,0.03279,2,61
521692,0.01872,12,641
686797,0.00759,4,527
669394,0.0133,5,376
701358,0.0142,7,493
666176,0.01745,10,573
676609,0.00811,3,370
663609,0.0,0,41
663647,0.00877,5,570
672279,0.0,0,19
641343,0.00917,2,218
663757,0.00688,4,581
667472,0.00601,2,333
642201,0.00738,2,271
682668,0.01036,2,193
678246,0.01054,6,569
805373,0.02404,5,208
700932,0.01507,8,531
676914,0.00881,2,227
673490,0.01047,2,191
660162,0.02422,7,289
663457,0.01029,6,583
682927,0.0,0,88
671732,0.0,0,630
691781,0.0,0,274
805249,0.03211,7,218
668901,0.0108,5,463
663697,0.02293,13,567
678554,0.0303,8,264
686668,0.0,0,538
573262,0.00358,2,558
677587,0.02089,8,383
545361,0.01079,6,556
680737,0.00909,1,110
542303,0.00507,3,592
683090,0.01429,1,70
694377,0.0,0,72
683083,0.0,0,92
696285,0.00824,3,364
663604,0.00676,1,148
656305,0.01121,6,535
650968,0.0,0,168
687231,0.0,0,197
682663,0.01368,8,585
571466,0.06667,1,15
656484,0.0,0,86
663967,0.0625,1,16
663886,0.00585,2,342
596142,0.0495,5,101
677942,0.03759,10,266
649966,0.01818,6,330
686780,0.00771,3,389
687401,0.00593,3,506
543760,0.00936,5,534
672016,0.01887,3,159
663743,0.02893,7,242
578428,0.02041,7,343
606992,0.02597,2,77
608385,0.0,0,81
642133,0.00962,3,312
691785,0.0,0,136
683227,0.0,0,121
657557,0.00481,1,208
621493,0.00452,3,663
545341,0.00341,1,293
553993,0.02435,16,657
663993,0.00328,2,609
571657,0.01333,4,300
687637,0.0,0,137
666969,0.00914,5,547
669707,0.00532,2,376
807713,0.00458,2,437
650489,0.02423,11,454
691720,0.01282,2,156
677595,0.00543,1,184
666181,0.00395,1,253
620443,0.00707,2,283
663368,0.00585,1,171
624512,0.0,0,140
605361,0.0,0,111
669242,0.01592,6,377
642715,0.00729,5,686
687515,0.00758,1,132
695238,0.01342,2,149
692585,0.0,0,147
677649,0.01826,4,219
682657,0.0124,6,484
679032,0.0,0,172
688363,0.0,0,184
690987,0.00485,1,206
692225,0.01521,4,263
621438,0.02639,9,341
673357,0.00464,2,431
672275,0.00664,3,452
666915,0.0,0,21
669374,0.14286,3,21
680716,0.0,0,10
669234,0.00787,1,127
669397,0.00721,3,416
682641,0.0,0,184
668800,0.02273,2,88
668939,0.00274,1,365
660757,0.0,0,61
670097,0.01786,1,56
672356,0.01486,7,471
670764,0.0,0,317
656577,0.04,4,100
666397,0.00962,2,208
666139,0.0069,3,435
680574,0.00867,5,577
692216,0.01449,2,138
671655,0.0,0,48
669224,0.01116,5,448
666624,0.00656,2,305
467793,0.00633,3,474
457759,0.00524,1,191
666150,0.0,0,34
642136,0.01579,3,190
672744,0.0,0,234
645305,0.0,0,23
691723,0.01361,4,294
666149,0.00823,2,243
656537,0.02013,3,149
596103,0.0,0,160
656775,0.00803,4,498
687363,0.0216,10,463
596146,0.00844,4,474
656413,0.0,0,55
643376,0.01187,4,337
624585,0.0127,4,315
691023,0.00758,3,396
678009,0.0,0,213
605131,0.0,0,44
641857,0.00683,4,586
691777,0.01364,3,220
670224,0.00461,1,217
690924,0.01667,2,120
681351,0.00443,2,451
641680,0.00231,1,433
665019,0.01295,5,386
592192,0.024,3,125
696030,0.01136,2,176
668709,0.0,0,344
683011,0.00671,4,596
666134,0.01241,5,403
702284,0.00778,2,257
542932,0.01869,2,107
682729,0.00893,1,112
676801,0.00862,1,116
665926,0.02981,11,369
665561,0.00847,1,118
607680,0.0,0,43
665839,0.0,0,102
641598,0.01034,3,290
679845,0.01596,3,188
686611,0.01553,5,322
687952,0.0146,2,137
669087,0.0,0,58
669003,0.01282,1,78
682177,0.00711,3,422
642180,0.00787,1,127
669357,0.0,0,402
676044,0.01205,1,83
641313,0.03333,3,90
665750,0.0,0,180
687221,0.00645,1,155
455117,0.0,0,161
553869,0.00707,2,283
664983,0.00901,2,222
691185,0.01639,1,61
641943,0.02759,4,145
669326,0.02667,4,150
666185,0.0083,2,241
571771,0.0,0,256
641555,0.0102,1,98
670242,0.02041,8,392
670042,0.05936,13,219
606115,0.0,0,214
621028,0.0,0,116
694374,0.00444,1,225
664238,0.00412,1,243
669208,0.0,0,39
688760,0.01351,1,74
666464,0.0,0,56
804668,0.0,0,17
687957,0.0,0,43
641856,0.0,0,21
663796,0.0,0,10
678894,0.02273,2,88
572191,0.00308,1,325
681584,0.04,1,25
665833,0.00735,4,544
669221,0.02374,8,337
641933,0.01435,3,209
624424,0.01852,9,486
642215,0.008,1,125
666152,0.00515,1,194
695681,0.00543,1,184
671286,0.0,0,77
518595,0.01732,4,231
680474,0.01878,4,213
666211,0.0,0,135
656541,0.0,0,61
670231,0.00571,1,175
700242,0.0,0,326
681297,0.01667,6,360
680837,0.0,0,53
663662,0.0,0,42
685301,0.0,0,42
666310,0.00242,1,414
622569,0.0,0,34
678011,0.0137,1,73
683357,0.0,0,27
677008,0.02395,4,167
669717,0.01099,1,91
650559,0.0,0,50
663898,0.00781,1,128
702176,0.03922,6,153
690976,0.01031,1,97
694203,0.0,0,43
677347,0.02143,3,140
665923,0.0,0,23
657136,0.00532,1,188
687551,0.00917,1,109
669911,0.00297,1,337
543877,0.01869,4,214
669288,0.0,0,57
683748,0.0,0,38
668845,0.0,0,33
669398,0.0,0,17
668670,0.00704,1,142
645444,0.0049,1,204
656180,0.01748,5,286
680862,0.01802,2,111
676724,0.02128,1,47
621035,0.048,6,125
656582,0.0125,1,80
689172,0.0,0,63
664913,0.02632,2,76
543592,0.0,0,41
671213,0.01786,2,112
665953,0.0137,1,73
691783,0.01351,1,74
592669,0.0,0,108
665861,0.0,0,34
683021,0.0,0,25
592626,0.01634,5,306
663584,0.01282,1,78
668942,0.0,0,211
701675,0.04615,3,65
622761,0.0,0,83
691182,0.00781,1,128
680769,0.0,0,17
518792,0.0,0,95
623993,0.00452,1,221
670223,0.01493,2,134
676701,0.0,0,43
682988,0.02586,3,116
624415,0.01205,1,83
680869,0.0,0,101
682848,0.0,0,57
672569,0.04545,3,66
676812,0.0,0,30
700246,0.0,0,106
681807,0.01274,2,157
669450,0.01905,2,105
681146,0.008,1,125
664774,0.0124,3,242
680118,0.0,0,8
656248,0.0,0,73
682997,0.0,0,6
669722,0.0,0,47
680779,0.01767,5,283
686554,0.0,0,41
695670,0.125,1,8
672284,0.0,0,65
665155,0.0,0,63
694728,0.02128,1,47
669304,0.0,0,36
693409,0.0,0,6
682868,0.0,0,12
664954,0.11111,1,9
694212,0.02542,3,118
672724,0.00755,2,265
678877,0.0,0,153
595978,0.00556,1,180
678391,0.04545,3,66
657041,0.00704,1,142
676679,0.0,0,53
681508,0.02727,3,110
695506,0.01724,4,232
689200,0.01282,1,78
592178,0.0,0,41
677060,0.0,0,14
666163,0.01562,2,128
694362,0.09333,7,75
641645,0.0,0,21
664068,0.0,0,29
676439,0.0,0,105
669261,0.02247,4,178
670092,0.0,0,43
691373,0.0,0,9
641658,0.0,0,91
680911,0.05882,1,17
682515,0.11111,1,9
644433,0.0,0,22
678489,0.01299,1,77
687478,0.0,0,38
677592,0.0,0,73
676480,0.03226,1,31
669200,0.03846,1,26
607732,0.02326,3,129
671284,0.0,0,72
681546,0.01351,2,148
699625,0.02174,1,46
663897,0.02941,1,34
683770,0.02667,2,75
681962,0.00952,1,105
592696,0.0,0,8
666165,0.0,0,18
669392,0.0,0,9
689041,0.0,0,10
622268,0.0,0,9
694376,0.0,0,32
682183,0.0,0,18
668731,0.0,0,18
691728,0.02703,1,37
677956,0.0,0,44
600869,0.0,0,91
605204,0.0,0,9
679822,0.0,0,9
493329,0.0,0,40
663731,0.0,0,19
572138,0.0,0,9
805811,0.02703,1,37
680577,0.01136,1,88
690291,0.01818,1,55
676116,0.0,0,59
676070,0.0,0,73
668952,0.0,0,44
677943,0.0,0,10
694359,0.0,0,23
686823,0.07692,1,13
663536,0.0,0,23
605353,0.0,0,12
687529,0.0,0,26
669256,0.0,0,11
674441,0.13333,2,15
506702,0.0,0,12
669004,0.03077,2,65
668723,0.0,0,15
668974,0.02128,1,47
672359,0.0,0,16
677870,0.0,0,32
671083,0.03125,1,32
642350,0.0,0,36
678225,0.0,0,25
670032,0.0,0,28
677941,0.0,0,5
605113,0.0,0,10
642727,0.0,0,4
641302,0.0,0,1
656185,0.0,0,14
675915,0.5,1,2
672642,0.0,0,6
669134,0.0,0,27
691907,0.0,0,7
685744,0.0,0,4
681909,0.0,0,2
605244,0.0,0,4
675659,0.0,0,2
683004,0.0,0,1
829272,0.0,0,1
671976,0.0,0,12
607067,0.0,0,1
642020,0.0,0,2
669432,0.0,0,2
691011,0.0,0,3
667690,0.0,0,3
596117,0.0,0,1
679631,0.0,0,1
