batter,hbp_per_pa_raw,hbp,pa_ev
621550,0.0,0,44
677956,0.02632,1,38
600869,0.05,1,20
665561,0.02247,2,89
683766,0.05,1,20
700246,0.0,0,33
694876,0.0,0,24
672613,0.0,0,11
660644,0.0,0,13
686554,0.0,0,12
506702,0.0,0,44
686823,0.0,0,23
628451,0.0,0,26
675659,0.0,0,24
642020,0.0,0,26
467793,0.0,0,26
805249,0.03704,1,27
642851,0.0,0,57
671083,0.0,0,16
669221,0.0,0,14
673490,0.0,0,82
663967,0.04545,1,22
680718,0.0,0,28
677060,0.0,0,34
687394,0.0,0,1
665828,0.0,0,11
666185,0.0,0,4
669360,0.0,0,5
693459,0.0,0,19
668974,0.0,0,1
695391,0.22222,2,9
675448,0.0,0,3
671155,0.0,0,6
687529,0.0,0,4
664238,0.0,0,15
703492,0.08333,1,12
502054,0.0,0,14
693409,0.0,0,17
691620,0.0,0,2
671286,0.0,0,11
672279,0.0,0,1
681190,0.0,0,1
673995,0.0,0,4
663897,0.0,0,1
