batter,sb_per_pa_raw,sb,pa_ev
810938,0.01695,5,295
691026,0.01676,9,537
646240,0.00137,1,729
671277,0.02662,14,526
657757,0.00367,2,545
682653,0.00685,1,146
681481,0.00216,1,464
673962,0.00783,4,511
681393,0.02374,8,337
666023,0.00288,1,347
669701,0.02131,12,563
663616,0.00705,4,567
592206,0.00679,4,589
672012,0.0,0,13
667452,0.0,0,13
666198,0.0,0,8
670156,0.03429,6,175
663624,0.0084,3,357
656896,0.00787,1,127
670276,0.0,0,8
676572,0.00778,4,514
676466,0.0625,1,16
677950,0.01493,7,469
608348,0.00475,2,421
663698,0.00301,1,332
678882,0.03407,20,587
671739,0.0312,20,641
666971,0.01832,10,546
694497,0.06364,14,220
660688,0.0,0,267
691718,0.0541,35,647
689414,0.00513,2,390
456781,0.0,0,179
677800,0.01439,6,417
663728,0.01986,14,705
606192,0.00916,5,546
640902,0.0,0,78
672640,0.02525,15,594
630105,0.00583,3,515
668804,0.00459,3,654
595777,0.02426,9,371
645302,0.05263,6,114
673548,0.00768,5,651
701305,0.00917,1,109
502054,0.01114,5,449
608671,0.04,2,50
571912,0.01852,1,54
660844,0.05405,6,111
686681,0.00722,2,277
672761,0.02089,8,383
621020,0.03101,20,645
680718,0.00797,4,502
677588,0.01775,3,169
643446,0.00649,3,462
665828,0.0,0,122
571970,0.01031,4,388
691594,0.01754,6,342
671221,0.02283,5,219
664023,0.00905,6,663
669289,0.0061,2,328
665862,0.05838,31,531
702616,0.02619,17,649
680728,0.0,0,131
602104,0.00767,3,391
694671,0.03839,22,573
643289,0.00754,3,398
527038,0.00216,1,463
543309,0.00917,3,327
641584,0.01843,4,217
665966,0.00224,1,446
690022,0.01449,3,207
643217,0.00213,1,470
645277,0.02099,14,667
656941,0.01381,10,724
681460,0.01524,5,328
679529,0.00308,2,649
647351,0.00704,2,284
695657,0.0,0,284
457705,0.00181,1,551
628451,0.02073,4,193
663837,0.02,2,100
657077,0.00469,1,213
668227,0.04372,31,709
662139,0.00738,2,271
668715,0.01232,7,568
572233,0.00312,2,640
624431,0.0,0,302
570482,0.0,0,197
650859,0.01848,10,541
660821,0.02616,13,497
605137,0.0,0,533
669477,0.0,0,348
571448,0.00688,3,436
668904,0.02978,12,403
656555,0.0061,2,328
686894,0.0,0,61
521692,0.0,0,641
686797,0.00569,3,527
669394,0.00266,1,376
701358,0.01623,8,493
666176,0.00873,5,573
676609,0.13243,49,370
663609,0.0,0,41
663647,0.02105,12,570
672279,0.0,0,19
641343,0.0367,8,218
663757,0.00516,3,581
667472,0.05405,18,333
642201,0.0369,10,271
682668,0.0829,16,193
678246,0.01054,6,569
805373,0.0,0,208
700932,0.00377,2,531
676914,0.01322,3,227
673490,0.03141,6,191
660162,0.0,0,289
663457,0.00686,4,583
682927,0.01136,1,88
671732,0.03492,22,630
691781,0.01825,5,274
805249,0.00917,2,218
668901,0.00216,1,463
663697,0.0,0,567
678554,0.01894,5,264
686668,0.03346,18,538
573262,0.01254,7,558
677587,0.02089,8,383
545361,0.0036,2,556
680737,0.03636,4,110
542303,0.0,0,592
683090,0.0,0,70
694377,0.01389,1,72
683083,0.09783,9,92
696285,0.04121,15,364
663604,0.06757,10,148
656305,0.01682,9,535
650968,0.0,0,168
687231,0.01523,3,197
682663,0.02735,16,585
571466,0.0,0,15
656484,0.0,0,86
663967,0.0,0,16
663886,0.0,0,342
596142,0.0,0,101
677942,0.01504,4,266
649966,0.00606,2,330
686780,0.0,0,389
687401,0.02767,14,506
543760,0.0206,11,534
672016,0.03774,6,159
663743,0.00413,1,242
578428,0.01458,5,343
606992,0.0,0,77
608385,0.01235,1,81
642133,0.00321,1,312
691785,0.0,0,136
683227,0.00826,1,121
657557,0.01923,4,208
621493,0.00603,4,663
545341,0.0,0,293
553993,0.00609,4,657
663993,0.00164,1,609
571657,0.0,0,300
687637,0.0146,2,137
666969,0.02377,13,547
669707,0.03457,13,376
807713,0.0389,17,437
650489,0.02203,10,454
691720,0.0,0,156
677595,0.02174,4,184
666181,0.00791,2,253
620443,0.00353,1,283
663368,0.04094,7,171
624512,0.0,0,140
605361,0.0,0,111
669242,0.00796,3,377
642715,0.01749,12,686
687515,0.01515,2,132
695238,0.00671,1,149
692585,0.0,0,147
677649,0.05023,11,219
682657,0.01653,8,484
679032,0.06977,12,172
688363,0.01087,2,184
690987,0.01942,4,206
692225,0.0076,2,263
621438,0.03519,12,341
673357,0.07657,33,431
672275,0.00221,1,452
666915,0.0,0,21
669374,0.0,0,21
680716,0.0,0,10
669234,0.0,0,127
669397,0.01923,8,416
682641,0.02174,4,184
668800,0.0,0,88
668939,0.0,0,365
660757,0.0,0,61
670097,0.0,0,56
672356,0.01699,8,471
670764,0.04416,14,317
656577,0.0,0,100
666397,0.0,0,208
666139,0.04138,18,435
680574,0.0312,18,577
692216,0.02899,4,138
671655,0.0,0,48
669224,0.01116,5,448
666624,0.02295,7,305
467793,0.01477,7,474
457759,0.01047,2,191
666150,0.02941,1,34
642136,0.00526,1,190
672744,0.01282,3,234
645305,0.0,0,23
691723,0.0102,3,294
666149,0.03704,9,243
656537,0.04698,7,149
596103,0.00625,1,160
656775,0.04418,22,498
687363,0.07343,34,463
596146,0.00633,3,474
656413,0.03636,2,55
643376,0.0,0,337
624585,0.0,0,315
691023,0.02525,10,396
678009,0.01878,4,213
605131,0.0,0,44
641857,0.00512,3,586
691777,0.00455,1,220
670224,0.03687,8,217
690924,0.00833,1,120
681351,0.00443,2,451
641680,0.00693,3,433
665019,0.01295,5,386
592192,0.0,0,125
696030,0.02841,5,176
668709,0.00291,1,344
683011,0.0302,18,596
666134,0.01985,8,403
702284,0.00389,1,257
542932,0.1028,11,107
682729,0.02679,3,112
676801,0.01724,2,116
665926,0.03252,12,369
665561,0.0,0,118
607680,0.06977,3,43
665839,0.0,0,102
641598,0.01034,3,290
679845,0.00532,1,188
686611,0.0528,17,322
687952,0.0,0,137
669087,0.0,0,58
669003,0.03846,3,78
682177,0.02133,9,422
642180,0.00787,1,127
669357,0.00249,1,402
676044,0.01205,1,83
641313,0.01111,1,90
665750,0.05,9,180
687221,0.0,0,155
455117,0.0,0,161
553869,0.0,0,283
664983,0.02703,6,222
691185,0.01639,1,61
641943,0.0,0,145
669326,0.04667,7,150
666185,0.01245,3,241
571771,0.0,0,256
641555,0.0102,1,98
670242,0.0102,4,392
670042,0.00913,2,219
606115,0.0,0,214
621028,0.00862,1,116
694374,0.03556,8,225
664238,0.05761,14,243
669208,0.05128,2,39
688760,0.0,0,74
666464,0.01786,1,56
804668,0.0,0,17
687957,0.02326,1,43
641856,0.0,0,21
663796,0.0,0,10
678894,0.04545,4,88
572191,0.02462,8,325
681584,0.0,0,25
665833,0.06985,38,544
669221,0.0,0,337
641933,0.01914,4,209
624424,0.00206,1,486
642215,0.016,2,125
666152,0.1134,22,194
695681,0.0163,3,184
671286,0.01299,1,77
518595,0.0,0,231
680474,0.03286,7,213
666211,0.02222,3,135
656541,0.03279,2,61
670231,0.04,7,175
700242,0.0092,3,326
681297,0.03889,14,360
680837,0.01887,1,53
663662,0.02381,1,42
685301,0.0,0,42
666310,0.00242,1,414
622569,0.02941,1,34
678011,0.0274,2,73
683357,0.0,0,27
677008,0.00599,1,167
669717,0.02198,2,91
650559,0.02,1,50
663898,0.0,0,128
702176,0.00654,1,153
690976,0.01031,1,97
694203,0.0,0,43
677347,0.05,7,140
665923,0.17391,4,23
657136,0.01064,2,188
687551,0.00917,1,109
669911,0.0089,3,337
543877,0.00467,1,214
669288,0.03509,2,57
683748,0.0,0,38
668845,0.0,0,33
669398,0.05882,1,17
668670,0.0,0,142
645444,0.0,0,204
656180,0.0035,1,286
680862,0.02703,3,111
676724,0.0,0,47
621035,0.016,2,125
656582,0.025,2,80
689172,0.01587,1,63
664913,0.01316,1,76
543592,0.0,0,41
671213,0.0,0,112
665953,0.0,0,73
691783,0.02703,2,74
592669,0.0,0,108
665861,0.02941,1,34
683021,0.0,0,25
592626,0.00654,2,306
663584,0.0,0,78
668942,0.01896,4,211
701675,0.01538,1,65
622761,0.18072,15,83
691182,0.00781,1,128
680769,0.0,0,17
518792,0.0,0,95
623993,0.0,0,221
670223,0.0,0,134
676701,0.0,0,43
682988,0.02586,3,116
624415,0.01205,1,83
680869,0.0099,1,101
682848,0.0,0,57
672569,0.06061,4,66
676812,0.0,0,30
700246,0.01887,2,106
681807,0.00637,1,157
669450,0.00952,1,105
681146,0.0,0,125
664774,0.00413,1,242
680118,0.375,3,8
656248,0.0137,1,73
682997,0.0,0,6
669722,0.0,0,47
680779,0.00707,2,283
686554,0.02439,1,41
695670,0.0,0,8
672284,0.0,0,65
665155,0.0,0,63
694728,0.02128,1,47
669304,0.0,0,36
693409,0.0,0,6
682868,0.0,0,12
664954,0.0,0,9
694212,0.0,0,118
672724,0.03396,9,265
678877,0.0,0,153
595978,0.00556,1,180
678391,0.0,0,66
657041,0.02817,4,142
676679,0.03774,2,53
681508,0.01818,2,110
695506,0.00431,1,232
689200,0.08974,7,78
592178,0.0,0,41
677060,0.0,0,14
666163,0.0,0,128
694362,0.01333,1,75
641645,0.0,0,21
664068,0.03448,1,29
676439,0.00952,1,105
669261,0.03933,7,178
670092,0.0,0,43
691373,0.0,0,9
641658,0.03297,3,91
680911,0.05882,1,17
682515,0.0,0,9
644433,0.0,0,22
678489,0.0,0,77
687478,0.0,0,38
677592,0.0274,2,73
676480,0.0,0,31
669200,0.07692,2,26
607732,0.0,0,129
671284,0.01389,1,72
681546,0.00676,1,148
699625,0.0,0,46
663897,0.14706,5,34
683770,0.0,0,75
681962,0.01905,2,105
592696,0.0,0,8
666165,0.0,0,18
669392,0.0,0,9
689041,0.0,0,10
622268,0.0,0,9
694376,0.0,0,32
682183,0.05556,1,18
668731,0.05556,1,18
691728,0.02703,1,37
677956,0.0,0,44
600869,0.0,0,91
605204,0.0,0,9
679822,0.0,0,9
493329,0.0,0,40
663731,0.0,0,19
572138,0.0,0,9
805811,0.0,0,37
680577,0.11364,10,88
690291,0.0,0,55
676116,0.01695,1,59
676070,0.0274,2,73
668952,0.04545,2,44
677943,0.0,0,10
694359,0.0,0,23
686823,0.0,0,13
663536,0.0,0,23
605353,0.0,0,12
687529,0.0,0,26
669256,0.0,0,11
674441,0.0,0,15
506702,0.0,0,12
669004,0.0,0,65
668723,0.0,0,15
668974,0.0,0,47
672359,0.0,0,16
677870,0.0,0,32
671083,0.0,0,32
642350,0.05556,2,36
678225,0.16,4,25
670032,0.0,0,28
677941,0.0,0,5
605113,0.1,1,10
642727,0.0,0,4
641302,0.0,0,1
656185,0.0,0,14
675915,0.0,0,2
672642,0.16667,1,6
669134,0.0,0,27
691907,0.0,0,7
685744,0.0,0,4
681909,0.5,1,2
605244,0.0,0,4
675659,0.5,1,2
683004,0.0,0,1
829272,0.0,0,1
671976,0.0,0,12
607067,0.0,0,1
642020,0.0,0,2
669432,0.0,0,2
691011,0.0,0,3
667690,0.0,0,3
596117,0.0,0,1
679631,0.0,0,1
