batter,sb_per_pa_raw,sb,pa_ev
642731,0.00525,2,381
676356,0.0442,16,362
680716,0.0,0,40
694377,0.04762,2,42
669707,0.01794,8,446
656716,0.04923,16,325
656413,0.05579,13,233
624431,0.00427,1,234
665953,0.00758,1,132
663630,0.06667,1,15
650907,0.0,0,49
668853,0.0,0,50
694388,0.01527,4,262
571657,0.0124,3,242
665839,0.00448,1,223
667452,0.02646,5,189
656555,0.0058,3,517
641313,0.0166,4,241
662139,0.01949,10,513
593871,0.00853,4,469
682641,0.0,0,156
605361,0.00613,1,163
543257,0.01224,3,245
682073,0.01724,1,58
680869,0.0457,25,547
676801,0.02996,8,267
681460,0.03306,4,121
518792,0.01938,5,258
682617,0.0,0,81
682622,0.03719,9,242
686676,0.01523,6,394
663550,0.01099,1,91
671289,0.02872,11,383
596103,0.01415,3,212
676113,0.0,0,75
542194,0.02041,3,147
624512,0.01899,3,158
666185,0.00755,2,265
669065,0.0,0,209
655316,0.04225,6,142
571745,0.0,0,423
666176,0.03326,15,451
596117,0.02674,5,187
621311,0.0,0,62
675961,0.01042,1,96
669369,0.0137,1,73
669004,0.00887,4,451
666150,0.0,0,241
677587,0.02262,10,442
643265,0.0,0,116
527038,0.0,0,242
660707,0.0,0,247
643376,0.0,0,324
641645,0.02139,4,187
593934,0.0,0,95
672012,0.05263,3,57
669200,0.01754,1,57
663527,0.0036,1,278
695336,0.0,0,52
518934,0.0,0,228
642136,0.01613,3,186
669234,0.00435,1,230
669357,0.01493,6,402
624428,0.0102,3,294
682868,0.0,0,108
621035,0.02033,5,246
687529,0.03846,5,130
641487,0.01109,5,451
666135,0.0,0,178
691023,0.00562,1,178
664238,0.07256,32,441
666310,0.01542,6,389
663662,0.02688,5,186
641511,0.0,0,19
668752,1.0,5,5
608671,0.05314,11,207
675659,0.0,0,6
702358,0.05213,11,211
679881,0.1,1,10
641856,0.0,0,28
665506,0.00546,1,183
678894,0.0,0,10
672724,0.0,0,11
665923,0.07692,5,65
676369,0.0087,2,230
666397,0.01993,6,301
641343,0.03757,13,346
680718,0.00889,2,225
664901,0.04255,6,141
595281,0.02135,6,281
624415,0.00893,2,224
668670,0.00297,1,337
686527,0.00532,1,188
666624,0.01309,8,611
663897,0.05769,3,52
669222,0.00375,1,267
592200,0.0,0,125
670156,0.01887,2,106
572191,0.04,12,300
669221,0.0,0,264
501303,0.0,0,28
621512,0.0,0,140
687231,0.00741,1,135
649966,0.0,0,109
676914,0.01322,6,454
687093,0.01754,2,114
671083,0.03846,1,26
641779,0.0,0,28
663757,0.00478,1,209
687952,0.0,0,123
696100,0.00446,1,224
702616,0.01923,4,208
677950,0.03883,4,103
678225,0.07407,6,81
672642,0.13333,6,45
679845,0.00585,1,171
687597,0.03804,7,184
694497,0.01235,2,162
664954,0.0,0,17
671221,0.0,0,19
656248,0.03704,4,108
666181,0.04124,16,388
642350,0.03125,14,448
596129,0.0,0,79
674441,0.02941,2,68
680911,0.0,0,27
595879,0.02768,8,289
670764,0.06349,16,252
622569,0.01562,1,64
694359,0.00943,1,106
669261,0.03249,9,277
594807,0.0,0,330
657061,0.05263,3,57
687363,0.03226,5,155
691176,0.07463,5,67
613564,0.0,0,30
571912,0.01299,2,154
668723,0.0,0,49
621466,0.00515,1,194
676070,0.01389,1,72
678489,0.05556,1,18
691011,0.0,0,53
669397,0.0,0,105
592696,0.02821,9,319
663609,0.02041,1,49
664314,0.01802,2,111
571466,0.01042,1,96
665782,0.0,0,31
641598,0.0,0,430
691182,0.02778,1,36
686482,0.0,0,37
700250,0.0,0,178
621550,0.02874,5,174
592273,0.00278,1,360
543063,0.0,0,80
693307,0.0,0,87
595284,0.0,0,6
668800,0.0,0,93
663604,0.16667,2,12
645305,0.02083,2,96
608336,0.01154,3,260
661531,0.0,0,71
682988,0.02041,1,49
665877,0.02532,2,79
694362,0.06897,2,29
543228,0.0,0,96
680577,0.0,0,14
553882,0.0,0,69
686894,0.03571,1,28
664874,0.0,0,43
595978,0.0137,2,146
678246,0.01266,3,237
645801,0.0,0,62
642197,0.0,0,48
669374,0.0,0,27
681546,0.01282,2,156
695391,0.0,0,123
680779,0.0,0,122
656883,0.0,0,15
666211,0.0,0,8
676701,0.0,0,67
543305,0.0,0,63
668731,0.0122,1,82
676116,0.0,0,111
622268,0.0,0,25
666915,0.03226,3,93
663905,0.0,0,32
671286,0.0,0,40
