Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid,Name
BAL,Orioles,7,7,25,25,0,0,,130.7,550,124,63,58,15,114,40,0,5,3.99388,1.25478,7.85004,2.7544,2.85,1.0329,0.207273,0.0727273,0.1345454528927803,,0.245545,0.289894,0.706294,3.91555,553.2799774169922,4.233205740900619,551.4999847412109,4.219586821869687,2.15119,1.6611,146.07000732421875,2.0,AL,Trevor Rogers,669432,22286,22286,Trevor Rogers
MIN,Twins,7,6,22,23,0,1,,111.7,475,110,53,49,15,116,28,0,2,3.94808,1.23545,9.34646,2.25604,4.14286,1.20859,0.244211,0.0589474,0.18526315689086914,,0.247191,0.302548,0.726496,3.60962,502.0799774169923,4.494896966287638,509.49998474121094,4.561324965633572,2.14456,1.62115,488.6400146484375,8.0,AL,Zebby Matthews,805673,31827,31827,Zebby Matthews
TBR,Rays,10,9,20,39,0,1,,138.7,584,137,65,60,14,104,39,1,5,3.8933,1.26893,6.74838,2.53064,2.66667,0.908435,0.178082,0.0667808,0.11130137741565704,,0.253704,0.291469,0.709719,3.89938,577.9799774169921,4.167123216539603,591.4999847412109,4.264599839623193,2.12238,1.89594,738.3400268554688,12.0,AL,Nick Martinez,607259,12730,12730,Nick Martinez
NYY,Yankees,9,8,25,27,0,0,,128.3,546,114,62,57,16,132,46,0,6,3.99844,1.24708,9.25955,3.22681,2.86957,1.12237,0.241758,0.0842491,0.15750915557146072,,0.230769,0.283237,0.712209,3.91456,564.2200225830078,4.397661801733507,541.5000152587891,4.220576791727287,2.09787,1.61467,116.62999725341797,9.0,AL,Cam Schlittler,693645,32095,32095,Cam Schlittler
SDP,Padres,9,8,26,28,0,0,,155.0,632,132,74,68,25,166,46,1,4,3.94839,1.14839,9.63871,2.67097,3.6087,1.45161,0.262658,0.0727848,0.18987342715263367,,0.226804,0.273657,0.727273,4.05772,678.3,4.376129032258064,632.0,4.077419354838709,2.09405,2.03331,96.01000213623047,29.0,NL,Nick Pivetta,601713,15454,15454,Nick Pivetta
CIN,Reds,7,8,25,26,0,0,,133.7,567,122,69,64,18,137,36,1,18,4.30815,1.18175,9.22214,2.42334,3.80556,1.21167,0.241623,0.0634921,0.17813051491975784,,0.237817,0.290503,0.670181,4.04763,562.7799774169923,4.209274422308739,546.4999847412109,4.0875093284614765,2.08092,1.82075,127.94999694824219,18.0,NL,Nick Lodolo,666157,26378,26378,Nick Lodolo
NYY,Yankees,10,8,24,24,0,0,,129.3,543,113,63,58,16,131,47,0,5,4.03712,1.23743,9.11833,3.27146,2.78723,1.11369,0.241252,0.0865562,0.15469613671302795,,0.230143,0.281977,0.704942,3.924,572.2200225830079,4.425522111967411,544.5000152587891,4.21113690957014,2.08033,1.59348,202.3000030517578,9.0,AL,Carlos Rodón,607074,16137,16137,Carlos Rodón
CLE,Guardians,9,7,28,28,0,0,,149.7,629,127,65,60,18,154,60,0,6,3.60721,1.24917,9.25852,3.60721,2.56667,1.08216,0.244833,0.0953895,0.14944355934858322,,0.225577,0.278772,0.754017,3.96346,666.1799774169924,4.450100140264665,624.4999847412109,4.171676669820694,2.07303,2.69057,144.74000549316406,5.0,AL,Gavin Williams,668909,30122,30122,Gavin Williams
MIL,Brewers,7,5,20,20,0,0,,97.7,400,84,43,40,13,105,26,0,4,3.68475,1.1259,9.67247,2.39509,4.03846,1.19754,0.2625,0.065,0.19749999046325684,,0.227027,0.281746,0.729847,3.63667,464.6799774169923,4.756192343211254,439.49998474121094,4.498464672153896,2.06367,1.83364,143.82000732421875,23.0,NL,Brandon Woodruff,605540,16162,16162,Brandon Woodruff
ATH,Athletics,9,9,25,27,0,0,,141.3,596,137,71,66,20,122,46,0,2,4.20382,1.29512,7.7707,2.92994,2.65217,1.27389,0.204698,0.0771812,0.12751677632331848,,0.25,0.288177,0.722581,4.26748,543.4200225830077,3.845859949372785,546.5000152587891,3.8676574908395973,2.02161,1.7783,722.25,10.0,AL,Jeffrey Springs,605488,17677,17677,Jeffrey Springs
CHC,Cubs,9,8,25,25,0,0,,138.0,577,129,66,61,18,124,39,0,6,3.97826,1.21739,8.08696,2.54348,3.17949,1.17391,0.214905,0.067591,0.147313691675663,,0.242481,0.284615,0.714286,4.01195,577.4000000000001,4.184057971014494,569.0,4.1231884057971016,2.01492,1.95971,212.75999450683594,17.0,NL,Matthew Boyd,571510,15440,15440,Matthew Boyd
LAD,Dodgers,5,4,20,21,0,0,,105.3,428,84,48,44,14,124,38,0,1,3.76068,1.15859,10.5983,3.24786,3.26316,1.19658,0.28972,0.088785,0.20093456655740738,,0.215938,0.278884,0.722656,3.61947,519.6200225830079,4.934662939445505,475.50001525878906,4.515669529706166,1.99596,1.80198,113.73999786376953,22.0,NL,Tyler Glasnow,607192,14374,14374,Tyler Glasnow
PIT,Pirates,7,8,26,28,0,1,,129.0,553,115,61,56,14,125,50,0,10,3.90698,1.27907,8.72093,3.48837,2.5,0.976744,0.22604,0.0904159,0.13562387228012085,,0.233266,0.285311,0.715268,4.00335,557.3999999999999,4.320930232558139,537.0,4.162790697674419,1.98793,2.12009,150.00999450683594,27.0,NL,Bubba Chandler,696149,29868,29868,Bubba Chandler
DET,Tigers,8,8,24,26,0,11,,132.3,563,118,66,61,19,149,48,1,7,4.14966,1.25472,10.1361,3.26531,3.10417,1.29252,0.264654,0.0852576,0.1793961003422737,,0.232283,0.291176,0.71736,3.99681,615.5200225830079,4.652456601548277,591.5000152587891,4.4708994831042075,1.93453,1.54263,999.0,6.0,AL,Drew Anderson,623454,15130,15130,Drew Anderson
