season,pid,name,M,y,x_month,level,prior,prior_pa,pa_m,pa_next
1985,111349,Phil Bradley,8,0.84375,0.5703125,0.6170212765957447,0.5013404825737265,373,128,128
1985,119545,Dale Murphy,5,0.5348837209302325,0.5420560747663551,0.8624338624338624,0.7120115774240231,691,107,129
1985,119545,Dale Murphy,6,0.9834710743801653,0.5348837209302325,0.7295597484276729,0.7120115774240231,691,129,121
1985,119545,Dale Murphy,7,0.624,0.9834710743801653,0.7995444191343963,0.7120115774240231,691,121,125
1985,119545,Dale Murphy,8,0.6587301587301587,0.624,0.7606382978723404,0.7120115774240231,691,125,126
1985,121651,Juan Samuel,5,0.592,0.47413793103448276,0.46,0.5739484396200815,737,116,125
1985,121651,Juan Samuel,6,0.6788990825688074,0.592,0.5107692307692308,0.5739484396200815,737,125,109
1985,121651,Juan Samuel,7,0.765625,0.6788990825688074,0.5529953917050692,0.5739484396200815,737,109,128
1985,121651,Juan Samuel,8,0.38392857142857145,0.765625,0.6014234875444839,0.5739484396200815,737,128,112
1985,212297,Julio Franco,5,0.4095238095238095,0.4336283185840708,0.6122448979591837,0.5431754874651811,718,113,105
1985,212297,Julio Franco,6,0.5669291338582677,0.4095238095238095,0.5415282392026578,0.5431754874651811,718,105,127
1985,212297,Julio Franco,7,0.7741935483870968,0.5669291338582677,0.5490654205607477,0.5431754874651811,718,127,124
1985,212297,Julio Franco,8,0.6589147286821705,0.7741935483870968,0.5996376811594203,0.5431754874651811,718,124,129
1985,124154,Lou Whitaker,5,0.8095238095238095,0.7310924369747899,0.7395833333333334,0.6009538950715422,629,119,126
1985,124154,Lou Whitaker,6,0.734375,0.8095238095238095,0.7672955974842768,0.6009538950715422,629,126,128
1985,124154,Lou Whitaker,7,0.6721311475409836,0.734375,0.757847533632287,0.6009538950715422,629,128,122
1985,124154,Lou Whitaker,8,0.49523809523809526,0.6721311475409836,0.7394366197183099,0.6009538950715422,629,122,105
1985,114641,Steve Garvey,5,0.46923076923076923,0.7256637168141593,0.6735751295336787,0.5359877488514548,653,113,130
1985,114641,Steve Garvey,6,0.4956521739130435,0.46923076923076923,0.5913312693498453,0.5359877488514548,653,130,115
1985,114641,Steve Garvey,7,0.7079646017699115,0.4956521739130435,0.5662100456621004,0.5359877488514548,653,115,113
1985,114641,Steve Garvey,8,0.5,0.7079646017699115,0.5952813067150635,0.5359877488514548,653,113,122
1985,115839,Tom Herr,5,0.7807017543859649,0.7870370370370371,0.8290155440414507,0.5096463022508039,622,108,114
1985,115839,Tom Herr,6,0.543859649122807,0.7807017543859649,0.8110749185667753,0.5096463022508039,622,114,114
1985,115839,Tom Herr,7,0.7560975609756098,0.543859649122807,0.7387173396674585,0.5096463022508039,622,114,123
1985,115839,Tom Herr,8,0.7984496124031008,0.7560975609756098,0.7426470588235294,0.5096463022508039,622,123,129
1985,120225,Dave Parker,5,0.8305084745762712,1.043103448275862,0.7897435897435897,0.5801526717557252,655,116,118
1985,120225,Dave Parker,6,0.6513761467889908,0.8305084745762712,0.805111821086262,0.5801526717557252,655,118,109
1985,120225,Dave Parker,7,0.5327868852459017,0.6513761467889908,0.7654028436018957,0.5801526717557252,655,109,122
1985,120225,Dave Parker,8,1.0080645161290323,0.5327868852459017,0.7132352941176471,0.5801526717557252,655,122,124
