age,mean_delta,n,cum_curve,era
32,-0.012977155739794343,156.0,-0.057257075107199504,2010s
33,-0.03011383646170581,126.0,-0.07023423084699384,2010s
34,-0.014079870530191559,88.0,-0.10034806730869966,2010s
35,-0.07285142656631237,64.0,-0.11442793783889121,2010s
36,-0.03352071879153122,41.0,-0.1872793644052036,2010s
37,-0.02583284730891652,26.0,-0.22080008319673483,2010s
38,-0.048710525301850285,17.0,-0.24663293050565135,2010s
39,-0.05213622939050618,7.0,-0.29534345580750165,2010s
20,0.012206867389281733,3.0,0.0,2020s
21,0.015129714211777357,11.0,0.012206867389281733,2020s
22,0.018775871287465377,29.0,0.02733658160105909,2020s
23,-5.998377841122138e-05,50.0,0.04611245288852447,2020s
24,0.003975767697216955,87.0,0.046052469110113244,2020s
25,0.001539834628642484,96.0,0.0500282368073302,2020s
26,-0.012646697174698358,114.0,0.05156807143597268,2020s
27,-0.019997287067114622,121.0,0.03892137426127432,2020s
28,-0.018326968975654667,105.0,0.0189240871941597,2020s
29,-0.031751643420341966,107.0,0.0005971182185050342,2020s
30,-0.025334704294416647,95.0,-0.03115452520183693,2020s
31,-0.017620273760036578,78.0,-0.05648922949625358,2020s
32,-0.054973695783400424,60.0,-0.07410950325629016,2020s
33,-0.048853655721587244,48.0,-0.1290831990396906,2020s
34,-0.012587951354468531,30.0,-0.17793685476127785,2020s
35,-0.07906681943452104,16.0,-0.19052480611574638,2020s
36,-0.0006938044396582344,7.0,-0.2695916255502674,2020s
37,-0.10261039469987548,5.0,-0.2702854299899256,2020s
38,-0.08348079103683222,6.0,-0.3728958246898011,2020s
39,0.06807315398539426,1.0,-0.4563766157266333,2020s
