name,nk,position,proTeam,pct_owned,eligibleSlots,trend,flags,n_pos_flags,xfp_per_pa,ros_fp,signal,repl_delta,primary_pos
Trevor Story,trevorstory,SS,Bos,17.72,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '-ev_p90']",3,0.4295828637260056,176.1,drop,-0.0955,SS
Caleb Durbin,calebdurbin,3B,Bos,30.01,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '-hard_hit_pct', '+bat_speed_mean']",4,0.4873828194648035,175.5,hold,-0.0206,3B
Moises Ballesteros,moisesballesteros,DH,ChC,9.84,"['DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",6,0.6428535410213583,174.9,add,0.1134,C
Adolis Garcia,adolisgarcia,RF,Phi,12.32,"['RF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+hard_hit_pct']",3,0.4401214490671658,173.0,hold,-0.0471,OF
Cole Young,coleyoung,2B,Sea,12.81,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",6,0.4074668796851011,169.5,drop,-0.1052,2B
Heliot Ramos,heliotramos,LF,SF,16.63,"['LF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+ev_mean', '+ev_p90', '+hard_hit_pct']",4,0.4549272515046242,169.2,hold,-0.0323,OF
Jake Bauers,jakebauers,1B,Mil,20.12,"['1B', '1B/3B', 'IF', 'LF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",6,0.4631438848660801,168.1,drop,-0.1026,1B
J.P. Crawford,jpcrawford,SS,Sea,7.78,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-bat_speed_mean']",2,0.4957755210026655,168.1,hold,-0.0293,SS
Carter Jensen,carterjensen,C,KC,18.99,"['C', 'DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct', '+bat_speed_mean']",5,0.4941629584117883,167.5,hold,-0.0353,C
Teoscar Hernandez,teoscarhernandez,RF,LAD,62.89,"['RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",5,0.4628358011444876,166.6,hold,-0.0244,OF
Jesus Sanchez,jesussanchez,RF,Tor,2.5,"['LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '+whiff_per_swing', '-ev_mean', '+barrel_pct', '+bat_speed_mean']",3,0.4895020000709767,164.5,hold,0.0022,OF
Masyn Winn,masynwinn,SS,StL,7.86,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+bat_speed_mean']",2,0.4342772603885355,160.2,drop,-0.0908,SS
Jeremiah Jackson,jeremiahjackson,RF,Bal,22.26,"['3B', '1B/3B', 'IF', 'RF', 'OF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '-ev_p90', '+hard_hit_pct', '-bat_speed_mean']",4,0.4829744346636499,159.9,hold,-0.0297,2B
Carlos Cortes,carloscortes,RF,Oak,18.24,"['RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+barrel_pct', '-bat_speed_mean']",5,0.631320297825358,156.6,add,0.144,OF
Casey Schmitt,caseyschmitt,2B,SF,21.21,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'DH', '1B']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",6,0.4847725771716854,156.1,drop,-0.0809,1B
Nick Gonzales,nickgonzales,2B,Pit,4.23,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '3B', '1B/3B']",slight_up,"['+hard_hit_pct', '+bat_speed_mean']",2,0.413448608234284,153.8,drop,-0.0946,3B
Luis Rengifo,luisrengifo,3B,Mil,0.7,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",6,0.4769134827748633,152.1,hold,-0.0311,3B
Cedric Mullins,cedricmullins,CF,TB,1.82,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+bat_speed_mean']",2,0.4482753097727338,149.3,hold,-0.039,OF
Justin Crawford,justincrawford,CF,Phi,4.88,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+ev_p90', '+hard_hit_pct']",3,0.471023414391563,148.8,hold,-0.0162,OF
Isaac Collins,isaaccollins,LF,KC,1.18,"['LF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",3,0.4659143438208721,145.8,hold,-0.0214,OF
Nolan Gorman,nolangorman,3B,StL,4.69,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",4,0.3748236264065062,140.6,drop,-0.1332,3B
Andrew Benintendi,andrewbenintendi,LF,ChW,2.25,"['LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",5,0.4324052665872946,139.2,hold,-0.0549,OF
Nathan Church,nathanchurch,CF,StL,3.44,"['CF', 'RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",6,0.4510130192532499,138.5,hold,-0.0363,OF
Yainer Diaz,yainerdiaz,C,Hou,48.49,"['C', 'DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",6,0.4421767273711086,138.4,drop,-0.0873,C
Colt Keith,coltkeith,DH,Det,8.47,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '-hard_hit_pct', '-bat_speed_mean']",3,0.4487125593253085,137.8,hold,-0.0593,3B
Nasim Nunez,nasimnunez,SS,Wsh,5.14,"['2B', 'SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '-ev_p90']",3,0.402429718168823,137.6,drop,-0.1103,2B
Luis Robert Jr.,luisrobertjr,CF,NYM,24.27,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,0.4655973155389948,134.6,hold,-0.0217,OF
Austin Martin,austinmartin,LF,Min,1.41,"['LF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",3,0.4743863168489308,132.8,hold,-0.0129,OF
Miguel Andujar,miguelandujar,3B,SD,2.24,"['3B', '1B/3B', 'IF', 'LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-hard_hit_pct', '+barrel_pct']",3,0.5370386832562501,131.6,hold,0.029,3B
Tyler Stephenson,tylerstephenson,C,Cin,1.6,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",3,0.4725255879855322,130.9,hold,-0.0569,C
Matt Wallner,mattwallner,RF,Min,1.09,"['RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",3,0.3733476999757512,128.8,drop,-0.1139,OF
Josh Smith,joshsmith,SS,Tex,2.2,"['1B', '3B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B']",IMPROVING,"['+whiff_per_swing', '+ev_mean', '+bat_speed_mean']",3,0.3790832736448544,122.1,drop,-0.1336,2B
Marcelo Mayer,marcelomayer,3B,Bos,2.89,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+bat_speed_mean']",4,0.4256826404921777,121.7,drop,-0.087,2B
Josh Lowe,joshlowe,RF,LAA,0.97,"['RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct', '+bat_speed_mean']",5,0.4211204504490559,119.2,hold,-0.0662,OF
Nick Fortes,nickfortes,C,TB,2.56,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",4,0.4529948030209413,119.1,drop,-0.0765,C
Rhys Hoskins,rhyshoskins,1B,Cle,2.02,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_p90', '+hard_hit_pct']",2,0.4105687181382715,115.0,drop,-0.1551,1B
Kody Clemens,kodyclemens,1B,Min,0.54,"['1B', '2B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",5,0.4324931328338245,115.0,drop,-0.1332,1B
Edouard Julien,edouardjulien,1B,Col,0.87,"['1B', '2B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '-barrel_pct', '-bat_speed_mean']",3,0.380723689290253,113.5,drop,-0.132,2B
Willi Castro,willicastro,RF,Col,6.11,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",6,0.3847549897850413,112.3,drop,-0.1279,2B
Ben Williamson,benwilliamson,3B,TB,0.55,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",slight_up,"['-k_pct', '+whiff_per_swing', '+bat_speed_mean']",2,0.3894983009643155,111.4,drop,-0.1232,2B
Leody Taveras,leodytaveras,CF,Bal,1.66,"['CF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '-whiff_per_swing', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",3,0.4234233788690545,107.5,hold,-0.0638,OF
Joey Ortiz,joeyortiz,SS,Mil,0.88,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing']",2,0.4220188015944666,103.4,drop,-0.1031,SS
Matt Vierling,mattvierling,CF,Det,0.31,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+ev_p90', '-barrel_pct']",2,0.4449998537668088,102.3,hold,-0.0423,OF
Oswald Peraza,oswaldperaza,3B,LAA,2.71,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",IMPROVING,"['+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",5,0.3384652873282334,101.9,drop,-0.1742,2B
Coby Mayo,cobymayo,1B,Bal,1.15,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '3B']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",3,0.3679320983456091,101.9,drop,-0.1401,3B
Brice Matthews,bricematthews,2B,Hou,2.16,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', 'OF', 'LF', 'CF']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",4,0.4335620383176612,99.7,hold,-0.0537,OF
Tyler Freeman,tylerfreeman,RF,Col,0.52,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '-ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",4,0.480157517840891,98.0,hold,-0.0071,OF
Ryan McMahon,ryanmcmahon,3B,NYY,1.81,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+ev_mean', '+ev_p90', '+barrel_pct', '+bat_speed_mean']",4,0.3812213292601891,96.8,drop,-0.1268,3B
Keibert Ruiz,keibertruiz,C,Wsh,1.01,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",4,0.4787977598574513,93.4,hold,-0.0507,C
Ezequiel Duran,ezequielduran,SS,Tex,10.8,"['1B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'OF', '2B', 'LF']",slight_up,"['+k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,0.4107728856175173,93.2,drop,-0.0765,OF
Lenyn Sosa,lenynsosa,2B,Tor,0.85,"['1B', '2B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",3,0.4047399589465638,91.9,drop,-0.1079,2B
Hyeseong Kim,hyeseongkim,2B,LAD,3.14,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', 'SS']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '-barrel_pct', '+bat_speed_mean']",4,0.4526607137497365,91.0,hold,-0.0724,SS
Victor Scott II,victorscottii,CF,StL,1.35,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '+ev_mean', '+ev_p90', '+bat_speed_mean']",3,0.3058969226529977,89.3,drop,-0.1814,OF
Ty France,tyfrance,1B,SD,0.42,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '-barrel_pct']",4,0.5360339959564834,88.4,hold,-0.0297,1B
Patrick Bailey,patrickbailey,C,Cle,0.93,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",3,0.3459776750688874,84.8,drop,-0.1835,C
Nathan Lukes,nathanlukes,RF,Tor,0.38,"['LF', 'CF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,0.5033801579731019,83.1,hold,0.0161,OF
Luis Campusano,luiscampusano,DH,SD,0.56,"['DH', 'UTIL', 'BE', 'IL', 'C']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",5,0.5162061775548655,82.1,hold,-0.0133,C
Miguel Rojas,miguelrojas,2B,LAD,1.01,"['2B', '3B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",4,0.4821277085593528,79.6,hold,-0.043,SS
Gabriel Moreno,gabrielmoreno,C,Ari,21.96,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",5,0.4961788797874704,78.9,hold,-0.0333,C
Christian Vazquez,christianvazquez,C,Hou,1.17,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",4,0.4400829448060598,77.9,drop,-0.0894,C
Miguel Amaya,miguelamaya,C,ChC,0.79,"['C', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+barrel_pct', '+bat_speed_mean']",4,0.4183160161326691,76.6,drop,-0.1111,C
Jonathan India,jonathanindia,2B,KC,6.96,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['-whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",3,0.4474440228162994,76.5,hold,-0.0652,2B
Vaughn Grissom,vaughngrissom,2B,LAA,0.77,"['2B', 'SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,0.4237631691414297,71.2,drop,-0.0889,2B
Tristan Gray,tristangray,2B,Min,0.39,"['2B', 'SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '3B', '1B/3B']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",6,0.3805596401182801,69.6,drop,-0.1275,3B
