player_name,category
Anthony Bender,FA-RP
Nathan Church,FA-H
Justin Sterner,FA-RP
Daniel Lynch IV,FA-RP
Jack Kochanowicz,FA-SP
Dylan Beavers,FA-H
Lane Thomas,FA-H
Graham Ashcraft,FA-RP
Jack Dreyer,FA-RP
Tim Herrin,FA-RP
Keaton Winn,FA-RP
Colin Holderman,FA-RP
Spencer Miles,FA-SP
Gus Varland,FA-RP
Connor Norby,FA-H
Sean Newcomb,FA-RP
Brent Headrick,FA-RP
Miguel Rojas,FA-H
Victor Scott II,FA-H
Isiah Kiner-Falefa,FA-H
Miles Mikolas,FA-SP
Masataka Yoshida,FA-H
Brady House,FA-H
Amed Rosario,FA-H
Tyler Mahle,FA-SP
Huascar Brazoban,FA-RP
Jonah Heim,FA-H
Luisangel Acuna,FA-H
Blake Dunn,FA-H
Jacob Webb,FA-RP
George Soriano,FA-RP
Joey Ortiz,FA-H
Jose Alvarado,FA-RP
Kyle Freeland,FA-SP
Miguel Amaya,FA-H
Michael Massey,FA-H
Tim Hill,FA-RP
Sam Bachman,FA-RP
Kyle Karros,FA-H
Calvin Faucher,FA-RP
Griffin Canning,FA-SP
Tyler Holton,FA-RP
Adrian Houser,FA-SP
Tyler Freeman,FA-H
Drew Anderson,FA-SP
Kyle Higashioka,FA-H
Ryne Stanek,FA-RP
Isaac Collins,FA-H
Michael Petersen,FA-RP
Heriberto Hernandez,FA-H
Yohendrick Pinango,FA-H
Ryan Feltner,FA-SP
Jake Irvin,FA-SP
Yennier Cano,FA-RP
Tobias Myers,FA-RP
Luis Rengifo,FA-H
Bryan Hudson,FA-RP
Taylor Rogers,FA-RP
Enyel De Los Santos,FA-RP
Ty Madden,FA-SP
Shawn Armstrong,FA-RP
Alex Freeland,FA-H
Caleb Thielbar,FA-RP
Jesse Scholtens,FA-SP
Henry Davis,FA-H
Blake Treinen,FA-RP
Anthony Banda,FA-RP
Jonny DeLuca,FA-H
Mason Montgomery,FA-RP
Yohan Ramirez,FA-RP
Tyler Wells,FA-SP
Mason Fluharty,FA-RP
Brice Matthews,FA-H
Ty France,FA-H
Wenceel Perez,FA-H
Richie Palacios,FA-H
Edmundo Sosa,FA-H
Tristan Gray,FA-H
Tyler Kinley,FA-RP
Andrew Morris,FA-SP
Anthony Nunez,FA-RP
Ryan Rolison,FA-RP
Ben Williamson,FA-H
Erik Miller,FA-RP
Edouard Julien,FA-H
Taylor Walls,FA-H
Steven Okert,FA-RP
Richard Lovelady,FA-RP
Yuki Matsui,FA-RP
Luis Torrens,FA-H
AJ Blubaugh,FA-RP
Matt Vierling,FA-H
Scott Barlow,FA-RP
Lake Bachar,FA-RP
Kyle Hurt,FA-RP
Ryan Yarbrough,FA-RP
Ryan Zeferjahn,FA-RP
Gordon Graceffo,FA-RP
Ryan Vilade,FA-H
Jose Siri,FA-H
Ryan Kreidler,FA-H
Mark Leiter Jr.,FA-RP
Bradgley Rodriguez,FA-RP
Edgardo Henriquez,FA-RP
Drew Gilbert,FA-H
Alex Call,FA-H
Eli White,FA-H
Hoby Milner,FA-RP
Brock Burke,FA-RP
Jaden Hill,FA-RP
Ryan Thompson,FA-RP
Isaac Mattson,FA-RP
John King,FA-RP
Nick Loftin,FA-H
John Schreiber,FA-RP
Randal Grichuk,FA-H
Myles Straw,FA-H
Greg Weissert,FA-RP
Jonathan Loaisiga,FA-RP
Dylan Dodd,FA-RP
Brant Hurter,FA-RP
Dane Myers,FA-H
Chase Silseth,FA-RP
Cole Winn,FA-RP
Evan Sisk,FA-RP
Tim Mayza,FA-RP
Juan Mejia,FA-RP
Matt Festa,FA-RP
Grant Anderson,FA-RP
Cooper Criswell,FA-SP
DL Hall,FA-RP
Pierce Johnson,FA-RP
Brent Suter,FA-RP
Wandy Peralta,FA-RP
PJ Poulin,FA-RP
Austin Warren,FA-RP
Jovani Moran,FA-RP
Connor Phillips,FA-RP
Jose Fermin,FA-H
Jimmy Herget,FA-RP
Luis Medina,FA-SP
Cal Quantrill,FA-SP
Paul Blackburn,FA-RP
Alejandro Osuna,FA-H
Jorbit Vivas,FA-H
Mitchell Parker,FA-SP
Tejay Antone,FA-RP
Jalen Beeks,FA-RP
Jake Bird,FA-RP
Casey Legumina,FA-RP
Kody Funderburk,FA-RP
