name,pos,source,team,own,inj,pa26,xw26,xc26,d_xw,d_xc,shrunk_gap,pow_axes,proc_axes,career_best,distinguish,score,tier,sub_tag,peak_xc,mlb_yrs
Kazuma Okamoto,3B,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,206,0.331,0.448,,,,,,,,,ROOKIE_DEBUT,,0.448,1
Ryan Jeffers,C,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,True,148,0.389,0.403,0.061,0.051,0.03,3.0,3.0,False,False,3.0,NARROW,,0.432,7
Konnor Griffin,SS,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,183,0.308,0.393,,,,,,,,,ROOKIE_DEBUT,,0.393,1
Mauricio Dubon,LF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,196,0.299,0.325,0.016,0.043,0.009,3.0,0.0,False,False,1.0,HOT_STREAK,[POWER-ONLY],0.334,8
Angel Martinez,CF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,179,0.315,0.364,0.055,0.065,0.03,3.0,2.0,True,False,4.0,SUSTAINABLE,,0.299,3
Dillon Dingler,C,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,186,0.389,0.464,0.036,0.027,0.02,2.0,2.0,True,False,3.0,NARROW,,0.438,3
Cal Raleigh,C,OTHER:Team Solomon,Team Solomon,100.0,True,181,0.289,0.374,-0.093,-0.096,-0.051,0.0,1.0,False,True,1.0,DECLINE,,0.47,6
Manny Machado,3B,OTHER:Team Solomon,Team Solomon,100.0,False,200,0.317,0.354,-0.041,-0.058,-0.023,0.0,1.0,False,False,0.0,DECLINE,,0.425,12
Brent Rooker,DH,OTHER:Team Solomon,Team Solomon,100.0,False,151,0.319,0.416,-0.036,-0.003,-0.018,1.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.513,7
Matt Olson,1B,OTHER:Team Solomon,Team Solomon,100.0,False,229,0.384,0.472,0.022,0.04,0.013,1.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.495,11
James Wood,LF,OTHER:Team Solomon,Team Solomon,100.0,False,247,0.436,0.582,0.069,0.081,0.043,2.0,2.0,True,True,5.0,SUSTAINABLE,,0.502,3
Seiya Suzuki,DH,OTHER:Team Solomon,Team Solomon,100.0,False,161,0.336,0.394,-0.02,-0.041,-0.01,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.442,5
Corey Seager,SS,OTHER:Team Solomon,Team Solomon,100.0,True,182,0.334,0.407,-0.075,-0.058,-0.041,0.0,0.0,False,True,1.0,DECLINE,,0.47,12
Bryce Harper,1B,OTHER:Team Solomon,Team Solomon,100.0,False,213,0.408,0.458,0.036,0.034,0.021,1.0,2.0,False,False,2.0,MIXED,,0.526,12
Mike Trout,DH,OTHER:Team Solomon,Team Solomon,100.0,False,231,0.438,0.5,0.068,0.015,0.042,2.0,3.0,False,True,4.0,SUSTAINABLE,,0.543,12
JJ Wetherholt,SS,OTHER:Team Solomon,Team Solomon,100.0,False,222,0.361,0.372,,,,,,,,,ROOKIE_DEBUT,,0.372,1
Jazz Chisholm Jr.,2B,OTHER:Team Solomon,Team Solomon,100.0,False,202,0.275,0.334,-0.073,-0.104,-0.042,0.0,0.0,False,True,1.0,DECLINE,,0.438,7
Austin Riley,3B,OTHER:Team Solomon,Team Solomon,100.0,False,216,0.314,0.393,-0.018,-0.048,-0.01,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.479,8
Jose Altuve,2B,OTHER:Team Solomon,Team Solomon,100.0,True,186,0.322,0.342,0.018,0.019,0.01,2.0,1.0,False,False,1.0,HOT_STREAK,,0.402,12
Jose Ramirez,3B,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,234,0.391,0.388,0.035,0.033,0.021,2.0,0.0,False,False,2.0,MIXED,[POWER-ONLY],0.401,12
Kyle Tucker,RF,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,211,0.338,0.357,-0.042,-0.031,-0.025,1.0,0.0,False,False,0.0,DECLINE,,0.443,9
Yordan Alvarez,DH,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,226,0.493,0.554,0.088,0.117,0.053,2.0,1.0,True,True,4.0,SUSTAINABLE,,0.544,8
Ben Rice,1B,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,193,0.414,0.509,0.021,0.06,0.012,1.0,0.0,True,False,1.0,HOT_STREAK,,0.449,3
Jackson Merrill,CF,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,196,0.311,0.379,-0.037,-0.042,-0.021,1.0,1.0,False,False,0.0,DECLINE,,0.437,3
Gleyber Torres,2B,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,True,144,0.346,0.329,-0.019,-0.051,-0.009,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.42,9
Alec Burleson,LF,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,209,0.394,0.439,0.047,0.063,0.027,3.0,0.0,True,False,3.0,NARROW,[POWER-ONLY],0.376,5
Yandy Diaz,DH,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,202,0.378,0.385,0.02,0.007,0.012,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.415,10
Andy Pages,CF,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,207,0.343,0.402,0.028,0.024,0.016,3.0,1.0,True,False,2.0,MIXED,,0.398,3
CJ Abrams,SS,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,220,0.376,0.416,0.065,0.065,0.039,3.0,0.0,True,True,4.0,SUSTAINABLE,[POWER-ONLY],0.37,5
Willson Contreras,1B,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,203,0.392,0.494,0.031,0.055,0.018,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY],0.45,11
Jonathan Aranda,1B,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,213,0.365,0.421,-0.02,-0.061,-0.012,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.482,5
Brayan Rocchio,SS,OTHER:Late Night Bettsing,Late Night Bettsing,100.0,False,192,0.333,0.314,0.036,-0.02,0.02,0.0,3.0,False,False,2.0,MIXED,[DISCIPLINE-ONLY],0.334,4
Ronald Acuna Jr.,RF,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,170,0.376,0.411,-0.026,-0.07,-0.014,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.53,9
Vinnie Pasquantino,1B,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,206,0.307,0.332,-0.03,-0.035,-0.017,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.385,5
Geraldo Perdomo,SS,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,198,0.334,0.303,-0.03,-0.043,-0.017,1.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.346,6
Maikel Garcia,3B,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,217,0.325,0.343,-0.011,-0.003,-0.007,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.381,5
Ernie Clement,3B,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,201,0.286,0.295,-0.008,-0.006,-0.005,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.301,6
Shea Langeliers,C,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,212,0.404,0.476,0.073,0.094,0.043,2.0,0.0,True,True,4.0,SUSTAINABLE,[POWER-ONLY],0.42,5
Byron Buxton,CF,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,199,0.338,0.422,-0.016,-0.036,-0.009,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.523,12
Otto Lopez,SS,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,214,0.335,0.377,0.004,0.023,0.002,3.0,0.0,True,False,2.0,MIXED,[POWER-ONLY],0.359,5
Xavier Edwards,2B,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,220,0.351,0.35,0.049,0.043,0.029,2.0,2.0,True,False,4.0,SUSTAINABLE,,0.315,4
Chase DeLauter,RF,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,199,0.353,0.349,,,,,,,,,ROOKIE_DEBUT,,0.349,1
Liam Hicks,C,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,183,0.334,0.332,0.016,0.024,0.009,3.0,2.0,True,False,3.0,NARROW,,0.308,2
Christian Walker,1B,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,211,0.334,0.38,0.019,-0.023,0.011,1.0,2.0,False,False,1.0,HOT_STREAK,,0.456,11
Mickey Moniak,RF,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,True,164,0.317,0.386,-0.022,-0.04,-0.011,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.463,7
Brandon Marsh,CF,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,180,0.326,0.399,-0.008,-0.015,-0.004,1.0,2.0,False,False,1.0,HOT_STREAK,,0.474,6
Jake Bauers,1B,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,168,0.371,0.425,0.012,-0.011,0.006,1.0,3.0,False,False,1.0,HOT_STREAK,,0.481,7
JJ Bleday,CF,OTHER:U Just Lost To Edwin Diaz,U Just Lost To Edwin Diaz,100.0,False,92,0.433,0.467,0.153,0.14,0.058,3.0,3.0,True,True,5.0,SUSTAINABLE,,0.356,5
Bobby Witt Jr.,SS,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,226,0.394,0.441,0.024,0.018,0.014,2.0,0.0,False,False,1.0,HOT_STREAK,[POWER-ONLY],0.457,5
Ketel Marte,2B,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,203,0.366,0.406,-0.029,-0.013,-0.017,1.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.45,12
Kyle Schwarber,DH,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,218,0.39,0.556,-0.015,0.043,-0.009,1.0,0.0,True,False,1.0,HOT_STREAK,,0.513,12
Alex Bregman,3B,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,228,0.334,0.348,-0.006,0.002,-0.003,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.363,11
Will Smith,C,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,161,0.366,0.408,-0.008,-0.012,-0.004,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.42,8
Ian Happ,LF,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,220,0.347,0.455,-0.012,0.042,-0.007,2.0,0.0,False,False,1.0,HOT_STREAK,[POWER-ONLY],0.461,10
Brandon Nimmo,LF,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,212,0.384,0.433,0.062,0.059,0.036,1.0,2.0,True,True,4.0,SUSTAINABLE,,0.4,11
Riley Greene,LF,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,216,0.385,0.487,0.049,0.029,0.029,2.0,3.0,True,False,4.0,SUSTAINABLE,,0.481,5
Daylen Lile,RF,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,228,0.332,0.372,-0.017,-0.016,-0.01,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.388,2
Sal Frelick,RF,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,179,0.291,0.271,-0.013,-0.033,-0.007,1.0,3.0,False,False,1.0,HOT_STREAK,,0.305,4
Brandon Lowe,2B,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,202,0.38,0.443,0.041,0.01,0.024,0.0,2.0,False,False,2.0,MIXED,[DISCIPLINE-ONLY],0.489,9
Dansby Swanson,SS,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,196,0.321,0.347,-0.027,-0.095,-0.015,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.45,11
Ildemaro Vargas,2B,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,181,0.332,0.348,0.037,0.034,0.02,1.0,2.0,True,False,3.0,NARROW,,0.298,10
Josh Jung,3B,OTHER:2015 Draft First Round,2015 Draft First Round,100.0,False,197,0.366,0.393,0.057,0.009,0.032,0.0,3.0,False,True,3.0,NARROW,[DISCIPLINE-ONLY],0.449,5
Shohei Ohtani,DH,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,219,0.414,0.48,-0.022,-0.072,-0.013,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.569,9
Julio Rodriguez,CF,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,227,0.332,0.393,-0.016,-0.02,-0.01,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.439,5
Cody Bellinger,LF,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,216,0.39,0.385,0.064,0.046,0.038,3.0,3.0,False,True,4.0,SUSTAINABLE,,0.484,10
Nico Hoerner,2B,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,232,0.347,0.315,0.024,-0.005,0.014,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.323,8
George Springer,DH,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,139,0.284,0.301,-0.127,-0.163,-0.061,0.0,0.0,False,True,1.0,DECLINE,,0.468,12
Christian Yelich,DH,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,84,0.302,0.366,-0.034,-0.042,-0.012,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.509,12
Ozzie Albies,2B,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,224,0.299,0.3,-0.002,-0.01,-0.001,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.385,10
Taylor Ward,LF,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,229,0.349,0.346,0.015,-0.061,0.009,0.0,3.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.423,9
Drake Baldwin,C,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,True,216,0.422,0.493,0.069,0.11,0.041,3.0,0.0,True,True,4.0,SUSTAINABLE,[POWER-ONLY],0.383,2
Kevin McGonigle,SS,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,220,0.376,0.377,,,,,,,,,ROOKIE_DEBUT,,0.377,1
Munetaka Murakami,3B,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,217,0.397,0.535,,,,,,,,,ROOKIE_DEBUT,,0.535,1
Sal Stewart,1B,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,219,0.393,0.439,-0.006,-0.09,-0.004,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.529,2
Jo Adell,CF,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,217,0.328,0.406,-0.039,-0.069,-0.023,0.0,2.0,False,False,1.0,DECLINE,[DISCIPLINE-ONLY],0.474,7
Josh Naylor,1B,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,210,0.342,0.369,0.002,0.011,0.001,1.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.381,8
Miguel Vargas,3B,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,212,0.406,0.421,0.085,0.081,0.05,3.0,3.0,True,True,5.0,SUSTAINABLE,,0.34,5
Ivan Herrera,DH,OTHER:Frendy's Fantastic Team,Frendy's Fantastic Team,100.0,False,223,0.366,0.373,-0.009,-0.039,-0.006,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.432,5
Juan Soto,RF,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,155,0.437,0.465,-0.001,-0.026,-0.0,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.518,9
Fernando Tatis Jr.,RF,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,210,0.347,0.407,-0.029,-0.005,-0.017,1.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.545,7
Roman Anthony,RF,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,True,131,0.355,0.414,-0.018,-0.055,-0.008,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.469,2
Francisco Lindor,SS,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,True,105,0.339,0.368,-0.01,-0.011,-0.004,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.434,12
Nick Kurtz,1B,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,231,0.403,0.496,0.026,-0.01,0.016,2.0,2.0,False,False,2.0,MIXED,,0.507,2
Brice Turang,2B,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,210,0.398,0.447,0.058,0.052,0.034,2.0,3.0,True,True,5.0,SUSTAINABLE,,0.395,4
Adley Rutschman,C,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,140,0.348,0.387,0.022,0.048,0.011,2.0,0.0,False,False,1.0,HOT_STREAK,[POWER-ONLY],0.393,5
Randy Arozarena,LF,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,219,0.337,0.374,0.009,-0.021,0.005,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.397,8
Rafael Devers,DH,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,206,0.283,0.383,-0.091,-0.069,-0.053,0.0,0.0,False,True,1.0,DECLINE,,0.473,10
Luke Keaschall,2B,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,202,0.289,0.282,-0.039,-0.045,-0.022,1.0,1.0,False,False,0.0,DECLINE,,0.327,2
Oneil Cruz,CF,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,226,0.338,0.497,0.01,0.064,0.006,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY],0.469,6
Spencer Torkelson,1B,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,197,0.317,0.408,-0.021,0.0,-0.012,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.426,5
Wilyer Abreu,RF,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,212,0.358,0.407,0.015,-0.006,0.009,0.0,3.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.413,4
Carson Benge,CF,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,181,0.336,0.387,,,,,,,,,ROOKIE_DEBUT,,0.387,1
Agustin Ramirez,C,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,129,0.285,0.305,-0.049,-0.079,-0.022,0.0,1.0,False,False,0.0,DECLINE,,0.384,2
Nolan Arenado,3B,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,179,0.339,0.37,0.045,0.072,0.025,2.0,1.0,False,False,2.0,MIXED,,0.406,12
Jacob Wilson,SS,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,True,168,0.281,0.299,-0.026,-0.003,-0.014,1.0,0.0,True,False,1.0,HOT_STREAK,,0.302,3
Xander Bogaerts,SS,OTHER:Treasure Island Mashers,Treasure Island Mashers,100.0,False,196,0.325,0.357,-0.007,-0.002,-0.004,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.406,12
Jarren Duran,LF,FA,,77.0,False,199,0.307,0.368,-0.02,-0.021,-0.012,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.405,6
Hunter Goodman,C,FA,,75.6,False,194,0.3,0.421,-0.025,0.005,-0.014,1.0,0.0,True,False,1.0,HOT_STREAK,,0.416,4
Teoscar Hernandez,RF,FA,,66.4,False,187,0.334,0.42,0.008,0.01,0.005,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.478,11
Matt Chapman,3B,FA,,57.5,False,206,0.267,0.288,-0.076,-0.099,-0.044,0.0,0.0,False,True,1.0,DECLINE,,0.431,10
Eugenio Suarez,3B,FA,,55.2,False,100,0.281,0.347,-0.04,-0.073,-0.016,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.462,12
Casey Schmitt,2B,FA,,55.2,False,169,0.359,0.437,0.029,0.041,0.015,3.0,2.0,True,False,3.0,NARROW,,0.396,4
Willy Adames,SS,FA,,53.9,False,207,0.289,0.387,-0.043,-0.008,-0.025,0.0,1.0,False,False,0.0,DECLINE,,0.423,9
Chandler Simpson,CF,FA,,52.4,False,205,0.265,0.267,-0.037,-0.043,-0.022,0.0,1.0,False,False,0.0,DECLINE,,0.31,2
Brendan Donovan,2B,FA,,47.5,False,101,0.343,0.335,-0.006,-0.029,-0.003,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.374,5
Yainer Diaz,C,FA,,44.5,False,106,0.257,0.289,-0.072,-0.089,-0.03,0.0,2.0,False,False,1.0,DECLINE,[DISCIPLINE-ONLY],0.431,5
Marcus Semien,2B,FA,,43.2,False,204,0.301,0.348,-0.018,0.007,-0.01,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.385,12
Michael Busch,1B,FA,,42.2,False,220,0.354,0.382,-0.029,-0.082,-0.017,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.464,4
Bryson Stott,2B,FA,,40.2,False,169,0.299,0.335,-0.016,0.003,-0.008,1.0,0.0,True,False,1.0,HOT_STREAK,,0.34,5
Ceddanne Rafaela,CF,FA,,36.7,False,178,0.309,0.347,0.003,-0.008,0.002,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.359,4
Jakob Marsee,CF,FA,,35.8,False,215,0.293,0.306,-0.055,-0.093,-0.032,0.0,0.0,False,True,1.0,DECLINE,,0.399,2
Samuel Basallo,C,FA,,35.6,False,154,0.341,0.441,0.054,0.093,0.028,3.0,0.0,True,False,3.0,NARROW,[POWER-ONLY],0.441,2
Jose Caballero,RF,FA,,33.6,False,147,0.282,0.312,-0.022,-0.031,-0.011,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.343,4
