pitcher,n_qual_years,starts_pre,starts_playoff,fp_pre,fp_playoff,lift_std,career_rate_pre,career_rate_playoff,career_playoff_lift_pct,player_name
592791,8,158,58,1667.0999999999997,713.2999999999998,38.328319984897064,10.551265822784808,12.298275862068962,16.557350261345835,"Taillon, Jameson"
592826,4,76,22,728.3,115.69999999999999,52.360477307357634,9.582894736842105,5.259090909090909,-45.12001797461087,
592836,8,154,54,1504.7,422.29999999999995,73.18481823806145,9.770779220779222,7.8203703703703695,-19.961651024321338,"Walker, Taijuan"
592866,4,83,29,680.0999999999999,250.79999999999998,59.120087172722435,8.193975903614456,8.648275862068965,5.544316505179279,"Williams, Trevor"
593372,3,69,23,925.6999999999998,290.69999999999993,18.86365083816339,13.415942028985505,12.639130434782606,-5.7902128119261125,
593423,3,68,21,669.7999999999998,277.9,50.19473901705189,9.849999999999998,13.233333333333333,34.34856175972929,"Montas, Frankie"
593958,9,157,68,1632.1,756.4,37.647022074052344,10.395541401273885,11.123529411764705,7.0028869338311885,"Rodriguez, Eduardo"
594798,7,143,47,2500.3999999999996,764.1999999999999,53.449824842155834,17.485314685314684,16.259574468085106,-7.010112424565258,"deGrom, Jacob"
594835,5,95,33,845.0999999999999,325.69999999999993,18.17286418940458,8.895789473684209,9.869696969696967,10.947960255734477,
596001,5,70,30,680.8999999999999,256.19999999999993,51.26530005589854,9.727142857142855,8.539999999999997,-12.204435306212375,
596057,4,38,26,280.29999999999995,260.7,117.00151496344598,7.376315789473683,10.026923076923076,35.934026729602905,
596295,3,47,17,459.09999999999997,116.99999999999999,36.46945095588133,9.768085106382978,6.88235294117647,-29.54245518725896,"Gomber, Austin"
601713,7,143,51,1600.1,514.3,54.0126436103451,11.18951048951049,10.084313725490196,-9.87707876100881,"Pivetta, Nick"
605135,6,124,39,1415.7999999999997,360.20000000000005,49.66812844545616,11.41774193548387,9.235897435897437,-19.109246923909993,"Bassitt, Chris"
605164,5,97,35,941.8,278.9,37.95573350608355,9.709278350515463,7.968571428571428,-17.92828322664806,
605182,6,86,44,1033.5,581.3999999999999,31.822071528682677,12.017441860465116,13.213636363636361,9.953819765140503,"Clevinger, Mike"
605200,7,133,49,1007.8999999999999,380.49999999999994,47.980612631740826,7.5781954887218035,7.765306122448979,2.469065808682837,
605242,3,60,15,715.5,111.79999999999998,20.294789475671195,11.925,7.453333333333332,-37.498252969951096,
605288,5,71,36,543.1999999999999,337.0999999999999,48.698386612407376,7.650704225352111,9.363888888888887,22.392509409261983,"Houser, Adrian"
605397,5,92,37,1086.6,499.79999999999995,60.83916712505923,11.81086956521739,13.508108108108107,14.370140433089091,"Musgrove, Joe"
605400,9,181,72,2504.1,982.9,18.171807052567377,13.834806629834254,13.651388888888889,-1.32577018134704,"Nola, Aaron"
605452,3,29,12,351.5,95.89999999999998,15.461340460930247,12.120689655172415,7.9916666666666645,-34.065908013276456,
605483,9,151,60,1819.8999999999996,953.9999999999999,64.12774863788685,12.0523178807947,15.899999999999999,31.924831034672245,"Snell, Blake"
605488,3,42,20,436.9,223.29999999999995,54.252474785823914,10.402380952380952,11.164999999999997,7.331197070267777,"Springs, Jeffrey"
605538,3,35,18,269.4,139.99999999999997,36.09289865831248,7.697142857142857,7.777777777777776,1.0475954796667317,
605540,4,52,28,854.0999999999999,447.3999999999999,36.29461813653044,16.424999999999997,15.978571428571426,-2.7179821700369633,"Woodruff, Brandon"
607067,3,59,17,555.9,153.0,66.61760893943372,9.422033898305084,9.0,-4.479222881813272,"Rea, Colin"
607074,9,155,62,2032.2999999999997,698.1999999999999,46.006172188880214,13.111612903225804,11.261290322580644,-14.112089750528956,"Rodón, Carlos"
607192,4,35,27,552.3999999999999,338.69999999999993,15.458432107324231,15.78285714285714,12.544444444444443,-20.51854533751709,"Glasnow, Tyler"
607200,4,69,27,602.5999999999999,183.29999999999995,99.10658528281841,8.733333333333333,6.788888888888887,-22.264631043257012,"Fedde, Erick"
607231,3,29,18,261.59999999999997,102.49999999999997,38.136936262090174,9.020689655172413,5.694444444444443,-36.873513421678574,
607259,4,50,20,436.9999999999999,212.39999999999998,50.92439614727981,8.739999999999998,10.62,21.510297482837544,"Martinez, Nick"
607536,8,161,57,1171.3999999999996,481.0999999999999,41.70123384482614,7.275776397515526,8.44035087719298,16.0061884265042,"Freeland, Kyle"
607625,4,77,26,873.3,314.2,50.614922409199025,11.34155844155844,12.084615384615384,6.551629980005116,"Lugo, Seth"
608331,6,118,45,1484.7999999999997,695.5999999999999,28.88664498280462,12.583050847457624,15.457777777777777,22.84602490421458,"Fried, Max"
608337,6,136,45,1438.6999999999998,534.8,25.786539640802204,10.578676470588235,11.884444444444444,12.343396430419439,"Giolito, Lucas"
608344,3,54,20,596.3,99.09999999999997,31.01514427587241,11.042592592592591,4.954999999999998,-55.128291128626536,"Irvin, Cole"
608379,8,152,62,1682.1000000000001,570.5999999999999,72.77300419755262,11.066447368421054,9.203225806451611,-16.836673052693378,"Wacha, Michael"
608566,5,112,39,1058.1,334.2,93.76397953069173,9.447321428571428,8.569230769230769,-9.294599172682524,"Márquez, Germán"
612672,3,61,18,612.8,190.79999999999995,61.214859935605716,10.045901639344262,10.599999999999998,5.515665796344632,
615698,6,109,37,857.6999999999998,285.5,136.11826495996502,7.86880733944954,7.716216216216216,-1.9391899769654115,"Quantrill, Cal"
