owner,name,team,own,slots,per_game,rank,signal,etfr,src,vol,inj,ret,xfp_ros,xfp_po,buckets
FA,Masyn Winn,StL,6.6,SS|2B/SS|IF|UTIL|BE|IL,1.6,256.0,drop,82.0,id·vol,3.23,,,95.0,27.0,2B/SS|UTIL
MINE,Max Muncy,LAD,,3B|1B/3B|IF|UTIL|BE|IL,1.97,72.0,hold,95.0,id·vol,2.65,,,95.0,27.0,1B/3B|UTIL
FA,Bryce Eldridge,SF,12.1,DH|UTIL|BE|IL|1B|1B/3B|IF,1.85,116.0,hold,57.0,id·vol,2.8,,,95.0,27.0,1B/3B|UTIL
FA,Royce Lewis,Min,9.3,3B|1B/3B|IF|UTIL|BE|IL|1B,1.67,213.0,hold,61.0,id·vol,3.1,,,94.0,27.0,1B/3B|UTIL
FA,Jeremy Pena,Hou,55.7,SS|2B/SS|IF|UTIL|BE|IL,1.85,118.0,hold,56.0,name·vol,2.79,,,94.0,26.0,2B/SS|UTIL
FA,Jo Adell,LAA,34.8,CF|RF|OF|UTIL|BE|IL,1.58,272.0,hold,91.0,id·vol,3.27,,,94.0,27.0,OF|UTIL
FA,Sal Frelick,Mil,27.2,RF|OF|UTIL|BE|IL,1.86,111.0,hold,83.0,id·vol,2.74,,,93.0,26.0,OF|UTIL
FA,Heliot Ramos,SF,14.9,LF|OF|UTIL|BE|IL,1.69,203.0,hold,56.0,id·vol,3.0,,,92.0,26.0,OF|UTIL
FA,Salvador Perez,KC,61.0,C|1B|1B/3B|IF|DH|UTIL|BE|IL,1.62,243.0,hold,88.0,id·vol,3.09,,,91.0,26.0,1B/3B|C|UTIL
FA,Nick Gonzales,Pit,16.8,2B|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.47,343.0,drop,78.0,id·vol,3.33,,,90.0,25.0,1B/3B|2B/SS|UTIL
FA,Heriberto Hernandez,Mia,2.5,LF|OF|DH|UTIL|BE|IL,1.96,73.0,hold,63.0,name·vol,2.51,,,90.0,25.0,OF|UTIL
FA,Nathan Lukes,Tor,1.0,LF|CF|RF|OF|UTIL|BE|IL,1.67,210.0,hold,52.0,id·vol,2.94,,,90.0,25.0,OF|UTIL
FA,Brayan Rocchio,Cle,29.0,2B|SS|2B/SS|IF|UTIL|BE|IL,1.63,233.0,drop,84.0,id·vol,2.99,,,89.0,25.0,2B/SS|UTIL
FA,Cam Smith,Hou,7.2,RF|OF|UTIL|BE|IL,1.57,287.0,hold,82.0,id·vol,3.1,,,89.0,25.0,OF|UTIL
FA,Jurickson Profar,Atl,4.8,LF|OF|UTIL|BE|IL,1.97,,stash,,talent_prior·flat↓,,,,89.0,25.0,OF|UTIL
FA,Cedric Mullins,TB,2.6,CF|OF|UTIL|BE|IL,1.74,178.0,hold,80.0,id·vol,2.81,,,89.0,25.0,OF|UTIL
FA,Jose Caballero,NYY,33.1,2B|3B|SS|2B/SS|1B/3B|IF|RF|OF|UTIL|BE|IL,1.7,196.0,hold,73.0,name·vol,2.83,,,88.0,25.0,1B/3B|2B/SS|OF|UTIL
FA,Lourdes Gurriel Jr.,Ari,0.9,LF|OF|UTIL|BE|IL,1.71,191.0,hold,45.0,id·vol,2.82,,,88.0,25.0,OF|UTIL
FA,Isaac Collins,KC,0.6,LF|OF|UTIL|BE|IL,1.83,123.0,hold,83.0,id·vol,2.63,,,88.0,25.0,OF|UTIL
FA,Carter Jensen,KC,38.0,C|DH|UTIL|BE|IL,1.58,271.0,drop,78.0,id·vol,2.99,,,87.0,24.0,C|UTIL
FA,Dylan Crews,Wsh,6.8,RF|OF|UTIL|BE|IL|CF,1.56,296.0,hold,41.0,id·vol,3.01,,,86.0,24.0,OF|UTIL
FA,Cole Young,Sea,9.7,2B|2B/SS|IF|UTIL|BE|IL,1.58,283.0,drop,88.0,id·vol,3.0,,,86.0,24.0,2B/SS|UTIL
FA,Javier Sanoja,Mia,7.2,2B|3B|2B/SS|1B/3B|IF|LF|OF|UTIL|P|RP|BE|IL,2.05,46.0,add,71.0,id·vol,2.29,,,85.0,24.0,1B/3B|2B/SS|OF|UTIL
FA,Charlie Blackmon,Col,0.0,RF|OF|UTIL|BE|IL,1.86,,stash,,talent_prior·flat↓,,,,84.0,23.0,OF|UTIL
FA,Kerry Carpenter,Det,10.2,LF|RF|OF|DH|UTIL|BE|IL,1.79,147.0,hold,60.0,id·vol,2.53,,,83.0,23.0,OF|UTIL
FA,Yainer Diaz,Hou,40.9,C|DH|UTIL|BE|IL,1.69,202.0,hold,42.0,id·vol,2.68,,,83.0,23.0,C|UTIL
FA,Garrett Mitchell,Mil,8.2,CF|OF|UTIL|BE|IL,1.72,184.0,hold,76.0,id·vol,2.63,,,83.0,23.0,OF|UTIL
FA,Lars Nootbaar,StL,4.5,LF|RF|OF|UTIL|BE|IL,1.76,158.0,hold,30.0,id·vol,2.55,,,82.0,23.0,OF|UTIL
FA,Vinnie Pasquantino,KC,46.6,1B|1B/3B|IF|DH|UTIL|BE|IL,2.03,49.0,hold,87.0,id·vol,2.21,,,82.0,23.0,1B/3B|UTIL
FA,Austin Riley,Atl,64.3,3B|1B/3B|IF|UTIL|BE|IL,1.42,371.0,drop,78.0,id·vol,3.16,,,82.0,23.0,1B/3B|UTIL
FA,Kyle Manzardo,Cle,3.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.47,345.0,drop,65.0,id·vol,3.04,,,81.0,23.0,1B/3B|UTIL
FA,Joc Pederson,Tex,1.5,DH|UTIL|BE|IL,1.86,110.0,hold,79.0,id·vol,2.39,,,81.0,23.0,UTIL
FA,Jason Heyward,FA,0.0,LF|OF|UTIL|BE|IL,1.8,,stash,,talent_prior·flat↓,,,,81.0,23.0,OF|UTIL
FA,Lane Thomas,KC,1.7,CF|OF|UTIL|BE|IL|RF|LF,1.75,161.0,hold,67.0,id·vol,2.53,,,81.0,23.0,OF|UTIL
FA,Carlos Santana,FA,0.2,1B|1B/3B|IF|UTIL|BE|IL,1.77,,stash,,talent_prior·flat↓,,,,80.0,23.0,1B/3B|UTIL
FA,Braden Montgomery,ChW,6.5,CF|RF|OF|DH|UTIL|BE|IL,1.56,293.0,hold,25.0,id·vol,2.79,,,80.0,22.0,OF|UTIL
FA,Jared Young,NYM,0.3,DH|UTIL|BE|IL|1B|1B/3B|IF,1.98,64.0,hold,45.0,id·vol,2.22,,,80.0,23.0,1B/3B|UTIL
FA,Willi Castro,Col,14.4,2B|3B|2B/SS|1B/3B|IF|LF|RF|OF|UTIL|BE|IL|SS|1B,1.42,373.0,drop,68.0,id·vol,3.11,,,80.0,23.0,1B/3B|2B/SS|OF|UTIL
FA,Wilmer Flores,FA,0.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.78,,stash,,talent_prior·flat↓,,,,80.0,23.0,1B/3B|UTIL
FA,Henry Bolte,Oak,4.3,CF|RF|OF|UTIL|BE|IL,1.52,317.0,drop,44.0,id·vol,2.84,,,79.0,22.0,OF|UTIL
FA,Justin Turner,FA,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.76,,stash,,talent_prior·flat↓,,,,79.0,23.0,1B/3B|UTIL
FA,Colt Keith,Det,5.3,2B|3B|2B/SS|1B/3B|IF|DH|UTIL|BE|IL,1.74,172.0,hold,68.0,id·vol,2.46,,,78.0,22.0,1B/3B|2B/SS|UTIL
FA,Kyle Karros,Col,8.0,3B|1B/3B|IF|UTIL|BE|IL,1.6,255.0,hold,74.0,id·vol,2.65,,,78.0,22.0,1B/3B|UTIL
FA,Wander Franco,TB,0.2,SS|2B/SS|IF|UTIL|BE|IL,2.13,,stash,,talent_prior·flat↓,,OUT,2026-07-25,77.0,27.0,2B/SS|UTIL
FA,Andrew Benintendi,ChW,3.0,LF|OF|DH|UTIL|BE|IL,1.74,179.0,hold,72.0,id·vol,2.42,,,77.0,22.0,OF|UTIL
FA,Luis Matos,Mil,0.1,RF|OF|UTIL|BE|IL,1.72,,stash,,talent_prior·flat↓,,,,77.0,22.0,OF|UTIL
FA,Ezequiel Duran,Tex,22.9,1B|SS|2B/SS|1B/3B|IF|UTIL|BE|IL|OF|2B|LF|3B|RF,1.47,346.0,drop,68.0,id·vol,2.89,,,77.0,22.0,1B/3B|2B/SS|OF|UTIL
FA,Whit Merrifield,FA,0.0,2B|2B/SS|IF|UTIL|BE|IL,1.7,,stash,,talent_prior·flat↓,,,,77.0,22.0,2B/SS|UTIL
FA,Jorge Soler,LAA,6.6,RF|OF|DH|UTIL|BE|IL,1.51,322.0,hold,67.0,id·vol,2.79,,,77.0,22.0,OF|UTIL
FA,Mike Tauchman,NYM,0.0,RF|OF|UTIL|BE|IL,1.72,,stash,,talent_prior·flat↓,,,,77.0,22.0,OF|UTIL
FA,J.D. Martinez,FA,0.0,DH|UTIL|BE|IL,1.72,,stash,,talent_prior·flat↓,,,,77.0,22.0,UTIL
FA,Samuel Basallo,Bal,33.9,C|UTIL|BE|IL|DH,1.62,245.0,hold,70.0,id·vol,2.59,,,76.0,22.0,C|UTIL
FA,Troy Johnston,Col,8.2,1B|1B/3B|IF|LF|RF|OF|UTIL|BE|IL|DH,1.74,176.0,hold,78.0,id·vol,2.4,,,76.0,21.0,1B/3B|OF|UTIL
FA,Kevin Pillar,FA,0.0,CF|RF|OF|UTIL|BE|IL,1.68,,stash,,talent_prior·flat↓,,,,75.0,21.0,OF|UTIL
FA,Lawrence Butler,Oak,9.3,CF|RF|OF|UTIL|BE|IL,1.56,289.0,hold,62.0,id·vol,2.62,,,75.0,21.0,OF|UTIL
FA,Jose Iglesias,FA,0.0,2B|3B|SS|2B/SS|1B/3B|IF|UTIL|BE|IL,1.67,,stash,,talent_prior·flat↓,,,,75.0,21.0,1B/3B|2B/SS|UTIL
FA,Jesse Winker,FA,0.0,DH|UTIL|BE|IL,1.67,,stash,,talent_prior·flat↓,,,,75.0,21.0,UTIL
FA,Andrew Vaughn,Mil,4.4,1B|1B/3B|IF|UTIL|BE|IL,1.76,160.0,drop,43.0,id·vol,2.3,,,74.0,21.0,1B/3B|UTIL
FA,Juan Yepez,Tor,0.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.65,,stash,,talent_prior·flat↓,,,,74.0,21.0,1B/3B|UTIL
FA,Will Brennan,SF,0.0,RF|OF|UTIL|BE|IL,1.65,,stash,,talent_prior·flat↓,,,,74.0,21.0,OF|UTIL
FA,Denzer Guzman,LAA,0.8,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.56,299.0,hold,25.0,id·vol,2.59,,,74.0,21.0,1B/3B|2B/SS|UTIL
FA,Justin Crawford,Phi,3.4,LF|CF|OF|UTIL|BE|IL,1.69,201.0,hold,72.0,id·vol,2.4,,,74.0,21.0,OF|UTIL
FA,Francisco Alvarez,NYM,9.6,C|UTIL|BE|IL|DH,1.64,224.0,hold,55.0,id·vol,2.48,,,74.0,21.0,C|UTIL
FA,Tommy Pham,NYM,0.0,LF|OF|UTIL|BE|IL,1.63,,stash,,talent_prior·flat↓,,,,73.0,20.0,OF|UTIL
FA,Nick Loftin,KC,1.3,LF|OF|UTIL|BE|IL|2B|2B/SS|IF|3B|1B/3B,1.68,205.0,hold,50.0,id·vol,2.37,,,73.0,21.0,1B/3B|2B/SS|OF|UTIL
MINE,Dominic Canzone,Sea,,RF|OF|UTIL|BE|IL|DH,1.87,108.0,hold,69.0,id·vol,2.14,,,73.0,21.0,OF|UTIL
FA,Jared Triolo,Pit,0.5,1B|3B|SS|2B/SS|1B/3B|IF|UTIL|BE|IL,1.62,242.0,drop,48.0,id·vol,2.47,,,73.0,21.0,1B/3B|2B/SS|UTIL
FA,Ildemaro Vargas,Ari,30.9,1B|2B|2B/SS|1B/3B|IF|UTIL|BE|IL,1.84,119.0,hold,80.0,id·vol,2.19,,,73.0,21.0,1B/3B|2B/SS|UTIL
FA,Jose Miranda,SD,0.0,3B|1B/3B|IF|UTIL|BE|IL,1.63,,stash,,talent_prior·flat↓,,,,73.0,20.0,1B/3B|UTIL
FA,Jeimer Candelario,LAA,0.1,1B|3B|1B/3B|IF|UTIL|BE|IL,1.63,,stash,,talent_prior·flat↓,,,,73.0,20.0,1B/3B|UTIL
FA,Abraham Toro,KC,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,72.0,20.0,1B/3B|UTIL
FA,Kevin Newman,KC,0.0,3B|1B/3B|IF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,72.0,20.0,1B/3B|UTIL
FA,Jon Berti,FA,0.0,3B|1B/3B|IF|UTIL|BE|IL,1.59,,stash,,talent_prior·flat↓,,,,72.0,20.0,1B/3B|UTIL
FA,Daniel Vogelbach,FA,0.0,DH|UTIL|BE|IL,1.6,,stash,,talent_prior·flat↓,,,,72.0,20.0,UTIL
FA,Manuel Margot,Det,0.0,RF|OF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,72.0,20.0,OF|UTIL
FA,Ty France,SD,0.6,1B|1B/3B|IF|UTIL|BE|IL,1.61,248.0,drop,53.0,id·vol,2.46,,,72.0,20.0,1B/3B|UTIL
FA,Vaughn Grissom,LAA,0.9,2B|SS|2B/SS|IF|UTIL|BE|IL|1B|1B/3B|3B,1.64,226.0,hold,50.0,id·vol,2.42,,,72.0,20.0,1B/3B|2B/SS|UTIL
FA,Rowdy Tellez,Atl,0.1,1B|1B/3B|IF|UTIL|BE|IL,1.59,,stash,,talent_prior·flat↓,,,,72.0,20.0,1B/3B|UTIL
FA,Thairo Estrada,FA,0.0,2B|2B/SS|IF|UTIL|BE|IL,1.59,,stash,,talent_prior·flat↓,,,,72.0,20.0,2B/SS|UTIL
FA,Mark Canha,Tex,0.0,LF|RF|OF|UTIL|BE|IL,1.6,,stash,,talent_prior·flat↓,,,,72.0,20.0,OF|UTIL
FA,TJ Friedl,Cin,9.0,CF|OF|UTIL|BE|IL|LF,1.64,227.0,hold,51.0,id·vol,2.41,,,72.0,20.0,OF|UTIL
FA,Michael Massey,KC,0.6,2B|2B/SS|IF|UTIL|BE|IL,1.75,164.0,hold,62.0,id·vol,2.26,,,72.0,20.0,2B/SS|UTIL
FA,Miguel Andujar,SD,1.4,3B|1B/3B|IF|LF|OF|DH|UTIL|BE|IL,1.85,115.0,hold,65.0,id·vol,2.13,,,72.0,20.0,1B/3B|OF|UTIL
FA,Stuart Fairchild,Cle,0.0,RF|OF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,72.0,20.0,OF|UTIL
FA,Chas McCormick,ChC,0.0,LF|CF|RF|OF|UTIL|BE|IL,1.58,,stash,,talent_prior·flat↓,,,,71.0,20.0,OF|UTIL
FA,Nathan Church,StL,1.3,CF|RF|OF|UTIL|BE|IL|LF,1.61,247.0,hold,60.0,id·vol,2.42,,,71.0,20.0,OF|UTIL
FA,Cooper Pratt,Mil,2.5,SS|2B/SS|IF|UTIL|BE|IL,1.67,212.0,hold,20.0,id·vol,2.33,,,71.0,20.0,2B/SS|UTIL
FA,Tristan Peters,ChW,3.1,LF|CF|RF|OF|UTIL|BE|IL,1.79,148.0,hold,71.0,id·vol,2.17,,,71.0,20.0,OF|UTIL
FA,Kyle Teel,ChW,7.0,C|UTIL|BE|IL,1.56,297.0,hold,13.0,id·vol,2.51,,,71.0,20.0,C|UTIL
FA,Jeff McNeil,Oak,5.2,2B|2B/SS|IF|CF|OF|UTIL|BE|IL,1.79,143.0,hold,77.0,id·vol,2.18,,,71.0,20.0,2B/SS|OF|UTIL
FA,Enmanuel Valdez,Pit,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.58,,stash,,talent_prior·flat↓,,,,71.0,20.0,1B/3B|UTIL
FA,Nasim Nunez,Wsh,10.4,2B|SS|2B/SS|IF|UTIL|BE|IL,1.6,265.0,drop,71.0,name·vol,2.41,,,70.0,20.0,2B/SS|UTIL
FA,Eddie Rosario,FA,0.0,LF|OF|UTIL|BE|IL,1.56,,stash,,talent_prior·flat↓,,,,70.0,20.0,OF|UTIL
FA,Jacob Young,Wsh,1.2,CF|OF|UTIL|BE|IL,1.64,225.0,hold,70.0,id·vol,2.35,,,70.0,20.0,OF|UTIL
FA,Maikel Garcia,KC,68.3,3B|1B/3B|IF|UTIL|BE|IL,1.82,130.0,hold,78.0,id·vol,2.42,TEN_DAY_DL,2026-07-20,70.0,23.0,1B/3B|UTIL
FA,Gavin Lux,TB,0.5,LF|OF|DH|UTIL|BE|IL,1.56,,stash,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-07-11,70.0,20.0,OF|UTIL
FA,Dylan Moore,Phi,0.1,2B|SS|2B/SS|IF|RF|OF|UTIL|BE|IL,1.56,,stash,,talent_prior·flat↓,,,,70.0,20.0,2B/SS|OF|UTIL
FA,LaMonte Wade Jr.,Hou,0.1,1B|1B/3B|IF|RF|OF|UTIL|BE|IL,1.55,,stash,,talent_prior·flat↓,,,,70.0,20.0,1B/3B|OF|UTIL
FA,Joey Meneses,Oak,0.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.55,,stash,,talent_prior·flat↓,,,,70.0,20.0,1B/3B|UTIL
FA,Zach McKinstry,Det,3.0,3B|SS|2B/SS|1B/3B|IF|RF|OF|UTIL|BE|IL|2B,1.36,395.0,drop,49.0,id·vol,2.83,,,70.0,20.0,1B/3B|2B/SS|OF|UTIL
FA,Kyle Farmer,Atl,0.0,2B|2B/SS|IF|DH|UTIL|BE|IL,1.54,,stash,,talent_prior·flat↓,,,,69.0,20.0,2B/SS|UTIL
FA,Nick Senzel,LAD,0.0,3B|1B/3B|IF|LF|OF|UTIL|BE|IL,1.54,,stash,,talent_prior·flat↓,,,,69.0,20.0,1B/3B|OF|UTIL
FA,Eugenio Suarez,Cin,41.0,3B|1B/3B|IF|UTIL|BE|IL|DH,1.27,437.0,drop,48.0,name·vol,2.99,,,69.0,19.0,1B/3B|UTIL
FA,Victor Caratini,Min,3.1,C|DH|UTIL|BE|IL|1B|1B/3B|IF,1.58,277.0,drop,60.0,id·vol,2.39,,,69.0,19.0,1B/3B|C|UTIL
FA,Hunter Renfroe,FA,0.0,RF|OF|UTIL|BE|IL,1.54,,stash,,talent_prior·flat↓,,,,69.0,20.0,OF|UTIL
FA,J.T. Realmuto,Phi,13.7,C|UTIL|BE|IL,1.53,311.0,drop,56.0,id·vol,2.47,,,69.0,20.0,C|UTIL
FA,Spencer Horwitz,Pit,8.7,1B|1B/3B|IF|UTIL|BE|IL,2.17,29.0,hold,94.0,id·vol,2.13,TEN_DAY_DL,2026-07-24,69.0,24.0,1B/3B|UTIL
FA,Griffin Conine,Mia,0.2,LF|RF|OF|UTIL|BE|IL,1.8,136.0,hold,23.0,id·vol,2.1,,,69.0,19.0,OF|UTIL
FA,Anthony Rizzo,FA,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.53,,stash,,talent_prior·flat↓,,,,69.0,20.0,1B/3B|UTIL
FA,Blaze Alexander,Bal,7.0,3B|1B/3B|IF|UTIL|BE|IL|2B|2B/SS|OF|SS,1.63,236.0,hold,58.0,id·vol,2.33,,,69.0,19.0,1B/3B|2B/SS|OF|UTIL
FA,Yuli Gurriel,FA,0.0,DH|UTIL|BE|IL,1.5,,stash,,talent_prior·flat↓,,,,68.0,19.0,UTIL
FA,Travis Jankowski,FA,0.0,RF|OF|UTIL|BE|IL,1.52,,stash,,talent_prior·flat↓,,,,68.0,19.0,OF|UTIL
FA,Noelvi Marte,Cin,6.7,3B|1B/3B|IF|RF|OF|UTIL|BE|IL,1.6,258.0,hold,31.0,id·vol,2.33,,,68.0,19.0,1B/3B|OF|UTIL
FA,Oswaldo Cabrera,NYY,0.1,3B|1B/3B|IF|UTIL|BE|IL,1.52,,stash,,talent_prior·flat↓,,,,68.0,19.0,1B/3B|UTIL
FA,Christian Encarnacion-Strand,Bal,0.1,1B|3B|1B/3B|IF|UTIL|BE|IL,1.5,,stash,,talent_prior·flat↓,,,,68.0,19.0,1B/3B|UTIL
FA,Masataka Yoshida,Bos,0.7,DH|UTIL|BE|IL,1.83,125.0,hold,53.0,id·vol,2.02,,,68.0,19.0,UTIL
FA,Matt Vierling,Det,0.2,CF|OF|UTIL|BE|IL|RF,1.65,216.0,hold,62.0,id·vol,2.25,,,68.0,19.0,OF|UTIL
