pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-05-23,87.9,-1.43,5.65,"Jones, Jared",670276,683003,,ball,,,,,14,,R,L,R,TOL,IND,B,,,0,2,2026,0.45,-0.15,0.9689227058683336,0.3582418112228454,,,,2,4,Bot,,,,,,,4.813195254695587,-127.95638268771786,-6.1759548697181685,4.0310685903624135,25.909081280491744,-32.810411959570644,3.086605971,1.557726378,,,,88.8,2696,6.8,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.72,,,,,,,,35,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,72,0.002,0.037,,,,-0.037,,-3,-3,0.17,0.17,24,29,25,30,2,1,6.0,1,,2,3.1,-0.45,0.45,44.2,,,,,
CH,2026-05-23,93.2,-1.38,5.69,"Jones, Jared",670276,683003,,foul,,,,,9,,R,L,R,TOL,IND,S,,,0,1,2026,-1.07,0.59,0.4625756587088201,1.7569050333918097,,,,2,4,Bot,,,,,,,7.098442334065203,-135.53617645636672,-5.412951395976863,-14.806667445321064,30.889472296007284,-23.923033861426404,3.086605971,1.557726378,,,,93.5,1586,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.9,,,,,,,,35,2,Changeup,1,4,1,4,4,1,1,4,Strategic,Standard,229,-0.002,-0.073,,,,0.073,,-3,-3,0.172,0.172,24,29,25,30,2,1,6.0,1,,2,2.05,1.07,-1.07,44.7,,,,,
CU,2026-05-23,85.6,-1.21,5.68,"Jones, Jared",670276,683003,,called_strike,,,,,9,,R,L,R,TOL,IND,S,,,0,0,2026,0.27,-0.84,0.8235698914719899,1.5664408594899553,,,,2,4,Bot,,,,,,,4.203333135578157,-124.51624970571396,-1.3998884325147585,1.8636607652552208,27.483992569374053,-40.81933268535703,3.086605971,1.557726378,,,,85.7,2842,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.89,,,,,,,,35,1,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,40,-0.002,-0.06,,,,0.06,,-3,-3,0.174,0.174,24,29,25,30,2,1,6.0,1,,2,3.98,-0.27,0.27,50.2,,,,,
CH,2026-05-23,93.1,-1.19,5.76,"Jones, Jared",667452,683003,strikeout,swinging_strike_blocked,,,,,13,Corey Julks strikes out swinging.,R,R,R,TOL,IND,S,2.0,,0,2,2026,-1.29,0.13,-0.2745759578714926,1.1528769524527505,,,,1,4,Bot,,,,,,,5.21776302329455,-135.49857602059782,-6.138750346573889,-16.991378192525445,28.891495723574124,-29.466122150749214,3.152427822,1.590944882,,,,93.8,1682,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.88,,0.0,0.0,1.0,0.0,0.0,,34,3,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,234,-0.011,-0.189,,,,0.189,,-3,-3,0.185,0.185,24,30,25,30,2,1,6.0,2,,1,2.49,1.29,1.29,43.0,,,,,
SL,2026-05-23,87.7,-1.12,5.6,"Jones, Jared",667452,683003,,swinging_strike,,,,,14,,R,R,R,TOL,IND,S,,,0,1,2026,0.41,-0.02,0.9277724787000738,0.8159420361735341,,,,1,4,Bot,,,,,,,4.061313485232833,-127.61883797024636,-5.204196508932082,3.681065329767762,25.67711527821325,-31.50058755233692,3.152427822,1.590944882,,,,88.5,2705,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.77,,,,,,,,34,2,Slider,1,4,1,4,4,1,1,4,Standard,Standard,85,-0.003,-0.075,,,,0.075,,-3,-3,0.188,0.188,24,30,25,30,2,1,6.0,2,,1,2.97,-0.41,-0.41,50.0,,,,,
FF,2026-05-23,97.3,-0.9,5.56,"Jones, Jared",667452,683003,,called_strike,,,,,9,,R,R,R,TOL,IND,S,,,0,0,2026,-0.58,1.52,0.566636657837719,1.6803250114737556,,,,1,4,Bot,,,,,,,5.289207084668357,-141.33525501343604,-8.227446957167196,-8.943723122359684,33.30004372804384,-10.16148244183679,3.152427822,1.590944882,,,,98.2,2419,6.9,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.56,,,,,,,,34,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,216,-0.003,-0.063,,,,0.063,,-3,-3,0.191,0.191,24,30,25,30,2,1,6.0,2,,1,0.91,0.58,0.58,45.9,,,,,
CU,2026-05-23,84.8,-1.24,5.82,"Jones, Jared",680664,683003,home_run,hit_into_play,,,,,13,Eduardo Valencia homers (8) on a fly ball to left center field.,R,R,R,TOL,IND,X,,fly_ball,0,2,2026,0.25,-0.59,-0.1948502315210406,1.2248730791766071,,,,1,4,Bot,55.38,44.55,,,,,1.9148695645906528,-123.47675160146008,-3.003391610297573,2.160192354454152,23.92792469289244,-37.82044883242361,3.256865158,1.643651575,419.0,106.6,27.0,85.4,2810,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.93,0.954,1.931,2.0,1.0,0.0,3.0,6.0,33,4,Curveball,0,4,0,4,4,1,1,4,Standard,Standard,37,0.072,1.721,,,3.769,-1.721,106.6,-4,-4,0.119,0.119,24,26,25,26,2,1,6.0,1,,1,3.75,-0.25,-0.25,53.2,,,,,
FF,2026-05-23,98.3,-0.94,5.83,"Jones, Jared",680664,683003,,foul,,,,,5,,R,R,R,TOL,IND,S,,,0,2,2026,-0.57,1.4,0.1229871684188954,2.522799664982079,,,,1,4,Bot,,,,,,,4.212560956129311,-143.0204419184306,-6.591415723528328,-8.861714581349064,33.24192774613019,-11.634873945370073,3.256865158,1.643651575,264.0,81.5,30.0,98.6,2500,6.5,815606,676566,804668,665839,682997,673995,682927,695257,694377,54.0,,,,,,,,33,3,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,204,0.0,0.0,,,,0.0,88.0,-4,-4,0.119,0.119,24,26,25,26,2,1,6.0,1,,1,0.96,0.57,0.57,50.2,,,,,
SL,2026-05-23,88.5,-1.23,5.7,"Jones, Jared",680664,683003,,swinging_strike,,,,,14,,R,R,R,TOL,IND,S,,,0,1,2026,0.21,-0.31,0.3225598214257422,0.7957283801125441,,,,1,4,Bot,,,,,,,3.30710702769047,-128.77987150449547,-4.983829685293694,1.6644384756235342,27.517914300101467,-34.72844597008495,3.256865158,1.643651575,,,,88.9,2719,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.89,,,,,,,,33,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,88,-0.003,-0.075,,,,0.075,,-4,-4,0.122,0.122,24,26,25,26,2,1,6.0,1,,1,3.22,-0.21,-0.21,43.0,,,,,
CH,2026-05-23,93.2,-1.11,5.72,"Jones, Jared",680664,683003,,called_strike,,,,,6,,R,R,R,TOL,IND,S,,,0,0,2026,-1.23,0.36,0.4440753739382335,2.72962789574554,,,,1,4,Bot,,,,,,,6.72572978934236,-135.5568429556496,-2.504258195728948,-16.66592101434492,30.092261853140037,-27.417695691718404,3.256865158,1.643651575,,,,93.4,1695,6.5,815606,676566,804668,665839,682997,673995,682927,695257,694377,54.03,,,,,,,,33,1,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,227,-0.002,-0.063,,,,0.063,,-4,-4,0.124,0.124,24,26,25,26,2,1,6.0,1,,1,2.27,1.23,1.23,42.6,,,,,
