feature,level,target,n,cor,recommendation,min_milb_bf
era,AAA,mlb_fp_per_start,515,-0.099,DROP,50
gamesPitched,AAA,mlb_fp_per_start,515,-0.16,KEEP,50
gamesStarted,AAA,mlb_fp_per_start,515,-0.107,KEEP,50
h_per_9,AAA,mlb_fp_per_start,515,-0.154,KEEP,50
hr_per_9,AAA,mlb_fp_per_start,515,-0.022,DROP,50
inningsPitched,AAA,mlb_fp_per_start,515,-0.117,KEEP,50
ip_per_g,AAA,mlb_fp_per_start,515,0.05,DROP,50
k_minus_bb_pct,AAA,mlb_fp_per_start,515,0.244,KEEP,50
k_pct,AAA,mlb_fp_per_start,515,0.281,KEEP,50
whip,AAA,mlb_fp_per_start,515,-0.124,KEEP,50
battersFaced,AAA,mlb_fp_per_start,345,-0.119,KEEP,120
bb_pct,AAA,mlb_fp_per_start,345,0.074,DROP,120
er_per_9,AAA,mlb_fp_per_start,345,-0.095,DROP,120
era,AAA,mlb_fp_per_start,345,-0.095,DROP,120
gamesPitched,AAA,mlb_fp_per_start,345,-0.174,KEEP,120
gamesStarted,AAA,mlb_fp_per_start,345,-0.095,DROP,120
h_per_9,AAA,mlb_fp_per_start,345,-0.171,KEEP,120
hr_per_9,AAA,mlb_fp_per_start,345,-0.017,DROP,120
inningsPitched,AAA,mlb_fp_per_start,345,-0.111,KEEP,120
ip_per_g,AAA,mlb_fp_per_start,345,0.077,DROP,120
k_minus_bb_pct,AAA,mlb_fp_per_start,345,0.219,KEEP,120
k_pct,AAA,mlb_fp_per_start,345,0.266,KEEP,120
whip,AAA,mlb_fp_per_start,345,-0.104,KEEP,120
battersFaced,BOTH,mlb_fp_per_start,735,-0.13,KEEP,50
bb_pct,BOTH,mlb_fp_per_start,735,0.003,DROP,50
er_per_9,BOTH,mlb_fp_per_start,735,-0.105,KEEP,50
era,BOTH,mlb_fp_per_start,735,-0.105,KEEP,50
gamesPitched,BOTH,mlb_fp_per_start,735,-0.162,KEEP,50
gamesStarted,BOTH,mlb_fp_per_start,735,-0.106,KEEP,50
h_per_9,BOTH,mlb_fp_per_start,735,-0.146,KEEP,50
hr_per_9,BOTH,mlb_fp_per_start,735,-0.02,DROP,50
inningsPitched,BOTH,mlb_fp_per_start,735,-0.124,KEEP,50
ip_per_g,BOTH,mlb_fp_per_start,735,0.044,DROP,50
k_minus_bb_pct,BOTH,mlb_fp_per_start,735,0.212,KEEP,50
k_pct,BOTH,mlb_fp_per_start,735,0.235,KEEP,50
whip,BOTH,mlb_fp_per_start,735,-0.122,KEEP,50
battersFaced,BOTH,mlb_fp_per_start,528,-0.14,KEEP,120
bb_pct,BOTH,mlb_fp_per_start,528,0.029,DROP,120
er_per_9,BOTH,mlb_fp_per_start,528,-0.111,KEEP,120
era,BOTH,mlb_fp_per_start,528,-0.111,KEEP,120
gamesPitched,BOTH,mlb_fp_per_start,528,-0.179,KEEP,120
gamesStarted,BOTH,mlb_fp_per_start,528,-0.106,KEEP,120
h_per_9,BOTH,mlb_fp_per_start,528,-0.165,KEEP,120
hr_per_9,BOTH,mlb_fp_per_start,528,-0.038,DROP,120
inningsPitched,BOTH,mlb_fp_per_start,528,-0.132,KEEP,120
ip_per_g,BOTH,mlb_fp_per_start,528,0.061,DROP,120
k_minus_bb_pct,BOTH,mlb_fp_per_start,528,0.222,KEEP,120
k_pct,BOTH,mlb_fp_per_start,528,0.243,KEEP,120
whip,BOTH,mlb_fp_per_start,528,-0.123,KEEP,120
