owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
FA,Brandon Williamson,Cin,0.1,9.4,98.0,Stuff+·vol,0.062,SIXTY_DAY_DL,2026-08-01,26.0,11.0
FA,Shane Smith,ChW,1.8,8.57,,talent_prior·vol,0.048,,,26.0,8.0
FA,Max Scherzer,Tor,2.0,7.67,91.0,Stuff+·vol,0.055,FIFTEEN_DAY_DL,2026-07-17,25.0,8.0
FA,Matt Waldron,SD,0.1,7.48,,talent_prior·vol,0.05,FIFTEEN_DAY_DL,2026-07-12,24.0,7.0
FA,Spencer Schwellenbach,Atl,11.3,12.76,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,24.0,15.0
FA,Ronel Blanco,Hou,0.5,12.12,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,23.0,14.0
FA,Coleman Crow,Mil,0.1,6.72,,talent_prior·vol,0.054,FIFTEEN_DAY_DL,2026-07-11,23.0,7.0
FA,Cristian Javier,Hou,0.8,7.15,,rp3_dd·vol,0.051,,,23.0,7.0
FA,Corbin Burnes,Ari,4.7,12.06,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,23.0,14.0
FA,Jesse Scholtens,TB,0.4,6.17,,talent_prior·vol,0.063,FIFTEEN_DAY_DL,2026-07-17,23.0,7.0
FA,Taijuan Walker,LAA,0.1,5.7,,rp3_dd·vol,0.06,,,22.0,7.0
FA,Spencer Strider,Atl,54.1,11.33,97.0,Stuff+·vol,0.083,SIXTY_DAY_DL,2026-08-25,22.0,14.0
FA,Justin Steele,ChC,3.0,11.35,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,21.0,13.0
FA,Pablo Lopez,Min,3.0,11.46,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,21.0,13.0
FA,Joe Musgrove,SD,8.2,10.81,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,21.0,13.0
FA,Antonio Senzatela,Col,4.3,2.32,,talent_prior·flat↓,,,,21.0,6.0
