mlb_id,player_name_fg,season,ip,g,gs,so,h,er,bb,hbp,k_pct,bb_pct,swstr_pct,siera,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command
700241,Michael McGreevy,,90.0,16.0,16.0,53.0,99.0,47.0,19.0,2.0,0.13947368,0.05,0.07647908,4.644434516134134,87.57378592388775,110.40216621298599,100.46050026341216,44.87942084415584,56.656427842712844
670036,Matt Festa,,48.2,57.0,0.0,51.0,39.0,22.0,15.0,4.0,0.25247525,0.07425743,0.13125846,3.3961093106191718,100.8356923280579,94.98567856092254,95.82830446549391,56.71851566982407,56.08020305818676
669203,Corbin Burnes,,24.2,4.0,4.0,30.0,16.0,6.0,7.0,1.0,0.30612245,0.07142857,0.14364641,3.007367218353029,102.970773480663,111.0979005524862,114.7896132596685,53.31301776243093,46.176244309392274
676755,Isaac Mattson,,47.2,44.0,0.0,45.0,35.0,13.0,19.0,2.0,0.22727273,0.0959596,0.09897172,4.265985248288207,96.97170135434402,97.54977016882002,92.87911377380115,42.0324375231788,50.6212174834437
623437,Justin Topa,,46.1,40.0,0.0,38.0,56.0,23.0,14.0,3.0,0.18181818,0.06698565,0.08010681,3.788178589507459,99.15645470150677,106.32728832093585,102.76041744548286,48.85792359145528,59.77414957276369
687075,Brandon Sproat,,20.2,4.0,4.0,17.0,18.0,11.0,7.0,2.0,0.20238095,0.08333333,0.06872852,4.178666568682883,106.62660418619183,85.69496173070915,89.85134254920338,52.59785604810997,46.67125041237113
472610,Luis Garcia,,36.0,38.0,0.0,29.0,34.0,11.0,14.0,0.0,0.19863014,0.09589041,0.11068702,4.181791086489353,109.72587989093404,105.05776729845753,112.42571720864846,60.51988398854961,57.99075194656489
592779,Brock Stewart,,30.1,34.0,0.0,32.0,27.0,7.0,9.0,2.0,0.25396825,0.07142857,0.1416122,3.4164330756664048,109.17522910477321,107.15721727074667,115.60793025021457,60.637954596949875,57.778308540305
657571,Caleb Ferguson,,47.1,50.0,0.0,40.0,38.0,16.0,14.0,3.0,0.20725389,0.07253886,0.09866667,3.5694442912711044,105.9474281962482,101.9035943145743,105.79503164790765,55.02912102666666,60.62677190666668
656271,Brock Burke,,45.1,51.0,1.0,40.0,40.0,13.0,9.0,2.0,0.21978022,0.04945055,0.11341632,3.1225859444245923,106.93985035895403,107.4605292761641,113.90503286570502,56.4790060857538,61.366314190871364
673929,Jordan Leasure,,49.0,49.0,1.0,59.0,34.0,21.0,22.0,1.0,0.29353234,0.10945274,0.12676056,3.536145134685903,102.61009389671361,94.66323303457102,99.485712761417,59.120758403755865,44.98605568075116
500779,Jose Quintana,,97.2,18.0,18.0,65.0,89.0,48.0,39.0,5.0,0.15550239,0.09330144,0.06963958,5.150178285596413,85.62056348325912,102.4704261930738,88.88856500612223,31.58313797189982,48.92045874160047
669093,Jeremiah Estrada,,53.1,56.0,0.0,79.0,43.0,22.0,23.0,2.0,0.34955752,0.10176991,0.16863588,2.739198306998894,121.82067740780525,98.32348623438293,119.07962697156427,66.34986804511277,51.113633254564995
458677,Justin Wilson,,34.0,43.0,0.0,43.0,35.0,14.0,15.0,2.0,0.2885906,0.10067114,0.14381271,3.3193833806680777,104.86778238001311,98.42724800617444,104.11414761455568,52.32353329431437,54.79329896321072
593974,Wandy Peralta,,56.1,54.0,1.0,52.0,50.0,14.0,23.0,2.0,0.21399177,0.09465021,0.12540541,3.6520756118529967,98.95289896337898,101.78616747792749,102.47878325926325,44.41898097297296,48.85389283243243
453286,Max Scherzer,,82.0,16.0,16.0,81.0,84.0,47.0,23.0,2.0,0.23342939,0.06628242,0.10838901,4.203170525676895,93.67955582675279,110.83985487453492,104.34491901486282,45.387308359317004,61.190381863400155
608032,Carlos Estevez,,46.1,48.0,0.0,36.0,34.0,13.0,12.0,2.0,0.19565217,0.06521739,0.08528198,4.431665369851769,97.68687757909215,105.52390646492434,102.26627235213205,44.751343053645115,57.99306250343879
689147,Orion Kerkering,,43.1,50.0,0.0,49.0,40.0,14.0,18.0,4.0,0.25520833,0.09375,0.0992268,3.5816457351116395,114.3173582474227,103.61420246277204,113.66220319914906,66.0832363402062,61.9663693298969
676428,Brant Hurter,,40.1,31.0,4.0,48.0,40.0,11.0,22.0,9.0,0.25263158,0.11578947,0.11035422,3.8524471474080855,112.30901694052238,79.26847012357912,88.79960731291114,54.56084527855151,37.76855930362116
674841,Andrew Alvarez,,23.1,5.0,5.0,20.0,16.0,6.0,10.0,1.0,0.20408163,0.10204082,0.07416268,4.390970299348128,88.64360944976076,105.51881279904306,100.97585287081338,54.26359571770335,48.37153923444976
690986,Kyle Harrison,,31.2,8.0,6.0,33.0,34.0,15.0,11.0,1.0,0.23571429,0.07857143,0.11954459,3.942232304559417,104.18070164599975,107.94366797581749,107.25679978818235,48.54278715370019,59.42036916508539
666142,Cole Ragans,,21.0,5.0,5.0,33.0,16.0,13.0,7.0,1.0,0.38372093,0.08139535,0.16076294,2.550252993389636,112.16703786145402,101.996338908649,111.63618886795402,57.45987008174387,53.91568340599454
663485,Cole Sands,,55.1,51.0,3.0,52.0,52.0,31.0,13.0,3.0,0.22413793,0.05603448,0.09788654,3.506717430696422,96.14431846672672,106.0748901954553,101.15062985327609,44.86775225806453,55.64326845383761
664076,Garrett Cleavinger,,45.1,50.0,0.0,62.0,31.0,12.0,15.0,6.0,0.34065934,0.08241758,0.16224649,2.5363109657937084,108.86000206141934,100.16641428437887,106.74915860596992,56.60587009493672,55.055758006329114
661563,Luis Gil,,57.0,11.0,11.0,41.0,47.0,21.0,33.0,1.0,0.16803279,0.1352459,0.08659794,5.740658762200142,97.55151034363742,95.1096216552631,95.50218196113157,64.19311429896908,45.02880627835052
702352,Spencer Bivens,,60.2,41.0,0.0,46.0,66.0,28.0,17.0,3.0,0.17829457,0.06589147,0.07342296,3.902662275132009,97.72630455636877,108.15609742862713,103.97715005502246,43.03992770423992,59.61149589451912
641154,Pablo Lopez,,36.2,7.0,7.0,30.0,33.0,11.0,13.0,3.0,0.1910828,0.08280255,0.11363636,4.636350151171456,96.73925208363067,107.13141592693022,103.06939708862568,55.28856939935065,58.07885035714286
608650,Dietrich Enns,,46.1,24.0,3.0,49.0,50.0,21.0,15.0,0.0,0.245,0.075,0.13477089,3.5470473152566875,108.26538022080915,103.14310994770108,108.43135986305847,52.49078440541001,56.75559448760427
657424,Matt Gage,,31.0,33.0,2.0,27.0,35.0,11.0,12.0,2.0,0.19708029,0.08759124,0.07894737,4.033434182078966,98.48399551531138,95.96983614147412,95.89333094334226,39.433025244360906,48.981578966165415
701656,Logan Henderson,,14.1,3.0,3.0,17.0,10.0,2.0,6.0,0.0,0.28813559,0.10169492,0.1254902,3.9845346319681485,103.02266666666667,110.41443137254902,109.936,52.483625764705884,69.02082854901961
684007,Shota Imanaga,,100.0,17.0,17.0,83.0,82.0,46.0,12.0,1.0,0.21502591,0.03108808,0.11784512,4.110825260525284,96.17117698826895,105.06393382985351,100.2992715932959,42.37163523232323,54.96246358922559
676617,Riley O'Brien,,45.1,39.0,0.0,43.0,30.0,8.0,20.0,6.0,0.2311828,0.10752688,0.10829817,3.694916406143625,106.56665501377185,102.82138696761253,107.52189033686655,65.32214279887482,48.80602458509142
693312,Kyle Nicolas,,30.1,24.0,0.0,28.0,24.0,11.0,10.0,2.0,0.224,0.08,0.12903226,3.766309560929581,101.52245161290323,94.67165591397848,97.98511827956992,63.49676756989248,44.39954103225807
669920,Jason Alexander,,71.1,14.0,13.0,60.0,68.0,29.0,21.0,3.0,0.19933555,0.06976744,0.10274579,4.186569805141148,93.19362267493358,101.15342781222321,95.78868024800707,43.76677664304695,50.69052451727192
596001,Jakob Junis,,47.0,38.0,0.0,41.0,40.0,13.0,15.0,3.0,0.21808511,0.07978723,0.09490085,3.8493690579893856,92.31788563862546,104.83629375538857,99.48080274664366,45.27470248120301,60.40103981954886
527048,Martin Perez,,36.0,7.0,6.0,26.0,26.0,15.0,11.0,1.0,0.17931034,0.07586207,0.06837607,4.664627403104361,87.03024938531789,102.95644444444444,93.098792647231,29.71763952136752,52.866065333333324
681892,Kody Funderburk,,35.2,36.0,0.0,35.0,40.0,14.0,17.0,2.0,0.2173913,0.10559006,0.08903021,3.966265437258675,100.8214427662957,96.6894263381028,99.91218733439324,61.615560254372014,48.75215138314786
663465,Kolby Allard,,50.0,28.0,2.0,36.0,53.0,17.0,12.0,1.0,0.17061611,0.05687204,0.08312958,4.269262767962507,90.87268629743807,103.03621682181961,91.43041937614845,30.31386522613065,56.06951555276382
664126,Pete Fairbanks,,43.1,43.0,0.0,43.0,32.0,14.0,9.0,1.0,0.25294118,0.05294118,0.12908012,3.1621930577391613,118.46723819563752,99.54303849757925,112.06415786870738,49.734891972685894,61.37588587253413
806960,Luis Morales,,48.2,10.0,9.0,43.0,38.0,17.0,18.0,1.0,0.2160804,0.09045226,0.09500609,4.45430383320139,97.77635772408044,106.51781170632069,105.26521105950647,56.460983483556646,48.91978573690621
676917,Cade Cavalli,,48.2,10.0,10.0,40.0,57.0,23.0,15.0,4.0,0.1826484,0.06849315,0.12405063,4.093754322892346,103.8250197644706,97.49843612805068,102.70032234249166,56.60613937974683,48.740073
657585,Reed Garrett,,38.1,39.0,1.0,46.0,35.0,22.0,18.0,1.0,0.27380952,0.10714286,0.1426513,3.5412120736318844,104.15870317002884,102.35544668587896,109.14700288184434,57.275034510086456,45.453499956772326
670167,John Schreiber,,47.0,55.0,0.0,43.0,44.0,23.0,13.0,1.0,0.2160804,0.06532663,0.09798995,3.759175957333674,102.1196147403685,109.62876716917923,111.40654773869346,50.82346403266331,59.45657798994975
669276,Dylan Lee,,49.2,54.0,0.0,57.0,41.0,20.0,8.0,0.0,0.29081633,0.04081633,0.16936488,2.7022848249924354,108.04349545685162,108.64142498039759,116.80316152391497,52.119415217932755,66.65824865504358
668678,Zac Gallen,,141.0,24.0,24.0,121.0,132.0,77.0,43.0,3.0,0.20336134,0.07226891,0.09242958,4.235135750108595,93.21161530451725,105.97529784213506,100.18130713453009,43.37809524207747,60.17725652728875
676254,Ryan Walker,,46.1,51.0,0.0,45.0,44.0,18.0,11.0,5.0,0.2284264,0.05583756,0.09517241,3.252298759362473,106.00934960212199,101.45536339522546,103.05716923076925,57.91182449655173,54.236636606896546
685314,Andrew Saalfrank,,29.0,28.0,0.0,19.0,19.0,4.0,10.0,0.0,0.16814159,0.08849558,0.12177986,4.542096785959238,87.49480093676814,100.12772833723655,88.89948477751757,43.119464121779856,44.66831585480092
663687,Hogan Harris,,52.0,39.0,0.0,51.0,43.0,17.0,25.0,1.0,0.23181818,0.11363636,0.08940397,4.156888862578457,102.02794946168949,101.38496840897339,98.4374769504364,49.54067013245033,58.03169298013246
702056,Trey Yesavage,,14.0,3.0,3.0,16.0,13.0,5.0,7.0,0.0,0.25806452,0.11290323,0.15481172,3.8729663463692834,106.99715481171546,90.5758158995816,98.37623430962343,55.23684259414226,46.275568577405856
519141,Drew Pomeranz,,41.0,48.0,4.0,48.0,36.0,12.0,13.0,3.0,0.27906977,0.0755814,0.11403509,3.15655024686144,109.76785843079924,104.18121150097463,110.71941520467834,48.891879473684206,60.019966125731
640455,Sean Manaea,,60.2,15.0,12.0,75.0,62.0,38.0,12.0,7.0,0.2851711,0.04562738,0.1260274,3.075875410764962,110.13809615374736,100.97474664507727,105.97253659040871,45.730503205479444,59.57532582648401
660825,Eduard Bazardo,,56.1,55.0,0.0,63.0,34.0,11.0,18.0,2.0,0.28636364,0.08181818,0.07683215,3.143421665795538,104.53514206286663,106.22243969442258,106.54683072848263,46.91438035131742,70.83391015056462
686790,Trevor McDonald,,15.0,3.0,2.0,14.0,13.0,3.0,2.0,0.0,0.23333333,0.03333333,0.14553991,3.0768453558327082,97.82442385371891,108.16059881933755,108.16714535980687,53.851952206572776,58.60346093896713
656464,Kevin Ginkel,,20.0,22.0,0.0,22.0,20.0,13.0,10.0,1.0,0.24175824,0.10989011,0.13461538,3.9056042834186724,91.54185925805444,104.46337758096924,96.48803804061755,46.69452467032966,50.077487170329675
623352,Josh Hader,,34.2,32.0,0.0,50.0,18.0,9.0,11.0,1.0,0.37037037,0.08148148,0.22003578,2.505436853820071,122.63875497558237,101.82959450348521,119.22515131428932,69.45728193202149,54.187684221824696
571948,Hoby Milner,,50.2,55.0,0.0,40.0,53.0,26.0,15.0,2.0,0.1843318,0.06912442,0.05952381,3.944817660687391,106.30593353174599,102.97487599206352,105.81057667233564,48.752132351515144,67.82730024242426
681857,Reese Olson,,26.0,5.0,5.0,20.0,21.0,8.0,7.0,1.0,0.19417476,0.06796117,0.11286682,4.488413233725377,85.10351068169706,109.76334105453078,96.84677866935779,44.425991002785516,47.88759757660168
669711,Greg Weissert,,48.2,53.0,0.0,38.0,40.0,14.0,16.0,2.0,0.18905473,0.07960199,0.09881423,4.240062559431019,96.73882096246678,100.01467104502876,97.63763086263063,46.2418571936759,52.43598765480897
690928,Hunter Dobbins,,33.1,8.0,6.0,22.0,29.0,16.0,13.0,0.0,0.16058394,0.09489051,0.07228916,4.76682092150831,98.90938073280778,106.18208587436165,105.79256234815806,49.22308032128514,54.85932919678715
688497,Taylor Rashi,,16.1,10.0,0.0,22.0,16.0,8.0,8.0,0.0,0.30555556,0.11111111,0.10344828,3.2126487376987987,84.5942946708464,104.2094670846395,90.7860815047022,31.790068213166137,41.963450595611285
687473,Ryan Gusto,,71.2,17.0,12.0,66.0,80.0,48.0,25.0,4.0,0.20754717,0.07861635,0.10040161,4.349642358639172,98.23192921143168,103.46313071961478,100.0165954334342,43.96364130923695,60.35362513253012
682847,Luis L. Ortiz,,45.1,8.0,8.0,47.0,42.0,20.0,21.0,1.0,0.24226804,0.10824742,0.11111111,4.099074626831868,100.96704826546004,100.6988547008547,100.85460130718955,54.05760248366013,52.55056752941176
642397,Gregory Soto,,46.1,54.0,0.0,55.0,46.0,21.0,18.0,10.0,0.25581395,0.08372093,0.13231552,3.446589418057239,113.09882013914837,92.96946156930433,102.85770189267899,66.48937218829516,47.040482480916026
683769,Hunter Gaddis,,49.2,53.0,0.0,49.0,45.0,22.0,13.0,1.0,0.24137931,0.06403941,0.1417004,3.4638904014484027,95.56326498058452,106.34150769471486,101.87981109621667,45.455824048583,55.66592943319839
669724,Brenan Hanifee,,39.0,37.0,0.0,26.0,47.0,16.0,10.0,1.0,0.15116279,0.05813953,0.06379585,3.8052744982572135,96.31298156389065,107.97626950402073,104.45129365052811,32.554832392344494,52.84554537480062
642585,Felix Bautista,,22.2,23.0,0.0,35.0,10.0,7.0,17.0,0.0,0.37234043,0.18085106,0.13574661,3.6367955672573817,98.64212193379375,96.9013717551798,103.63362229102167,74.45400952488687,35.062316719457016
621383,Tanner Banks,,47.2,51.0,1.0,40.0,41.0,15.0,8.0,1.0,0.20833333,0.04166667,0.09882965,3.6179155347649226,106.25880178339212,109.59082296117406,113.53731190785807,42.47062148244473,54.72583020806242
669461,Matthew Liberatore,,105.1,21.0,21.0,80.0,118.0,55.0,33.0,4.0,0.17241379,0.07112069,0.07826087,4.7617038836172165,93.79275460698973,99.74388109650575,93.77892163229392,45.45416960000001,50.76750024347827
642121,Cole Sulser,,16.0,12.0,0.0,18.0,12.0,1.0,4.0,0.0,0.3,0.06666667,0.15355805,2.787620346771725,98.64892714751721,107.66815095500127,104.89744143134865,55.97622153558053,57.25650007490636
669438,Mason Englert,,26.2,18.0,0.0,26.0,20.0,7.0,7.0,0.0,0.24761905,0.06666667,0.11971831,3.3799138451393236,94.20279946344735,106.831874441091,101.33563008607199,46.67247428229665,60.26810205741627
641329,Bryan Baker,,51.1,55.0,0.0,63.0,46.0,27.0,12.0,0.0,0.30143541,0.05741627,0.13268999,2.7034665830574363,107.11039605950945,101.78112585444312,106.4649959790913,60.665573220747895,53.623511013269
678024,Mike Vasil,,76.0,34.0,3.0,67.0,58.0,23.0,38.0,5.0,0.21069182,0.11949686,0.08988764,4.327720322042742,92.36699803673842,98.24552304728984,92.17843466982104,44.11312126805779,43.227171059390045
666661,Juan Morillo,,25.2,33.0,0.0,26.0,27.0,10.0,16.0,1.0,0.2300885,0.14159292,0.11751663,4.363725098184734,109.46395646039102,96.03964872673518,105.92431042128607,62.00752675862069,52.409303724137935
663969,Tyler Phillips,,55.1,40.0,1.0,37.0,40.0,11.0,16.0,2.0,0.1712963,0.07407407,0.12283044,3.8273045960082235,97.1281106244361,107.46034920183175,105.22305693011393,51.292325447263025,53.322201735647525
664141,JT Brubaker,,28.2,17.0,1.0,22.0,23.0,12.0,12.0,1.0,0.18803419,0.1025641,0.10021322,4.506648139493879,94.6492889647455,100.24235172343107,92.83732095799864,39.19130675906183,51.67828603411513
660761,Jose Suarez,,12.0,4.0,1.0,11.0,12.0,2.0,3.0,0.0,0.21568627,0.05882353,0.15116279,3.500347837329076,100.42158139534882,105.56797868217053,108.90292829457364,59.83630813953488,57.940860813953485
676508,Ben Casparius,,49.2,32.0,2.0,42.0,54.0,31.0,16.0,3.0,0.19090909,0.07272727,0.11543135,4.308799779708791,106.4734494554725,102.55303512540073,107.58792729407438,56.20587018226002,53.620612636695014
672782,Yoendrys Gomez,,47.1,11.0,9.0,46.0,45.0,26.0,15.0,4.0,0.22439024,0.07317073,0.10909091,4.132376190453417,97.46913069331181,95.56625167285425,92.27248039727341,47.71292644848485,48.12113016969697
672456,Keider Montero,,65.2,15.0,8.0,54.0,68.0,31.0,20.0,0.0,0.19285714,0.07142857,0.07973734,4.2546426184142545,96.89105479885966,103.61492215101971,98.53725006700614,48.680094118198866,59.908426529080685
506433,Yu Darvish,,72.0,15.0,15.0,68.0,66.0,43.0,19.0,6.0,0.22972973,0.06418919,0.09827586,3.9388114205076685,99.1189932180783,99.99980786705203,99.50190493946646,47.44153501724137,55.02441087068965
669084,DL Hall,,38.2,20.0,3.0,27.0,24.0,15.0,17.0,0.0,0.17419355,0.10967742,0.08319185,4.8866418257451585,92.35139828942505,94.99607244379361,91.7215427824352,55.09033492359932,49.36507826825126
657514,Brennan Bernardino,,35.1,38.0,3.0,27.0,28.0,15.0,23.0,1.0,0.17307692,0.1474359,0.06281834,5.174751881236043,94.59827456716083,89.42039403310328,81.33031959052082,43.0882364516129,43.759524142614616
605177,Andrew Chafin,,29.1,35.0,0.0,31.0,24.0,8.0,14.0,0.0,0.25833333,0.11666667,0.10679612,3.8308897927784966,93.86448777773514,92.1101846578917,86.79269177635364,40.26199858252427,51.27077970873787
672578,Carlos Hernandez,,27.1,25.0,0.0,25.0,29.0,18.0,12.0,0.0,0.20661157,0.09917355,0.1487069,4.25417539168077,101.03834642323275,103.09568390480709,106.99727228586188,56.54188357758621,52.96475280172414
700669,Gordon Graceffo,,32.1,21.0,0.0,32.0,40.0,23.0,12.0,2.0,0.2147651,0.08053691,0.10234899,3.7909501675335435,93.83225154786093,105.36854871789932,98.39386377861017,44.954918926174486,50.734303036912756
592866,Trevor Williams,,37.0,8.0,8.0,27.0,48.0,27.0,9.0,0.0,0.16167665,0.05389222,0.07511737,4.993770918908792,93.11336463223786,103.40610328638498,95.07712050078247,51.96125816901409,68.13982716744913
678022,Jackson Perkins,,38.2,12.0,4.0,37.0,27.0,18.0,18.0,2.0,0.22981366,0.11180124,0.14599686,4.331871120735585,100.28947007030237,96.25907492093827,96.28821054308013,56.18580175824176,49.01869383045526
663978,Chris Paddack,,111.1,24.0,19.0,79.0,128.0,73.0,20.0,2.0,0.16561845,0.04192872,0.09457191,4.507752562236402,89.32766797130343,112.0821011009042,101.44856220055152,40.60416872971461,66.30834604364858
656731,Tylor Megill,,27.2,6.0,6.0,37.0,26.0,16.0,16.0,4.0,0.28682171,0.12403101,0.15209125,4.01621337941601,103.80429467680607,93.70583460076044,96.71099429657797,60.853337376425856,43.757269524714836
615698,Cal Quantrill,,81.2,18.0,18.0,62.0,90.0,51.0,22.0,4.0,0.17464789,0.06197183,0.08746356,4.7035049768257,88.68187617662936,100.71631616804783,89.47874285197496,35.62501733965014,49.23922612973762
656457,Tyler Gilbert,,38.1,34.0,2.0,34.0,33.0,16.0,17.0,2.0,0.20606061,0.1030303,0.10702875,4.45327030171512,97.55645643795324,96.62204920903397,91.55000008501807,40.221117460063894,47.17910897763578
685299,Tanner Gordon,,69.0,14.0,14.0,58.0,87.0,49.0,16.0,3.0,0.18770227,0.05177994,0.08564014,4.334899843332217,88.49661172089156,103.33091238500748,89.95877732376371,29.23967443771626,62.45907196366782
