mlb_id,player_name_fg,team,season,ip,g,gs,so,h,er,bb,hbp,k_pct,bb_pct,swstr_pct,siera,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command
690990,Cade Horton,CHC,,7.1,2.0,2.0,4.0,4.0,2.0,2.0,0.0,0.15384615,0.07692308,0.09782609,4.390587407178066,99.5511320015668,116.3726778952866,113.32274676850763,55.22825467391304,60.76021347826087
476594,Robert Stock,NYM,,8.0,2.0,2.0,8.0,12.0,9.0,5.0,1.0,0.19512195,0.12195122,0.14569536,4.998770280562789,85.80387322611163,104.66002838221382,91.02955534531694,51.65765039735099,52.07918668874173
677020,Josh Walker,BAL,,14.0,12.0,0.0,12.0,13.0,5.0,4.0,0.0,0.20689655,0.06896552,0.07727273,3.8335088916436466,97.46643315508022,96.39751871657754,93.34218716577539,48.58698004545455,49.72963177272727
641656,Ian Hamilton,ATL,,4.2,4.0,0.0,4.0,6.0,4.0,3.0,0.0,0.17391304,0.13043478,0.11956522,3.930621801195957,93.7663043478261,84.4686956521739,81.84260869565217,46.500044673913045,45.22711423913044
605441,Yacksel Rios,CHC,,1.2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.15384615,1.212256282243729,106.43846153846154,106.32307692307691,109.63692307692307,52.27213,63.26117
676510,Nolan Hoffman,PHI,,4.2,3.0,0.0,2.0,6.0,2.0,3.0,0.0,0.0952381,0.14285714,0.07317073,5.991638223967349,96.82609756097561,85.49682926829269,86.04878048780489,51.60367731707317,45.129907195121945
605218,Carl Edwards Jr.,NYM,,6.0,2.0,0.0,11.0,3.0,1.0,4.0,0.0,0.44,0.16,0.17171717,2.6453506822437287,88.18121212121213,94.99393939393939,86.1680808080808,53.62000616161616,40.63783101010101
676395,Robert Garcia,TEX,,8.0,9.0,0.0,6.0,5.0,3.0,7.0,0.0,0.17647059,0.20588235,0.11111111,6.034577237124186,111.75477124183006,89.7567320261438,103.40849673202615,60.8183756862745,52.2600562745098
690155,Matthew Pushard,STL,,7.0,6.0,0.0,6.0,6.0,4.0,4.0,1.0,0.1875,0.125,0.05833333,4.777945891618728,96.2711462962963,90.40565864197531,83.75436358024692,48.73993683333333,48.07199041666666
700327,Welinton Herrera,COL,,2.1,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.2,0.1,0.08888889,4.385576282243727,90.93022222222224,100.34,93.08311111111111,48.258138,53.04174
702352,Spencer Bivens,SFG,,2.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.3,0.1,0.06666667,3.0413862822437285,118.36977777777778,87.44355555555556,98.33555555555556,55.644818,59.52014155555556
682769,Eiberson Castellano,COL,,3.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.16666667,0.0,0.14285714,2.1701379594838954,89.91314285714286,87.47885714285715,80.36342857142859,43.4355,37.76373
660787,Yerry De Los Santos,NYY,,10.0,7.0,0.0,8.0,10.0,1.0,4.0,0.0,0.18181818,0.09090909,0.06395349,4.090063222196173,93.32846153846155,97.80478205128203,89.96412820512819,47.89648767441861,53.61336988372092
670032,Nicky Lopez,TEX,,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.14285714,0.0,0.0,3.0780962951661572,14.134999999999996,120.915,52.26749999999999,29.347310000000004,32.57172
664353,Jose Urquidy,PIT,,6.1,5.0,0.0,6.0,15.0,6.0,2.0,0.0,0.16666667,0.05555556,0.1221374,3.8852243725763094,101.68031145038168,105.22937142857143,100.93117993456926,48.319306946564886,63.69226877862595
686753,Drey Jameson,ARI,,17.1,11.0,0.0,13.0,16.0,9.0,9.0,1.0,0.17105263,0.11842105,0.13157895,4.853655665208627,95.55203007518796,88.32210526315791,86.42932330827068,52.50108906015038,49.318190751879705
675916,James Karinchak,ATL,,9.2,9.0,0.0,8.0,4.0,2.0,5.0,0.0,0.21621622,0.13513514,0.08641975,4.893703295096608,94.71641975308643,92.03374485596709,88.05839506172839,50.07996704697986,40.91175892617449
696146,Hagen Smith,CHW,,3.0,2.0,0.0,6.0,0.0,0.0,5.0,0.0,0.42857143,0.35714286,0.12698413,6.679688120622749,107.50666666666667,63.458750000000016,72.45083333333332,57.776511904761904,38.30150904761905
657756,Connor Seabold,- - -,,24.0,21.0,0.0,20.0,30.0,14.0,11.0,3.0,0.17391304,0.09565217,0.07563025,4.525223838095873,91.19969795635866,101.20495801508862,91.69863435809548,48.569631218487395,51.40962327731093
668716,Noah Murdock,PIT,,3.0,2.0,0.0,4.0,3.0,0.0,3.0,0.0,0.28571429,0.21428571,0.05084746,4.46114730408678,105.23416024653311,69.06570107858244,73.53557010785825,49.06472169491526,38.27836152542373
595978,Austin Hedges,CLE,,2.2,3.0,0.0,1.0,4.0,2.0,0.0,0.0,0.08333333,0.0,0.0,3.5569712880516464,68.55133333333333,118.24199999999999,93.41333333333333,36.98788866666667,57.99385600000001
671109,Jake Eder,LAD,,4.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,0.06666667,0.06666667,0.05357143,6.423331838553106,91.89214285714286,97.35642857142855,90.32535714285713,43.32095785714286,50.24666803571428
666711,Joel Peguero,SFG,,11.1,11.0,0.0,5.0,10.0,3.0,4.0,2.0,0.10416667,0.08333333,0.10059172,4.993805923030041,99.49431952662722,107.77881656804733,106.51183431952663,54.39745088757397,56.208157455621304
594835,Marco Gonzales,TEX,,6.0,2.0,0.0,3.0,7.0,1.0,4.0,0.0,0.10714286,0.14285714,0.05128205,6.440500606963501,92.78585278734533,99.06561806352852,89.746939660671,44.874619829059824,52.29077
668670,Jake Rogers,DET,,2.1,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.25,0.08333333,0.04651163,3.2185685017766734,31.348837209302324,84.3953488372093,34.63441860465116,30.589290697674418,61.449624186046506
656234,Jake Bird,- - -,,32.2,38.0,0.0,34.0,37.0,21.0,11.0,5.0,0.23129252,0.07482993,0.10137457,3.550489163233533,111.405124995145,95.93975365144253,103.39016674114917,52.98524713058419,52.1523485395189
621107,Zach Eflin,BAL,,3.2,1.0,1.0,7.0,4.0,1.0,2.0,0.0,0.41176471,0.11764706,0.16216216,2.629912887737189,95.30297297297297,106.7345945945946,98.41243243243244,46.1713,55.53099
670871,Guillo Zuniga,NYM,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.25,0.11111111,7.303846282243728,106.43,68.67222222222222,69.91333333333334,57.94973999999999,41.27384
664731,P.J. Higgins,CIN,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33333333,0.0,0.2,4.372762948436396,23.967999999999996,110.26399999999998,42.084,20.0,41.60832
668390,Cole Winn,TEX,,41.1,45.0,1.0,40.0,45.0,27.0,14.0,1.0,0.21857923,0.07650273,0.13731343,3.7907413380922947,97.94264582912791,98.70891771965316,98.32916549157198,53.88230619402986,50.60811474626866
624512,Reese McGuire,CHW,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,13.174096282243728,13.340000000000003,81.86,-10.600000000000009,,
703615,Jose Cabrera,ARI,,17.2,4.0,4.0,12.0,20.0,11.0,7.0,2.0,0.14814815,0.08641975,0.07857143,5.177659916688918,88.34170077220077,84.10129922779922,78.01908687258687,48.434740964285716,44.868469714285716
596117,Garrett Stubbs,PHI,,3.1,4.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.06666667,0.03225806,7.526798494183105,40.22451612903226,98.9574193548387,50.4741935483871,24.70906434782609,32.13391000000001
624431,Jose Trevino,CIN,,5.0,4.0,0.0,1.0,14.0,8.0,1.0,1.0,0.03448276,0.03448276,0.01388889,5.499555264562467,46.39307870370371,92.44956018518519,42.21421296296296,20.0,51.970330338983054
680702,Joey Gerber,NYM,,8.1,7.0,0.0,8.0,6.0,4.0,4.0,0.0,0.23529412,0.11764706,0.0620155,4.253947489626624,99.52031007751937,97.66201550387595,99.71426356589149,47.240446744186045,53.41154751937984
686934,Alexander McFarlane,PHI,,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.11111111,0.11111111,0.10526316,4.614478999447012,124.79473684210525,70.89473684210526,96.26210526315789,64.23638052631578,39.83412105263158
680728,Adrian Del Castillo,ARI,,1.2,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,7.662496282243729,0.1037499999999989,147.84875,55.54624999999999,20.0,20.0
683155,Joey Estes,ATH,,4.1,1.0,1.0,4.0,5.0,4.0,1.0,0.0,0.22222222,0.05555556,0.12676056,4.277861711201186,89.00281690140845,93.91464788732394,80.08816901408451,48.84419,45.08726
664702,Myles Straw,TOR,,3.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.06666667,0.04444444,5.059776273019728,12.390666666666664,103.33222222222224,21.398888888888887,20.0,20.0
664126,Pete Fairbanks,MIA,,37.1,40.0,1.0,51.0,33.0,25.0,16.0,3.0,0.31288344,0.09815951,0.12721893,3.2382776547357137,123.04892395353936,89.75532325224631,107.06119877273723,54.94701267751478,53.24438576923077
642100,Gabe Speier,SEA,,30.2,37.0,0.0,28.0,24.0,10.0,13.0,5.0,0.21212121,0.09848485,0.11226611,4.0944448766866595,112.3802614379085,101.49296192551097,109.83608465608464,50.519092744282766,58.761610935550934
683766,Christian Koss,SFG,,2.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.03571429,5.6770962822437285,16.860000000000003,119.90214285714285,47.082857142857144,,
607455,Anthony Banda,MIN,,34.1,39.0,0.0,33.0,31.0,17.0,15.0,8.0,0.21153846,0.09615385,0.11001642,4.088800181675211,103.45882532346859,88.83903838765096,92.03576048373965,52.38221119868637,48.20453215106733
802408,Brycen Mautz,STL,,3.0,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.14285714,0.14285714,0.05084746,5.684963627532381,98.47758620689656,84.92206896551724,88.06275862068965,52.30626999999999,40.49361
676664,JP Sears,SDP,,32.2,8.0,6.0,25.0,33.0,17.0,11.0,2.0,0.17482517,0.07692308,0.08884688,4.601505179821629,91.21324831739935,99.38953585058488,91.68074210189748,46.18291752362949,51.84019935727788
