mlb_id,player_name_fg,team,season,ip,g,gs,tbf,so,h,er,r,bb,hbp,hr,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
691799,Grant Taylor,CHW,,36.2,36.0,2.0,157.0,54.0,37.0,20.0,20.0,15.0,0.0,0.0,4.90909127351669,1.416954372475946,2.341998030023171,2.645999440560132,0.34394904,0.0955414,0.13442623,,115.91757433823008,100.04476928535945,118.7050566318927,74.49815386885248,62.14775688524591,-1.0438000655737705
683004,Jack Leiter,TEX,,100.0,19.0,19.0,433.0,106.0,91.0,45.0,49.0,43.0,3.0,13.0,4.050000193119058,4.08513636350632,4.337727912191944,4.20073006621732,0.2448037,0.09930716,0.11200924,,102.27465361350224,93.70390088762919,98.08054581729536,61.76961539260971,44.424219826789844,0.14658644341801388
519242,Chris Sale,ATL,,52.0,8.0,7.0,199.0,69.0,34.0,12.0,12.0,9.0,4.0,4.0,2.0769231531041643,2.2312901312077527,2.535838793358527,2.4439741682656946,0.34673367,0.04522613,0.12303665,,115.49324425221945,107.57618096972455,118.93030252674708,50.73708638743455,63.84016698952879,-0.6834541361256544
656427,Jack Flaherty,DET,,95.2,19.0,19.0,417.0,112.0,96.0,56.0,57.0,39.0,3.0,12.0,5.2682928754933505,3.7414081173707046,3.7545517775275403,3.824644433251632,0.26858513,0.09352518,0.1127907,,101.79819263315642,102.41560286801695,103.74654640418777,37.73309373079287,55.11596938537185,0.35049155500921947
665152,Dean Kremer,BAL,,99.1,18.0,16.0,393.0,89.0,80.0,40.0,41.0,26.0,1.0,12.0,3.6241611550130397,3.7290960630561467,4.00560927522922,3.972532720876341,0.2264631,0.06615776,0.12308673,,93.92307853984765,100.79272710652883,94.89071435801415,38.86684065688776,54.03501744260204,0.2903017793367347
607192,Tyler Glasnow,LAD,,72.1,13.0,13.0,289.0,83.0,44.0,23.0,24.0,32.0,2.0,6.0,2.8617512023811726,3.328684708705997,3.571834540407967,3.7939616840884614,0.28719723,0.11072664,0.11469839,,102.84509278647342,90.65042868752207,99.39690150406211,65.55081285471537,50.09460606627018,0.028633976210705195
656849,David Peterson,NYM,,98.0,18.0,18.0,424.0,85.0,102.0,57.0,59.0,40.0,3.0,7.0,5.234694030373263,3.6453404147343957,3.818011358914328,4.254984064865037,0.2004717,0.09433962,0.10204082,,90.58197018079274,104.48961947813336,97.62143230753391,49.209156575255115,51.552142595663256,0.16132182397959186
605288,Adrian Houser,- - -,,106.2,18.0,18.0,448.0,78.0,109.0,43.0,46.0,33.0,8.0,10.0,3.628125086501243,4.044511339887977,4.386772404277589,4.486915338097543,0.17410714,0.07366071,0.08271144,,93.8566989519994,105.14213267779374,99.47811762356578,43.48229746268656,55.24458768656716,-0.02612914800995024
518876,Merrill Kelly,- - -,,108.0,19.0,19.0,446.0,95.0,101.0,43.0,47.0,29.0,1.0,15.0,3.5833334282592517,4.014765971138645,3.9936309182576233,4.108926288870618,0.21300448,0.06502242,0.10809179,,92.32990593445892,102.1701956876682,97.46709477350184,40.152475513285026,58.799565048309184,0.0336183997584541
663554,Casey Mize,DET,,93.1,18.0,18.0,395.0,91.0,101.0,46.0,49.0,20.0,3.0,13.0,4.435714482117681,3.73513634477343,3.791027874802999,3.7905721156089727,0.23037975,0.05063291,0.10704787,,94.1396469168446,109.03997957661144,104.60983910828173,46.67682434175533,57.820542094414904,-0.04226580452127662
669194,Ryne Nelson,ARI,,112.0,20.0,20.0,450.0,97.0,93.0,42.0,46.0,30.0,2.0,14.0,3.3750000862138636,3.8851363373654237,4.173544958629574,4.150393952212994,0.21555556,0.06666667,0.09727626,,106.05831086714844,100.55143904236202,105.29488797070726,49.97860730405781,59.08539899388549,-0.30425725958866034
