mlb_id,player_name,stuff_plus_inhouse,stuff_source,plv,arch_stuff_2080
650644,"Civale, Aaron",95.6,arch,,46.0
657277,"Webb, Logan",95.3,arch,,45.0
680736,"Wrobleski, Justin",95.3,arch,5.178,45.0
679883,"Avila, Luinder",95.3,arch,,45.0
686790,"McDonald, Trevor",95.3,arch,,45.0
696149,"Chandler, Bubba",95.3,arch,5.355,45.0
625643,"López, Reynaldo",95.3,arch,,45.0
669387,"Mlodzinski, Carmen",95.3,arch,,45.0
669456,"Bieber, Shane",95.3,arch,5.06,45.0
696070,Kendry Rojas,94.9,plv,5.07,
681217,Chase Silseth,94.8,plv,5.069,
671096,"Abbott, Andrew",94.4,arch,,44.0
605488,"Springs, Jeffrey",94.4,arch,,44.0
668984,"Legumina, Casey",94.4,arch,5.207,44.0
645261,"Alcantara, Sandy",94.4,arch,,44.0
702275,"Ritchie, JR",94.4,arch,,44.0
702273,"Schultz, Noah",94.4,arch,,44.0
656849,"Peterson, David",94.4,arch,,44.0
641743,"Kay, Anthony",94.4,arch,,44.0
687064,"Young, Brandon",94.4,arch,,44.0
608379,"Wacha, Michael",94.4,arch,,44.0
696270,"Johnson, Ryan",94.4,arch,,44.0
693821,"Elder, Bryce",94.4,arch,,44.0
527048,"Pérez, Martín",93.3,arch,,43.0
592662,"Ray, Robbie",93.3,arch,,43.0
571927,"Matz, Steven",93.3,arch,,43.0
694297,"Pfaadt, Brandon",93.3,arch,,43.0
605280,"Holmes, Clay",93.3,arch,,43.0
621111,"Buehler, Walker",92.3,arch,,42.0
663372,"Feltner, Ryan",92.3,arch,,42.0
666157,"Lodolo, Nick",92.3,arch,,42.0
669467,"Pallante, Andre",92.3,arch,,42.0
681347,"Burrows, Mike",92.3,arch,,42.0
666277,George Soriano,92.2,plv,5.055,
593974,Wandy Peralta,92.1,plv,5.046,
664285,"Valdez, Framber",92.0,arch,,41.0
677944,"Cecconi, Slade",92.0,arch,,41.0
686799,"Kochanowicz, Jack",92.0,arch,,41.0
669194,"Nelson, Ryne",92.0,arch,5.312,41.0
687312,"Hughes, Gabriel",92.0,arch,,41.0
663423,Trent Thornton,91.6,plv,5.037,
607067,"Rea, Colin",91.5,arch,,40.0
656605,"Keller, Mitch",91.5,arch,,40.0
607625,"Lugo, Seth",91.5,arch,,40.0
641927,"Ober, Bailey",91.5,arch,,40.0
656464,Kevin Ginkel,91.5,plv,5.031,
605447,Jordan Romano,91.5,plv,5.031,
672456,"Montero, Keider",91.5,arch,,40.0
804267,"Thornton, Zach",91.5,arch,,40.0
593958,"Rodriguez, Eduardo",91.5,arch,,40.0
605135,"Bassitt, Chris",90.2,arch,,39.0
668820,Max Kranick,90.2,plv,5.03,
695076,"Lowder, Rhett",90.2,arch,,39.0
571578,"Corbin, Patrick",89.6,arch,,38.0
676664,"Sears, JP",89.6,arch,,38.0
663978,"Paddack, Chris",89.6,arch,,38.0
682227,"Williamson, Brandon",89.6,arch,,38.0
668678,"Gallen, Zac",89.4,arch,,37.0
691951,"Aldegheri, Sam",89.4,arch,,37.0
700241,"McGreevy, Michael",89.4,arch,,37.0
677976,"Dobnak, Randy",89.4,arch,,37.0
518876,"Kelly, Merrill",89.4,arch,,37.0
663568,"Kolek, Stephen",89.4,arch,,37.0
615698,"Quantrill, Cal",89.4,arch,,37.0
607259,"Martinez, Nick",89.4,arch,,37.0
676571,"Poulin, PJ",87.6,arch,,36.0
605288,"Houser, Adrian",87.6,arch,,36.0
641778,"Lauer, Eric",87.6,arch,,36.0
681190,"Vásquez, Randy",87.6,arch,,36.0
607200,"Fedde, Erick",87.6,arch,,36.0
656240,Scott Blewett,87.6,plv,5.026,
547179,"Lorenzen, Michael",86.9,arch,,35.0
608566,"Márquez, Germán",86.9,arch,,35.0
676083,"Junk, Janson",86.5,arch,,34.0
453286,"Scherzer, Max",86.4,arch,,33.0
665871,"Assad, Javier",86.4,arch,,33.0
680573,"Woods Richardson, Simeon",85.2,arch,,32.0
608372,"Sugano, Tomoyuki",84.6,arch,,31.0
500779,"Quintana, Jose",83.1,arch,,30.0
641793,"Littell, Zack",82.1,arch,,29.0
571945,"Mikolas, Miles",82.1,arch,,29.0
683352,"Bratt, Mitch",81.1,arch,,28.0
