mlb_id,player_name_fg,team,season,ip,g,gs,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
489446,Kirby Yates,TEX,,21.1,21.0,0.0,0.843750092724814,2.04147965465671,3.388112289437686,3.1684882687504667,0.33333333,0.12345679,0.15340909,,95.15628059440559,103.45030594405594,99.50564685314686,47.23241606606607,56.50358651651651,-0.05523987987987988
657044,Ryan Thompson,ARI,,26.0,24.0,0.0,1.0384616979657084,2.47417197964599,2.9627929356877205,2.6893314840148923,0.2,0.03,0.09798271,,118.81702566213804,98.70640455605873,111.31231617949773,55.64344772334294,52.23013953890491,-0.8253716138328528
623352,Josh Hader,HOU,,28.0,26.0,0.0,3.535714413666608,2.4164797511483935,2.1576289035902176,2.085046187266242,0.40540541,0.09009009,0.18595041,,111.64468367056139,104.93576232544886,116.49919065260755,74.56523811983472,51.403078533057865,-1.0055572933884296
676254,Ryan Walker,SFG,,32.0,32.0,1.0,2.8125001781154535,2.260229720897038,2.487235514550833,2.1252617995849583,0.34375,0.046875,0.13424125,,111.87915833582758,107.42734910954802,110.79125987728224,53.386703501945526,60.747345856031146,-0.8403160311284047
641729,Joe Jimenez,ATL,,24.0,24.0,0.0,2.625000218395162,2.1248130249583816,3.8258226234788335,3.4519479163980917,0.26804124,0.09278351,0.14285714,,103.23141025641023,105.81853683353684,107.13071632071629,47.68496224867724,62.81042947089946,-0.4484266666666666
674003,Cody Bradford,TEX,,19.1,3.0,3.0,1.3965518159900412,2.390617658295328,4.142631252468346,3.7831873329847294,0.23943662,0.02816901,0.11235955,,92.50988764044943,111.56636704119849,100.96936329588014,43.66463161048689,66.12311205992509,-0.346006404494382
663542,Bryan Hudson,MIL,,33.2,22.0,0.0,1.0693070436503396,2.89915301737721,3.043160273592548,2.647413948014892,0.312,0.064,0.12625251,,101.83110542452427,105.60090887758422,104.00530681876576,60.39726613226453,60.631138817635275,-0.9552548296593184
671096,Andrew Abbott,CIN,,69.0,12.0,12.0,3.3913043946985493,4.746189945051086,4.742376406460004,4.634378597672239,0.18439716,0.06382979,0.08325792,,94.15932277471892,97.27995127709342,91.24443884683042,49.46622112217195,48.06386176470588,0.2779741266968326
683155,Joey Estes,OAK,,27.0,5.0,5.0,4.6666668314992705,3.0553686632540984,4.500419139018831,4.408721664206485,0.23364486,0.05607477,0.11519608,,96.36529411764704,106.23313725490195,96.73632352941176,40.06696046568627,64.35477671568628,-0.2756003676470588
519326,Hunter Strickland,LAA,,26.0,26.0,0.0,1.7307694291574942,2.6280181781074634,4.047105933281797,3.6336370400896096,0.21649485,0.05154639,0.09819121,,113.86784253386581,107.11165366846761,119.74242724401638,62.39278209302324,60.740033204134356,-0.8811804651162792
542881,Tyler Anderson,LAA,,76.0,12.0,12.0,2.3684211120711156,4.692795606068959,5.242280917928906,5.3235502042878124,0.16339869,0.10457516,0.11675579,,97.3501925664847,94.38027462210971,91.16609897286463,51.832472468805705,52.49422899286987,0.15491103386809268
682243,Bryce Miller,SEA,,70.2,12.0,12.0,3.183962292796821,3.987234502655198,3.8037352972554084,3.737267404125927,0.25724638,0.06884058,0.11531191,,105.92209826955698,105.70244731867474,110.08235820243586,51.55192389413988,54.9161827410208,-0.8984408412098297
601713,Nick Pivetta,BOS,,42.1,8.0,8.0,3.4015749053226654,3.8515191689450545,3.1092294655146473,2.9943098760530455,0.31097561,0.05487805,0.13023256,,108.02390697674419,108.24424806201552,115.2933953488372,57.90539131782946,65.13862003100776,-0.88808896124031
688107,Robert Gasser,MIL,,28.0,5.0,5.0,2.5714285714285716,3.3807654925755095,4.180203671114786,4.344839576023173,0.14035088,0.00877193,0.10776942,,105.36409568224359,98.24054630246502,101.01440436534374,46.39380571428571,49.87760766917293,-1.1166267669172933
554340,Yimi Garcia,TOR,,25.0,24.0,0.0,2.1600003501892657,2.646479693984972,3.3604095609479554,2.580757722328789,0.35106383,0.07446809,0.14324324,,126.11858212058212,100.72963825363827,122.92287733887734,60.78959010810811,57.10860764864865,-0.915687027027027
593423,Frankie Montas,CIN,,54.0,11.0,11.0,4.000000145700248,4.629442794541275,4.736267576176808,4.758239306069232,0.18103448,0.0862069,0.09880565,,101.23309309380988,102.32235870054798,103.71349638937761,47.29008545059718,56.135376492942456,-0.0774444733984799
657514,Brennan Bernardino,BOS,,25.0,21.0,2.0,0.7200001167297553,2.6064796874999856,3.876566954638786,3.6382784276843276,0.27173913,0.10869565,0.075,,105.18518456790126,86.95818179012345,86.83051358024692,44.69830124999999,47.05416330555556,0.39719663888888884
681293,Spencer Arrighetti,HOU,,46.2,10.0,10.0,5.785714482774546,4.002194092468341,4.229345964014231,4.323162959303966,0.25581395,0.12093023,0.11986301,,94.30141277834375,103.0087716319757,98.91792245200489,57.17279319634704,56.290447602739725,-0.28636872146118725
445276,Kenley Jansen,BOS,,18.2,19.0,0.0,2.8928572506244734,2.362908319782997,3.901916933448507,3.521960934812333,0.30379747,0.12658228,0.11437908,,122.60121409348051,95.50150354259351,115.04613253144394,42.524805490196066,56.95154375816995,-0.1802325163398693
571670,Dylan Floro,WSN,,30.1,30.0,0.0,1.1868133998093182,2.540106039501544,3.6865741576669375,3.8310036767246087,0.19166667,0.075,0.0840708,,92.19494129554656,102.9712093678717,94.72747183308853,34.659229977876116,62.474218230088496,0.15336924778761063
573009,Joe Mantiply,ARI,,22.1,28.0,1.0,4.0298522824597915,2.360509321797837,3.849951006154001,3.706555252582123,0.2,0.06666667,0.14193548,,105.28023701914783,94.64219837847159,99.55353803691565,48.353507387096776,54.115338451612914,0.03785270967741931
664285,Framber Valdez,HOU,,54.2,9.0,9.0,3.951219627078557,3.9713578504724647,3.5014593958667035,3.6349403451519335,0.18918919,0.07657658,0.1011236,,104.48306068253999,94.75249637874556,101.7591902735962,48.69092456928839,39.387847328339575,-0.1762971285892634
681035,Christian Scott,NYM,,27.2,5.0,5.0,3.903614547536794,3.527925569728387,4.304323283312545,4.05232722048911,0.22321429,0.05357143,0.11453744,,102.88729123837493,96.77015810083209,100.20911062163485,58.03719907488987,47.602388193832596,-0.04301766519823789
664126,Pete Fairbanks,TBR,,19.0,20.0,0.0,3.3157894736842106,2.429637673026637,3.6233285200439003,3.7573562715148925,0.275,0.125,0.09121622,,116.36868618618617,84.96412912912913,99.15132882882882,56.273213175675686,39.079818209459454,0.4100700675675675
690986,Kyle Harrison,SFG,,71.0,13.0,13.0,4.183098591549296,4.124226257163034,4.392969307303429,4.2235032830132155,0.21172638,0.07166124,0.09388458,,91.55940275257939,103.9784083786904,94.39732127476317,38.57861013781223,52.233545322997415,0.32457056847545224
669093,Jeremiah Estrada,SDP,,19.0,16.0,0.0,0.9473686201751156,1.692795258017393,2.441013905386506,2.0605762361517814,0.41891892,0.09459459,0.1589404,,102.46374172185432,114.45179221854306,119.63167632450329,68.88433529801324,47.04491890728477,-0.44245185430463563
670167,John Schreiber,KCR,,26.0,28.0,0.0,2.7692312009236484,2.9357105115461577,4.389564974937974,4.077390903482893,0.16363636,0.06363636,0.06398104,,98.8929383886256,111.58251184834121,107.66872037914692,51.20593142180095,56.566518293838854,-0.20510253554502375
547179,Michael Lorenzen,TEX,,54.2,9.0,9.0,2.9634146686113714,4.282333449803954,4.476243579701113,4.849437592016499,0.2037037,0.12037037,0.09601874,,94.45904444202385,96.83852835136463,91.38486384992727,44.57523525761125,47.34001270491803,0.5200795081967213
594902,Ben Lively,CLE,,50.2,9.0,9.0,2.8421054058127857,3.9954271883185246,4.258491281048434,4.187657640183735,0.23267327,0.07425743,0.08690176,,83.48927961767437,105.869110827354,87.55552188389757,28.518033047858943,50.9141933627204,0.07934232997481108
694973,Paul Skenes,PIT,,27.0,5.0,5.0,3.0,3.055368667178684,2.2494489680837706,2.4543970945932854,0.35514019,0.05607477,0.14806867,,110.25019048829154,116.43630238173152,123.90650388099527,61.74416896995708,64.56954637339055,-0.8985642489270387
675627,Michael Grove,LAD,,32.1,24.0,1.0,4.7319591059950055,2.9499849172312,3.2214135970081195,2.89806681489731,0.31111111,0.08888889,0.12713472,,92.88921726755217,108.96354680581912,103.00535895003163,58.36769783681214,51.36376576850096,0.040223453510436435
687765,Mitch Spence,OAK,,44.1,15.0,4.0,3.857143138904469,3.3243745266660016,3.877104335342943,3.873636214324122,0.20441989,0.0718232,0.11251758,,104.31639697530494,105.64508744685035,112.37539452011539,54.05472462728551,49.75380317862165,-0.4983735443037975
592791,Jameson Taillon,CHC,,49.1,9.0,9.0,3.4662163725641264,4.119182523965315,4.530274699354507,4.6363677820550695,0.16431925,0.06103286,0.08173691,,93.9069603790663,108.02447839881339,99.64491079573592,43.307785925925934,65.88118933588761,-0.2975513920817369
689147,Orion Kerkering,PHI,,21.1,20.0,0.0,1.265625075437133,2.0414797112345657,2.962859888694554,2.6478915191616412,0.25301205,0.04819277,0.11206897,,122.92325817860302,107.86156056587092,124.3773717948718,66.39773991379312,64.94136235632183,-1.2664207183908045
502043,Kyle Gibson,STL,,70.2,12.0,12.0,3.6933962596443126,4.3976118648378995,4.196902970906008,4.438826871418185,0.20477816,0.09556314,0.10554562,,85.90139905152047,98.28152683494724,93.15868206278182,46.566843953488366,43.339092021466904,0.7085908050089446
668941,JoJo Romero,STL,,31.0,29.0,0.0,2.03225832241014,3.0051894352413715,2.7713886484964925,2.579099313037376,0.26271186,0.03389831,0.11904762,,106.70972175253054,104.09718835164603,107.02863072582824,52.17960226373628,58.6685681098901,-0.38148476923076924
663554,Casey Mize,DET,,53.2,11.0,11.0,4.695652312985187,4.154057447290648,4.306563274564832,4.59999312305533,0.15899582,0.06694561,0.0856531,,99.49371453954971,104.95958481936938,103.9699744839643,51.42311041755888,58.64368256959315,-0.22067416488222696
677053,Andrew Nardi,MIA,,22.1,28.0,0.0,5.238807023434841,2.315733338586701,3.4938926155400822,3.013961288827407,0.29166667,0.07291667,0.13461538,,110.99870192307692,103.204375,112.3797596153846,64.18785437500001,60.30554894230769,-1.0209048557692308
621237,Jose Alvarado,PHI,,27.1,29.0,0.0,2.9634148980192476,3.093309040067098,3.3037545416349023,3.3431285173356895,0.26851852,0.09259259,0.12272727,,113.01678099173556,99.42121782762693,118.01717119244394,59.991213431818174,54.05046661363636,-0.2137925227272727
