mlb_id,player_name_fg,team,ip,g,gs,tbf,so,h,er,r,bb,hbp,hr,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
625643,Reynaldo Lopez,ATL,5.0,1.0,1.0,25.0,1.0,9.0,3.0,3.0,2.0,0.0,1.0,5.4,6.535136318206787,5.785223495960236,6.3555182649295805,0.04,0.08,0.0212766,,97.48645161290322,95.90516129032258,92.09956989247313,39.7988,41.77882,0.57363
681982,Grant Anderson,MIL,34.1,29.0,0.0,149.0,36.0,28.0,14.0,16.0,18.0,0.0,5.0,3.6699036856559535,4.504068645395913,4.362160846872775,4.108891613630771,0.24161074,0.12080537,0.13458262,,100.83521386297981,100.374228231269,101.88329443386722,55.947527717206135,51.877231737649055,-0.07986976149914822
666171,Ryan Zeferjahn,LAA,25.0,29.0,0.0,111.0,32.0,25.0,14.0,14.0,13.0,1.0,5.0,5.040001051426153,4.855136677026824,3.488527843765637,3.496132247967592,0.28828829,0.11711712,0.13763441,,110.65678989512475,97.04959699138263,106.22385832182599,52.78763387096774,47.37220952688173,-0.10720707526881718
665625,Elvis Peguero,MIL,7.1,6.0,0.0,36.0,5.0,8.0,4.0,6.0,4.0,1.0,1.0,4.9090918002051405,5.589682218309358,5.919326798321881,5.188902216701201,0.13888889,0.11111111,0.14383562,,102.80095890410962,95.5213698630137,97.71945205479453,55.95308952054794,35.28064534246575,0.5386722602739725
681146,Jonah Bride,MIN,5.0,3.0,0.0,28.0,1.0,9.0,5.0,5.0,2.0,2.0,1.0,9.0,7.735136318206787,9.4520063996315,7.492513512630933,0.03571429,0.07142857,0.03614458,,50.38893981520487,91.94461173364789,50.39277557783581,20.0,20.0,2.7837706024096387
671131,Jackson Rutledge,WSN,30.0,23.0,0.0,137.0,27.0,33.0,18.0,20.0,13.0,5.0,4.0,5.40000090122238,4.868469940821378,4.933832485656893,4.264196043259563,0.19708029,0.09489051,0.12478336,,103.05282611207394,90.19567533217794,89.85654716513989,44.613850606585785,46.25422965337955,0.6138219064124782
686747,Joe La Sorsa,CIN,2.0,2.0,0.0,12.0,0.0,5.0,4.0,4.0,2.0,0.0,1.0,18.0,12.635136318206786,9.218614947795867,8.338022564125136,0.0,0.16666667,0.0,,95.08055555555556,78.75944444444445,74.67888888888888,34.44171333333333,57.28010111111111,0.8460588888888889
805123,A.J. Blubaugh,HOU,4.0,1.0,1.0,19.0,6.0,5.0,2.0,7.0,1.0,0.0,2.0,4.5,7.385136318206787,3.583180119097233,3.1776545367004956,0.31578947,0.05263158,0.14285714,,102.84166666666665,107.68809523809526,105.54428571428573,51.83516,59.213170000000005,-0.4279800000000001
642708,Amed Rosario,WSN,1.0,1.0,0.0,10.0,0.0,5.0,4.0,4.0,2.0,0.0,1.0,36.0,22.135136318206786,12.218614947795867,8.29808146492958,0.0,0.2,0.0,,46.935714285714276,77.33714285714284,30.02857142857143,20.0,80.0,-0.34722
596142,Gary Sanchez,BAL,1.0,1.0,0.0,7.0,0.0,2.0,4.0,4.0,1.0,1.0,1.0,36.0,22.135136318206786,13.760354262590408,8.655998183949418,0.0,0.14285714,0.0,,51.618947368421054,81.98736842105264,47.550526315789476,25.66404,20.0,2.26819
656896,Emmanuel Rivera,BAL,1.0,1.0,0.0,13.0,0.0,8.0,8.0,8.0,2.0,0.0,1.0,72.0,22.135136318206786,16.84383289217949,8.112859674005971,0.0,0.15384615,0.02222222,,38.652,67.34088888888888,15.331999999999994,29.2466,20.0,2.51998
680604,Blas Castano,SEA,3.0,1.0,0.0,16.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,9.0,9.801802984873454,9.065861386060716,7.2017474024295804,0.0625,0.125,0.02,,75.35600000000001,82.9496,68.35,53.07061000000001,20.16602,1.57786
