pick_no,player_name,team_abbr,position,round,fantasy_team
92,Royce Lewis,Min,3B,12,U Just Lost To Yainer Diaz
93,Hunter Greene,Cin,SP,12,Big Scoops For All
94,Andres Munoz,Sea,RP,12,Bregman's Wheelbarrows
95,Ian Happ,ChC,LF,12,WAR What Is It Good For?
96,Bobby Miller,LAD,SP,12,New York Ligers
97,Eury Perez,Mia,SP,13,New York Ligers
98,Nick Pivetta,FA,RP,13,WAR What Is It Good For?
99,Paul Sewald,FA,RP,13,Bregman's Wheelbarrows
100,Clay Holmes,NYM,RP,13,Big Scoops For All
101,Evan Phillips,LAD,RP,13,U Just Lost To Yainer Diaz
102,Ryan Helsley,StL,RP,13,Team Solomon
103,Anthony Santander,Tor,RF,13,Jersey St Green Monsters
104,Ha-Seong Kim,FA,2B,13,Big Dumpers
105,Tanner Bibee,Cle,SP,14,Big Dumpers
106,Jordan Montgomery,Ari,SP,14,Jersey St Green Monsters
107,Adolis Garcia,Tex,RF,14,Team Solomon
108,Yainer Diaz,Hou,C,14,U Just Lost To Yainer Diaz
109,Craig Kimbrel,FA,RP,14,Big Scoops For All
110,David Bednar,Pit,RP,14,Bregman's Wheelbarrows
111,J.T. Realmuto,Phi,C,14,WAR What Is It Good For?
112,Triston Casas,Bos,1B,14,New York Ligers
113,Chris Sale,Atl,SP,15,New York Ligers
114,Isaac Paredes,Hou,3B,15,WAR What Is It Good For?
115,Jose Berrios,Tor,SP,15,Bregman's Wheelbarrows
116,Nick Castellanos,Phi,RF,15,Big Scoops For All
117,Masataka Yoshida,Bos,LF,15,U Just Lost To Yainer Diaz
118,Matt McLain,Cin,SS,15,Team Solomon
119,Vinnie Pasquantino,KC,1B,15,Jersey St Green Monsters
120,Cedric Mullins,Bal,CF,15,Big Dumpers
121,Pete Fairbanks,TB,RP,16,Big Dumpers
122,Sonny Gray,StL,SP,16,Jersey St Green Monsters
123,Bailey Ober,Min,SP,16,Team Solomon
124,Spencer Steer,Cin,1B,16,U Just Lost To Yainer Diaz
125,Nolan Jones,Col,LF,16,Big Scoops For All
126,CJ Abrams,Wsh,SS,16,Bregman's Wheelbarrows
127,Cristian Javier,Hou,SP,16,WAR What Is It Good For?
128,Tanner Scott,FA,RP,16,New York Ligers
129,Elly De La Cruz,Cin,SS,17,New York Ligers
130,Dansby Swanson,ChC,SS,17,WAR What Is It Good For?
131,Josh Naylor,Ari,1B,17,Bregman's Wheelbarrows
132,Adbert Alzolay,FA,RP,17,Big Scoops For All
133,Hunter Brown,Hou,SP,17,U Just Lost To Yainer Diaz
134,Max Muncy,LAD,3B,17,Team Solomon
135,Jose Alvarado,Phi,RP,17,Jersey St Green Monsters
136,Jake Cronenworth,SD,1B,17,Big Dumpers
137,Lourdes Gurriel Jr.,Ari,LF,18,Big Dumpers
138,Walker Buehler,Bos,SP,18,Jersey St Green Monsters
139,Alex Lange,Det,RP,18,Team Solomon
140,Shane Bieber,Cle,SP,18,U Just Lost To Yainer Diaz
141,Jeff McNeil,NYM,2B,18,Big Scoops For All
142,Alec Bohm,Phi,3B,18,Bregman's Wheelbarrows
143,Jorge Soler,LAA,RF,18,WAR What Is It Good For?
144,Spencer Torkelson,Det,1B,18,New York Ligers
145,Yu Darvish,SD,SP,19,New York Ligers
146,Seiya Suzuki,ChC,RF,19,WAR What Is It Good For?
147,Jung Hoo Lee,SF,CF,19,Bregman's Wheelbarrows
148,Reid Detmers,LAA,SP,19,Big Scoops For All
149,Bryson Stott,Phi,2B,19,U Just Lost To Yainer Diaz
150,Michael King,SD,RP,19,Team Solomon
151,Carlos Rodon,NYY,SP,19,Jersey St Green Monsters
152,Jose Leclerc,Oak,RP,19,Big Dumpers
153,TJ Friedl,Cin,CF,20,Big Dumpers
154,Keibert Ruiz,Wsh,C,20,Jersey St Green Monsters
155,Willson Contreras,StL,C,20,Team Solomon
156,Marcell Ozuna,Atl,DH,20,U Just Lost To Yainer Diaz
157,Ke'Bryan Hayes,Pit,3B,20,Big Scoops For All
158,J.P. Crawford,Sea,SS,20,Bregman's Wheelbarrows
159,Kenley Jansen,FA,RP,20,WAR What Is It Good For?
160,Teoscar Hernandez,LAD,RF,20,New York Ligers
161,Sean Murphy,Atl,C,21,New York Ligers
162,Salvador Perez,KC,C,21,WAR What Is It Good For?
163,Kodai Senga,NYM,SP,21,Bregman's Wheelbarrows
164,Daulton Varsho,Tor,LF,21,Big Scoops For All
165,Jake Irvin,Wsh,SP,21,U Just Lost To Yainer Diaz
166,Lane Thomas,Cle,RF,21,Team Solomon
167,Charlie Morton,Bal,SP,21,Jersey St Green Monsters
168,Cal Raleigh,Sea,C,21,Big Dumpers
169,Eduardo Rodriguez,Ari,SP,22,Big Dumpers
170,Carlos Estevez,FA,RP,22,Jersey St Green Monsters
171,Oneil Cruz,Pit,SS,22,Team Solomon
172,Yennier Cano,Bal,RP,22,U Just Lost To Yainer Diaz
173,Nathan Eovaldi,FA,SP,22,Big Scoops For All
174,Shota Imanaga,ChC,SP,22,Bregman's Wheelbarrows
175,Josh Lowe,TB,RF,22,WAR What Is It Good For?
176,A.J. Puk,Ari,RP,22,New York Ligers
177,Andres Gimenez,Tor,2B,23,New York Ligers
178,Gabriel Moreno,Ari,C,23,WAR What Is It Good For?
179,Taylor Ward,LAA,LF,23,Bregman's Wheelbarrows
180,Josh Bell,Wsh,1B,23,Big Scoops For All
181,Willy Adames,SF,SS,23,U Just Lost To Yainer Diaz
182,Justin Verlander,SF,SP,23,Team Solomon
183,Riley Greene,Det,CF,23,Jersey St Green Monsters
184,Justin Turner,FA,1B,23,Big Dumpers
185,Matt Strahm,Phi,RP,24,Big Dumpers
186,Jordan Walker,StL,RF,24,Jersey St Green Monsters
187,Devin Williams,NYY,RP,24,Team Solomon
188,Max Kepler,Phi,RF,24,U Just Lost To Yainer Diaz
189,Triston McKenzie,Cle,SP,24,Big Scoops For All
190,Robert Suarez,SD,RP,24,Bregman's Wheelbarrows
191,Kyle Bradish,Bal,SP,24,WAR What Is It Good For?
192,Carlos Correa,Min,SS,24,New York Ligers
193,Bryan Abreu,Hou,RP,25,New York Ligers
194,Bryce Miller,Sea,SP,25,WAR What Is It Good For?
195,Tommy Edman,LAD,2B,25,Bregman's Wheelbarrows
196,A.J. Minter,FA,RP,25,Big Scoops For All
197,Hector Neris,FA,RP,25,U Just Lost To Yainer Diaz
198,Trevor Story,Bos,SS,25,Team Solomon
199,Luis Rengifo,LAA,2B,25,Jersey St Green Monsters
200,MacKenzie Gore,Wsh,SP,25,Big Dumpers
201,Andrew Benintendi,ChW,LF,26,Big Dumpers
202,Sandy Leon,KC,C,26,Jersey St Green Monsters
203,Nolan Gorman,StL,2B,26,Team Solomon
204,Hyun Jin Ryu,FA,SP,26,U Just Lost To Yainer Diaz
205,Thairo Estrada,Col,2B,26,Big Scoops For All
206,Luis Guillorme,Ari,2B,26,Bregman's Wheelbarrows
207,Kyle Finnegan,FA,RP,26,WAR What Is It Good For?
208,Wyatt Langford,Tex,LF,26,New York Ligers
