batter,pa_to,prior_fp_per_pa,xfp_rh3_per_pa,replacement_xfp_per_pa,replacement_delta,signal,ros_full_fp_per_pa,ros_pa
656582,271,0.4807012597031777,0.4564807438091532,0.4218491575062864,0.034631586302866835,hold,0.3482,146.0
656716,135,0.4013630936402148,0.3299277556773993,0.4218491575062864,-0.09192140182888708,drop,0.4113,190.0
656775,246,0.5727445961902676,0.5094837098100113,0.4218491575062864,0.08763455230372497,add,0.5746,253.0
656811,235,0.4751480473146298,0.5568543211065274,0.4218491575062864,0.13500516360024106,add,0.5189,259.0
656896,139,0.43822535842896077,0.3637167373531905,0.4218491575062864,-0.05813242015309589,drop,0.427,163.0
656941,363,0.5814903792210054,0.540010845086815,0.4218491575062864,0.11816168758052858,add,0.6092,330.0
656976,61,0.4559764585835403,0.5022305770924488,0.4218491575062864,0.0803814195861624,add,0.7842,97.0
657041,226,0.5011748833580774,0.522962602222473,0.4218491575062864,0.10111344471618666,add,0.3975,303.0
657077,324,0.5489483077444569,0.5370124812818852,0.4218491575062864,0.11516332377559879,add,0.4127,297.0
657136,224,0.3497348119462335,0.4324018520712703,0.4218491575062864,0.010552694564983922,hold,0.3616,264.0
657557,269,0.3271573842121604,0.38189104126741036,0.4218491575062864,-0.03995811623887602,drop,0.3268,213.0
657656,118,0.41847308942886824,0.3579519208491059,0.4218491575062864,-0.0638972366571805,drop,0.4673,182.0
657757,277,0.4528663122918524,0.47492661313573936,0.4218491575062864,0.053077455629452985,hold,0.2486,225.0
658668,174,0.5369701964523733,0.466842552712618,0.4218491575062864,0.04499339520633161,hold,0.2296,22.0
660271,349,0.7195978763847017,0.7778015569376047,0.4218491575062864,0.3559523994313183,add,0.7978,371.0
660644,154,0.31852144118762327,0.33998974791052594,0.4218491575062864,-0.08185940959576044,drop,0.3259,124.0
660688,214,0.5301693599198002,0.4867956777513931,0.4218491575062864,0.06494652024510672,hold,0.5408,271.0
660707,247,0.3651522749077151,0.39796985482075803,0.4218491575062864,-0.023879302685528347,drop,-0.7935,1.0
660821,246,0.4537340125366663,0.46348212942215317,0.4218491575062864,0.04163297191586679,hold,0.4638,292.0
661388,352,0.5501979451254413,0.5484405012714458,0.4218491575062864,0.12659134376515946,add,0.633,327.0
662139,274,0.491876847076585,0.48920142641930026,0.4218491575062864,0.06735226891301388,add,0.4185,239.0
663368,251,0.47572296191980273,0.4042081578790845,0.4218491575062864,-0.017640999627201892,drop,0.3492,183.0
663457,164,0.5648999733028114,0.5597796707475633,0.4218491575062864,0.13793051324127692,add,0.5145,241.0
663527,167,0.34054452072206226,0.37524821255825896,0.4218491575062864,-0.04660094494802741,drop,0.2772,111.0
663538,302,0.5970974397550008,0.529121993102171,0.4218491575062864,0.10727283559588463,add,0.5542,339.0
663586,278,0.6076118458217034,0.5397368260428949,0.4218491575062864,0.11788766853660848,add,0.5298,192.0
663616,171,0.3812787947338395,0.48501028333370055,0.4218491575062864,0.06316112582741418,hold,0.5427,230.0
663624,315,0.5098716179231877,0.5394536593088022,0.4218491575062864,0.1176045018025158,add,0.3558,192.0
663647,237,0.4667865837953102,0.45786203187814634,0.4218491575062864,0.03601287437185996,hold,0.2786,159.0
663656,262,0.7448803474266488,0.7417990712315397,0.4218491575062864,0.3199499137252533,add,0.7643,77.0
663662,63,0.39848712775344836,0.39496494580236996,0.4218491575062864,-0.026884211703916416,drop,0.2965,123.0
663697,298,0.5344471347626284,0.495074626353065,0.4218491575062864,0.07322546884677861,add,0.512,339.0
663698,70,0.26899179619999725,0.38248568069668015,0.4218491575062864,-0.039363476809606224,drop,0.5338,213.0
663728,291,0.46630829559755577,0.48678930243856366,0.4218491575062864,0.06494014493227729,hold,0.5574,337.0
663743,157,0.4326826390808874,0.4229844540869948,0.4218491575062864,0.0011352965807084336,drop,0.4607,179.0
663757,82,0.41395254884367977,0.4070945697325544,0.4218491575062864,-0.014754587773731953,drop,0.4693,127.0
663837,272,0.44106273683668096,0.48655429162091857,0.4218491575062864,0.06470513411463219,hold,0.4899,298.0
663853,59,0.3280569851887555,0.39853705493952574,0.4218491575062864,-0.02331210256676064,drop,0.3901,157.0
663886,230,0.4718529531889723,0.535330976017714,0.4218491575062864,0.11348181851142758,add,0.5349,286.0
663898,246,0.5005803206234911,0.459006543734847,0.4218491575062864,0.03715738622856063,hold,0.419,293.0
663993,236,0.5066880854602441,0.48617021975407926,0.4218491575062864,0.06432106224779288,hold,0.512,332.0
664023,316,0.5172405201270357,0.49650473410627094,0.4218491575062864,0.07465557659998456,add,0.5687,344.0
664034,273,0.5290912607660861,0.4892475300142252,0.4218491575062864,0.06739837250793884,add,0.3866,263.0
664040,133,0.5513585890202971,0.4910843597648545,0.4218491575062864,0.06923520225856811,add,0.5285,292.0
664056,237,0.5057560702978333,0.48080129029362817,0.4218491575062864,0.05895213278734179,hold,0.3753,195.0
664238,245,0.4534103961020097,0.4603876613082958,0.4218491575062864,0.038538503802009405,hold,0.3525,197.0
664728,210,0.4469533760040188,0.48661374838597266,0.4218491575062864,0.06476459087968628,hold,0.4293,216.0
664761,335,0.5173480744141613,0.5916438742333073,0.4218491575062864,0.16979471672702096,add,0.5418,272.0
664774,166,0.5282784055840944,0.4890439179998505,0.4218491575062864,0.0671947604935641,hold,0.397,235.0
664901,121,0.4019268148802839,0.354289981263542,0.4218491575062864,-0.06755917624274438,drop,0.2918,21.0
664913,195,0.4683867786375347,0.3616179374053652,0.4218491575062864,-0.06023122010092119,drop,0.4412,207.0
664983,206,0.5014000826153786,0.45336259856947886,0.4218491575062864,0.03151344106319248,hold,0.551,289.0
665161,322,0.460808254038986,0.447453734280968,0.4218491575062864,0.025604576774681642,hold,0.4899,328.0
665487,335,0.6422950319769927,0.6017288635006184,0.4218491575062864,0.179879705994332,add,0.5806,93.0
665489,349,0.6730478283767114,0.6365958048057709,0.4218491575062864,0.21474664729948456,add,0.8631,348.0
665506,91,0.25052208462563563,0.24578329804405866,0.4218491575062864,-0.17606585946222772,drop,0.1259,92.0
665742,358,0.7242442787613954,0.7552923861197698,0.4218491575062864,0.3334432286134834,add,0.8099,356.0
665750,277,0.43538044143780036,0.41027130371753096,0.4218491575062864,-0.011577853788755421,drop,0.3812,252.0
