pitcher,player_name,pitch_type,pitch_group,pitches,plv,plv_raw,avg_velo,swing_rate,whiff_rate,e_xwoba_in_play,plv_pctile
683618,"Henriquez, Edgardo",SI,Fastball,91,5.150615742953557,-0.05014974195518878,100.91758241758244,0.4364557566032367,0.29096793772432433,0.30243315544332916,59.0
685299,"Gordon, Tanner",SL,Breaking,319,5.1501541141796405,-0.050166487809780766,84.18401253918498,0.5102446974328994,0.4418094704597597,0.3190089257682642,59.0
683175,"Phillips, Connor",FF,Fastball,198,5.1487644009250575,-0.05021690047337696,98.17929292929291,0.44934481027444884,0.291529560618364,0.3474599564146378,59.0
665795,"Cabrera, Edward",SL,Breaking,389,5.148760126635011,-0.050217055525755956,88.49074550128533,0.5014436464499223,0.4471890596801379,0.3131909152784516,58.9
691951,"Aldegheri, Sam",SL,Breaking,53,5.148639136636804,-0.05022144450892064,82.3584905660377,0.43748099770852567,0.489440249161598,0.3044042896048992,58.9
641386,"Bowden, Ben",FF,Fastball,110,5.148611612451206,-0.05022244296490042,93.4036363636364,0.4790140106975423,0.2158228087408474,0.36534954942862274,58.9
666200,"Luzardo, Jesús",FF,Fastball,1053,5.148452831141859,-0.050228202850047234,96.53029439696104,0.4846623322090074,0.24902573560074548,0.35730647380918645,58.8
622786,"Tinoco, Jesus",CH,Offspeed,53,5.147930702968069,-0.050247143355862174,89.15283018867925,0.45661935116378277,0.539530421882471,0.26313244330891017,58.8
669684,"Murphy, Chris",SL,Breaking,114,5.147651730191973,-0.050257263256976714,87.59122807017549,0.4151195399271304,0.36779922110014945,0.33767834586443973,58.8
666215,"Whitley, Forrest",FF,Fastball,86,5.147572201416147,-0.05026014820997596,96.2779069767442,0.4622460271935289,0.25508143615902135,0.35949917717238444,58.7
678692,"Henriquez, Ronny",SI,Fastball,25,5.146071848656335,-0.05031457438653178,95.036,0.3529359470330076,0.2947216383375557,0.3012224039470836,58.7
592779,"Stewart, Brock",FF,Fastball,332,5.145805834124026,-0.05032422421975065,96.18614457831328,0.5813908981754927,0.28061547984410934,0.36946680564546747,58.7
680732,"Burke, Sean",KC,Breaking,574,5.145487429923369,-0.05033577451892384,79.70749128919857,0.41499396072251565,0.3046167294608033,0.33822691631527174,58.6
608337,"Giolito, Lucas",SL,Breaking,606,5.145480968268736,-0.050336008919236605,85.97838283828382,0.46152324193724187,0.4795427863561511,0.30762304007466884,58.6
701519,"Adams, Travis",SL,Breaking,133,5.1454687411075675,-0.050336452466681114,85.62330827067667,0.4753473042297507,0.5472214082679804,0.2945172990720766,58.6
669923,"Kirby, George",FS,Offspeed,59,5.145467019204128,-0.05033651492973854,86.0440677966102,0.5724088254774756,0.38517725129690006,0.2974206489249732,58.5
694819,"Misiorowski, Jacob",CH,Offspeed,71,5.144425783195,-0.050374286376818886,92.29577464788731,0.49189667822566585,0.36243868555124054,0.2736468520477337,58.5
676879,"Ashby, Aaron",FF,Fastball,51,5.144173698790626,-0.050383430886474956,97.57058823529411,0.4909222971385306,0.3341956454383066,0.30867702705966665,58.5
664285,"Valdez, Framber",SL,Breaking,95,5.143807168788894,-0.05039672697731543,84.31157894736839,0.49183976222330433,0.4752493578854232,0.3114177759963565,58.4
592791,"Taillon, Jameson",ST,Breaking,330,5.143116562339387,-0.05042177913142113,80.19515151515144,0.5472569888488982,0.4340004276464597,0.3028384441809375,58.4
605488,"Springs, Jeffrey",SL,Breaking,575,5.142788836763467,-0.05043366756895026,83.48730434782607,0.4214974038835857,0.3598998198062632,0.34151677462251534,58.4
668909,"Williams, Gavin",FF,Fastball,1160,5.141640866043718,-0.050475310880275036,96.60344827586209,0.5104433256134792,0.26882067625129036,0.3660143649081525,58.3
682243,"Miller, Bryce",SL,Breaking,150,5.141638743760831,-0.05047538786733194,85.94600000000004,0.4172020468084057,0.40539929606085806,0.3275067831168804,58.3
657585,"Garrett, Reed",FF,Fastball,39,5.141536530498653,-0.05047909571338181,97.88717948717948,0.4861453892323381,0.2830009081076561,0.3371419424153621,58.3
676571,"Poulin, PJ",FF,Fastball,189,5.140811770249925,-0.05050538681659067,90.82645502645505,0.4327000123955807,0.2339345797279256,0.3537418119008373,58.2
606996,"Hart, Kyle",SL,Breaking,87,5.140758275040102,-0.05050732738671046,87.0425287356322,0.5223584382456699,0.3659582249333672,0.34177082936063685,58.2
650671,"Quijada, José",FF,Fastball,59,5.140522317101917,-0.05051588689934458,94.17796610169492,0.4008593033887318,0.3639486437696241,0.3345128597716862,58.2
671109,"Eder, Jake",SL,Breaking,55,5.14051923622131,-0.050515998660096074,87.79636363636365,0.5485439192264739,0.4195804675268069,0.3302928488856389,58.1
570632,"Ureña, José",SL,Breaking,243,5.140231602169538,-0.050526432754066986,87.53950617283952,0.49817962538151583,0.43567084879764134,0.3176928988347046,58.1
605447,"Romano, Jordan",SL,Breaking,454,5.139864650023057,-0.05053974415845594,85.8233480176211,0.5255264708784592,0.37522459088328364,0.3307859371491687,58.1
679885,"Martinez, Justin",SL,Breaking,31,5.138920448074026,-0.05057399563808042,91.46774193548387,0.42757070260266206,0.4715576575153366,0.3114083417317161,58.0
669020,"Rolison, Ryan",SL,Breaking,112,5.1389059840295905,-0.05057452032977778,85.46160714285713,0.4988371098488672,0.3571542982886832,0.3163609665962486,58.0
608372,"Sugano, Tomoyuki",FS,Offspeed,602,5.138644091044954,-0.05058402065143699,87.34152823920273,0.5228633677010511,0.46580096480704364,0.300194334256395,58.0
677958,"Rocker, Kumar",SL,Breaking,187,5.138400437480008,-0.05059285932744666,84.23957219251335,0.5055775138520784,0.4576712094135686,0.3114712751683183,57.9
677944,"Cecconi, Slade",CU,Breaking,346,5.138169742027327,-0.050601227940332116,75.51676300578036,0.41572936147045425,0.3878887836913619,0.3103822804493328,57.9
518886,"Kimbrel, Craig",KC,Breaking,44,5.1376915750353715,-0.05061857372848561,83.98863636363636,0.42926156167151036,0.44956570602732476,0.31529469613433975,57.9
663546,"Hjelle, Sean",KC,Breaking,91,5.137505070720721,-0.050625339281913775,85.76263736263735,0.4815305412315032,0.5025375308195801,0.292384975185125,57.8
668820,"Kranick, Max",SL,Breaking,213,5.13738210203784,-0.05062980004302597,89.94272300469487,0.5663714255910153,0.3350612218853101,0.34022858311340587,57.8
687362,"Gillispie, Connor",FF,Fastball,164,5.136650427352016,-0.05065634197149685,91.35243902439022,0.4392497857400908,0.30343784109553923,0.3365908626135053,57.8
662253,"Muñoz, Andrés",SL,Breaking,610,5.136480081121694,-0.05066252138093667,85.83245901639349,0.4499340963957335,0.4353639642703594,0.3122826089262018,57.7
669456,"Bieber, Shane",KC,Breaking,172,5.136412243410833,-0.05066498223369575,82.72209302325581,0.4934279711703962,0.39714789633604064,0.34115087209429773,57.7
623474,"Herget, Jimmy",ST,Breaking,405,5.136309307801419,-0.05066871628331526,77.7725925925926,0.5027748106445661,0.3434326481935596,0.31723155742980425,57.6
686973,"Varland, Louis",SL,Breaking,96,5.135736520310691,-0.05068949448557159,91.69270833333327,0.5042352801537376,0.4645327713258896,0.3185476549292598,57.6
571510,"Boyd, Matthew",CU,Breaking,332,5.135539234708874,-0.05069665113651664,73.53253012048197,0.36283752104265576,0.22636509134788213,0.329539959822587,57.6
696147,"Bachman, Sam",SI,Fastball,114,5.134760033758823,-0.05072491710810421,97.21228070175434,0.3646738846016487,0.22316184538659609,0.3385968885326857,57.5
605400,"Nola, Aaron",FC,Fastball,122,5.134757455442219,-0.05072501063805143,86.18524590163932,0.5114158821571776,0.3347173902910938,0.29827132323733696,57.5
682120,"Herrin, Tim",SL,Breaking,146,5.134305621584405,-0.05074140117631562,87.31301369863013,0.4699991395078549,0.4650638217755808,0.32004075833222956,57.5
682274,"Hiraldo, Yaramil",SL,Breaking,82,5.1342187053115484,-0.05074455411510371,86.5378048780488,0.48613955865286984,0.46742518840694885,0.3169827351727266,57.4
669194,"Nelson, Ryne",CU,Breaking,272,5.133785165511635,-0.05076028102568495,80.0095588235294,0.4416063945895225,0.3929375029674845,0.32102080104118697,57.4
663978,"Paddack, Chris",FF,Fastball,1177,5.133584819729444,-0.050767548686468364,93.73653355989815,0.5308235850698453,0.22519203952455752,0.3614406024263649,57.4
700249,"Povich, Cade",FF,Fastball,733,5.1334145289069735,-0.05077372608595588,92.22755798090041,0.481019639476189,0.24358047117984566,0.37824166159769845,57.3
621242,"Díaz, Edwin",SL,Breaking,505,5.13338289993904,-0.05077487344532292,89.12316831683174,0.4967800662862516,0.43744598264593637,0.31343188339848077,57.3
683627,"Molina, Anthony",SI,Fastball,29,5.133372889968351,-0.050775236562882346,94.91034482758621,0.2983161017930758,0.3235433057889345,0.28998515466117175,57.3
621107,"Eflin, Zach",ST,Breaking,162,5.132841782885225,-0.05079450278390097,79.22839506172838,0.4793428367216186,0.43251453904823217,0.31011823003145217,57.2
663878,"Pearson, Nate",FF,Fastball,137,5.132656118994648,-0.0508012378504527,97.47591240875913,0.5283874240680312,0.29130027278848625,0.36245596117808626,57.2
656186,"Altavilla, Dan",SL,Breaking,141,5.132106589534582,-0.05082117235400243,90.53758865248227,0.4925282007261603,0.4387200554278095,0.3190417220659647,57.2
663568,"Kolek, Stephen",CH,Offspeed,199,5.1303824939752944,-0.05088371493186978,87.4834170854271,0.4654512491705391,0.39031582568976647,0.28196782944953647,57.1
571578,"Corbin, Patrick",CH,Offspeed,240,5.12956707542913,-0.05091329471800368,81.55666666666669,0.4320162519181201,0.5455310702973039,0.29739066488375226,57.1
663559,"Falter, Bailey",CU,Breaking,259,5.1295111383637435,-0.05091532386786638,77.78764478764474,0.4354868868545893,0.3567542135542879,0.34706309494838017,57.1
622491,"Castillo, Luis",CH,Offspeed,356,5.12903973134052,-0.05093242443418859,87.14775280898874,0.4678887741525041,0.43526085361996497,0.2814152585009358,57.0
642121,"Sulser, Cole",CH,Offspeed,151,5.128722261351852,-0.05094394084427364,84.02913907284767,0.552106071555504,0.4917618432018318,0.3024943053951827,57.0
688107,"Gasser, Robert",SI,Fastball,29,5.127856137530593,-0.05097535999400821,92.80344827586205,0.27257746921606624,0.27980941793824776,0.318081940467908,57.0
664192,"Lucchesi, Joey",CU,Breaking,169,5.126494783045297,-0.05102474392661167,77.80887573964495,0.3750980727370993,0.42908625100464864,0.30782755487115043,56.9
808963,"Sasaki, Roki",ST,Breaking,97,5.126277287874126,-0.05103263369154103,81.92783505154637,0.3651335760911672,0.40512740832841293,0.3225317302820786,56.9
676755,"Mattson, Isaac",FF,Fastball,610,5.1257915512627426,-0.051050254072080366,93.8788524590163,0.519004627903106,0.25462387738467945,0.36130978229929295,56.9
471911,"Carrasco, Carlos",SL,Breaking,194,5.125712844015102,-0.051053109223662595,84.40206185567008,0.478897550837761,0.42626254017969023,0.31331608162552876,56.8
595345,"Okert, Steven",FF,Fastball,441,5.125075108764335,-0.05107624344401639,91.97823129251701,0.47110993549968183,0.24806755251095453,0.3715417406122806,56.8
622491,"Castillo, Luis",FF,Fastball,1474,5.124450831765758,-0.05109888945837703,94.97055630936227,0.522609757538567,0.2747425927384418,0.3545841107609873,56.8
680730,"Parker, Mitchell",CU,Breaking,594,5.1244486066736386,-0.05109897017489889,81.1382154882155,0.46619811565454766,0.33906937100721957,0.35173531665257923,56.7
668984,"Legumina, Casey",SI,Fastball,198,5.123994651220219,-0.05111543767528839,93.91818181818186,0.460328043557602,0.18167018716366432,0.3323194641562341,56.7
663423,"Thornton, Trent",CU,Breaking,123,5.123959391392663,-0.05111671674621841,80.96260162601628,0.480987375629855,0.3098135947948465,0.33647004901674243,56.7
676917,"Cavalli, Cade",FC,Fastball,63,5.123277132143003,-0.05114146610075254,93.64285714285714,0.4890991368482192,0.3175595789000434,0.29562460871622337,56.6
506433,"Darvish, Yu",FF,Fastball,198,5.123132580711367,-0.051146709788737234,93.88737373737372,0.4755306851282234,0.23973743479720647,0.36982398391384647,56.6
625643,"López, Reynaldo",SL,Breaking,59,5.122819951572928,-0.05115805059414058,82.96610169491525,0.44037759557317874,0.5464815091696623,0.2931270444611132,56.6
657277,"Webb, Logan",SI,Fastball,1104,5.122730190818424,-0.051161306718168924,92.5657608695652,0.36847462545072013,0.20332561945952327,0.33186012408901977,56.5
623167,"Flexen, Chris",SL,Breaking,60,5.12201449443602,-0.051187269024309624,80.98833333333336,0.5094644279542339,0.470932447114213,0.31724846070823065,56.5
608371,"Sims, Lucas",FF,Fastball,125,5.121916101584776,-0.051190838282711495,94.82560000000001,0.3876061510366436,0.3255219842477653,0.35227621696516065,56.5
645261,"Alcantara, Sandy",CH,Offspeed,671,5.121574911659046,-0.0512032151474288,90.42771982116257,0.5651462108450539,0.3970018162366662,0.2967111968037149,56.4
678368,"Bellozo, Valente",ST,Breaking,227,5.121116325491623,-0.05121985062968556,78.67577092511019,0.5043918579482534,0.4089324419790875,0.3087488277818028,56.4
621139,"Kriske, Brooks",FF,Fastball,133,5.120642547277997,-0.0512370372123304,93.38571428571433,0.3879966862750684,0.29177038807036865,0.3646236093474082,56.4
663559,"Falter, Bailey",SL,Breaking,369,5.1202416931911285,-0.05125157842949578,85.02601626016259,0.5247775337777804,0.40382062735257357,0.3209806938058768,56.3
579328,"Kikuchi, Yusei",CU,Breaking,481,5.1202219786307825,-0.051252293586738114,79.92349272349269,0.4758347091953662,0.3113544691796484,0.34445589901732515,56.3
615698,"Quantrill, Cal",FS,Offspeed,419,5.119846683312038,-0.05126590764459543,86.34176610978523,0.5292336543853109,0.3993013727330843,0.3004617253467899,56.3
670912,"Oviedo, Johan",CU,Breaking,105,5.119236292411218,-0.0512880499326133,77.74,0.40709277227788876,0.2953030333694562,0.33867792034175004,56.2
682120,"Herrin, Tim",CU,Breaking,312,5.119110083461929,-0.05129262823629032,81.30416666666669,0.45579975863592653,0.4278151408866803,0.3153204215093255,56.2
519326,"Strickland, Hunter",CH,Offspeed,30,5.119056306508272,-0.05129457902683288,87.65333333333334,0.4998767340491311,0.38448483825941604,0.28327216955045714,56.2
670990,"Ramírez, Yohan",FF,Fastball,270,5.118527386894749,-0.05131376589610828,96.4081481481482,0.4846302579127233,0.2750844748991294,0.36840906729489253,56.1
676760,"Marinaccio, Ron",FF,Fastball,111,5.1184920106097715,-0.051315049191599585,94.07027027027029,0.47318353275934694,0.2750995170363857,0.35199674476551024,56.1
554431,"Matzek, Tyler",SL,Breaking,42,5.118406612580864,-0.05131814705519771,84.35000000000001,0.5770056263224516,0.43410278619144016,0.3210284018929801,56.1
660853,"De Los Santos, Enyel",SL,Breaking,397,5.118314951283909,-0.05132147212251849,88.34911838790939,0.5079612684021639,0.4630825723056838,0.3047846562411292,56.0
608566,"Márquez, Germán",SL,Breaking,243,5.117055695133849,-0.051367152378114456,88.82016460905345,0.45030959672011944,0.42966314327992916,0.31628222262589745,56.0
667297,"Nance, Tommy",SL,Breaking,207,5.116990287351473,-0.0513695250837922,88.68212560386476,0.47204955752274,0.39498587919330314,0.3235504586481997,56.0
666120,"Anderson, Ian",CU,Breaking,28,5.1165731386811055,-0.05138465739653321,80.94285714285714,0.41983075502373834,0.4859534941203382,0.3209370004428359,55.9
678692,"Henriquez, Ronny",SL,Breaking,270,5.1163232167702,-0.051393723460470025,87.66851851851848,0.4965149013715399,0.44333704941773305,0.32703145130096095,55.9
628317,"Maeda, Kenta",FS,Offspeed,69,5.116253809004369,-0.051396241267894195,84.40289855072466,0.4672252117688045,0.4725831242988771,0.28861594738963275,55.9
687863,"Hodge, Porter",SL,Breaking,105,5.116129699108698,-0.05140074342716959,86.25999999999999,0.5430388881537473,0.4063023550566827,0.3188500705076471,55.8
