mlbam_id,player_name,team,proj_ros_g_per_teamgame,naive_pace,proj_ros_g,team_games_remaining_implied,volume_percentile,g_to,team_games_to,g_per_teamgame_to,g_last21,ip_per_g_to,gf_pct_to,sv_per_g_to,hld_per_g_to,fp_skill_per_g_to,prior1_g_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
676755,Isaac Mattson,PIT,0.3001,0.3301,17.7,59.0,76.2,34,103.0,0.3301,7.0,0.9216,0.1176,0.0,0.2059,1.4529,0.2716,1.0,0.0,173.0,0.0,119
621112,Paul Blackburn,NYY,0.2997,0.3235,18.0,60.0,75.9,33,102.0,0.3235,7.0,1.5354,0.1818,0.0303,0.0606,3.4909,0.0,0.0,0.0,173.0,0.0,119
656641,Jacob Latz,TEX,0.2994,0.3529,18.0,60.0,75.7,36,102.0,0.3529,4.0,1.1944,0.6389,0.5556,0.0833,3.6639,0.0,2.0,0.0,173.0,0.0,119
668873,Caleb Kilian,SF,0.2982,0.402,17.9,60.0,75.4,41,102.0,0.402,6.0,0.9919,0.4146,0.2195,0.0488,1.8585,0.0,0.0,0.0,173.0,0.0,119
674444,Steven Cruz,KC,0.2979,0.301,17.6,59.0,75.1,31,103.0,0.301,7.0,1.0538,0.0968,0.0,0.0968,2.2516,0.2901,1.0,0.0,173.0,0.0,119
696519,Samy Natera Jr.,LAA,0.2977,0.1553,17.6,59.0,74.8,16,103.0,0.1553,7.0,1.1458,0.125,0.0625,0.1875,3.5312,0.0,0.0,0.0,173.0,0.0,119
820862,José Fermin,LAA,0.2976,0.2816,17.6,59.0,74.5,29,103.0,0.2816,7.0,1.092,0.0,0.0,0.1379,2.5345,0.2469,1.0,0.0,173.0,0.0,119
681217,Chase Silseth,LAA,0.2976,0.4272,17.6,59.0,74.2,44,103.0,0.4272,6.0,0.8485,0.0682,0.0,0.1818,1.3682,0.0,0.0,0.0,173.0,0.0,119
680916,Franco Aleman,CLE,0.2973,0.0971,17.5,59.0,73.9,10,103.0,0.0971,8.0,1.0333,0.0,0.0,0.3,2.51,0.0,0.0,0.0,173.0,0.0,119
695239,Robby Ahlstrom,TEX,0.297,0.2059,17.8,60.0,73.6,21,102.0,0.2059,8.0,0.8095,0.0,0.0,0.2381,1.0524,0.0,0.0,0.0,173.0,0.0,119
670036,Matt Festa,CLE,0.2966,0.4175,17.5,59.0,73.3,43,103.0,0.4175,6.0,0.938,0.1163,0.0,0.1628,1.4442,0.3889,7.0,0.0,173.0,0.0,119
640448,Kyle Finnegan,DET,0.2956,0.4216,17.7,60.0,73.0,43,102.0,0.4216,5.0,1.0155,0.0233,0.0233,0.2093,1.9791,0.3457,6.0,0.0,173.0,0.0,119
668674,Lucas Erceg,KC,0.2954,0.3883,17.4,59.0,72.8,40,103.0,0.3883,6.0,0.925,0.4,0.3,0.025,0.6025,0.3765,3.0,0.0,173.0,0.0,119
670167,John Schreiber,KC,0.2948,0.4078,17.4,59.0,72.5,42,103.0,0.4078,5.0,0.8889,0.0952,0.0238,0.1429,1.5286,0.4568,4.0,0.0,173.0,0.0,119
682608,Peyton Gray,TEX,0.2946,0.2941,17.7,60.0,72.2,30,102.0,0.2941,7.0,1.2,0.0333,0.0,0.2,2.26,0.0,0.0,0.0,173.0,0.0,119
668984,Casey Legumina,TB,0.2927,0.3069,17.9,61.0,71.9,31,101.0,0.3069,7.0,1.2258,0.129,0.0,0.1613,2.1742,0.2963,1.0,0.0,173.0,0.0,119
675848,Juan Mejia,COL,0.2919,0.3942,16.9,58.0,71.6,41,104.0,0.3942,6.0,1.0732,0.1707,0.0976,0.0732,1.7122,0.3395,1.0,0.0,173.0,0.0,119
668390,Cole Winn,TEX,0.2908,0.3627,17.5,60.0,71.3,37,102.0,0.3627,6.0,0.9369,0.027,0.027,0.2162,1.8216,0.2037,1.0,0.0,44.0,1.0,119
650556,Bryan Abreu,HOU,0.2908,0.3558,16.9,58.0,71.0,37,104.0,0.3558,5.0,0.8919,0.3243,0.1892,0.1081,1.4838,0.4321,5.0,0.0,173.0,0.0,119
683409,Angel Chivilli,NYY,0.2905,0.0882,17.4,60.0,70.7,9,102.0,0.0882,7.0,1.2593,0.1111,0.0,0.1111,3.9333,0.2654,2.0,0.0,42.0,1.0,119
673513,Yuki Matsui,SD,0.29,0.2647,17.4,60.0,70.4,27,102.0,0.2647,6.0,1.2593,0.0,0.0,0.1481,2.8593,0.3765,2.0,0.0,173.0,0.0,119
669062,Erik Miller,SF,0.2898,0.3333,17.4,60.0,70.1,34,102.0,0.3333,6.0,0.8627,0.1176,0.0882,0.1765,1.9353,0.2222,1.0,0.0,68.0,1.0,119
670950,Trevor Richards,CWS,0.2893,0.2673,17.6,61.0,69.9,27,101.0,0.2673,7.0,1.4321,0.2222,0.0,0.037,3.2815,0.0,5.0,0.0,173.0,0.0,119
686580,Justin Slaten,BOS,0.2892,0.2772,17.6,61.0,69.6,28,101.0,0.2772,6.0,0.869,0.0357,0.0,0.4286,1.5464,0.2222,2.0,0.0,173.0,0.0,119
663423,Trent Thornton,CHC,0.289,0.2647,17.3,60.0,69.3,27,102.0,0.2647,7.0,1.0864,0.1852,0.1111,0.037,2.1778,0.2037,5.0,0.0,90.0,1.0,119
656529,Sam Hentges,SF,0.2881,0.2647,17.3,60.0,69.0,27,102.0,0.2647,7.0,0.7284,0.0741,0.0,0.1481,1.2185,0.0,4.0,0.0,173.0,0.0,119
518886,Craig Kimbrel,TB,0.2861,0.297,17.5,61.0,68.7,30,101.0,0.297,7.0,1.0111,0.2333,0.0,0.0333,1.8367,0.0,9.0,0.0,40.0,1.0,119
621345,A.J. Minter,NYM,0.2836,0.2039,16.7,59.0,68.4,21,103.0,0.2039,7.0,0.9683,0.0952,0.0,0.0952,2.5286,0.0,8.0,0.0,58.0,1.0,119
700669,Gordon Graceffo,STL,0.2831,0.4059,17.3,61.0,68.1,41,101.0,0.4059,6.0,1.1789,0.0488,0.0244,0.0976,2.3293,0.1605,1.0,0.0,173.0,0.0,119
664991,Grant Wolfram,BAL,0.2826,0.3592,16.7,59.0,67.8,37,103.0,0.3592,6.0,0.7928,0.027,0.027,0.2432,1.4811,0.1296,1.0,0.0,60.0,1.0,119
