batter,total_pa,annual_rate,n_parks,hot1_park,hot1_lift,hot1_pa,hot2_park,hot2_lift,hot3_park,hot3_lift,cold1_park,cold1_lift,cold1_pa,cold2_park,cold2_lift,cold3_park,cold3_lift,player_name,team,rank
547989,3066,0.2975,16,DET,68.1,168,LAA,51.9,BOS,29.3,SEA,-88.7,89,NYY,-60.4,HOU,-43.8,,,
553869,2276,0.2307,15,MIA,94.6,49,WSH,44.5,COL,38.1,STL,-140.1,54,SF,-84.2,CIN,-57.1,,,
553882,1381,0.2636,13,PIT,79.4,74,CHC,58.1,STL,38.6,MIN,-64.7,43,KC,-63.0,NYM,-55.7,,,
553993,4348,0.2429,27,BOS,124.6,44,DET,62.8,SF,61.1,CLE,-104.6,90,PHI,-93.9,NYM,-88.6,Eugenio Suárez,CIN,279.0
570482,2155,0.2668,16,BOS,63.5,94,BAL,61.7,TOR,49.3,SEA,-100.0,62,TEX,-67.1,TB,-55.6,,,
570560,956,0.1663,6,DET,50.3,84,CWS,23.1,CLE,0.2,BOS,-130.1,40,KC,-127.0,MIN,-16.3,,,
570731,1982,0.225,13,BAL,36.0,232,HOU,36.0,CWS,33.7,NYY,-126.1,51,CLE,-80.5,TB,-29.5,,,
571448,3973,0.3879,17,BOS,70.2,50,KC,40.6,COL,36.3,NYM,-45.1,94,LAD,-36.6,MIA,-34.0,Nolan Arenado,AZ,155.0
571466,1370,0.1891,9,PIT,76.3,87,CIN,46.1,WSH,5.8,STL,-86.3,77,CHC,-84.8,AZ,-65.1,,,
571657,1939,0.2352,15,CLE,94.9,48,SD,60.9,PIT,55.1,MIL,-65.8,87,PHI,-61.3,STL,-51.6,,,
571745,2442,0.2355,18,BAL,130.8,46,SD,90.7,TOR,65.7,NYY,-134.2,62,COL,-70.2,MIN,-33.3,,,
571771,2705,0.2713,19,ATH,80.5,49,DET,75.9,COL,68.2,ATL,-125.7,43,NYY,-57.1,LAA,-49.7,,,
571970,3226,0.3221,16,SF,39.0,172,COL,23.0,CHC,14.8,ATL,-92.3,81,CIN,-54.9,MIL,-54.3,Max Muncy,LAD,8.0
571976,1448,0.1796,8,COL,132.5,103,AZ,92.4,SF,58.5,PHI,-138.0,44,LAD,-94.4,CIN,-29.1,,,
572039,974,0.2464,6,TEX,54.3,71,ATH,20.4,HOU,-36.8,TB,-140.6,40,SEA,-69.3,LAA,-63.1,,,
