pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position
669923,George Kirby,1746,5.174,1.491,-0.049,0.491,0.324,0.51,0.331,0.676,74.8,P
680802,Ryan Weiss,530,5.174,1.478,-0.049,0.446,0.355,0.463,0.331,0.645,74.6,P
690990,Cade Horton,160,5.172,1.334,-0.049,0.487,0.343,0.478,0.33,0.657,74.5,P
671737,Taj Bradley,1902,5.171,1.424,-0.049,0.473,0.348,0.492,0.338,0.652,74.3,P
669373,Tarik Skubal,1321,5.17,1.352,-0.049,0.533,0.316,0.514,0.335,0.684,74.1,P
687209,Zach Maxwell,269,5.169,1.488,-0.049,0.46,0.378,0.488,0.334,0.622,74.0,P
681867,Cooper Criswell,488,5.167,1.345,-0.05,0.499,0.301,0.485,0.315,0.699,73.8,P
642397,Gregory Soto,682,5.167,1.384,-0.05,0.458,0.345,0.468,0.322,0.655,73.7,P
688883,Peyton Pallette,442,5.166,1.448,-0.05,0.448,0.359,0.48,0.336,0.641,73.5,P
686993,Justin Sterner,730,5.165,1.364,-0.05,0.481,0.386,0.475,0.334,0.614,73.3,P
595014,Blake Treinen,393,5.163,1.471,-0.05,0.459,0.353,0.467,0.314,0.647,73.2,P
681676,Ryan Fernandez,213,5.161,1.53,-0.05,0.452,0.419,0.452,0.338,0.581,73.0,P
805123,Aj Blubaugh,1110,5.158,1.394,-0.05,0.47,0.366,0.463,0.334,0.634,72.8,P
694680,Trevor Martin,180,5.157,1.282,-0.05,0.513,0.35,0.498,0.331,0.65,72.7,P
676534,Calvin Faucher,739,5.157,1.492,-0.05,0.448,0.373,0.469,0.315,0.627,72.5,P
670059,Colin Holderman,544,5.157,1.394,-0.05,0.44,0.351,0.45,0.304,0.649,72.4,P
681293,Spencer Arrighetti,1471,5.156,1.382,-0.05,0.439,0.351,0.469,0.331,0.649,72.2,P
683004,Jack Leiter,1360,5.156,1.423,-0.05,0.483,0.343,0.486,0.334,0.657,72.0,P
676617,Riley O'Brien,646,5.155,1.534,-0.05,0.422,0.373,0.459,0.305,0.627,71.9,P
650556,Bryan Abreu,617,5.155,1.451,-0.05,0.432,0.384,0.444,0.333,0.616,71.7,P
605400,Aaron Nola,1876,5.155,1.513,-0.05,0.456,0.328,0.473,0.329,0.672,71.5,P
689296,Anthony Nunez,657,5.153,1.44,-0.05,0.443,0.414,0.43,0.315,0.586,71.4,P
668970,Gavin Hollowell,195,5.152,1.363,-0.05,0.505,0.299,0.511,0.326,0.701,71.2,P
594027,Tyron Guerrero,318,5.151,1.513,-0.05,0.519,0.287,0.582,0.328,0.713,71.1,P
805427,Drew Sommers,194,5.151,1.44,-0.05,0.493,0.301,0.51,0.31,0.699,70.9,P
670036,Matt Festa,685,5.149,1.419,-0.05,0.452,0.328,0.507,0.337,0.672,70.7,P
642121,Cole Sulser,763,5.148,1.309,-0.05,0.507,0.395,0.441,0.336,0.605,70.6,P
642546,Jonathan Hernández,353,5.145,1.514,-0.05,0.435,0.386,0.45,0.302,0.614,70.4,P
691945,Carter Baumler,139,5.145,1.571,-0.05,0.406,0.35,0.449,0.325,0.65,70.2,P
689546,Nick Davila,319,5.145,1.6,-0.05,0.471,0.311,0.518,0.324,0.689,70.1,P
669211,Keegan Akin,443,5.144,1.381,-0.05,0.508,0.323,0.529,0.345,0.677,69.9,P
579328,Yusei Kikuchi,567,5.144,1.415,-0.05,0.482,0.356,0.511,0.351,0.644,69.8,P
669684,Chris Murphy,411,5.143,1.498,-0.05,0.473,0.343,0.497,0.329,0.657,69.6,P
683769,Hunter Gaddis,506,5.143,1.386,-0.05,0.503,0.387,0.485,0.328,0.613,69.4,P
666157,Nick Lodolo,1097,5.14,1.436,-0.051,0.446,0.341,0.478,0.321,0.659,69.3,P
693645,Cam Schlittler,1881,5.139,1.384,-0.051,0.528,0.298,0.522,0.336,0.702,69.1,P
690978,Dax Fulton,118,5.138,1.583,-0.051,0.453,0.447,0.417,0.322,0.553,68.9,P
680736,Justin Wrobleski,1484,5.137,1.467,-0.051,0.525,0.308,0.548,0.355,0.692,68.8,P
676083,Janson Junk,1084,5.137,1.412,-0.051,0.52,0.319,0.545,0.34,0.681,68.6,P
689225,Beau Brieske,149,5.136,1.407,-0.051,0.48,0.308,0.481,0.332,0.692,68.5,P
656876,Drew Rasmussen,1544,5.136,1.47,-0.051,0.519,0.322,0.498,0.33,0.678,68.3,P
669711,Greg Weissert,627,5.135,1.466,-0.051,0.486,0.297,0.51,0.322,0.703,68.1,P
680732,Sean Burke,1782,5.135,1.396,-0.051,0.501,0.29,0.509,0.34,0.71,68.0,P
672782,Yoendrys Gómez,717,5.135,1.422,-0.051,0.454,0.356,0.485,0.336,0.644,67.8,P
650911,Cristopher Sánchez,1953,5.133,1.544,-0.051,0.481,0.355,0.482,0.311,0.645,67.6,P
804636,Jonah Tong,266,5.133,1.332,-0.051,0.471,0.333,0.463,0.332,0.667,67.5,P
690953,Mick Abel,406,5.132,1.472,-0.051,0.539,0.333,0.51,0.34,0.667,67.3,P
820862,José Fermin,518,5.131,1.512,-0.051,0.503,0.392,0.464,0.315,0.608,67.2,P
675911,Spencer Strider,691,5.13,1.347,-0.051,0.467,0.38,0.454,0.336,0.62,67.0,P
669276,Dylan Lee,667,5.13,1.401,-0.051,0.536,0.388,0.503,0.337,0.612,66.8,P
647315,Zach Pop,144,5.13,1.491,-0.051,0.428,0.282,0.49,0.309,0.718,66.7,P
669160,Dustin May,1496,5.129,1.472,-0.051,0.487,0.321,0.501,0.326,0.679,66.5,P
700249,Cade Povich,304,5.128,1.34,-0.051,0.47,0.353,0.498,0.338,0.647,66.3,P
686751,Seth Johnson,257,5.128,1.564,-0.051,0.489,0.372,0.478,0.333,0.628,66.2,P
666200,Jesús Luzardo,2014,5.128,1.474,-0.051,0.481,0.357,0.474,0.323,0.643,66.0,P
676477,Garrett Whitlock,513,5.128,1.566,-0.051,0.512,0.359,0.502,0.327,0.641,65.9,P
673513,Yuki Matsui,554,5.128,1.439,-0.051,0.463,0.386,0.462,0.322,0.614,65.7,P
572955,Pierce Johnson,500,5.127,1.548,-0.051,0.459,0.337,0.494,0.336,0.663,65.5,P
681916,Dylan Smith,231,5.125,1.458,-0.051,0.474,0.361,0.515,0.334,0.639,65.4,P
676979,Garrett Crochet,600,5.123,1.494,-0.051,0.506,0.323,0.469,0.337,0.677,65.2,P
656794,Sean Newcomb,892,5.123,1.512,-0.051,0.441,0.27,0.526,0.331,0.73,65.0,P
666974,Yennier Cano,505,5.122,1.514,-0.051,0.513,0.375,0.467,0.297,0.625,64.9,P
656427,Jack Flaherty,1638,5.122,1.436,-0.051,0.445,0.37,0.465,0.337,0.63,64.7,P
657277,Logan Webb,1594,5.12,1.476,-0.051,0.467,0.323,0.471,0.323,0.677,64.6,P
641401,Connor Brogdon,288,5.118,1.24,-0.051,0.473,0.365,0.477,0.339,0.635,64.4,P
679358,Eric Orze,701,5.117,1.391,-0.051,0.495,0.384,0.495,0.331,0.616,64.2,P
664875,Justin Lawrence,714,5.117,1.49,-0.051,0.387,0.381,0.451,0.308,0.619,64.1,P
667755,José Soriano,1914,5.117,1.501,-0.051,0.485,0.371,0.45,0.31,0.629,63.9,P
667297,Tommy Nance,532,5.116,1.634,-0.051,0.459,0.372,0.498,0.318,0.628,63.7,P
622554,Seranthony Domínguez,654,5.115,1.382,-0.051,0.433,0.367,0.453,0.319,0.633,63.6,P
672335,Cionel Pérez,622,5.115,1.473,-0.051,0.449,0.349,0.478,0.314,0.651,63.4,P
669020,Ryan Rolison,552,5.113,1.426,-0.051,0.479,0.353,0.49,0.336,0.647,63.3,P
801403,Chase Dollander,786,5.112,1.447,-0.052,0.478,0.341,0.499,0.323,0.659,63.1,P
606303,Joel Payamps,198,5.111,1.417,-0.052,0.486,0.37,0.475,0.333,0.63,62.9,P
663574,Tony Santillan,507,5.11,1.486,-0.052,0.454,0.34,0.49,0.353,0.66,62.8,P
813349,Connelly Early,1528,5.109,1.504,-0.052,0.477,0.324,0.474,0.337,0.676,62.6,P
622088,Tejay Antone,464,5.108,1.504,-0.052,0.482,0.366,0.511,0.322,0.634,62.4,P
670329,Rico Garcia,614,5.107,1.308,-0.052,0.472,0.345,0.518,0.337,0.655,62.3,P
689266,Dylan Dodd,431,5.105,1.493,-0.052,0.501,0.326,0.475,0.334,0.674,62.1,P
673540,Kodai Senga,786,5.105,1.552,-0.052,0.452,0.397,0.45,0.33,0.603,62.0,P
622608,Antonio Senzatela,759,5.105,1.407,-0.052,0.51,0.323,0.508,0.329,0.677,61.8,P
702056,Trey Yesavage,1237,5.104,1.356,-0.052,0.458,0.372,0.456,0.326,0.628,61.6,P
682995,Hunter Barco,280,5.103,1.507,-0.052,0.424,0.345,0.459,0.335,0.655,61.5,P
680730,Mitchell Parker,738,5.102,1.419,-0.052,0.49,0.34,0.503,0.342,0.66,61.3,P
621121,Lance Mccullers,695,5.101,1.527,-0.052,0.434,0.359,0.459,0.319,0.641,61.1,P
607192,Tyler Glasnow,687,5.101,1.572,-0.052,0.459,0.37,0.459,0.331,0.63,61.0,P
621053,Tyler Ferguson,153,5.099,1.371,-0.052,0.52,0.299,0.523,0.33,0.701,60.8,P
657097,Jacob Webb,758,5.099,1.359,-0.052,0.513,0.34,0.496,0.339,0.66,60.7,P
660825,Eduard Bazardo,693,5.098,1.516,-0.052,0.423,0.26,0.541,0.333,0.74,60.5,P
696147,Sam Bachman,681,5.097,1.488,-0.052,0.449,0.365,0.471,0.312,0.635,60.3,P
689818,David Sandlin,313,5.097,1.38,-0.052,0.464,0.351,0.456,0.334,0.649,60.2,P
686610,Ken Waldichuk,160,5.097,1.435,-0.052,0.413,0.368,0.439,0.334,0.632,60.0,P
445276,Kenley Jansen,385,5.097,1.401,-0.052,0.484,0.302,0.522,0.338,0.698,59.8,P
677952,Braxton Ashcraft,1701,5.097,1.459,-0.052,0.526,0.338,0.515,0.333,0.662,59.7,P
671936,Adam Macko,374,5.096,1.382,-0.052,0.481,0.37,0.458,0.324,0.63,59.5,P
695380,Alex Hoppe,365,5.095,1.527,-0.052,0.488,0.402,0.467,0.314,0.598,59.3,P
676775,Keaton Winn,473,5.095,1.583,-0.052,0.504,0.349,0.499,0.319,0.651,59.2,P
663969,Tyler Phillips,1230,5.094,1.573,-0.052,0.469,0.402,0.458,0.321,0.598,59.0,P
641743,Anthony Kay,1709,5.094,1.486,-0.052,0.483,0.344,0.442,0.318,0.656,58.9,P
