batter,name,pa_total,ev_p90_first,ev_p90_last,ev_p90_delta,ev_p90_drift_adj,k_pct_first,k_pct_last,k_pct_delta,k_pct_drift_adj,whiff_per_swing_first,whiff_per_swing_last,whiff_per_swing_delta,whiff_per_swing_drift_adj,ev_mean_first,ev_mean_last,ev_mean_delta,ev_mean_drift_adj,hard_hit_pct_first,hard_hit_pct_last,hard_hit_pct_delta,hard_hit_pct_drift_adj,bb_pct_first,bb_pct_last,bb_pct_delta,bb_pct_drift_adj,barrel_pct_first,barrel_pct_last,barrel_pct_delta,barrel_pct_drift_adj
630105,Jake Cronenworth,114,102.49,98.18,-4.31,100.206,21.918,17.073,-4.845,19.641,22.628,17.568,-5.06,20.249,83.06,78.611,-4.449,81.058,21.739,14.545,-7.194,18.502,10.959,14.634,3.675,12.319,2.174,0.0,-2.174,1.826
670042,Luke Raley,111,104.87,105.84,0.97,105.384,36.765,39.535,2.77,38.067,48.921,43.011,-5.91,46.143,85.805,83.355,-2.45,84.702,33.871,34.694,0.823,34.241,4.412,9.302,4.891,6.221,3.226,2.041,-1.185,3.036
666969,Adolis García,163,102.74,104.05,1.31,103.434,25.974,24.419,-1.555,25.243,27.143,27.711,0.568,27.41,85.009,86.312,1.303,85.595,26.882,31.818,4.936,29.103,9.091,6.977,-2.114,8.309,0.0,0.909,0.909,0.145
802139,JJ Wetherholt,183,98.58,100.92,2.34,99.82,16.092,18.75,2.658,17.341,21.795,24.54,2.745,23.085,82.762,86.13,3.369,84.278,22.43,33.929,11.499,27.604,14.943,7.292,-7.651,12.112,2.804,3.571,0.768,2.927
657757,Gavin Sheets,118,101.2,102.1,0.9,101.677,25.0,18.519,-6.481,21.954,19.167,17.822,-1.345,18.535,83.326,84.746,1.42,83.965,27.473,31.884,4.412,29.458,4.688,7.407,2.72,5.694,3.297,2.899,-0.398,3.233
683357,Owen Caissie,114,106.84,98.3,-8.54,102.314,41.667,40.741,-0.926,41.231,31.481,33.051,1.569,32.219,82.754,77.757,-4.997,80.505,28.571,14.493,-14.079,22.236,6.667,5.556,-1.111,6.256,0.0,0.0,0.0,0.0
700250,Ben Rice,146,104.48,105.68,1.2,105.116,26.087,23.377,-2.71,24.813,26.891,17.355,-9.535,22.409,86.52,84.464,-2.056,85.595,42.5,33.333,-9.167,38.375,18.841,11.688,-7.152,16.194,3.75,3.448,-0.302,3.702
545121,Ildemaro Vargas,137,102.43,102.88,0.45,102.668,13.208,9.524,-3.684,11.476,18.75,10.811,-7.939,15.019,81.678,81.974,0.295,81.811,30.0,25.641,-4.359,28.038,3.774,3.571,-0.202,3.699,0.0,1.709,1.709,0.274
686948,Drake Baldwin,188,102.6,105.2,2.6,103.978,17.582,23.711,6.129,20.463,18.539,24.339,5.799,21.265,82.608,84.176,1.568,83.314,24.444,30.159,5.714,27.016,6.593,14.433,7.84,9.494,1.481,3.968,2.487,1.879
678246,Miguel Vargas,172,100.44,102.85,2.41,101.717,18.519,14.286,-4.233,16.529,14.789,13.158,-1.631,14.022,81.642,85.246,3.603,83.264,22.018,28.947,6.929,25.136,12.346,19.78,7.435,15.096,0.917,5.263,4.346,1.613
687462,Spencer Horwitz,136,97.95,99.85,1.9,98.957,18.333,9.211,-9.123,14.046,18.391,9.565,-8.826,14.243,81.141,82.645,1.504,81.818,19.697,19.792,0.095,19.74,15.0,17.105,2.105,15.779,0.0,1.042,1.042,0.167
695657,Colson Montgomery,167,103.84,105.27,1.43,104.598,33.333,25.843,-7.491,29.813,35.374,30.769,-4.605,33.21,82.023,87.069,5.046,84.294,21.687,37.234,15.547,28.683,8.974,8.989,0.014,8.98,3.614,5.319,1.705,3.887
547180,Bryce Harper,170,105.58,102.44,-3.14,103.916,13.75,16.667,2.917,15.121,25.532,24.103,-1.429,24.86,85.367,82.761,-2.607,84.194,28.571,24.444,-4.127,26.714,12.5,14.444,1.944,13.219,0.0,3.704,3.704,0.593
