pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning
622786,Jesús Tinoco,664,5.027,1.365,-0.055,0.486,0.352,0.505,0.317,0.648,53.5,P,False
669456,Shane Bieber,166,5.025,1.398,-0.055,0.476,0.335,0.505,0.339,0.665,53.3,P,True
663687,Hogan Harris,1213,5.025,1.465,-0.055,0.475,0.28,0.521,0.348,0.72,53.2,P,False
493603,Adam Ottavino,1019,5.025,1.572,-0.055,0.443,0.313,0.508,0.321,0.687,53.0,P,False
669084,Dl Hall,782,5.024,1.463,-0.055,0.465,0.341,0.476,0.339,0.659,52.9,P,False
663989,Nick Vespi,200,5.024,1.451,-0.055,0.475,0.379,0.493,0.334,0.621,52.8,P,False
650893,Génesis Cabrera,1070,5.023,1.5,-0.055,0.473,0.372,0.464,0.327,0.628,52.6,P,False
701643,Grant Hartwig,118,5.022,1.494,-0.055,0.402,0.364,0.404,0.308,0.636,52.5,P,True
664299,Cristian Javier,651,5.021,1.319,-0.055,0.449,0.373,0.457,0.332,0.627,52.3,P,False
676130,José Buttó,1356,5.021,1.438,-0.055,0.415,0.378,0.392,0.316,0.622,52.2,P,False
612434,Miguel Castro,259,5.021,1.309,-0.055,0.464,0.305,0.493,0.314,0.695,52.1,P,False
669062,Erik Miller,1290,5.02,1.459,-0.055,0.465,0.348,0.449,0.332,0.652,51.9,P,False
663436,Davis Martin,892,5.019,1.411,-0.055,0.483,0.365,0.471,0.326,0.635,51.8,P,False
694297,Brandon Pfaadt,2863,5.019,1.461,-0.055,0.5,0.316,0.518,0.33,0.684,51.7,P,False
676962,Ben Brown,849,5.019,1.487,-0.055,0.48,0.301,0.51,0.344,0.699,51.5,P,False
641302,Tyler Alexander,1668,5.018,1.401,-0.055,0.509,0.26,0.526,0.333,0.74,51.4,P,False
670102,Bowden Francis,1558,5.018,1.375,-0.055,0.512,0.311,0.531,0.345,0.689,51.2,P,False
605280,Clay Holmes,1302,5.018,1.616,-0.055,0.463,0.371,0.478,0.305,0.629,51.1,P,False
689981,River Ryan,295,5.018,1.482,-0.055,0.459,0.351,0.485,0.326,0.649,51.0,P,False
669854,Ronel Blanco,2865,5.017,1.419,-0.055,0.478,0.356,0.47,0.33,0.644,50.8,P,False
681867,Cooper Criswell,1756,5.016,1.516,-0.055,0.487,0.322,0.486,0.316,0.678,50.7,P,False
669373,Tarik Skubal,3260,5.015,1.441,-0.055,0.513,0.299,0.538,0.342,0.701,50.6,P,False
671345,Jason Foley,952,5.013,1.564,-0.055,0.483,0.326,0.527,0.31,0.674,50.4,P,False
656412,Alex Faedo,1101,5.013,1.499,-0.055,0.479,0.377,0.449,0.327,0.623,50.3,P,False
655889,Manuel Rodríguez,624,5.012,1.541,-0.055,0.479,0.348,0.49,0.313,0.652,50.1,P,False
678061,Ray Kerr,383,5.012,1.428,-0.055,0.464,0.352,0.469,0.339,0.648,50.0,P,False
605347,Jorge López,846,5.011,1.486,-0.055,0.458,0.285,0.526,0.322,0.715,49.9,P,False
642100,Gabe Speier,434,5.01,1.475,-0.055,0.469,0.327,0.474,0.327,0.673,49.7,P,False
656794,Sean Newcomb,184,5.008,1.67,-0.055,0.426,0.311,0.465,0.332,0.689,49.6,P,True
663321,Nick Hernandez,139,5.007,1.491,-0.055,0.471,0.324,0.487,0.33,0.676,49.4,P,True
676879,Aaron Ashby,584,5.007,1.618,-0.055,0.435,0.316,0.496,0.318,0.684,49.3,P,False
668941,Jojo Romero,955,5.006,1.534,-0.055,0.464,0.337,0.487,0.314,0.663,49.2,P,False
605177,Andrew Chafin,979,5.004,1.473,-0.055,0.442,0.405,0.363,0.319,0.595,49.0,P,False
677944,Slade Cecconi,1290,5.004,1.413,-0.055,0.493,0.292,0.546,0.346,0.708,48.9,P,False
607237,Amir Garrett,104,5.002,1.562,-0.056,0.453,0.411,0.462,0.337,0.589,48.8,P,True
680694,Kyle Bradish,674,5.002,1.667,-0.056,0.475,0.342,0.495,0.329,0.658,48.6,P,False
614179,José Ruiz,886,5.002,1.472,-0.056,0.506,0.345,0.482,0.327,0.655,48.5,P,False
506433,Yu Darvish,1419,4.999,1.505,-0.056,0.486,0.324,0.526,0.337,0.676,48.3,P,False
696136,Jordan Wicks,852,4.999,1.382,-0.056,0.506,0.336,0.449,0.329,0.664,48.2,P,False
642546,Jonathan Hernández,761,4.995,1.471,-0.056,0.454,0.418,0.434,0.298,0.582,48.1,P,False
670950,Trevor Richards,1246,4.995,1.541,-0.056,0.48,0.35,0.46,0.34,0.65,47.9,P,False
621097,Jacob Waguespack,261,4.994,1.364,-0.056,0.475,0.335,0.466,0.327,0.665,47.8,P,False
664285,Framber Valdez,2758,4.993,1.626,-0.056,0.456,0.338,0.492,0.327,0.662,47.7,P,False
677020,Josh Walker,215,4.992,1.561,-0.056,0.447,0.339,0.472,0.33,0.661,47.5,P,False
445926,Jesse Chavez,1072,4.991,1.51,-0.056,0.438,0.312,0.507,0.325,0.688,47.4,P,False
679156,Walter Pennington,330,4.99,1.69,-0.056,0.452,0.376,0.465,0.32,0.624,47.2,P,False
528748,Humberto Castellanos,186,4.99,1.403,-0.056,0.424,0.299,0.454,0.319,0.701,47.1,P,True
670810,Logan Gillaspie,151,4.989,1.316,-0.056,0.543,0.261,0.571,0.351,0.739,47.0,P,True
663855,Jordan Hicks,2029,4.988,1.668,-0.056,0.434,0.349,0.474,0.312,0.651,46.8,P,False
657240,Julian Merryweather,272,4.988,1.559,-0.056,0.49,0.35,0.5,0.341,0.65,46.7,P,False
687424,Anthony Maldonado,311,4.987,1.386,-0.056,0.453,0.388,0.45,0.322,0.612,46.5,P,False
676272,Bobby Miller,1099,4.987,1.43,-0.056,0.449,0.349,0.472,0.331,0.651,46.4,P,False
806185,Hayden Birdsong,1387,4.985,1.539,-0.056,0.449,0.352,0.433,0.33,0.648,46.3,P,False
674285,Eduardo Salazar,494,4.984,1.638,-0.056,0.449,0.365,0.471,0.307,0.635,46.1,P,False
605182,Mike Clevinger,303,4.983,1.472,-0.056,0.457,0.322,0.496,0.337,0.678,46.0,P,False
641927,Bailey Ober,2696,4.983,1.416,-0.056,0.53,0.352,0.488,0.334,0.648,45.9,P,False
687792,Dj Herz,1586,4.983,1.512,-0.056,0.476,0.324,0.488,0.35,0.676,45.7,P,False
650911,Cristopher Sánchez,2957,4.982,1.581,-0.056,0.5,0.326,0.494,0.324,0.674,45.6,P,False
676969,Brett De Geus,202,4.981,1.569,-0.056,0.46,0.325,0.502,0.311,0.675,45.4,P,False
676755,Isaac Mattson,134,4.98,1.611,-0.056,0.511,0.301,0.486,0.343,0.699,45.3,P,True
660761,José Suarez,1016,4.98,1.437,-0.056,0.455,0.355,0.451,0.331,0.645,45.2,P,False
622663,Luis Severino,3253,4.979,1.488,-0.056,0.513,0.306,0.495,0.327,0.694,45.0,P,False
656638,Alex Lange,418,4.979,1.736,-0.056,0.47,0.423,0.423,0.308,0.577,44.9,P,False
665795,Edward Cabrera,1734,4.979,1.531,-0.056,0.491,0.361,0.454,0.323,0.639,44.8,P,False
686642,Fraser Ellard,432,4.978,1.564,-0.056,0.428,0.351,0.48,0.338,0.649,44.6,P,False
669330,Tyler Wells,259,4.976,1.314,-0.056,0.484,0.326,0.48,0.332,0.674,44.5,P,False
672582,Angel Zerpa,1030,4.976,1.58,-0.056,0.48,0.29,0.535,0.314,0.71,44.3,P,False
679525,Alec Marsh,2161,4.975,1.5,-0.057,0.455,0.325,0.492,0.335,0.675,44.2,P,False
594580,Sam Moll,624,4.974,1.514,-0.057,0.465,0.281,0.492,0.324,0.719,44.1,P,False
502179,Paolo Espino,292,4.974,1.359,-0.057,0.459,0.28,0.493,0.338,0.72,43.9,P,False
641329,Bryan Baker,379,4.973,1.359,-0.057,0.495,0.298,0.526,0.336,0.702,43.8,P,False
518876,Merrill Kelly,1206,4.973,1.517,-0.057,0.47,0.32,0.477,0.321,0.68,43.6,P,False
