batter,Cold_lift_pct,Cool_lift_pct,Dome_lift_pct,Hot_lift_pct,Warm_lift_pct,Cold_pa,Cool_pa,Dome_pa,Hot_pa,Warm_pa,Cold_rate,Cool_rate,Dome_rate,Hot_rate,Warm_rate,annual_rate,total_pa,player_name,team,rank
501303,8.3,-25.6,-133.4,10.6,43.9,94.0,189.0,87.0,307.0,283.0,0.22340425531914893,0.15343915343915343,-0.06896551724137931,0.2280130293159609,0.2968197879858657,0.20625,960,,,
501981,9.3,9.5,-77.5,45.7,4.3,131.0,493.0,182.0,146.0,349.0,0.26717557251908397,0.26774847870182555,0.054945054945054944,0.3561643835616438,0.25501432664756446,0.2444273635664873,1301,,,
502054,-20.7,-12.4,9.4,21.0,-15.1,264.0,671.0,934.0,951.0,995.0,0.19696969696969696,0.21758569299552907,0.27194860813704497,0.3007360672975815,0.21105527638190955,0.24849279161205767,3815,,,
502110,23.5,17.4,-26.6,9.0,-16.7,472.0,643.0,465.0,862.0,1064.0,0.3940677966101695,0.374805598755832,0.23440860215053763,0.3480278422273782,0.26597744360902253,0.31916714204221336,3506,,,
502210,42.0,1.3,-6.7,12.5,-2.2,67.0,151.0,681.0,148.0,146.0,0.417910447761194,0.2980132450331126,0.2745961820851689,0.3310810810810811,0.2876712328767123,0.2942162615255658,1193,,,
502481,0.3,61.1,-17.8,-11.1,5.2,71.0,119.0,380.0,117.0,151.0,0.18309859154929578,0.29411764705882354,0.15,0.1623931623931624,0.19205298013245034,0.18257756563245822,838,,,
502517,-53.8,-16.8,13.6,26.7,-20.9,25.0,132.0,61.0,326.0,285.0,0.16,0.2878787878787879,0.39344262295081966,0.4386503067484663,0.2736842105263158,0.34620024125452353,829,,,
502671,-24.3,-8.3,-19.6,9.9,10.1,383.0,615.0,717.0,1744.0,1116.0,0.23237597911227154,0.2813008130081301,0.24686192468619247,0.33715596330275227,0.3378136200716846,0.30688524590163935,4575,,,
503556,-7.6,59.6,-24.0,-5.1,-5.2,202.0,253.0,425.0,303.0,346.0,0.18316831683168316,0.31620553359683795,0.15058823529411763,0.18811881188118812,0.18786127167630057,0.19816873773708307,1529,,,
506702,139.4,-334.8,-112.1,164.7,50.7,68.0,104.0,225.0,246.0,198.0,0.08823529411764706,-0.08653846153846154,-0.0044444444444444444,0.0975609756097561,0.05555555555555555,0.036860879904875146,841,,,
514888,-34.1,-15.8,1.6,16.2,3.0,219.0,396.0,2446.0,481.0,632.0,0.2511415525114155,0.3207070707070707,0.38716271463614066,0.44282744282744285,0.3924050632911392,0.38092956396741734,4174,Jose Altuve,HOU,71.0
514917,24.4,-9.8,-35.7,1.7,1.9,299.0,403.0,182.0,822.0,923.0,0.2976588628762542,0.21588089330024815,0.15384615384615385,0.24330900243309003,0.2437703141928494,0.2392544693799924,2629,,,
516416,12.7,-7.1,-10.5,-2.9,8.2,281.0,487.0,372.0,682.0,708.0,0.3487544483985765,0.2874743326488706,0.2768817204301075,0.30058651026392963,0.3347457627118644,0.30948616600790513,2530,,,
516770,-33.1,3.0,-19.0,7.7,1.6,102.0,232.0,89.0,391.0,855.0,0.17647058823529413,0.27155172413793105,0.21348314606741572,0.28388746803069054,0.26783625730994154,0.2636309167165968,1669,,,
516782,-13.6,-23.9,12.5,3.3,9.4,425.0,514.0,396.0,823.0,1100.0,0.2541176470588235,0.2237354085603113,0.33080808080808083,0.3037667071688943,0.32181818181818184,0.29404542664211175,3258,,,
518586,-80.3,-77.0,24.2,26.9,-5.6,53.0,91.0,244.0,247.0,227.0,0.03773584905660377,0.04395604395604396,0.23770491803278687,0.242914979757085,0.18061674008810572,0.191415313225058,862,,,
518595,-33.6,-63.3,12.0,13.4,16.2,114.0,279.0,366.0,609.0,552.0,0.14912280701754385,0.08243727598566308,0.25136612021857924,0.2545155993431856,0.2608695652173913,0.22447916666666667,1920,,,
518618,-17.9,6.1,18.1,12.1,-6.6,68.0,124.0,27.0,224.0,414.0,0.20588235294117646,0.2661290322580645,0.2962962962962963,0.28125,0.23429951690821257,0.2508751458576429,857,,,
518626,-33.4,-7.4,-44.4,25.8,8.5,200.0,318.0,315.0,677.0,646.0,0.19,0.2641509433962264,0.15873015873015872,0.35893648449039883,0.30959752321981426,0.2852504638218924,2156,,,
518692,-7.4,-6.9,30.8,4.4,-7.1,329.0,872.0,441.0,1499.0,1645.0,0.3738601823708207,0.3761467889908257,0.528344671201814,0.4216144096064043,0.3750759878419453,0.4038863351441705,4786,Freddie Freeman,LAD,9.0
