pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla
663671,Nic Enright,532,5.149,1.328,-0.05,0.476,0.339,0.47,0.334,0.661,69.5,P,False,RP,19.703703703703702,5.324,5.201499999999999,0.9550762153610817,0.3535096640779106,0.8043747787558637,0.4268372846932349,0.033,2.2105,,2.21,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,4.943093426279612,3.614814864096752
701656,Logan Henderson,410,5.243,1.194,-0.047,0.534,0.293,0.498,0.335,0.707,83.4,P,False,SP,82.0,5.142,5.2127,0.9388266587658558,0.296932845388471,0.8479849309144487,0.42534626264254305,0.033,2.2102,12.16,,,,0,0,0.0,5.2365665827971055,2.4786826767624763
663455,Konnor Pilkington,529,5.101,1.463,-0.052,0.43,0.369,0.468,0.338,0.631,60.4,P,False,RP,16.03030303030303,5.349,5.1754,0.9555935294080006,0.3596021071163452,0.784612457247293,0.43635461621251764,0.033,2.2057,,2.21,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,4.779476855092566,4.202307116861681
664208,Phil Maton,1027,5.167,1.451,-0.05,0.497,0.344,0.51,0.324,0.656,72.8,P,False,RP,16.046875,4.975,5.1094,0.9081015743335715,0.28145003374810384,0.8146168031245165,0.4374022266039784,0.033,2.2042,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.147108087205625,2.6424137838798094
656427,Jack Flaherty,3103,5.167,1.454,-0.05,0.461,0.365,0.473,0.338,0.635,72.9,P,False,SP,88.65714285714286,5.178,5.170299999999999,0.9509230478871786,0.3500747486838732,0.7898842850475226,0.43746823032510546,0.033,2.203,12.12,,,,0,0,0.0,5.047131407003175,3.1488015184382894
605463,Tayler Scott,550,5.286,1.438,-0.045,0.466,0.365,0.43,0.329,0.635,88.3,P,False,RP,22.0,5.054,5.216399999999999,0.975646758971267,0.43182841928946636,0.7706054387621026,0.418810975224644,0.033,2.2026,,2.2,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,4.981613257709318,3.575357939541698
554431,Tyler Matzek,127,5.231,1.454,-0.047,0.499,0.301,0.498,0.35,0.699,82.0,P,True,RP,18.142857142857142,5.224,5.228899999999999,0.951385458391111,0.29561940208426973,0.8484059420257275,0.43612732840977103,0.033,2.2021,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
669276,Dylan Lee,1102,5.158,1.391,-0.05,0.528,0.383,0.51,0.335,0.617,71.3,P,False,RP,14.891891891891891,4.919,5.0863,0.9145822776279855,0.28332290660779846,0.7909908608460625,0.45294642417804587,0.033,2.2014,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.211371944033651,2.388741808755733
623437,Justin Topa,1000,5.106,1.432,-0.052,0.471,0.296,0.528,0.313,0.704,61.4,P,False,RP,17.857142857142858,5.121,5.1105,0.8854676659435554,0.24557378989121892,0.8527938546711813,0.42666185461362177,0.033,2.2008,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.098302570641805,2.769127687998836
608371,Lucas Sims,279,5.271,1.533,-0.046,0.412,0.422,0.431,0.324,0.578,87.1,P,False,RP,15.5,4.829,5.1384,0.961393199437008,0.43616423560034345,0.7298185404748257,0.43106991106181397,0.033,2.2003,,2.2,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,,
