batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,tag
Kyle Tucker,663656,715,Tier A,116.9,113.7,109.4,108.8,0.468,0.258,0.408,0.07511,Decision+ strong (top 25%); Process+ strong
Mauricio Dubón,643289,524,Tier A,106.5,113.5,110.8,98.5,0.586,0.37,0.339,0.07816,Decision+ strong (top 25%)
Jake Fraley,641584,378,Tier B,101.2,113.4,100.9,98.0,0.52,0.232,0.357,0.09179,Decision+ strong (top 25%); low chase rate
Matt Olson,621566,731,Tier A,122.4,113.4,90.8,122.6,0.468,0.264,0.468,0.06126,Decision+ strong (top 25%); Process+ strong
Austin Riley,663586,729,Tier A,119.8,113.2,94.3,118.6,0.483,0.299,0.459,0.078,Decision+ strong (top 25%); Process+ strong
Byron Buxton,621439,355,Tier B,104.2,113.0,83.3,109.0,0.5,0.284,0.416,0.08033,Decision+ strong (top 25%)
Dj Stewart,621466,193,Tier C,112.2,112.9,85.2,115.6,0.508,0.238,0.449,0.02652,Decision+ strong (top 25%); low chase rate; Process+ strong
Cedric Mullins,656775,467,Tier A,94.4,112.5,98.8,92.8,0.497,0.281,0.327,0.09119,Decision+ strong (top 25%)
Luis Rengifo,650859,452,Tier A,100.6,112.2,107.2,94.9,0.501,0.323,0.351,0.02254,Decision+ strong (top 25%)
Sean Murphy,669221,447,Tier A,117.6,112.1,93.2,117.2,0.457,0.284,0.455,0.06892,Decision+ strong (top 25%); Process+ strong
Luis Robert,673357,592,Tier A,121.8,112.0,91.4,122.0,0.583,0.406,0.47,0.05929,Decision+ strong (top 25%); Process+ strong
Oswald Peraza,672724,209,Tier C,92.5,111.9,97.1,91.8,0.493,0.232,0.334,0.06516,Decision+ strong (top 25%); low chase rate
Logan O'Hoppe,681351,209,Tier C,113.3,111.8,98.0,111.0,0.515,0.296,0.429,0.03646,Decision+ strong (top 25%); Process+ strong
Stone Garrett,656448,272,Tier B,115.2,111.7,88.1,117.4,0.528,0.359,0.462,0.04833,Decision+ strong (top 25%); Process+ strong
Patrick Wisdom,621550,302,Tier B,114.2,111.7,77.0,121.5,0.468,0.274,0.487,0.10982,Decision+ strong (top 25%); Process+ strong
Jj Bleday,668709,304,Tier B,88.1,111.7,93.3,89.5,0.436,0.237,0.322,0.09671,Decision+ strong (top 25%); selective swinger; low chase rate
Bryan Reynolds,668804,667,Tier A,111.3,111.6,98.2,109.2,0.479,0.277,0.426,0.03302,Decision+ strong (top 25%); Process+ strong
Jordan Diaz,672478,294,Tier B,96.2,111.6,97.1,95.4,0.56,0.345,0.34,0.03593,Decision+ strong (top 25%)
Joey Votto,458015,242,Tier C,90.9,111.6,88.9,94.1,0.479,0.229,0.337,0.07916,Decision+ strong (top 25%); low chase rate
Trea Turner,607208,760,Tier A,110.2,111.4,100.3,107.2,0.535,0.314,0.401,0.08688,Decision+ strong (top 25%); Process+ strong
Willy Adames,642715,649,Tier A,107.3,111.3,91.3,108.5,0.501,0.295,0.406,0.08854,Decision+ strong (top 25%)
Danny Jansen,643376,320,Tier B,97.4,111.2,98.2,96.1,0.467,0.238,0.353,0.09281,Decision+ strong (top 25%); low chase rate
Andrew Mccutchen,457705,486,Tier A,98.3,111.2,91.7,99.9,0.416,0.199,0.377,0.09194,Decision+ strong (top 25%); selective swinger; low chase rate
Kole Calhoun,594777,175,Tier C,97.5,110.9,99.3,95.7,0.482,0.294,0.344,0.06778,Decision+ strong (top 25%)
Jurickson Profar,595777,523,Tier A,91.1,110.8,101.8,88.6,0.472,0.239,0.322,0.07643,Decision+ strong (top 25%); low chase rate
Omar Narváez,553882,154,Tier C,100.3,110.7,104.2,96.2,0.457,0.293,0.344,0.09054,Decision+ strong (top 25%)
Marcell Ozuna,542303,615,Tier A,124.0,110.7,97.4,121.6,0.483,0.307,0.475,0.05667,Decision+ strong (top 25%); Process+ strong
Ramón Urías,602104,402,Tier A,92.8,110.6,95.5,93.1,0.491,0.26,0.332,0.0635,Decision+ strong (top 25%)
Teoscar Hernández,606192,678,Tier A,118.0,110.5,89.1,119.7,0.537,0.316,0.46,0.073,Decision+ strong (top 25%); Process+ strong
Emmanuel Rivera,656896,306,Tier B,100.6,110.4,104.5,96.4,0.466,0.277,0.352,0.07891,Decision+ strong (top 25%)
Spencer Torkelson,679529,699,Tier A,111.1,110.4,96.3,110.0,0.461,0.245,0.426,0.04726,Decision+ strong (top 25%); Process+ strong
Chad Wallach,595453,178,Tier C,103.5,110.3,86.3,107.5,0.485,0.29,0.409,0.12431,Decision+ strong (top 25%)
David Peralta,444482,440,Tier A,104.0,110.2,106.3,98.8,0.54,0.299,0.358,0.07949,Decision+ strong (top 25%)
Gio Urshela,570482,237,Tier C,100.8,110.1,107.3,95.4,0.546,0.361,0.325,0.06806,Decision+ strong (top 25%)
Edmundo Sosa,624641,324,Tier B,98.5,110.1,94.6,99.0,0.584,0.389,0.356,0.11252,Decision+ strong (top 25%)
Brian Anderson,605119,362,Tier B,103.3,110.1,87.1,106.9,0.489,0.278,0.402,0.07952,Decision+ strong (top 25%)
Brandon Lowe,664040,451,Tier A,110.0,109.9,94.3,110.0,0.518,0.302,0.414,0.06156,Decision+ strong (top 25%); Process+ strong
Bryce Harper,547180,592,Tier A,129.2,109.8,97.6,126.6,0.506,0.307,0.483,0.07623,Decision+ strong (top 25%); Process+ strong
Blake Sabol,666165,346,Tier B,99.2,109.8,84.6,104.3,0.523,0.279,0.388,0.0924,Decision+ strong (top 25%)
Whit Merrifield,593160,614,Tier A,93.9,109.6,106.3,89.4,0.51,0.298,0.306,0.1105,Decision+ strong (top 25%)
Nolan Gorman,669357,482,Tier A,118.6,109.6,84.0,122.9,0.489,0.295,0.48,0.09275,Decision+ strong (top 25%); Process+ strong
Rafael Devers,646240,648,Tier A,124.6,109.5,102.4,120.1,0.526,0.341,0.44,0.07444,Decision+ strong (top 25%); Process+ strong
Joshua Palacios,641943,264,Tier B,106.7,109.3,104.6,102.3,0.519,0.319,0.381,0.11708,Decision+ strong (top 25%)
Seby Zavala,664874,193,Tier C,92.1,109.3,81.3,99.2,0.542,0.321,0.36,0.10718,Decision+ strong (top 25%)
Luis Campusano,669134,174,Tier C,114.6,109.1,112.6,106.2,0.552,0.376,0.38,0.09104,Decision+ strong (top 25%); Process+ strong
Eugenio Suárez,553993,694,Tier A,104.3,109.0,87.3,108.0,0.446,0.229,0.417,0.04122,Decision+ strong (top 25%); selective swinger; low chase rate
Will Smith,669257,573,Tier A,104.7,109.0,101.8,101.8,0.46,0.221,0.363,0.01911,Decision+ strong (top 25%); low chase rate
