batter_name,batter,pa,confidence,primary_position,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Gary Sánchez,596142,63,Watch,C,,125.2,92.7,103.5,123.6,0.347,0.257,0.488,0.112,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Sal Stewart,701398,119,Signal,3B,1B,130.1,115.2,104.7,123.1,0.48,0.288,0.478,0.11,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Andy Pages,681624,102,Signal,OF,OF,120.3,94.5,93.8,123.1,0.472,0.296,0.474,0.11,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Giancarlo Stanton,519317,91,Signal,DH,DH,119.1,93.2,96.2,121.1,0.456,0.311,0.458,0.1,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Dominic Smith,642086,66,Watch,1B,DH,133.8,114.0,118.0,120.8,0.537,0.318,0.465,0.098,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Drake Baldwin,686948,122,Signal,C,C,123.2,92.9,106.0,120.6,0.505,0.294,0.446,0.097,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ramón Laureano,657656,97,Signal,OF,OF,119.3,123.6,84.4,120.5,0.519,0.299,0.475,0.097,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Kody Clemens,665019,58,Watch,2B,1B,111.4,68.3,94.6,119.5,0.412,0.286,0.468,0.092,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Heliot Ramos,671218,91,Signal,OF,OF,116.3,108.4,87.2,119.4,0.517,0.34,0.461,0.091,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Riley Greene,682985,109,Signal,OF,OF,118.1,99.4,96.7,118.6,0.438,0.277,0.458,0.087,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jac Caglianone,695506,85,Signal,OF,OF,116.7,84.4,101.3,118.3,0.458,0.296,0.462,0.085,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Andrew Benintendi,643217,73,Watch,OF,DH,113.2,100.8,86.6,118.3,0.544,0.359,0.455,0.086,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ronald Acuña,660670,116,Signal,OF,OF,118.9,121.2,89.8,118.1,0.465,0.28,0.443,0.085,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ian Happ,664023,107,Signal,OF,OF,114.5,86.8,96.2,118.0,0.415,0.276,0.464,0.084,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Bobby Witt,677951,114,Signal,SS,SS,121.5,95.8,108.7,117.1,0.479,0.327,0.446,0.079,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Cj Abrams,682928,107,Signal,SS,SS,124.2,100.3,112.8,117.0,0.504,0.318,0.434,0.079,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
805808,805808,110,Signal,SS,"3B, SS",124.5,94.2,116.2,116.9,0.417,0.285,0.443,0.078,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Fernando Tatís,665487,106,Signal,OF,OF,119.5,116.0,96.5,116.7,0.467,0.267,0.444,0.078,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Amed Rosario,642708,64,Watch,3B,3B,126.5,106.3,116.1,116.4,0.549,0.361,0.431,0.076,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Spencer Steer,668715,95,Signal,1B,OF,115.3,91.1,99.4,116.4,0.461,0.293,0.437,0.076,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ryan O'Hearn,656811,96,Signal,1B,OF,119.2,85.7,110.2,116.3,0.434,0.275,0.447,0.075,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Matt Wallner,670242,94,Signal,OF,OF,110.9,109.0,82.9,116.2,0.513,0.283,0.452,0.075,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Max Muncy,691777,101,Signal,3B,3B,109.1,85.9,90.7,115.7,0.51,0.342,0.451,0.072,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Blaze Alexander,677942,68,Watch,SS,,111.2,127.1,77.1,115.5,0.583,0.359,0.426,0.071,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Francisco Álvarez,682626,75,Watch,C,C,120.3,87.2,113.9,115.3,0.447,0.305,0.443,0.07,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Kyle Manzardo,700932,90,Signal,1B,1B,108.0,96.3,85.1,115.0,0.489,0.307,0.426,0.069,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Vladimir Guerrero,665489,102,Signal,1B,1B,124.0,113.3,111.7,114.6,0.48,0.274,0.417,0.067,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Alec Burleson,676475,109,Signal,1B,1B,123.6,104.4,114.8,114.6,0.51,0.321,0.414,0.067,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
