rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_p25,xfp_rp3_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,mlb_id,atc,steamer,thebatx,zips,ext_n_systems,ext_mean_fp_per_g,ensemble_fp_per_start
11,666200,"Luzardo, Jesús",7,4.0,12.999999999999998,13.224999999999998,0.225,12.770792075331215,mlb_lag,0,13.721345125657068,3.550589473597954,11.326472525715248,16.116217725598887,COL,0.9674,0.9674,1.0679807557557273,14.65,11.285,2.437,add,52.2,60.0,75.0,0.7936,0.1792,666200,14.378440146545111,13.964613385315138,14.305401969805404,13.403571428571427,4,14.013006732559269,13.83800976841795
12,667755,"Soriano, José",7,3.0,20.085714285714285,13.166666666666666,-6.919,10.392811463655606,mlb_lag,0,13.294917625146516,3.550589473597954,10.900045025204696,15.689790225088336,TOR,0.9595,0.9595,1.053481738710508,14.01,11.285,2.01,hold,100.0,45.0,63.4,0.6566,0.0303,667755,11.665153968076186,11.413326835607537,10.808912231876187,11.482916666666668,4,11.342577425556644,12.513981545310568
13,660271,"Ohtani, Shohei",5,3.0,19.4,20.466666666666665,1.067,12.552602439426009,mlb_lag,0,13.29095219719458,3.550589473597954,10.89607959725276,15.6858247971364,,,,1.0,13.29,11.285,2.006,hold,82.3,79.0,68.9,0.9663,0.0673,660271,13.506117494218342,12.930044091710757,14.038485281245679,12.624374999999997,4,13.274755466793692,13.284473505034224
14,686613,,2,0.0,19.6,19.6,0.0,13.665495182582218,mlb_lag,1,13.220076206916488,3.550589473597954,10.825203606974668,15.614948806858308,,,,1.0,13.22,11.285,1.935,il,,,,,,686613,14.576573877116909,13.868079922027285,13.921259587523439,15.07535714285714,4,14.360317632381193,13.67617277710237
15,684007,"Imanaga, Shota",7,4.0,18.057142857142857,18.15,0.093,14.01109855301803,mlb_lag,0,13.173837131038232,3.550589473597954,10.778964531096412,15.568709730980054,CIN,1.0246,1.0246,0.9948936090621278,13.11,11.285,1.889,hold,97.9,46.0,47.7,0.8229,-0.0127,684007,13.167631537677405,12.36554783950617,12.837655061554145,11.883999999999997,4,12.56370860968443,12.92978572249671
16,669302,"Gilbert, Logan",7,3.0,11.3,7.399999999999999,-3.9,15.29909148401493,mlb_lag,0,13.092842982824669,3.550589473597954,10.697970382882849,15.487715582766487,CWS,1.0085,1.0085,0.982727097176478,12.87,11.285,1.808,hold,18.6,26.0,100.0,0.8504,0.2833,669302,15.215053320807948,14.276762688614538,15.579136232495951,13.907241379310342,4,14.744548405307194,13.753525151817678
17,592332,"Gausman, Kevin",7,4.0,15.028571428571428,9.724999999999998,-5.304,13.770352752034936,mlb_lag,0,13.060496869987167,3.550589473597954,10.665624270045347,15.455369469928987,,,,1.0,13.06,11.285,1.776,hold,74.6,217.0,61.8,0.7299,0.0578,592332,13.488820214443717,12.814697855750486,13.028954343099695,12.735714285714286,4,13.017046674752047,13.04311679189312
18,808967,"Yamamoto, Yoshinobu",6,3.0,15.183333333333332,14.6,-0.583,16.301759395668288,mlb_lag,0,13.03013808966166,3.550589473597954,10.635265489719838,15.42501068960348,,,,1.0,13.03,11.285,1.746,hold,22.0,9.0,100.0,0.9907,0.2267,808967,15.33869702882115,13.980065586419755,15.11001547286587,15.560714285714283,4,14.997373093455264,13.817032091179103
19,695505,"Burns, Chase",7,4.0,16.885714285714283,19.825,2.939,10.354950255469117,mlb_lag,0,12.863370020075308,3.550589473597954,10.468497420133488,15.258242620017128,HOU,1.0617,1.0617,0.9433006059904588,12.13,11.285,1.579,hold,100.0,2.0,,,,695505,13.847917354192496,14.055174897119338,14.731171118940372,12.247142857142856,4,13.720351556848765,13.206162634784691
20,642547,"Peralta, Freddy",7,3.0,14.07142857142857,13.066666666666665,-1.005,13.935244204323055,mlb_lag,0,12.795391633404792,3.550589473597954,10.400519033462972,15.190264233346612,,,,1.0,12.8,11.285,1.511,hold,50.0,78.0,85.9,0.8877,0.195,642547,13.526318614433102,13.177760631001371,13.405081915453428,11.848387096774193,4,12.989387064415524,12.872989805809084
