PL_rank,name,my_rank,my_ros,per_start,is_il,signal,diff
78,Trevor McDonald,95.0,235.2,9.8,0.0,hold,-17.0
79,Mike Burrows,78.0,244.8,10.2,0.0,hold,1.0
80,Andrew Abbott,138.0,219.1,9.13,0.0,drop,-58.0
81,Joey Cantillo,93.0,236.2,9.84,0.0,hold,-12.0
82,Justin Wrobleski,168.0,199.0,8.29,0.0,drop,-86.0
83,Zac Gallen,129.0,223.7,9.32,0.0,drop,-46.0
84,Mitch Keller,44.0,265.9,11.08,0.0,hold,40.0
85,Lucas Giolito,135.0,219.8,9.16,0.0,il,-50.0
86,Jack Leiter,36.0,279.8,11.66,0.0,hold,50.0
87,Tanner Bibee,46.0,265.0,11.04,0.0,hold,41.0
88,Aaron Nola,76.0,245.5,10.23,0.0,hold,12.0
89,Dustin May,169.0,198.2,8.26,0.0,drop,-80.0
90,Jameson Taillon,67.0,253.4,10.56,0.0,hold,23.0
91,Brayan Bello,128.0,223.9,9.33,0.0,hold,-37.0
92,Slade Cecconi,158.0,205.2,8.55,0.0,drop,-66.0
93,Jack Flaherty,55.0,260.4,10.85,0.0,hold,38.0
94,Cade Cavalli,139.0,218.4,9.1,0.0,drop,-45.0
95,Carmen Mlodzinski,166.0,200.9,8.37,0.0,drop,-71.0
96,Janson Junk,86.0,241.4,10.06,0.0,hold,10.0
97,Walbert Urena,81.0,243.6,10.15,0.0,hold,16.0
98,J.T. Ginn,134.0,220.8,9.2,0.0,hold,-36.0
99,Keider Montero,132.0,221.3,9.22,0.0,drop,-33.0
100,Stephen Kolek,115.0,228.2,9.51,0.0,il,-15.0
