pitcher,fp_per_start_5-day,fp_per_start_6-day,fp_per_start_7+ day,fp_per_start_short(<=4),gs_5-day,gs_6-day,gs_7+ day,gs_short(<=4),annual_rate,total_gs,lift_short(<=4)_pct,lift_5-day_pct,lift_6-day_pct,lift_7+ day_pct,player_name,rank
518774,5.599999999999998,8.35,5.666666666666666,7.899999999999999,25.0,24.0,15.0,1.0,6.666153846153844,65,18.5,-16.0,25.3,-15.0,,
518876,13.705063291139238,10.101754385964911,12.451999999999998,,79.0,57.0,25.0,,12.234782608695651,161,,12.0,-17.4,1.8,"Kelly, Merrill",140.0
519141,4.709999999999999,4.57142857142857,4.938461538461538,,10.0,7.0,13.0,,4.776666666666666,30,,-1.4,-4.3,3.4,,
519144,10.674285714285713,10.94705882352941,7.245454545454544,,35.0,17.0,11.0,,10.149206349206347,63,,5.2,7.9,-28.6,,
519242,16.634615384615383,15.923913043478258,16.93333333333333,,52.0,46.0,27.0,,16.4376,125,,1.2,-3.1,3.0,"Sale, Chris",7.0
519455,9.389999999999999,3.1823529411764695,4.688888888888888,,20.0,17.0,9.0,,6.176086956521738,46,,52.0,-48.5,-24.1,,
527048,9.581355932203389,7.621666666666665,6.667857142857142,,59.0,60.0,28.0,,8.226530612244897,147,,16.5,-7.4,-18.9,"Pérez, Martín",148.0
527054,10.786206896551722,10.399999999999999,10.214285714285714,,29.0,36.0,7.0,,10.5375,72,,2.4,-1.3,-3.1,,
542881,9.177999999999999,11.045783132530119,9.624324324324323,10.1,50.0,83.0,37.0,1.0,10.186549707602339,171,-0.8,-9.9,8.4,-5.5,,
543037,17.767532467532465,17.514473684210525,18.52631578947368,,77.0,76.0,19.0,,17.73953488372093,172,,0.2,-1.3,4.4,,
543101,9.569565217391302,11.734146341463413,10.476470588235294,,46.0,41.0,17.0,,10.571153846153845,104,,-9.5,11.0,-0.9,,
543135,13.156451612903224,13.737313432835819,9.052173913043477,7.35,62.0,67.0,23.0,2.0,12.72077922077922,154,-42.2,3.4,8.0,-28.8,"Eovaldi, Nathan",24.0
543243,13.842857142857142,13.226315789473682,9.570967741935483,,63.0,95.0,31.0,,12.83227513227513,189,,7.9,3.1,-25.4,"Gray, Sonny",119.0
543294,9.976190476190474,9.647999999999998,10.75,,84.0,75.0,24.0,,9.943169398907102,183,,0.3,-3.0,8.1,,
543475,8.418181818181818,8.514,10.866666666666665,25.099999999999994,55.0,50.0,18.0,1.0,8.946774193548386,124,180.5,-5.9,-4.8,21.5,,
543557,8.392857142857142,7.879999999999998,7.083333333333332,,14.0,10.0,6.0,,7.959999999999998,30,,5.4,-1.0,-11.0,,
543606,8.665624999999999,10.461224489795917,10.218181818181817,,32.0,49.0,22.0,,9.85145631067961,103,,-12.0,6.2,3.7,,
543699,9.042307692307691,9.857142857142856,11.454545454545453,19.7,26.0,21.0,11.0,1.0,9.96271186440678,59,97.7,-9.2,-1.1,15.0,,
544931,16.703448275862065,15.168421052631576,8.799999999999999,,29.0,19.0,9.0,,14.943859649122805,57,,11.8,1.5,-41.1,,
545333,17.34090909090909,14.403846153846152,9.499999999999998,7.35,44.0,26.0,3.0,2.0,15.742666666666665,75,-53.3,10.2,-8.5,-39.7,,
547179,8.028571428571427,11.51470588235294,10.95862068965517,,28.0,34.0,29.0,,10.264835164835164,91,,-21.8,12.2,6.8,"Lorenzen, Michael",137.0
547888,11.222222222222221,12.033333333333331,12.674999999999999,,18.0,30.0,8.0,,11.864285714285712,56,,-5.4,1.4,6.8,,
547943,13.289285714285713,11.778048780487802,14.872222222222222,,28.0,41.0,18.0,,12.904597701149424,87,,3.0,-8.7,15.2,,
548389,11.08205128205128,10.728124999999999,8.33076923076923,7.100000000000001,39.0,32.0,26.0,1.0,10.195918367346938,98,-30.4,8.7,5.2,-18.3,,
554430,16.846590909090907,15.602247191011235,14.286363636363633,,88.0,89.0,22.0,,16.007035175879395,199,,5.2,-2.5,-10.7,Zack Wheeler,9.0
570632,10.245945945945945,5.224324324324323,4.59090909090909,26.599999999999994,37.0,37.0,22.0,1.0,7.216494845360824,97,268.6,42.0,-27.6,-36.4,,
571510,11.365454545454543,12.09782608695652,10.131999999999998,,55.0,46.0,25.0,,11.388095238095238,126,,-0.2,6.2,-11.0,"Boyd, Matthew",41.0
571578,8.243478260869564,10.777319587628865,12.634615384615383,,92.0,97.0,26.0,,9.91767441860465,215,,-16.9,8.7,27.4,"Corbin, Patrick",144.0
571666,10.726086956521737,11.676666666666666,9.966666666666665,,23.0,30.0,9.0,,11.075806451612902,62,,-3.2,5.4,-10.0,,
571760,11.311764705882352,10.231944444444444,10.667567567567566,,51.0,72.0,37.0,,10.676874999999999,160,,5.9,-4.2,-0.1,,
571927,8.671428571428569,12.29736842105263,9.278260869565216,,56.0,38.0,23.0,,9.968376068376068,117,,-13.0,23.4,-6.9,"Matz, Steven",127.0
571945,11.366666666666665,10.036470588235293,10.180769230769231,9.799999999999997,84.0,85.0,26.0,1.0,10.624489795918365,196,-7.8,7.0,-5.5,-4.2,"Mikolas, Miles",162.0
572020,10.109090909090908,13.375675675675673,11.069565217391302,,33.0,37.0,23.0,,11.646236559139783,93,,-13.2,14.8,-5.0,,
572070,6.3999999999999995,10.033333333333331,4.299999999999999,,14.0,18.0,7.0,,7.699999999999998,39,,-16.9,30.3,-44.2,,
572140,11.555555555555554,10.834999999999999,7.549999999999999,,9.0,20.0,8.0,,10.299999999999999,37,,12.2,5.2,-26.7,,
572971,7.4799999999999995,9.276190476190473,2.2642857142857133,,45.0,42.0,14.0,,7.503960396039602,101,,-0.3,23.6,-69.8,,
573186,10.834999999999999,8.555172413793102,8.669230769230769,18.799999999999997,80.0,58.0,26.0,1.0,9.74060606060606,165,93.0,11.2,-12.2,-11.0,,
579328,9.41076923076923,10.269620253164556,9.224999999999998,,65.0,79.0,28.0,,9.774999999999999,172,,-3.7,5.1,-5.6,"Kikuchi, Yusei",69.0
