batter,xw_L225,n_L225,pa26_in_L225,pa25_in_L225,L225_from,L225_to,xw_2026,pa_2026,xw_2025,days_since_last_pa,k,name,pos,tm,own,inj,full_225
694384,0.3571333866666666,225,225,0,2026-05-17,2026-08-09,0.33482606403940884,406,0.32701138941143526,0,nolan schanuel,Nolan Schanuel,1B,LAA,4.73,ACTIVE,True
678554,0.35332856444444444,225,225,0,2026-05-13,2026-07-27,0.35928673538461536,325,0.2887266856043626,13,curtis mead,Curtis Mead,1B,Bos,8.76,TEN_DAY_DL,True
683734,0.3519311777777778,225,225,0,2026-05-04,2026-08-09,0.34853496120689653,232,0.3493426020564838,0,andrew vaughn,Andrew Vaughn,1B,Mil,3.58,ACTIVE,True
665833,0.3510372888888888,225,225,0,2026-04-11,2026-06-06,0.35878326881720424,279,0.3239034866989546,64,oneil cruz,Oneil Cruz,CF,Pit,80.07,SIXTY_DAY_DL,True
665052,0.3488775670175439,225,166,59,2025-04-05,2026-08-09,0.3693454156626506,166,0.2988186231520185,0,griffin conine,Griffin Conine,LF,Mia,2.28,ACTIVE,True
663330,0.34630426283391724,225,127,98,2025-07-18,2026-08-09,0.3094308267716535,127,0.3994919029701999,0,jahmai jones,Jahmai Jones,RF,Bos,0.11,ACTIVE,True
596142,0.34628198716049385,225,200,25,2025-06-28,2026-08-09,0.363749805,200,0.31549257717891993,0,gary sanchez,Gary Sanchez,C,Mil,2.15,ACTIVE,True
691720,0.34423265333333336,225,225,0,2026-05-21,2026-08-09,0.3364348186528497,386,0.25766108966087675,0,kyle karros,Kyle Karros,3B,Col,4.59,ACTIVE,True
605137,0.34366508000000007,225,225,0,2026-06-02,2026-08-09,0.3230938934782609,460,0.3591893103980398,0,josh bell,Josh Bell,DH,Min,13.59,ACTIVE,True
681297,0.3420065377777778,225,225,0,2026-04-22,2026-08-09,0.3233352135231317,281,0.29331806643672964,0,colton cowser,Colton Cowser,CF,Bal,1.66,ACTIVE,True
592663,0.34106589777777774,225,225,0,2026-05-16,2026-08-09,0.3234012140672783,327,0.31687502214831914,0,jt realmuto,J.T. Realmuto,C,Phi,16.76,ACTIVE,True
686469,0.33904690222222233,225,225,0,2026-04-22,2026-07-28,0.31547990060240966,332,0.3335446681848385,12,vinnie pasquantino,Vinnie Pasquantino,1B,KC,40.82,TEN_DAY_DL,True
663616,0.33665877777777775,225,225,0,2026-05-18,2026-08-09,0.3316789457142857,350,0.31578212167058334,0,trevor larnach,Trevor Larnach,DH,Min,5.65,ACTIVE,True
687462,0.33600586222222223,225,225,0,2026-04-29,2026-08-08,0.326592046875,320,0.326055516931405,1,spencer horwitz,Spencer Horwitz,1B,Pit,6.19,ACTIVE,True
663757,0.3354101333333333,225,225,0,2026-05-13,2026-08-09,0.34284925192802057,389,0.36994749882858075,0,trent grisham,Trent Grisham,CF,NYY,20.53,ACTIVE,True
694212,0.33423028,225,225,0,2026-04-28,2026-07-19,0.3369152564935065,308,0.2862501174163581,21,samuel basallo,Samuel Basallo,C,Bal,25.95,TEN_DAY_DL,True
676724,0.33416118659380684,225,223,2,2025-09-06,2026-08-09,0.33136648430493276,223,0.296116128745631,0,jared young,Jared Young,DH,NYM,0.41,ACTIVE,True
650489,0.33408016888888886,225,225,0,2026-05-29,2026-08-09,0.30835073214285713,392,0.30635858994431636,0,willi castro,Willi Castro,RF,Col,20.06,ACTIVE,True
666397,0.33367735555555555,225,225,0,2026-04-17,2026-08-07,0.33900935869565213,276,0.32908305965679585,2,edouard julien,Edouard Julien,1B,Col,0.25,ACTIVE,True
702284,0.33299504888888887,225,225,0,2026-06-05,2026-08-09,0.33159315966386554,476,0.29686225600425215,0,cole young,Cole Young,2B,Sea,14.02,ACTIVE,True
667472,0.33278843215658727,225,201,24,2025-08-27,2026-08-09,0.3180929253731343,201,0.30445465512672987,0,dane myers,Dane Myers,CF,Cin,0.17,ACTIVE,True
681715,0.33232563111111113,225,225,0,2026-05-19,2026-08-09,0.3369863047619048,315,0.3338821270033878,0,heriberto hernandez,Heriberto Hernandez,LF,Mia,3.19,ACTIVE,True
686611,0.33220738222222224,225,225,0,2026-06-05,2026-08-09,0.3223938158844766,277,0.3065122051990163,0,dylan crews,Dylan Crews,RF,Wsh,6.98,ACTIVE,True
663993,0.3314638355555556,225,225,0,2026-05-02,2026-08-09,0.34861727622377625,286,0.3033896160734896,0,nathaniel lowe,Nathaniel Lowe,1B,Cle,1.78,ACTIVE,True
663457,0.33021793025974033,225,201,24,2025-09-21,2026-08-08,0.3276504179104478,201,0.31739130059859255,1,lars nootbaar,Lars Nootbaar,LF,Ari,3.01,ACTIVE,True
696285,0.3299910266666667,225,225,0,2026-05-07,2026-08-09,0.31541486079545455,352,0.2968050855121873,0,jacob young,Jacob Young,CF,Wsh,1.74,ACTIVE,True
621438,0.3289044217663818,225,170,55,2025-07-25,2026-08-09,0.3171106,170,0.29924671142368997,0,tyrone taylor,Tyrone Taylor,CF,ChC,0.72,ACTIVE,True
682626,0.3288761511111111,225,225,0,2026-04-22,2026-08-09,0.3481148026755853,299,0.32647202180431,0,francisco alvarez,Francisco Alvarez,C,NYM,11.69,ACTIVE,True
624424,0.3283969584229391,225,202,23,2025-09-21,2026-08-09,0.32446658415841584,202,0.33158788178966675,0,michael conforto,Michael Conforto,LF,ChC,0.39,ACTIVE,True
805811,0.3263313200000001,225,225,0,2026-06-04,2026-08-09,0.345303880794702,302,0.3620405283348566,0,bryce eldridge,Bryce Eldridge,DH,SF,8.67,ACTIVE,True
665953,0.3262659881342062,188,115,73,2025-06-10,2026-08-09,0.3721493565217392,115,0.25398396944151735,0,andres chaparro,Andres Chaparro,1B,Wsh,0.25,ACTIVE,False
807799,0.3261208711111111,225,225,0,2026-04-21,2026-08-07,0.32688993382352943,272,0.31356705009352437,2,masataka yoshida,Masataka Yoshida,DH,Bos,1.33,ACTIVE,True
690993,0.3259892622222222,225,225,0,2026-05-09,2026-08-09,0.3310637544378698,338,0.34134304824486034,0,colt keith,Colt Keith,DH,Det,5.44,ACTIVE,True
701358,0.3253443066666667,225,225,0,2026-05-25,2026-08-08,0.3305482924528302,424,0.3043791877936469,1,cam smith,Cam Smith,RF,Hou,7.5,ACTIVE,True
811965,0.3253057096774193,62,62,0,2026-06-29,2026-07-20,0.3253057096774193,62,,20,joshua kurodagrauer,Joshua Kuroda-Grauer,SS,Oak,1.61,TEN_DAY_DL,False
676572,0.32526333586050554,225,47,178,2025-07-09,2026-08-06,0.30452751063829786,47,0.315349557356594,3,eric wagaman,Eric Wagaman,1B,NYM,0.06,ACTIVE,True
670042,0.32502871111111115,225,225,0,2026-04-15,2026-07-30,0.34231824647887327,284,0.31172835504092855,10,luke raley,Luke Raley,RF,Sea,4.29,TEN_DAY_DL,True
671218,0.32431168,225,225,0,2026-04-26,2026-08-09,0.3255677956656347,323,0.320335443038219,0,heliot ramos,Heliot Ramos,LF,NYY,12.22,ACTIVE,True
805999,0.3242200888888889,225,225,0,2026-06-07,2026-08-09,0.32580381072555203,317,,0,aj ewing,A.J. Ewing,CF,NYM,9.91,ACTIVE,True
660821,0.32378745777777773,225,225,0,2026-04-07,2026-08-09,0.33706974703557313,253,0.3230953211708664,0,jesus sanchez,Jesus Sanchez,RF,Tor,1.73,ACTIVE,True
596146,0.3237064161095185,225,105,120,2025-08-03,2026-08-07,0.28224803809523813,105,0.33159949459586957,2,max kepler,Max Kepler,LF,Ari,0.16,ACTIVE,True
680977,0.323522614809039,225,113,112,2025-07-21,2026-08-08,0.3263673274336283,113,0.34607920440978834,1,brendan donovan,Brendan Donovan,2B,Sea,35.77,ACTIVE,True
573262,0.32343750666666665,225,225,0,2026-04-20,2026-08-09,0.30976616999999995,300,0.32934652351941496,0,mike yastrzemski,Mike Yastrzemski,RF,Atl,1.25,ACTIVE,True
666018,0.3229543288888889,225,225,0,2026-06-07,2026-08-09,0.35368084146341466,492,0.38190051503733113,0,jonathan aranda,Jonathan Aranda,1B,TB,40.12,ACTIVE,True
650859,0.32265024000000003,225,225,0,2026-04-21,2026-08-09,0.3125494845360825,291,0.3019702712455211,0,luis rengifo,Luis Rengifo,3B,SD,2.74,ACTIVE,True
668715,0.32180557333333326,225,225,0,2026-05-10,2026-07-26,0.34314724119241197,369,0.29289861743874895,14,spencer steer,Spencer Steer,1B,Cin,12.49,TEN_DAY_DL,True
683748,0.3215401575969228,199,162,37,2025-05-26,2026-08-09,0.3194393024691358,162,0.3307384962645307,0,victor mesa jr,Victor Mesa Jr.,LF,TB,0.34,ACTIVE,False
664761,0.3212560888888889,225,225,0,2026-06-06,2026-08-09,0.3061712025862069,464,0.323672274774445,0,alec bohm,Alec Bohm,3B,Phi,17.81,ACTIVE,True
624641,0.32089473177177186,225,191,34,2025-09-03,2026-08-08,0.3287350052356021,191,0.2916481346688591,1,edmundo sosa,Edmundo Sosa,2B,Phi,0.39,ACTIVE,True
695238,0.32083188110260885,191,43,148,2025-03-27,2026-06-28,0.3295846279069768,43,0.31828885331485335,42,will wagner,Will Wagner,3B,SD,0.03,ACTIVE,False
691781,0.32074331111111115,225,218,7,2025-09-27,2026-08-09,0.32803782110091745,218,0.2841728175658814,0,brady house,Brady House,3B,Wsh,0.75,ACTIVE,True
687221,0.32054524444444443,225,225,0,2026-04-18,2026-08-01,0.34080187755102037,245,0.28290695422811357,8,dalton rushing,Dalton Rushing,C,LAD,8.95,TEN_DAY_DL,True
663698,0.3204535491979642,225,128,97,2025-07-29,2026-08-06,0.2948562890625,128,0.31811131385325725,3,joey bart,Joey Bart,C,ChW,0.21,TEN_DAY_DL,True
682987,0.3192248636363636,132,132,0,2026-05-08,2026-08-09,0.3192248636363636,132,,0,spencer jones,Spencer Jones,CF,NYY,5.92,ACTIVE,False
665019,0.3191598133333333,225,225,0,2026-06-04,2026-08-09,0.32340917590361445,415,0.33082614215042955,0,kody clemens,Kody Clemens,1B,Min,24.36,ACTIVE,True
678545,0.31867746874999997,32,32,0,2026-07-29,2026-08-09,0.31867746874999997,32,,0,osleivis basabe,Osleivis Basabe,SS,SF,3.34,ACTIVE,False
643217,0.31850567555555553,225,225,0,2026-05-06,2026-08-09,0.3123464941520468,342,0.3205112861706748,0,andrew benintendi,Andrew Benintendi,LF,ChW,3.34,ACTIVE,True
701162,0.3182811538461538,52,52,0,2026-06-23,2026-08-06,0.3182811538461538,52,,3,ben malgeri,Ben Malgeri,CF,Det,0.03,ACTIVE,False
542303,0.31827813777777775,225,225,0,2026-04-15,2026-08-01,0.3040538079710145,276,0.35411701017316044,8,marcell ozuna,Marcell Ozuna,DH,FA,3.65,ACTIVE,True
545341,0.318198191137102,225,180,45,2025-08-25,2026-08-09,0.33541292777777776,180,0.32640476893016523,0,randal grichuk,Randal Grichuk,RF,ChW,0.14,ACTIVE,True
806198,0.3175866178343949,157,157,0,2026-06-16,2026-08-08,0.3175866178343949,157,,1,cooper pratt,Cooper Pratt,SS,Mil,3.85,TEN_DAY_DL,False
641933,0.3174336622222222,225,222,3,2025-09-28,2026-08-09,0.3162953783783784,222,0.36033162394102053,0,tyler oneill,Tyler O'Neill,RF,Bal,1.24,ACTIVE,True
670231,0.3173365926692561,218,46,172,2025-05-26,2026-08-08,0.3760441956521739,46,0.30163572210405715,1,john rave,John Rave,RF,KC,0.1,ACTIVE,False
691026,0.31700719555555557,225,225,0,2026-06-02,2026-08-09,0.306188581655481,447,0.28628964282025077,0,masyn winn,Masyn Winn,SS,StL,5.61,ACTIVE,True
682848,0.316930555602537,215,159,56,2025-03-27,2026-08-07,0.3407235157232704,159,0.2493755438311688,2,endy rodriguez,Endy Rodriguez,1B,Pit,1.84,DAY_TO_DAY,False
669899,0.3168741694915254,59,59,0,2026-04-19,2026-06-27,0.3168741694915254,59,,43,ryan ward,Ryan Ward,LF,LAD,0.11,ACTIVE,False
657041,0.3168508844444444,225,225,0,2026-05-26,2026-08-07,0.3137826272189349,338,0.24319439045693453,2,lane thomas,Lane Thomas,CF,Atl,1.47,ACTIVE,True
702616,0.31669438222222224,225,215,10,2025-09-26,2026-08-09,0.31937553023255816,215,0.3138440146607036,0,jackson holliday,Jackson Holliday,2B,Bal,25.31,ACTIVE,True
683679,0.3166916909090909,55,55,0,2026-05-04,2026-07-31,0.3166916909090909,55,,9,jesus rodriguez,Jesus Rodriguez,C,SF,0.24,TEN_DAY_DL,False
800325,0.3165917922077922,77,77,0,2026-07-07,2026-08-09,0.3165917922077922,77,,0,luis lara,Luis Lara,CF,Mil,2.55,ACTIVE,False
687859,0.31613643999999996,225,225,0,2026-05-09,2026-08-07,0.31914117746478876,355,0.33750537431843436,2,troy johnston,Troy Johnston,RF,Col,4.96,ACTIVE,True
694208,0.31587119999999996,225,197,28,2025-09-16,2026-08-09,0.3151258121827411,197,0.3344011933910061,0,moises ballesteros,Moises Ballesteros,DH,LAA,1.86,ACTIVE,True
655316,0.3155473377777778,225,225,0,2026-04-18,2026-08-09,0.3161964089068826,247,0.28004496929575395,0,andruw monasterio,Andruw Monasterio,SS,Bos,9.66,ACTIVE,True
694371,0.3154931194029851,134,134,0,2026-05-24,2026-07-11,0.3154931194029851,134,,29,tommy troy,Tommy Troy,2B,Ari,0.3,TEN_DAY_DL,False
656537,0.31529797198653203,225,163,62,2025-07-07,2026-08-09,0.2969403680981595,163,0.3092118950843145,0,derek hill,Derek Hill,CF,Phi,0.22,ACTIVE,True
669392,0.3152587706422018,109,101,8,2025-04-30,2026-07-07,0.32569510891089104,101,0.1835,33,samad taylor,Samad Taylor,2B,SD,1.35,TEN_DAY_DL,False
669134,0.3152175217391305,161,134,27,2025-05-03,2026-08-08,0.3369182014925373,134,0.20751785185185187,1,luis campusano,Luis Campusano,DH,SD,0.63,ACTIVE,False
687551,0.31512948,225,225,0,2026-04-30,2026-08-09,0.30826507835820893,268,0.26628039714513807,0,drew gilbert,Drew Gilbert,RF,SF,0.2,ACTIVE,True
606192,0.31490606666666665,225,225,0,2026-04-26,2026-08-09,0.31326019504643965,323,0.3251703519426537,0,teoscar hernandez,Teoscar Hernandez,RF,LAD,50.53,ACTIVE,True
685133,0.31434645454545457,187,187,0,2026-05-22,2026-08-09,0.31434645454545457,187,,0,wade meckler,Wade Meckler,CF,LAA,0.76,ACTIVE,False
641857,0.3142531022222222,225,225,0,2026-04-21,2026-08-09,0.30805253736654803,281,0.32171873229803316,0,ryan mcmahon,Ryan McMahon,3B,NYY,0.98,ACTIVE,True
687401,0.31373044888888885,225,225,0,2026-04-18,2026-08-08,0.29748817625899276,278,0.27456397829521717,1,joey ortiz,Joey Ortiz,SS,Mil,1.2,DAY_TO_DAY,True
678218,0.31335050467289716,214,214,0,2026-04-05,2026-08-08,0.31335050467289716,214,,1,brandon valenzuela,Brandon Valenzuela,C,Tor,1.19,ACTIVE,False
666126,0.31272768000000006,225,225,0,2026-04-17,2026-08-09,0.32691570114942525,261,0.31393873970850433,0,carlos cortes,Carlos Cortes,RF,Oak,3.18,ACTIVE,True
695731,0.31251807881773397,203,203,0,2026-06-09,2026-08-09,0.31251807881773397,203,,0,braden montgomery,Braden Montgomery,CF,ChW,4.93,ACTIVE,False
678011,0.31226415713491873,221,149,72,2025-07-02,2026-08-09,0.31562465100671133,149,0.3053098017613478,0,anthony seigler,Anthony Seigler,3B,Bos,0.76,ACTIVE,False
671976,0.31200537333333334,225,225,0,2026-05-17,2026-08-08,0.3012019023668639,338,0.14758333333333332,1,tristan peters,Tristan Peters,CF,ChW,2.04,ACTIVE,True
691458,0.3117940821917808,146,146,0,2026-06-12,2026-08-08,0.3117940821917808,146,,1,blaze jordan,Blaze Jordan,1B,StL,1.59,ACTIVE,False
691788,0.31176188888888884,225,225,0,2026-05-04,2026-08-09,0.31176188888888884,225,,0,joe mack,Joe Mack,C,Mia,2.28,ACTIVE,True
805300,0.3116944311111111,225,225,0,2026-05-24,2026-08-09,0.3028805135135135,444,0.34693860222921924,0,jakob marsee,Jakob Marsee,CF,Mia,26.02,ACTIVE,True
686894,0.3115583277300635,142,82,60,2025-08-17,2026-05-18,0.31601973170731706,82,0.3054610756278169,83,joey wiemer,Joey Wiemer,RF,FA,2.5,ACTIVE,False
656716,0.3114431955555555,225,225,0,2026-05-21,2026-08-09,0.29219993059936905,317,0.30505365822533587,0,zach mckinstry,Zach McKinstry,3B,Det,3.21,ACTIVE,True
691019,0.31123769632835396,225,70,155,2025-08-11,2026-07-20,0.3025079857142857,70,0.33664286266253074,20,kyle teel,Kyle Teel,C,ChW,4.22,TEN_DAY_DL,True
667670,0.3111214222222222,225,201,24,2025-09-20,2026-06-08,0.3150315024875622,201,0.35149314009935273,62,brent rooker,Brent Rooker,DH,Oak,42.11,SIXTY_DAY_DL,True
678577,0.3108766388888889,36,36,0,2026-06-18,2026-07-26,0.3108766388888889,36,,14,junior perez,Junior Perez,CF,ChW,0.02,ACTIVE,False
702332,0.3105594666666667,225,225,0,2026-06-03,2026-08-09,0.28921283823529415,408,0.3119677266215801,0,caleb durbin,Caleb Durbin,3B,Bos,46.09,ACTIVE,True
672284,0.3101295608709003,134,69,65,2025-03-27,2026-06-27,0.34576442028985516,69,0.2723017870261637,43,jarred kelenic,Jarred Kelenic,RF,Tex,0.04,ACTIVE,False
686475,0.31007086969696973,150,94,56,2025-03-31,2026-08-09,0.3084119255319149,94,0.312855525974026,0,tyler tolbert,Tyler Tolbert,CF,KC,1.02,ACTIVE,False
605170,0.30971256444444445,225,225,0,2026-05-01,2026-08-09,0.3184467893081761,318,0.3291435189949719,0,victor caratini,Victor Caratini,C,Min,1.98,ACTIVE,True
673237,0.3096666755555556,225,225,0,2026-03-28,2026-08-09,0.304301094017094,234,0.3259947172472588,0,yainer diaz,Yainer Diaz,C,Hou,42.75,ACTIVE,True
663853,0.3092822024783957,225,72,153,2025-08-03,2026-07-29,0.28869519444444447,72,0.344151542836193,11,romy gonzalez,Romy Gonzalez,1B,Bos,0.2,ACTIVE,True
703607,0.3092561111111111,225,225,0,2026-05-27,2026-08-09,0.30239907407407407,270,,0,henry bolte,Henry Bolte,RF,Oak,2.25,ACTIVE,True
680574,0.30918408,225,225,0,2026-04-25,2026-08-09,0.3202645899705015,339,0.29047440885325027,0,matt mclain,Matt McLain,2B,Cin,5.57,ACTIVE,True
666181,0.309181635702508,225,110,115,2025-07-01,2026-06-14,0.3045125,110,0.3421796723358362,56,will benson,Will Benson,RF,Cin,0.09,ACTIVE,True
686555,0.3091161599999999,225,225,0,2026-05-22,2026-08-08,0.3066136675257732,388,0.32194532641250984,1,isaac collins,Isaac Collins,LF,KC,0.65,ACTIVE,True
687093,0.30896284888888886,225,225,0,2026-05-09,2026-08-08,0.32226033219178085,292,,1,vaughn grissom,Vaughn Grissom,2B,LAA,3.48,ACTIVE,True
641598,0.30893790373962954,225,149,76,2025-08-13,2026-08-01,0.3018393288590604,149,0.2977710379611633,8,mitch garver,Mitch Garver,C,FA,0.12,ACTIVE,True
671289,0.3086729644444444,225,225,0,2026-04-26,2026-08-08,0.3114844064748201,278,0.32525217165695497,1,tyler freeman,Tyler Freeman,RF,Col,0.37,ACTIVE,True
687637,0.3086578844444445,225,215,10,2025-09-26,2026-08-09,0.311498976744186,215,0.3436866114327777,0,dylan beavers,Dylan Beavers,LF,Bal,0.87,ACTIVE,True
694378,0.30825272185430463,151,151,0,2026-05-31,2026-08-09,0.30825272185430463,151,,0,jacob gonzalez,Jacob Gonzalez,2B,Pit,0.84,ACTIVE,False
694388,0.30816771247907454,221,118,103,2025-07-06,2026-07-01,0.3011189322033898,118,0.3162430141541307,39,joey loperfido,Joey Loperfido,LF,Hou,0.15,ACTIVE,False
668723,0.3080929390243903,205,190,15,2025-06-01,2026-08-09,0.3091539263157894,190,0.29465376666666665,0,ryan vilade,Ryan Vilade,RF,TB,0.18,ACTIVE,False
622268,0.3079886301369863,146,138,8,2025-09-10,2026-08-08,0.3099734782608696,138,0.27375,1,donovan walton,Donovan Walton,2B,Oak,0.23,ACTIVE,False
682818,0.30780553888888895,180,180,0,2026-04-26,2026-07-29,0.30780553888888895,180,,11,yohendrick pinango,Yohendrick Pinango,LF,Tor,0.17,ACTIVE,False
663837,0.3071538577777778,225,225,0,2026-04-30,2026-07-29,0.30407730795847754,289,0.33818101346508356,11,matt vierling,Matt Vierling,CF,Det,0.2,TEN_DAY_DL,True
703601,0.307153,42,42,0,2026-07-31,2026-08-09,0.307153,42,,0,max clark,Max Clark,CF,Det,31.0,ACTIVE,False
673357,0.30680102437118434,225,158,67,2025-08-06,2026-08-09,0.29781153797468357,158,0.3240869087515003,0,luis robert jr,Luis Robert Jr.,CF,NYM,13.34,ACTIVE,True
696030,0.30676618793650795,225,213,12,2025-09-24,2026-08-04,0.30441106103286386,213,0.3381534884976832,5,alejandro osuna,Alejandro Osuna,LF,Tex,0.08,ACTIVE,True
665923,0.3063928303571429,176,153,23,2025-07-04,2026-08-07,0.31505334640522875,153,0.24878157142857144,2,esteury ruiz,Esteury Ruiz,LF,Mia,1.53,ACTIVE,False
695490,0.30632538686131383,137,137,0,2026-06-01,2026-07-29,0.30632538686131383,137,,11,edwin arroyo,Edwin Arroyo,SS,Cin,0.33,ACTIVE,False
543760,0.30621817777777777,225,225,0,2026-05-14,2026-08-09,0.3080560616966581,389,0.31786074646091,0,marcus semien,Marcus Semien,2B,NYM,36.06,ACTIVE,True
457705,0.30617231781443704,225,82,143,2025-08-04,2026-05-25,0.2405638902439024,82,0.3348035636118156,76,andrew mccutchen,Andrew McCutchen,DH,FA,0.11,ACTIVE,True
666176,0.30610480888888886,225,225,0,2026-06-02,2026-08-09,0.3194339369747899,476,0.36718756040198924,0,jo adell,Jo Adell,CF,Cle,32.63,ACTIVE,True
686681,0.3061018844444444,225,225,0,2026-05-22,2026-08-09,0.2960754223602485,322,0.2653198196338679,0,michael massey,Michael Massey,2B,KC,0.71,ACTIVE,True
701852,0.30594438805970153,67,67,0,2026-06-26,2026-08-09,0.30594438805970153,67,,0,drew cavanaugh,Drew Cavanaugh,C,SF,0.03,ACTIVE,False
641680,0.30579884444444444,225,225,0,2026-05-01,2026-08-09,0.3006160076045628,263,0.2762692629626035,0,jonah heim,Jonah Heim,C,Oak,4.27,ACTIVE,True
665877,0.3055993244444445,225,225,0,2026-04-18,2026-08-09,0.3010648395061729,243,0.3321867018006149,0,jose fermin,Jose Fermin,2B,StL,0.21,ACTIVE,True
668901,0.3052784533333333,225,225,0,2026-04-08,2026-07-09,0.3101833070866142,254,0.31996556069367205,31,mark vientos,Mark Vientos,3B,NYM,1.99,TEN_DAY_DL,True
687952,0.3045177813001396,195,58,137,2025-03-27,2026-08-09,0.3742043793103448,58,0.2750154259381549,0,christian encarnacionstrand,Christian Encarnacion-Strand,1B,Bal,2.23,ACTIVE,False
666182,0.30450340000000004,225,225,0,2026-06-09,2026-08-09,0.31891231764705885,510,0.35305655050074797,0,bo bichette,Bo Bichette,SS,NYM,72.16,ACTIVE,True
671732,0.3040914222222222,225,225,0,2026-05-08,2026-08-09,0.3085242347826087,345,0.30432689827235565,0,lawrence butler,Lawrence Butler,RF,Oak,9.8,ACTIVE,True
677870,0.30387423333333335,185,154,31,2025-07-01,2026-08-09,0.31673025974025976,154,0.24000881182795702,0,leo jimenez,Leo Jimenez,2B,Mia,0.04,ACTIVE,False
669398,0.302809385662432,58,41,17,2025-03-29,2026-08-05,0.29882926829268297,41,0.31240849226006195,4,gage workman,Gage Workman,3B,SD,0.05,ACTIVE,False
500743,0.3024840584486373,225,179,46,2025-09-10,2026-08-09,0.3175930614525139,179,0.29469280562557026,0,miguel rojas,Miguel Rojas,2B,LAD,0.84,ACTIVE,True
670156,0.3021982744672482,198,29,169,2025-03-28,2026-07-11,0.18414655172413788,29,0.32245567067760433,29,miles mastrobuoni,Miles Mastrobuoni,3B,Sea,0.05,ACTIVE,False
609280,0.3017533244444444,225,225,0,2026-04-07,2026-07-19,0.29921362399999996,250,0.29792946107497853,21,miguel andujar,Miguel Andujar,3B,SD,1.11,TEN_DAY_DL,True
686765,0.30144606203915586,192,88,104,2025-05-10,2026-08-09,0.3003217159090909,88,0.3023974318415185,0,nick sogard,Nick Sogard,1B,Bos,0.53,ACTIVE,False
677588,0.30143481777777775,225,225,0,2026-03-31,2026-08-09,0.3014087672413794,232,0.3021386294633402,0,jose tena,Jose Tena,3B,Wsh,0.08,ACTIVE,True
608701,0.301082982037813,225,126,99,2025-07-05,2026-07-30,0.25509430952380957,126,0.3380052117983887,10,rob refsnyder,Rob Refsnyder,RF,FA,0.09,ACTIVE,True
679822,0.30107608630609894,158,149,9,2025-06-23,2026-08-09,0.30783663087248325,149,0.18915151515151518,0,justin foscue,Justin Foscue,2B,Tex,0.16,ACTIVE,False
683146,0.3010714888888889,225,225,0,2026-05-17,2026-08-09,0.3016020506666667,375,0.33470405923420915,0,brett baty,Brett Baty,3B,NYM,2.72,ACTIVE,True
642708,0.3005307424338624,225,197,28,2025-08-08,2026-08-08,0.3080319695431472,197,0.3310762333529753,1,amed rosario,Amed Rosario,3B,NYY,0.63,ACTIVE,True
669224,0.30024488,225,225,0,2026-04-11,2026-08-09,0.303061321969697,264,0.2951284639875009,0,austin wells,Austin Wells,C,NYY,6.05,ACTIVE,True
