mlbam_id,player_name,team,proj_ros_pa_per_teamgame,naive_pace,volume_percentile,pa_to,team_games_to,pa_per_teamgame_to,started_pct_to,lineup_spot_to,pa_per_started_game_to,pa_last21,prior1_pa_per_g,is_catcher,is_on_il_at_split,career_stage,split_day
665966,Carlos Narváez,BOS,1.7358,1.8182,42.5,180,99.0,1.8182,0.9808,8.1373,3.5098,25.0,2.7531,1,0.0,2,117
687551,Drew Gilbert,SF,1.7299,2.29,42.3,229,100.0,2.29,0.7467,8.2321,3.6071,40.0,0.6728,0,0.0,1,117
677870,Leo Jiménez,MIA,1.7289,1.3564,42.1,137,101.0,1.3564,0.7907,7.0,3.6471,41.0,0.1975,0,0.0,2,117
696030,Alejandro Osuna,TEX,1.727,1.94,41.9,194,100.0,1.94,0.8525,6.6538,3.5192,31.0,1.0864,0,0.0,1,117
678391,Jorbit Vivas,WSH,1.7268,2.1287,41.7,215,101.0,2.1287,0.7571,7.2075,3.717,36.0,0.4074,0,0.0,1,117
814439,Ryan Waldschmidt,AZ,1.7226,1.39,41.5,139,100.0,1.39,0.973,7.5278,3.8333,17.0,0.0,0,0.0,0,117
694362,Blake Dunn,CIN,1.7174,1.5657,41.3,155,99.0,1.5657,0.9429,2.7576,4.5455,0.0,0.463,0,1.0,2,117
669357,Nolan Gorman,STL,1.6937,2.3232,41.1,230,99.0,2.3232,0.871,5.2407,4.0556,0.0,2.4815,0,0.0,4,117
701678,Hao-Yu Lee,DET,1.6765,1.68,40.9,168,100.0,1.68,0.75,7.6429,3.381,33.0,0.0,0,0.0,0,117
657656,Ramón Laureano,SD,1.6718,2.06,40.7,206,100.0,2.06,0.9057,3.9375,4.1875,0.0,3.0123,0,1.0,8,117
664774,LaMonte Wade Jr.,HOU,1.654,0.4804,40.5,49,102.0,0.4804,0.8571,5.5,3.6667,36.0,1.4938,0,0.0,7,117
691740,Daniel Susac,SF,1.6525,1.22,40.4,122,100.0,1.22,0.8824,7.7667,3.9333,7.0,0.0,1,0.0,0,117
663647,Ke'Bryan Hayes,CIN,1.6524,1.4343,40.2,142,99.0,1.4343,1.0,8.9756,3.4634,14.0,3.5185,0,0.0,6,117
666969,Adolis García,PHI,1.6514,2.5644,40.0,259,101.0,2.5644,0.9552,5.4531,3.9688,0.0,3.3765,0,1.0,8,117
663743,Nick Fortes,TB,1.6402,2.3636,39.8,234,99.0,2.3636,0.75,7.8148,3.6667,37.0,1.4938,1,0.0,5,117
668901,Mark Vientos,NYM,1.6377,2.5149,39.6,254,101.0,2.5149,0.8219,4.95,3.8667,9.0,2.858,0,1.0,4,117
660688,Keibert Ruiz,WSH,1.6329,2.1485,39.4,217,101.0,2.1485,0.9355,8.2586,3.6379,30.0,1.6481,1,0.0,6,117
694378,Jacob Gonzalez,CWS,1.6224,1.101,39.2,109,99.0,1.101,0.7429,7.2692,3.6923,32.0,0.0,0,0.0,0,117
694371,Tommy Troy,AZ,1.6222,1.35,39.0,135,100.0,1.35,1.0,8.7027,3.6486,29.0,0.0,0,1.0,0,117
678218,Brandon Valenzuela,TOR,1.622,1.92,38.8,192,100.0,1.92,0.875,8.0204,3.7551,19.0,0.0,1,0.0,0,117
596146,Max Kepler,AZ,1.618,0.51,38.6,51,100.0,0.51,0.8667,5.6154,3.6154,42.0,2.9259,0,0.0,11,117
681393,Connor Norby,MIA,1.6155,2.3069,38.4,233,101.0,2.3069,0.9375,6.4,3.8167,0.0,2.0802,0,0.0,2,117
670242,Matt Wallner,MIN,1.5727,1.3366,38.2,135,101.0,1.3366,0.9706,6.1212,4.0606,0.0,2.4198,0,0.0,4,117
669257,Will Smith,LAD,1.5693,1.9901,38.0,201,101.0,1.9901,0.8846,4.1957,4.2391,0.0,2.6914,1,1.0,7,117
543309,Kyle Higashioka,TEX,1.5678,1.86,37.8,186,100.0,1.86,0.8868,7.7234,3.8085,30.0,2.0185,1,0.0,9,117
815873,Sean Keys,TOR,1.5606,0.35,37.6,35,100.0,0.35,0.9091,6.5,3.4,31.0,0.0,0,0.0,0,117
656976,Pavin Smith,AZ,1.5595,0.89,37.4,89,100.0,0.89,0.7857,6.0,3.7273,20.0,1.7778,0,0.0,6,117
823550,Sung-Mun Song,SD,1.553,1.05,37.2,105,100.0,1.05,0.75,8.5185,3.4074,40.0,0.0,0,0.0,0,117
682818,Yohendrick Piñango,TOR,1.5462,1.6,37.0,160,100.0,1.6,0.82,5.0976,3.5122,14.0,0.0,0,0.0,0,117
666023,Freddy Fermin,SD,1.5438,1.69,36.8,169,100.0,1.69,0.94,8.4681,3.5106,14.0,2.142,1,0.0,4,117
694374,Tim Tawa,AZ,1.5406,1.11,36.6,111,100.0,1.11,0.7027,7.8077,3.6923,35.0,1.3889,0,0.0,1,117
668952,Ryan Kreidler,MIN,1.535,1.5347,36.5,155,101.0,1.5347,0.7358,8.0513,3.5385,47.0,0.2716,0,0.0,4,117
645302,Victor Robles,SEA,1.5207,1.1188,36.3,113,101.0,1.1188,0.8108,7.3,3.5,41.0,0.7037,0,0.0,9,117
681546,James Outman,DET,1.5162,1.52,36.1,152,100.0,1.52,0.75,8.6154,3.4872,44.0,0.9136,0,0.0,4,117
701852,Drew Cavanaugh,SF,1.5113,0.45,35.9,45,100.0,0.45,0.8571,8.8333,3.5833,37.0,0.0,1,0.0,0,117
687597,Jordan Beck,COL,1.5048,0.8627,35.7,88,102.0,0.8627,0.7241,5.0,3.7143,0.0,3.6296,0,0.0,2,117
669236,Jeremiah Jackson,BAL,1.5018,2.1683,35.5,219,101.0,2.1683,0.8154,7.9057,3.7736,13.0,1.1296,0,0.0,1,117
657136,Connor Wong,BOS,1.5016,1.4444,35.3,143,99.0,1.4444,0.9286,8.3077,3.5641,33.0,1.1605,1,0.0,5,117
669392,Samad Taylor,SD,1.4988,1.02,35.1,102,100.0,1.02,0.8846,4.6087,4.2174,18.0,0.0556,0,1.0,3,117
668723,Ryan Vilade,TB,1.4949,1.6869,34.9,167,99.0,1.6869,0.7222,4.0256,3.7179,28.0,0.0926,0,0.0,5,117
677588,José Tena,WSH,1.4841,1.901,34.7,192,101.0,1.901,0.625,6.0222,3.6222,30.0,1.0432,0,0.0,3,117
686780,Pedro Pagés,STL,1.4761,1.6566,34.5,164,99.0,1.6566,0.9388,8.2609,3.4783,16.0,2.4012,1,0.0,2,117
641933,Tyler O'Neill,BAL,1.4742,1.802,34.3,182,101.0,1.802,0.7288,5.8605,3.6279,26.0,1.2901,0,0.0,8,117
690976,Alex Freeland,LAD,1.4703,2.2079,34.1,223,101.0,2.2079,0.8429,8.678,3.5593,21.0,0.5988,0,0.0,1,117
699912,Jose Fernandez,AZ,1.4691,1.78,33.9,178,100.0,1.78,0.8077,6.4762,3.9524,0.0,0.0,0,0.0,0,117
676694,Jake Meyers,HOU,1.4542,1.451,33.7,148,102.0,1.451,0.8182,7.1944,3.8056,4.0,2.3519,0,0.0,5,117
666211,Taylor Trammell,HOU,1.4411,1.2647,33.5,129,102.0,1.2647,0.75,6.5152,3.4848,28.0,0.8333,0,0.0,5,117
680728,Adrian Del Castillo,AZ,1.4271,1.68,33.3,168,100.0,1.68,0.86,5.186,3.7209,11.0,0.8086,1,0.0,2,117
624431,Jose Trevino,CIN,1.425,0.7475,33.1,74,99.0,0.7475,0.9545,7.9048,3.4762,22.0,1.8642,1,0.0,8,117
700337,Edgar Quero,CWS,1.4242,1.7374,32.9,172,99.0,1.7374,0.7692,6.45,3.975,0.0,2.4877,1,0.0,1,117
670032,Nicky Lopez,TEX,1.4216,1.41,32.7,141,100.0,1.41,0.8043,8.7027,3.4865,47.0,0.1728,0,0.0,7,117
624424,Michael Conforto,CHC,1.4089,1.67,32.6,167,100.0,1.67,0.5538,5.8333,3.6944,34.0,3.0,0,0.0,11,117
667472,Dane Myers,CIN,1.4064,1.5051,32.4,149,99.0,1.5051,0.3966,4.0,4.0435,12.0,2.0556,0,0.0,3,117
665804,Miguel Amaya,CHC,1.3896,1.65,32.2,165,100.0,1.65,0.8627,8.25,3.5909,26.0,0.6358,1,0.0,3,117
669397,Nick Allen,HOU,1.3817,1.0098,32.0,103,102.0,1.0098,0.6579,8.52,3.2,30.0,2.5679,0,0.0,4,117
677592,Everson Pereira,CWS,1.3806,0.7778,31.8,77,99.0,0.7778,0.9048,5.0526,3.8947,0.0,0.4506,0,1.0,3,117
663697,Jonathan India,KC,1.3787,0.5743,31.6,58,101.0,0.5743,0.875,6.4286,3.8571,0.0,3.5,0,1.0,5,117
681508,Mickey Gasper,BOS,1.3765,1.202,31.4,119,99.0,1.202,0.7941,3.4074,4.1481,0.0,0.679,1,0.0,2,117
660821,Jesús Sánchez,TOR,1.3708,2.34,31.2,234,100.0,2.34,0.7945,4.4655,3.6724,0.0,3.0679,0,1.0,6,117
666152,David Hamilton,MIL,1.366,2.38,31.0,238,100.0,2.38,0.942,8.6308,3.5538,15.0,1.1975,0,1.0,3,117
676369,Nelson Velázquez,STL,1.3581,0.6869,30.8,68,99.0,0.6869,0.64,4.25,3.5625,28.0,0.0,0,0.0,4,117
686765,Nick Sogard,BOS,1.3558,0.4242,30.6,42,99.0,0.4242,1.0,6.6364,3.8182,0.0,0.642,0,0.0,2,117
682877,Juan Brito,CLE,1.3532,0.5545,30.4,56,101.0,0.5545,0.9333,6.9286,3.9286,0.0,0.0,0,0.0,0,117
