batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag,season_stage
Connor Norby,681393,204,Tier C,3B,2B|3B,"2B, 3B",111.7,127.5,80.3,114.4,0.575,0.361,0.315,0.066,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Pete Alonso,624413,770,Tier A,1B,1B,1B,114.7,92.5,103.2,114.0,0.427,0.3,0.353,0.063,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Michael Harris,671739,482,Tier A,OF,OF,OF,117.6,93.0,108.7,114.0,0.552,0.391,0.351,0.064,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Michael Conforto,624424,492,Tier A,OF,OF|DH,"OF, DH",113.3,99.8,97.2,113.8,0.448,0.243,0.353,0.063,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Seiya Suzuki,673548,584,Tier A,OF,OF|DH,"OF, DH",111.4,99.7,93.6,113.7,0.396,0.208,0.349,0.062,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Jordan Westburg,676059,466,Tier A,3B,2B|3B,"2B, 3B",119.2,111.2,105.1,113.5,0.508,0.292,0.357,0.061,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Iván Herrera,671056,269,Tier B,C,C,C,114.6,87.8,106.5,113.3,0.435,0.259,0.372,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Paul Goldschmidt,502671,673,Tier A,1B,1B,1B,111.3,100.6,93.9,113.3,0.477,0.26,0.335,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Matt Olson,621566,693,Tier A,1B,1B,1B,111.8,108.0,91.8,113.2,0.498,0.266,0.342,0.059,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Francisco Lindor,596019,774,Tier A,SS,SS,SS,116.9,106.8,103.5,113.0,0.488,0.276,0.382,0.058,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Kyle Stowers,669065,217,Tier C,OF,OF,OF,110.0,107.4,88.7,113.0,0.543,0.336,0.292,0.059,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Tyler Soderstrom,691016,214,Tier C,OF,1B,1B,114.0,93.6,103.8,112.7,0.487,0.3,0.352,0.057,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Brandon Marsh,669016,505,Tier A,OF,OF,OF,107.7,86.1,94.4,112.6,0.415,0.274,0.322,0.056,Power+ strong (top 25%); xwOBA above model expectation,mature
Eugenio Suárez,553993,660,Tier A,3B,3B,3B,111.7,102.8,95.8,112.4,0.473,0.234,0.336,0.055,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Ryan Mcmahon,641857,661,Tier A,3B,3B,3B,107.7,103.0,87.5,112.4,0.469,0.254,0.329,0.055,Power+ strong (top 25%); xwOBA above model expectation,mature
J. T. Realmuto,592663,448,Tier A,C,C,C,111.9,99.6,98.0,112.2,0.5,0.305,0.34,0.054,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Max Muncy,571970,362,Tier B,3B,3B,3B,106.3,99.2,86.8,112.1,0.4,0.191,0.36,0.054,Power+ strong (top 25%); xwOBA above model expectation,mature
Heliot Ramos,671218,512,Tier A,OF,OF,OF,112.8,116.4,92.7,112.1,0.502,0.293,0.34,0.054,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Joey Bart,663698,286,Tier B,C,C|DH,"C, DH",110.3,85.2,101.7,111.9,0.436,0.29,0.336,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Christian Walker,572233,569,Tier A,1B,1B,1B,112.3,120.7,90.4,111.8,0.484,0.252,0.354,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Lawrence Butler,671732,460,Tier A,OF,OF,OF,112.7,97.8,102.4,111.4,0.476,0.27,0.342,0.05,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Jorge Soler,624585,587,Tier A,OF,OF|DH,"OF, DH",109.9,99.8,95.7,111.3,0.446,0.253,0.358,0.05,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Josh Lowe,666139,386,Tier B,OF,OF,OF,106.6,98.8,89.8,111.1,0.515,0.319,0.299,0.049,Power+ strong (top 25%); xwOBA above model expectation,mature
Shea Langeliers,669127,539,Tier A,C,C,C,111.8,100.0,99.9,111.1,0.495,0.322,0.328,0.049,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Derek Hill,656537,172,Tier C,OF,OF,OF,108.3,98.9,93.6,110.9,0.542,0.33,0.297,0.048,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Ryan Mountcastle,663624,517,Tier A,1B,1B,1B,113.7,108.7,100.6,110.9,0.563,0.38,0.332,0.048,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Ramón Laureano,657656,322,Tier B,OF,OF,OF,107.5,111.5,86.5,110.9,0.524,0.286,0.31,0.048,Power+ strong (top 25%); xwOBA above model expectation,mature
Ben Rice,700250,184,Tier C,1B,1B,1B,108.5,111.4,89.0,110.7,0.459,0.229,0.341,0.047,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Yainer Diaz,673237,641,Tier A,C,C|1B|DH,"C, 1B, DH",118.3,109.5,110.5,110.6,0.586,0.423,0.344,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Kyle Tucker,663656,355,Tier B,OF,OF,OF,116.5,106.4,108.1,110.6,0.416,0.242,0.4,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Matt Chapman,656305,651,Tier A,3B,3B,3B,109.9,101.7,96.4,110.6,0.445,0.212,0.343,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Christian Yelich,592885,314,Tier B,OF,OF|DH,"OF, DH",115.6,110.2,104.8,110.5,0.457,0.226,0.375,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
