batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Matt Olson,621566,731,Tier A,122.4,113.4,90.8,122.6,0.468,0.264,0.468,0.107,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Luis Robert,673357,592,Tier A,121.8,112.0,91.4,122.0,0.583,0.406,0.47,0.104,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Marcell Ozuna,542303,615,Tier A,124.0,110.7,97.4,121.6,0.483,0.307,0.475,0.102,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Mickey Moniak,666160,321,Tier B,118.5,100.5,90.7,121.5,0.614,0.429,0.463,0.102,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Patrick Wisdom,621550,302,Tier B,114.2,111.7,77.0,121.5,0.468,0.274,0.487,0.102,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Rafael Devers,646240,648,Tier A,124.6,109.5,102.4,120.1,0.526,0.341,0.44,0.095,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Kyle Schwarber,656941,787,Tier A,114.6,81.7,94.2,120.1,0.378,0.218,0.471,0.095,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Nelson Velázquez,676369,179,Tier C,121.4,117.4,92.7,119.9,0.501,0.257,0.492,0.094,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Brent Rooker,667670,529,Tier A,114.4,96.4,87.6,119.9,0.46,0.275,0.471,0.093,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Teoscar Hernández,606192,678,Tier A,118.0,110.5,89.1,119.7,0.537,0.316,0.46,0.093,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jake Bauers,641343,280,Tier B,114.1,100.5,85.7,119.6,0.456,0.259,0.481,0.092,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jake Burger,669394,547,Tier A,119.0,101.4,95.7,119.6,0.542,0.373,0.464,0.092,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Freddie Freeman,518692,749,Tier A,124.5,119.3,100.7,118.8,0.51,0.262,0.455,0.088,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Austin Riley,663586,729,Tier A,119.8,113.2,94.3,118.6,0.483,0.299,0.459,0.087,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jarred Kelenic,672284,413,Tier A,114.3,95.1,90.8,118.6,0.469,0.289,0.458,0.087,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Christian Encarnacion-Strand,687952,241,Tier C,116.1,99.2,93.1,118.5,0.527,0.346,0.458,0.086,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jack Suwinski,669261,554,Tier A,111.5,93.3,86.2,118.5,0.393,0.219,0.46,0.086,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ryan Mcmahon,641857,646,Tier A,111.7,108.7,81.2,117.8,0.475,0.248,0.449,0.083,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Christopher Morel,666624,429,Tier A,115.5,108.5,89.3,117.7,0.498,0.285,0.459,0.083,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Josh Jung,673962,590,Tier A,118.8,102.3,99.1,117.6,0.518,0.322,0.452,0.082,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Stone Garrett,656448,272,Tier B,115.2,111.7,88.1,117.4,0.528,0.359,0.462,0.081,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jorge Soler,624585,610,Tier A,118.9,101.5,100.8,117.2,0.444,0.244,0.457,0.08,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Sean Murphy,669221,447,Tier A,117.6,112.1,93.2,117.2,0.457,0.284,0.455,0.08,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Triston Casas,671213,503,Tier A,116.0,99.7,96.0,117.0,0.436,0.221,0.449,0.079,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
José Siri,642350,382,Tier B,112.3,99.3,88.4,117.0,0.532,0.375,0.433,0.079,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jesús Sánchez,660821,416,Tier A,115.0,93.8,97.3,116.5,0.49,0.318,0.44,0.076,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Pete Alonso,624413,665,Tier A,116.5,93.3,102.4,115.8,0.436,0.311,0.439,0.073,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Willson Contreras,575929,514,Tier A,116.8,105.7,97.6,115.8,0.486,0.298,0.44,0.073,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Gunnar Henderson,683002,641,Tier A,116.1,97.1,100.3,115.6,0.466,0.217,0.435,0.071,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Dj Stewart,621466,193,Tier C,112.2,112.9,85.2,115.6,0.508,0.238,0.449,0.072,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Brandon Belt,474832,431,Tier A,107.5,108.7,78.4,115.1,0.418,0.202,0.454,0.069,Power+ elite (top 10%); xwOBA above model expectation
Paul Goldschmidt,502671,687,Tier A,113.2,98.4,95.0,115.0,0.441,0.252,0.436,0.069,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Trevor Larnach,663616,227,Tier C,108.5,93.1,88.2,114.8,0.413,0.248,0.45,0.067,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Royce Lewis,668904,265,Tier B,117.6,104.7,101.9,114.8,0.473,0.301,0.441,0.068,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Fernando Tatís,665487,640,Tier A,118.1,118.1,96.9,114.8,0.54,0.3,0.439,0.068,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Max Muncy,571970,596,Tier A,109.7,91.5,91.2,114.8,0.394,0.178,0.436,0.068,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Josh Lowe,666139,524,Tier A,115.0,95.5,101.0,114.6,0.529,0.299,0.431,0.066,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Juan Soto,665742,706,Tier A,118.8,96.4,108.6,114.5,0.358,0.153,0.445,0.066,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Tom Murphy,608596,159,Tier C,113.8,114.1,90.5,114.5,0.52,0.253,0.45,0.066,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Bo Bichette,666182,639,Tier A,120.9,106.8,108.4,114.5,0.567,0.365,0.426,0.066,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Joey Gallo,608336,350,Tier B,101.8,106.4,69.5,114.3,0.47,0.231,0.45,0.065,Power+ strong (top 25%); xwOBA above model expectation
Mark Vientos,668901,242,Tier C,111.7,97.7,94.6,113.9,0.532,0.305,0.422,0.063,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Elly De La Cruz,682829,428,Tier A,106.6,73.5,95.9,113.4,0.455,0.346,0.43,0.061,Power+ strong (top 25%); xwOBA above model expectation
Salvador Pérez,521692,585,Tier A,114.9,99.6,101.7,113.4,0.6,0.442,0.409,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Kerry Carpenter,681481,472,Tier A,112.8,100.8,97.1,113.3,0.524,0.324,0.422,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Michael Harris,671739,551,Tier A,116.6,90.3,109.4,113.3,0.53,0.38,0.415,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Yainer Diaz,673237,397,Tier B,118.8,103.5,108.0,113.3,0.586,0.442,0.423,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Giancarlo Stanton,519317,437,Tier A,109.8,84.2,98.1,113.3,0.428,0.271,0.429,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Bobby Witt,677951,698,Tier A,118.9,107.6,106.6,113.2,0.505,0.337,0.425,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Julio Rodríguez,677594,708,Tier A,116.1,100.9,104.1,113.1,0.54,0.345,0.429,0.059,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Nick Castellanos,592206,755,Tier A,114.2,106.8,97.6,113.1,0.562,0.382,0.43,0.059,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ryan Mountcastle,663624,483,Tier A,115.4,101.6,102.6,113.0,0.549,0.383,0.429,0.058,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Garrett Cooper,643265,479,Tier A,110.4,95.6,95.3,112.9,0.527,0.315,0.419,0.058,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Luke Raley,670042,422,Tier A,110.4,101.5,93.6,112.5,0.517,0.294,0.438,0.056,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ryan Jeffers,680777,367,Tier B,108.8,87.7,96.5,112.3,0.453,0.275,0.419,0.055,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ezequiel Duran,677649,441,Tier A,111.6,101.8,96.3,112.2,0.539,0.382,0.415,0.054,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Tommy Pham,502054,553,Tier A,113.7,94.4,104.4,112.0,0.411,0.192,0.425,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Matt Mclain,680574,407,Tier A,106.9,88.4,93.1,112.0,0.418,0.255,0.429,0.054,Power+ strong (top 25%); xwOBA above model expectation
Cal Raleigh,663728,568,Tier A,109.3,101.5,92.2,112.0,0.497,0.326,0.418,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Zack Gelof,680869,299,Tier B,109.6,114.6,87.0,112.0,0.504,0.291,0.421,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Michael Taylor,572191,417,Tier A,106.9,99.2,88.7,111.9,0.493,0.31,0.424,0.053,Power+ strong (top 25%); xwOBA above model expectation
Jorge Polanco,593871,370,Tier B,110.3,102.2,94.3,111.8,0.463,0.277,0.435,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
J. T. Realmuto,592663,600,Tier A,110.9,103.7,95.3,111.6,0.502,0.308,0.421,0.052,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Yoán Moncada,660162,359,Tier B,109.2,94.4,96.0,111.6,0.469,0.262,0.426,0.052,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
C. J. Cron,543068,283,Tier B,112.6,80.1,109.3,111.6,0.475,0.318,0.41,0.051,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Gabriel Arias,672356,347,Tier B,108.0,117.8,83.3,111.5,0.555,0.297,0.42,0.051,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Jazz Chisholm,665862,402,Tier A,106.8,85.6,95.1,111.5,0.451,0.288,0.413,0.051,Power+ strong (top 25%); xwOBA above model expectation
Billy Mckinney,641856,155,Tier C,107.2,100.9,89.3,111.4,0.438,0.217,0.425,0.05,Power+ strong (top 25%); xwOBA above model expectation
Joc Pederson,592626,424,Tier A,111.9,92.4,103.3,111.3,0.451,0.306,0.416,0.05,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ryan Noda,676116,502,Tier A,103.2,103.5,80.3,111.2,0.431,0.197,0.44,0.05,Power+ strong (top 25%); xwOBA above model expectation
Jake Rogers,668670,377,Tier B,107.8,102.4,90.7,111.1,0.458,0.225,0.44,0.049,Power+ strong (top 25%); xwOBA above model expectation
Seiya Suzuki,673548,585,Tier A,111.1,98.4,99.6,111.0,0.409,0.211,0.424,0.048,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Logan O'Hoppe,681351,209,Tier C,113.3,111.8,98.0,111.0,0.515,0.296,0.429,0.049,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Gary Sánchez,596142,267,Tier B,109.4,84.7,102.4,110.9,0.417,0.271,0.424,0.048,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Evan Longoria,446334,304,Tier B,107.4,87.3,97.1,110.8,0.434,0.242,0.427,0.047,Power+ strong (top 25%); xwOBA above model expectation
Edouard Julien,666397,434,Tier A,104.4,98.7,86.1,110.7,0.376,0.181,0.439,0.047,Power+ strong (top 25%); xwOBA above model expectation
Nick Pratto,668472,352,Tier B,100.7,79.7,86.9,110.7,0.433,0.256,0.413,0.047,Power+ strong (top 25%); xwOBA above model expectation
Vladimir Guerrero,665489,711,Tier A,120.4,113.9,113.1,110.5,0.503,0.281,0.41,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Adam Duvall,594807,352,Tier B,106.9,82.5,99.1,110.5,0.483,0.338,0.41,0.046,Power+ strong (top 25%); xwOBA above model expectation
Mookie Betts,605141,708,Tier A,119.4,95.5,119.3,110.4,0.384,0.199,0.434,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Brandon Marsh,669016,540,Tier A,103.9,87.1,91.1,110.3,0.426,0.291,0.417,0.045,Power+ strong (top 25%); xwOBA above model expectation
Mj Melendez,669004,606,Tier A,107.4,105.8,90.2,110.2,0.48,0.258,0.414,0.044,Power+ strong (top 25%); xwOBA above model expectation
James Outman,681546,583,Tier A,103.9,105.3,83.5,110.1,0.458,0.244,0.416,0.044,Power+ strong (top 25%); xwOBA above model expectation
Brandon Lowe,664040,451,Tier A,110.0,109.9,94.3,110.0,0.518,0.302,0.414,0.043,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Spencer Torkelson,679529,699,Tier A,111.1,110.4,96.3,110.0,0.461,0.245,0.426,0.043,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Matt Chapman,656305,614,Tier A,107.8,108.0,91.3,109.7,0.433,0.211,0.425,0.042,Power+ strong (top 25%); xwOBA above model expectation
Chas Mccormick,676801,491,Tier A,108.5,105.8,93.8,109.7,0.495,0.283,0.409,0.042,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Jared Triolo,669707,209,Tier C,104.0,87.8,92.9,109.5,0.437,0.275,0.415,0.041,Power+ strong (top 25%); xwOBA above model expectation
Dylan Moore,664238,165,Tier C,101.6,96.3,84.5,109.3,0.46,0.214,0.426,0.04,Power+ strong (top 25%); xwOBA above model expectation
Christian Yelich,592885,638,Tier A,110.0,105.1,98.2,109.2,0.45,0.217,0.415,0.039,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Bryan Reynolds,668804,667,Tier A,111.3,111.6,98.2,109.2,0.479,0.277,0.426,0.039,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Randy Arozarena,668227,665,Tier A,108.4,91.3,100.9,109.2,0.43,0.277,0.396,0.039,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Alex Kirilloff,666135,329,Tier B,107.5,88.6,100.5,109.1,0.475,0.317,0.401,0.039,Power+ strong (top 25%); xwOBA above model expectation
Will Benson,666181,337,Tier B,103.6,100.9,87.0,109.1,0.429,0.217,0.416,0.039,Power+ strong (top 25%); xwOBA above model expectation
Byron Buxton,621439,355,Tier B,104.2,113.0,83.3,109.0,0.5,0.284,0.416,0.038,Power+ strong (top 25%); xwOBA above model expectation
Dansby Swanson,621020,639,Tier A,109.2,118.3,91.1,109.0,0.473,0.251,0.412,0.038,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Max Kepler,596146,527,Tier A,112.5,108.1,102.7,108.9,0.477,0.229,0.419,0.038,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Kyle Tucker,663656,715,Tier A,116.9,113.7,109.4,108.8,0.468,0.258,0.408,0.037,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Brandon Drury,592273,541,Tier A,109.0,97.5,100.9,108.5,0.515,0.32,0.404,0.036,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Yandy Díaz,650490,628,Tier A,116.0,105.4,112.0,108.5,0.426,0.2,0.414,0.036,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Willy Adames,642715,649,Tier A,107.3,111.3,91.3,108.5,0.501,0.295,0.406,0.036,Power+ strong (top 25%); xwOBA above model expectation
Jarren Duran,680776,366,Tier B,108.2,103.9,96.8,108.4,0.517,0.31,0.401,0.035,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Seth Brown,664913,385,Tier B,108.1,102.8,97.1,108.4,0.503,0.285,0.407,0.035,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Drew Waters,671221,337,Tier B,103.7,100.3,89.0,108.4,0.513,0.301,0.42,0.035,Power+ strong (top 25%); xwOBA above model expectation
Bryan De La Cruz,650559,648,Tier A,110.5,104.0,101.6,108.4,0.501,0.322,0.4,0.035,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ryan O'Hearn,656811,385,Tier B,111.8,100.0,106.3,108.3,0.506,0.305,0.405,0.035,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Mitch Garver,641598,410,Tier A,108.9,97.5,101.5,108.1,0.396,0.204,0.411,0.034,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Chris Taylor,621035,410,Tier A,103.9,121.3,80.9,108.0,0.477,0.224,0.417,0.033,Power+ strong (top 25%); xwOBA above model expectation
Eugenio Suárez,553993,694,Tier A,104.3,109.0,87.3,108.0,0.446,0.229,0.417,0.033,Power+ strong (top 25%); xwOBA above model expectation
Eddie Rosario,592696,521,Tier A,107.6,98.0,99.1,108.0,0.572,0.38,0.388,0.033,Power+ strong (top 25%); xwOBA above model expectation
Wander Franco,677551,498,Tier A,114.9,94.5,116.6,107.6,0.455,0.289,0.395,0.031,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Chad Wallach,595453,178,Tier C,103.5,110.3,86.3,107.5,0.485,0.29,0.409,0.03,Power+ strong (top 25%)
Tyler O'Neill,641933,275,Tier B,107.7,104.1,97.8,107.4,0.45,0.269,0.407,0.03,Power+ strong (top 25%)
Brandon Nimmo,607043,697,Tier A,108.7,98.8,102.4,107.4,0.425,0.193,0.4,0.03,Power+ strong (top 25%); Process+ also strong
Trea Turner,607208,760,Tier A,110.2,111.4,100.3,107.2,0.535,0.314,0.401,0.029,Power+ strong (top 25%); Process+ also strong
Nelson Cruz,443558,152,Tier C,105.6,86.6,101.5,107.2,0.523,0.317,0.407,0.029,Power+ strong (top 25%)
