name,team,inj,pl_rank,pl_inj_tier,pl_stream,rp3_rank,rp3_ps,tag,gs_pre,gs_post,pre_fp,post_fp,l8,z_kbb,z_fp,mech,persist,verdict,price,own
Cody Bradford,Tex,ACTIVE,93.0,,#17 Questionable,178.0,9.32,data_driven_thin,0.0,4.0,,9.3,9.3,,,,,INSUFFICIENT,9.32,2.2
Brayan Bello,Bos,ACTIVE,68.0,,,182.0,9.24,data_driven_full,8.0,0.0,-2.79,,-2.79,,,,,INSUFFICIENT,9.24,5.1
Kumar Rocker,Tex,ACTIVE,99.0,,,199.0,9.03,data_driven_full,16.0,7.0,7.51,9.57,8.34,0.52,0.45,FF+6pp,False,VARIANCE,9.03,4.5
Quinn Mathews,StL,ACTIVE,85.0,,#15 Probably Start,203.0,8.91,data_driven_thin,0.0,3.0,,4.73,4.73,,,,,INSUFFICIENT,8.91,1.8
Kyle Bradish,Bal,ACTIVE,51.0,,,63.0,11.55,data_driven_full,19.0,7.0,12.01,6.24,8.09,0.58,1.36,"SL-6pp,SI+7pp,K%-6.2",True,DECLINE,8.9,64.4
Hayden Wesneski,Hou,ACTIVE,96.0,,#9 Questionable,210.0,8.83,data_driven_thin,0.0,6.0,,11.3,11.3,,,,,INSUFFICIENT,8.83,6.3
Patrick Sandoval,Bos,ACTIVE,,,#28 Do Not Start,211.0,8.82,data_driven_full,1.0,7.0,11.3,7.09,7.61,,,,,INSUFFICIENT,8.82,2.3
Stephen Kolek,KC,SIXTY_DAY_DL,,91-100,,212.0,8.82,data_driven_full,10.0,0.0,8.92,,9.12,,,,,INSUFFICIENT,8.82,1.9
Adrian Houser,SF,FIFTEEN_DAY_DL,90.0,,,220.0,8.71,data_driven_full,14.0,2.0,5.27,14.15,7.31,,,,,INSUFFICIENT,8.71,1.0
Spencer Arrighetti,Tor,ACTIVE,,,#12 Do Not Start,222.0,8.68,data_driven_full,15.0,3.0,9.97,3.33,3.06,,,,,INSUFFICIENT,8.68,12.9
Bryce Miller,Sea,ACTIVE,80.0,,,40.0,12.48,data_driven_full,9.0,7.0,18.64,4.84,4.05,3.43,3.3,"velo-0.8,whiff-5.3,swstr-4.0,SL-8pp,SI+6pp,FF-7pp,K%-13.8",True,DECLINE,8.66,35.9
Jake Irvin,Wsh,ACTIVE,,,#10 Do Not Start,193.0,9.11,data_driven_full,11.0,6.0,8.41,5.67,8.09,1.74,0.74,"velo+0.7,SI-14pp,CH+11pp,CU-6pp,K%-7.9",True,MIXED,8.59,1.2
