name,team,own,per_start,src,rp3_rank,inj,mlbam
Bubba Chandler,Pit,20.9,10.7,rp3_dd,93,,
Landen Roupp,SF,20.6,9.96,rp3_dd,127,,
Merrill Kelly,Ari,20.5,8.36,rp3_dd,247,,
Edward Cabrera,ChC,18.9,10.08,rp3_dd,123,FIFTEEN_DAY_DL,
Michael McGreevy,StL,17.9,7.6,rp3_dd,299,,
Tyler Mahle,Atl,17.7,11.11,rp3_dd,80,,
Cal Quantrill,Tex,16.7,8.53,rp3_dd,228,,
Connelly Early,Wsh,16.6,9.74,rp3_dd,143,SIXTY_DAY_DL,
Keider Montero,Det,16.6,9.72,rp3_dd,145,,
J.T. Ginn,Oak,16.4,9.83,rp3_dd,138,,
Dustin May,Mil,15.8,10.45,rp3_dd,102,,
Bailey Ober,Min,15.6,8.61,rp3_dd,226,,
Brandon Young,Bal,15.5,8.36,rp3_dd,246,,
Andre Pallante,StL,15.0,9.19,rp3_dd,186,FIFTEEN_DAY_DL,
Tatsuya Imai,Hou,14.5,10.93,rp3_dd,84,,
George Klassen,LAA,13.9,9.85,rp3_dd,136,,
Mitch Keller,Pit,13.3,8.86,rp3_dd,209,SIXTY_DAY_DL,
Randy Vasquez,SD,13.1,8.24,rp3_dd,256,,
Spencer Arrighetti,Tor,11.7,8.99,rp3_dd,201,,
Jack Leiter,Tex,10.9,10.45,rp3_dd,101,SIXTY_DAY_DL,
Christian Scott,NYM,10.8,11.0,rp3_dd,83,,
Grant Holmes,Atl,10.7,9.93,rp3_dd,131,,
Walker Buehler,SD,10.5,8.93,rp3_dd,204,,
Kodai Senga,NYM,10.3,10.46,rp3_dd,100,,
Jacob Lopez,Oak,10.0,9.58,rp3_dd,158,,
Sean Manaea,NYM,9.8,10.47,rp3_dd,99,,
Jackson Jobe,Det,9.6,8.38,rp3_dd,243,,
Joe Musgrove,SD,9.3,10.8,talent_prior,88,SIXTY_DAY_DL,
Martin Perez,Atl,9.2,8.11,rp3_dd,264,,
Spencer Schwellenbach,Atl,9.2,12.75,talent_prior,34,SIXTY_DAY_DL,
Shane Drohan,Mil,8.7,11.05,rp3_dd,81,,
Andrew Painter,Phi,8.7,9.25,rp3_dd,182,,
Zebby Matthews,Min,8.4,8.93,rp3_dd,206,,
Brady Singer,Cin,8.4,9.91,rp3_dd,133,,
Jeffrey Springs,Oak,7.9,7.48,rp3_dd,304,,
Yusei Kikuchi,LAA,7.2,9.92,rp3_dd,132,,
Cade Horton,ChC,6.9,9.98,rp3_dd,125,SIXTY_DAY_DL,
Anthony Kay,ChW,6.9,9.37,rp3_dd,176,,
Corbin Burnes,Ari,6.0,12.06,talent_prior,50,SIXTY_DAY_DL,
David Peterson,ChC,5.9,9.42,rp3_dd,172,,
Brayan Bello,Bos,5.5,9.19,rp3_dd,185,,
Kumar Rocker,Tex,5.5,8.76,rp3_dd,217,,
Hayden Wesneski,Hou,4.8,8.84,rp3_dd,213,,
Reynaldo Lopez,Atl,4.7,9.7,rp3_dd,149,FIFTEEN_DAY_DL,
Chad Patrick,Mil,4.7,10.71,rp3_dd,92,,
Eric Lauer,LAD,4.5,8.44,rp3_dd,237,,
Matthew Liberatore,StL,4.3,9.8,rp3_dd,139,,
Tomoyuki Sugano,Col,4.0,6.19,rp3_dd,352,,
Randy Dobnak,KC,3.8,7.77,rp3_dd,291,,
Dean Kremer,Min,3.5,10.48,rp3_dd,98,,
Robert Gasser,Mil,3.5,9.49,rp3_dd,165,,
Ryne Nelson,Ari,3.4,9.68,rp3_dd,150,SIXTY_DAY_DL,
Pablo Lopez,Min,2.9,11.46,talent_prior,66,SIXTY_DAY_DL,
Chris Bassitt,Bal,2.9,8.04,rp3_dd,271,,
Colin Rea,ChC,2.9,8.46,rp3_dd,234,,
Janson Junk,Mia,2.9,7.68,rp3_dd,295,,
Rhett Lowder,Cin,2.8,8.1,rp3_dd,265,,
Max Scherzer,Tor,2.6,8.22,rp3_dd,258,,
Andrew Alvarez,Wsh,2.6,9.06,rp3_dd,197,,
Antonio Senzatela,Mil,2.6,2.32,talent_prior,369,,
Cristian Javier,Hou,2.6,9.12,rp3_dd,194,,
Justin Steele,ChC,2.6,11.34,talent_prior,71,SIXTY_DAY_DL,
Jameson Taillon,Tor,2.4,9.52,rp3_dd,162,FIFTEEN_DAY_DL,
Grayson Rodriguez,LAA,2.4,9.72,rp3_dd,148,,
Chase Dollander,Col,2.4,9.36,rp3_dd,178,SIXTY_DAY_DL,
Tyler Wells,TB,2.4,10.41,talent_prior,103,,
Cody Bradford,Tex,2.3,9.44,rp3_dd,170,,
Luis Severino,Oak,2.3,10.21,rp3_dd,114,SIXTY_DAY_DL,
Noah Schultz,ChW,2.1,8.57,rp3_dd,227,,
Patrick Sandoval,Bos,2.1,8.85,rp3_dd,211,,
AJ Smith-Shawver,Atl,2.1,8.2,rp3_dd,259,,
Javier Assad,ChC,2.0,8.02,rp3_dd,275,,
Stephen Kolek,KC,1.9,8.84,rp3_dd,212,SIXTY_DAY_DL,
Lance McCullers Jr.,FA,1.7,7.7,rp3_dd,294,,
Connor Prielipp,Min,1.7,10.24,rp3_dd,113,,
Mitch Bratt,Ari,1.7,7.18,rp3_dd,317,,
Brandon Sproat,Mil,1.7,10.2,rp3_dd,117,,
Shane Smith,ChW,1.6,9.19,rp3_dd,187,,
Mike Burrows,Hou,1.6,8.48,rp3_dd,233,FIFTEEN_DAY_DL,
Aaron Civale,ChC,1.5,9.03,rp3_dd,199,,
Adrian Houser,SF,1.5,8.9,rp3_dd,207,,
JR Ritchie,Atl,1.4,8.07,rp3_dd,267,,
Slade Cecconi,Cle,1.4,9.36,rp3_dd,177,FIFTEEN_DAY_DL,
Zack Littell,Ari,1.4,6.89,rp3_dd,330,,
Justin Verlander,Det,1.4,8.68,talent_prior,222,SIXTY_DAY_DL,
Mick Abel,Min,1.4,10.07,rp3_dd,124,SIXTY_DAY_DL,
Quinn Mathews,StL,1.3,8.93,rp3_dd,205,,
Hunter Dobbins,StL,1.1,8.38,rp3_dd,242,FIFTEEN_DAY_DL,
Erick Fedde,ChW,1.1,7.65,rp3_dd,298,,
Andrew Morris,Min,1.1,10.41,rp3_dd,104,,
Quinn Priester,Mil,1.0,9.46,talent_prior,169,SIXTY_DAY_DL,
Lucas Giolito,SD,0.9,7.02,rp3_dd,323,SIXTY_DAY_DL,
Luis Gil,NYY,0.9,8.17,rp3_dd,262,,
Jose Berrios,Tor,0.9,9.58,talent_prior,159,SIXTY_DAY_DL,
Trevor McDonald,SF,0.9,8.79,rp3_dd,216,SIXTY_DAY_DL,
Spencer Miles,Tor,0.9,9.18,rp3_dd,188,,
Drew Anderson,Det,0.9,10.86,rp3_dd,86,,
Kyle Freeland,Col,0.8,9.06,rp3_dd,198,FIFTEEN_DAY_DL,
Blade Tidwell,SF,0.8,9.6,rp3_dd,156,,
Jake Irvin,Wsh,0.7,9.14,rp3_dd,193,,
Carson Whisenhunt,SF,0.7,7.79,rp3_dd,285,,
Jack Kochanowicz,LAA,0.6,6.98,rp3_dd,325,SIXTY_DAY_DL,
Hurston Waldrep,Atl,0.6,7.91,rp3_dd,280,,
Kai-Wei Teng,Hou,0.6,10.49,rp3_dd,97,,
Ryan Feltner,Col,0.6,8.22,rp3_dd,257,,
Clarke Schmidt,NYY,0.5,9.63,talent_prior,154,SIXTY_DAY_DL,
Ronel Blanco,Hou,0.5,9.78,rp3_dd,140,,
Elmer Rodriguez,NYY,0.5,7.86,rp3_dd,282,,
Braxton Garrett,ChC,0.5,7.89,rp3_dd,281,,
Cade Povich,Bal,0.5,8.0,rp3_dd,277,,
Patrick Corbin,Tor,0.4,6.9,rp3_dd,329,SIXTY_DAY_DL,
Michael Lorenzen,FA,0.4,7.25,rp3_dd,314,,
Ryan Gusto,Mia,0.4,9.25,rp3_dd,183,,
Joe Boyle,TB,0.4,9.55,rp3_dd,161,,
Ty Madden,Det,0.4,9.35,rp3_dd,179,,
Jackson Kent,Wsh,0.4,8.35,rp3_dd,249,,
JP Sears,SD,0.4,8.45,rp3_dd,236,,
Zach Eflin,Bal,0.3,9.56,talent_prior,160,SIXTY_DAY_DL,
Griffin Canning,SD,0.3,9.65,rp3_dd,152,,
Gabriel Hughes,Col,0.3,8.61,rp3_dd,225,,
Simeon Woods Richardson,Tor,0.3,6.32,rp3_dd,349,,
Miles Mikolas,FA,0.3,6.19,rp3_dd,353,,
Matt Wilkinson,SF,0.3,7.78,rp3_dd,289,,
Robert Stock,NYM,0.3,9.51,rp3_dd,163,,
Reese Olson,Det,0.3,9.72,talent_prior,147,SIXTY_DAY_DL,
Johan Oviedo,Bos,0.2,8.51,talent_prior,229,SIXTY_DAY_DL,
Logan Allen,Cle,0.2,6.92,talent_prior,327,,
German Marquez,FA,0.2,6.11,rp3_dd,355,,
Jesse Scholtens,TB,0.2,6.64,rp3_dd,336,,
Gavin Stone,LAD,0.2,10.35,talent_prior,109,SIXTY_DAY_DL,
Kohl Drake,Ari,0.2,6.6,rp3_dd,339,,
Jose Quintana,Col,0.2,6.99,rp3_dd,324,SIXTY_DAY_DL,
Kutter Crawford,Bos,0.1,9.62,talent_prior,155,SIXTY_DAY_DL,
Luis Morales,Oak,0.1,6.58,rp3_dd,341,,
Brandon Williamson,Cin,0.1,6.51,rp3_dd,345,SIXTY_DAY_DL,
Chris Paddack,Tex,0.1,7.36,rp3_dd,307,,
Jordan Montgomery,Tex,0.1,7.78,talent_prior,288,,
Taijuan Walker,LAA,0.1,5.96,rp3_dd,356,,
Tanner Gordon,Col,0.1,8.31,rp3_dd,252,,
Josiah Gray,Wsh,0.1,8.02,talent_prior,273,SIXTY_DAY_DL,
Trey Gibson,Bal,0.1,8.06,rp3_dd,269,,
Clayton Kershaw,FA,0.1,9.94,talent_prior,128,,
Mason Barnett,Oak,0.1,7.26,rp3_dd,313,,
Chase Petty,Cin,0.1,7.11,rp3_dd,319,,
Kendry Rojas,Min,0.1,10.38,rp3_dd,105,,
DJ Herz,Wsh,0.1,9.59,talent_prior,157,SIXTY_DAY_DL,
Tanner Houck,Bos,0.1,9.73,talent_prior,144,SIXTY_DAY_DL,
Cooper Criswell,Sea,0.1,7.68,talent_prior,296,SIXTY_DAY_DL,
Alan Rangel,Phi,0.1,8.35,rp3_dd,250,,
Jose Suarez,Oak,0.1,7.52,rp3_dd,303,FIFTEEN_DAY_DL,
Trevor Williams,Wsh,0.1,6.6,talent_prior,338,,
Nestor Cortes,Phi,0.1,10.14,talent_prior,120,,
Jose Cabrera,Ari,0.1,8.0,rp3_dd,276,,
David Festa,Min,0.1,8.42,talent_prior,240,SIXTY_DAY_DL,
Sam Aldegheri,LAA,0.1,6.96,rp3_dd,326,,
Coleman Crow,Mil,0.1,7.28,rp3_dd,311,,
Tyler Anderson,LAA,0.1,7.79,talent_prior,284,,
Yu Darvish,SD,0.1,8.95,talent_prior,202,OUT,
Mitchell Parker,Wsh,0.1,6.49,talent_prior,346,SIXTY_DAY_DL,
Matt Waldron,Wsh,0.1,7.08,rp3_dd,322,,
Marcus Stroman,FA,0.1,7.33,talent_prior,308,,
Charlie Morton,FA,0.1,7.53,talent_prior,301,,
Tylor Megill,NYM,0.1,7.74,talent_prior,292,SIXTY_DAY_DL,
Bailey Falter,Atl,0.0,6.82,rp3_dd,331,,
Tony Gonsolin,KC,0.0,7.32,talent_prior,309,FIFTEEN_DAY_DL,
Logan Evans,Sea,0.0,7.09,talent_prior,320,SIXTY_DAY_DL,
Jonathan Cannon,ChW,0.0,6.35,talent_prior,348,,
Jason Alexander,Hou,0.0,7.84,rp3_dd,283,,
Colton Gordon,Hou,0.0,6.58,talent_prior,340,,
Eduardo Rivera,Bos,0.0,9.1,rp3_dd,195,,
Ryan Bergert,KC,0.0,9.08,talent_prior,196,,
Bowden Francis,Tor,0.0,8.19,talent_prior,260,SIXTY_DAY_DL,
Alec Marsh,KC,0.0,7.78,talent_prior,286,SIXTY_DAY_DL,
Luis Ortiz,Cle,0.0,8.83,talent_prior,214,OUT,
Carson Palmquist,Wsh,0.0,6.56,rp3_dd,344,,
Carlos Carrasco,Atl,0.0,4.79,talent_prior,363,,
Ben Lively,Cle,0.0,8.3,talent_prior,253,,
Andrew Heaney,FA,0.0,7.78,talent_prior,287,,
Kenta Maeda,FA,0.0,6.13,talent_prior,354,,
Julio Urias,FA,0.0,9.4,talent_prior,174,,
Austin Gomber,Tex,0.0,5.57,talent_prior,359,,
Ken Waldichuk,Wsh,0.0,5.91,talent_prior,357,SIXTY_DAY_DL,
Joey Estes,Oak,0.0,7.37,talent_prior,305,,
J.P. France,Hou,0.0,8.81,talent_prior,215,,
Bradley Blalock,Mia,0.0,0.5,talent_prior,371,,
Cole Irvin,LAD,0.0,7.08,talent_prior,321,,
Alex Cobb,FA,0.0,8.94,talent_prior,203,OUT,
Kyle Hendricks,FA,0.0,6.9,talent_prior,328,,
Wade Miley,FA,0.0,9.16,talent_prior,192,,
Frankie Montas,FA,0.0,7.36,talent_prior,306,OUT,
Kyle Gibson,FA,0.0,8.71,talent_prior,219,,
Rich Hill,FA,0.0,5.62,talent_prior,358,,
Lance Lynn,FA,0.0,7.98,talent_prior,278,,
Dakota Hudson,LAA,0.0,4.07,talent_prior,366,,
Sean Sullivan,Col,0.0,6.21,rp3_dd,351,,
