pitcher,pitcher_name,year,num_pitches,pl_plv,pl_pla,pl_plv_FF,pl_plv_SI,pl_plv_SL,pl_plv_ST,pl_plv_CH,pl_plv_CU,pl_plv_FC,pl_plv_FS
701581,"Festa, David",2024,1099,5.054521205938193,3.1155320392984835,3.2725231639947285,,2.7352051413186143,,3.5327168317424658,,,
621107,"Eflin, Zach",2024,2522,5.0545108094983595,2.9310455835982943,4.616756676632235,2.9264081465409166,,2.2836632888684054,3.123376657215772,2.767243083908131,2.601619779578767,
676092,"Snider, Collin",2024,706,5.053548911307314,3.127659272240358,3.7345477761229464,4.0539527187391595,,2.090679512140035,,,2.876411744663878,
506433,"Darvish, Yu",2024,1419,5.051499372864071,2.974301132903852,3.649618661283773,3.454177983552297,2.5712376253384797,2.8181616949976718,3.9506274019128185,3.2491545351366575,3.1024415155443315,3.2354751333186904
621053,"Ferguson, Tyler",2024,830,5.051186311813224,3.0351837863579725,2.8336988560383816,3.7432478345120987,,2.1502223174010986,5.193944447022009,,3.395545656183012,
571946,"Miller, Shelby",2024,892,5.050218487422358,3.080995811907747,3.0869180801938185,,3.3343153353821275,,,,,3.662809298066687
672282,"Detmers, Reid",2024,1643,5.048959390919725,3.12868360281501,3.3601689757640028,3.1060875757992683,3.0158206246153565,,3.4980263604430952,2.7516253309945053,,
606303,"Payamps, Joel",2024,930,5.048957082423005,3.063835836151581,4.0098573311015215,3.1831794392771524,2.1887236906391507,2.4253205894163834,3.599914043518803,,,
663554,"Mize, Casey",2024,1930,5.048954440809153,3.1080046649288704,3.0137412148423,2.855979012327049,2.9046955577616504,,,4.321478280641651,2.4622114293220196,4.069867732443491
679885,"Martinez, Justin",2024,1177,5.046106199836551,3.1048128205586005,3.523319300247506,3.251145107321257,2.7932150237794975,,,,,3.539592446173243
543135,"Eovaldi, Nathan",2024,2622,5.045839751811901,3.0466384130692603,3.41590280873079,1.9389622493402001,2.51250672237334,,,3.345282639313229,2.6228223373809954,3.5570397217065945
621199,"Bowman, Matt",2024,515,5.045575841090373,3.05307216695162,,3.245058010554663,,2.189012970238098,,,3.972296061079394,3.056445533974742
477132,"Kershaw, Clayton",2024,504,5.044335712710388,2.9898311088860066,4.048162364147434,,2.625981181978533,,,2.569058807256079,,5.93342125707696
666157,"Lodolo, Nick",2024,1863,5.043677695944519,3.1675077285909534,3.8130716215748226,2.2793035001973276,,,3.204458081254675,3.5163246342851036,,
607455,"Banda, Anthony",2024,960,5.043583422308039,3.157342177847555,3.158301109544425,2.719314073442158,3.3327898861371814,,3.0708230413051467,,,
554430,"Wheeler, Zack",2024,3371,5.0434556017284295,3.2537583228620983,2.849899686895853,3.1795106080705473,,2.4660154526476212,,3.9336757814003516,3.6018098357337465,3.9770321241487974
660825,"Bazardo, Eduard",2024,441,5.043264864599085,3.1793498222757934,3.7422885645566932,3.759105155875485,,2.5631619353719834,,,,4.189310414210164
571760,"Heaney, Andrew",2024,2731,5.0432133534094605,3.2170484119009686,3.2445207053056784,3.5735193771303067,2.9866530220347727,,3.3353204198325237,2.8406782535013306,,
669203,"Burnes, Corbin",2024,3079,5.039387544687076,3.1063339848778373,,4.762797535016039,2.68567881116949,2.5515669695197793,4.369787718528677,3.478092484558834,1.990891421807559,
683004,"Leiter, Jack",2024,669,5.036055044064842,3.2699380370731017,2.670192410832966,,2.745008519534567,,6.500163238753482,4.544238736498492,7.333416428620456,
592155,"Booser, Cam",2024,713,5.034961216924932,3.2594440519957573,2.764036434625874,,,2.594390078992566,,,3.1728384962668965,
628317,"Maeda, Kenta",2024,2122,5.034851915914986,3.1608274049166463,4.215527540480412,3.5767035737033694,3.3921034400924786,2.9207701842886635,,3.7423863218788433,2.1596925794347737,3.107858861501983
489446,"Yates, Kirby",2024,1051,5.034454201300422,3.3125437396555215,3.1094850506216254,,,,,,,4.04499207366772
663687,"Harris, Hogan",2024,1213,5.032350987611765,3.1564828125869617,3.327278009320901,,,3.1748500246882756,3.844335190051627,2.684467615847897,,
656271,"Burke, Brock",2024,603,5.031968198549302,3.0673478672020744,3.373086881264136,3.351992003394784,3.1617640563773364,,2.4785307634687843,,,
543294,"Hendricks, Kyle",2024,2135,5.031567533745479,3.0292443324476714,4.694663624766845,3.7518852288243174,,,2.5867481594833155,2.585836089732542,,
605154,"Brebbia, John",2024,1023,5.028098633026221,3.264649946055429,3.1626874007272097,,3.1801251604756438,,,,,
663773,"Hoeing, Bryan",2024,862,5.027953231624979,3.0170914630646806,4.859796191969709,3.260752388568788,3.462873353772645,,,,,2.8949663098443956
668881,"Greene, Hunter",2024,2563,5.027697232266466,3.3057352626004155,2.864689246975326,,3.5251607250041825,,,3.6395544626102296,,4.525205784001519
641482,"Cortes, Nestor",2024,2866,5.027539424715812,3.2149256513445996,2.763219519307297,5.010028114940518,5.591134132158674,2.6698480706730052,3.8890259845816253,,3.0462548153390845,
592866,"Williams, Trevor",2024,1115,5.026723127561814,3.1559262483490462,3.340705982233189,4.15916146528278,2.4474859925102663,3.2262055505019998,3.033899430800334,,,
663878,"Pearson, Nate",2024,1136,5.026679022849477,3.1905033941685277,3.1951643253759467,2.798031864020267,2.945750605552629,,,4.287875871711165,,
675540,"Curry, Xzavion",2024,639,5.025080142611349,3.1371705805623673,3.49289690576426,,2.521281990984983,,,3.708902050895457,,
676428,"Hurter, Brant",2024,797,5.024929622605185,2.9445033015541773,5.2936509432389425,2.7038746485097,,3.132605104136031,4.243328097842298,,,
548389,"Stripling, Ross",2024,1439,5.023907106607179,3.0633864098693753,3.946545508952502,4.046815373824941,2.5592128962157226,,1.9721966001327136,2.9330047917771687,2.444787611253224,
665625,"Peguero, Elvis",2024,829,5.0231070566614,3.150002971540964,,3.6031990127144518,2.7187234269708167,,,,,
681035,"Scott, Christian",2024,846,5.022873859310218,3.251077579423173,3.0816684795136986,,3.9677790704991747,2.4783603242104313,,,,4.532904646452545
686973,"Varland, Louis",2024,1056,5.021541402477071,3.1241634071278312,2.6252254565434896,3.4456395025051556,3.802218683420085,,3.944232805483532,3.730903774854143,,
