player_name,pitcher,pitches,confidence,plv,plv_pctile,swing_pct,whiff_pct,cs_pct,xwoba_model,rolling_plv_30d,rolling_pitches_30d,rolling_trend_pitcher,tag
Brooks Raley,548384,748,Tier B,5.199,81.0,0.457,0.33,0.505,0.319,5.098,161,flat,PLV strong (top 25%)
Bryan Baker,641329,782,Tier B,5.198,80.8,0.553,0.315,0.496,0.331,5.217,200,hot,PLV strong (top 25%); rolling also strong; recent form improving
Taylor Rogers,573124,858,Tier B,5.198,80.7,0.423,0.285,0.509,0.311,5.254,211,hot,PLV strong (top 25%); rolling also strong; recent form improving
Ethan Roberts,681799,436,Tier B,5.197,80.5,0.427,0.356,0.492,0.328,5.296,23,hot,PLV strong (top 25%); rolling also strong; recent form improving
Robert Suarez,663158,500,Tier B,5.196,80.4,0.53,0.333,0.474,0.328,4.946,28,flat,PLV strong (top 25%)
Drew Anderson,623454,1282,Tier A,5.196,80.2,0.492,0.36,0.458,0.331,5.168,294,flat,PLV strong (top 25%)
Pete Fairbanks,664126,681,Tier B,5.195,80.1,0.485,0.315,0.497,0.331,5.159,104,flat,PLV strong (top 25%)
Bryan Abreu,650556,869,Tier B,5.194,79.9,0.436,0.395,0.44,0.332,5.292,224,hot,PLV strong (top 25%); elite whiff rate; rolling also strong; recent form improving
Emilio Pagán,641941,497,Tier B,5.192,79.8,0.494,0.351,0.476,0.341,5.07,178,improving,PLV strong (top 25%)
Clayton Beeter,690925,641,Tier B,5.192,79.6,0.426,0.389,0.441,0.332,5.217,132,hot,PLV strong (top 25%); rolling also strong; recent form improving
Kyle Finnegan,640448,874,Tier B,5.192,79.5,0.476,0.377,0.472,0.335,5.065,177,flat,PLV strong (top 25%)
Calvin Faucher,676534,928,Tier B,5.192,79.3,0.45,0.375,0.463,0.315,5.329,189,hot,PLV strong (top 25%); rolling also strong; recent form improving
Luke Weaver,596133,743,Tier B,5.191,79.2,0.514,0.337,0.508,0.337,5.043,123,flat,PLV strong (top 25%)
Yoshinobu Yamamoto,808967,2141,Tier A,5.19,79.0,0.52,0.338,0.497,0.326,5.108,400,flat,PLV strong (top 25%)
Jayden Murray,681151,304,Tier C,5.189,78.9,0.467,0.321,0.478,0.34,5.576,46,hot,PLV strong (top 25%); rolling also strong; recent form improving
Logan Vanwey,701121,111,Tier C,5.189,78.8,0.464,0.32,0.548,0.341,5.005,23,flat,PLV strong (top 25%)
Cam Schlittler,693645,2447,Tier A,5.188,78.6,0.519,0.306,0.515,0.335,5.384,468,hot,PLV strong (top 25%); rolling also strong; recent form improving
Elvis Alvarado,665660,688,Tier B,5.187,78.5,0.509,0.326,0.494,0.33,5.01,195,flat,PLV strong (top 25%)
Seth Johnson,686751,427,Tier B,5.187,78.3,0.499,0.362,0.492,0.339,5.318,139,hot,PLV strong (top 25%); rolling also strong; recent form improving
Kyle Backhus,679775,371,Tier C,5.185,78.2,0.42,0.282,0.512,0.315,5.085,89,flat,PLV strong (top 25%)
Caleb Kilian,668873,818,Tier B,5.185,78.0,0.487,0.334,0.483,0.332,5.044,133,flat,PLV strong (top 25%)
Jack Perkins,678022,1467,Tier A,5.183,77.9,0.485,0.369,0.485,0.33,5.061,467,flat,PLV strong (top 25%)
Jojo Romero,668941,721,Tier B,5.182,77.7,0.445,0.323,0.481,0.304,5.191,25,hot,PLV strong (top 25%); rolling also strong; recent form improving
Yovanny Cruz,672442,191,Tier C,5.182,77.6,0.485,0.348,0.523,0.327,5.044,115,flat,PLV strong (top 25%)
Zach Maxwell,687209,307,Tier C,5.18,77.4,0.46,0.367,0.494,0.334,5.26,38,hot,PLV strong (top 25%); rolling also strong; recent form improving
Aaron Nola,605400,2445,Tier A,5.18,77.3,0.458,0.331,0.467,0.328,5.263,569,hot,PLV strong (top 25%); rolling also strong; recent form improving
Gregory Soto,642397,928,Tier B,5.18,77.1,0.446,0.356,0.459,0.319,5.214,246,hot,PLV strong (top 25%); rolling also strong; recent form improving
Aj Blubaugh,805123,1362,Tier A,5.179,77.0,0.47,0.363,0.466,0.336,5.274,252,hot,PLV strong (top 25%); rolling also strong; recent form improving
Hunter Harvey,640451,114,Tier C,5.179,76.8,0.555,0.331,0.569,0.341,5.275,46,hot,PLV strong (top 25%); rolling also strong; recent form improving
Justin Wrobleski,680736,1949,Tier A,5.178,76.7,0.526,0.31,0.543,0.354,5.308,465,hot,PLV strong (top 25%); rolling also strong; recent form improving
Tyler Mahle,641816,1839,Tier A,5.175,76.5,0.472,0.328,0.497,0.336,5.127,539,flat,PLV strong (top 25%)
Aaron Ashby,676879,1283,Tier A,5.175,76.4,0.434,0.388,0.446,0.305,5.126,216,flat,PLV strong (top 25%)
Ryan Weiss,680802,530,Tier B,5.174,76.2,0.446,0.355,0.463,0.331,5.194,95,hot,PLV strong (top 25%); rolling also strong; recent form improving
Jackson Kent,800600,162,Tier C,5.172,76.1,0.401,0.384,0.398,0.334,5.172,162,hot,PLV strong (top 25%); rolling also strong; recent form improving
Cade Horton,690990,160,Tier C,5.172,75.9,0.487,0.343,0.478,0.33,5.066,92,flat,PLV strong (top 25%)
Victor Vodnik,680767,789,Tier B,5.168,75.8,0.472,0.398,0.475,0.324,5.195,234,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Anthony Nunez,689296,767,Tier B,5.168,75.6,0.444,0.413,0.429,0.316,5.257,110,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Justin Sterner,686993,730,Tier B,5.165,75.2,0.481,0.386,0.475,0.334,5.108,30,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Riley Cornelio,683000,410,Tier B,5.162,74.6,0.442,0.387,0.435,0.328,5.144,83,improving,"PLV-result divergence: whiff rate elite, results may catch up"
Ryan Fernandez,681676,213,Tier C,5.161,74.4,0.452,0.419,0.452,0.338,4.447,32,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Cole Sulser,642121,806,Tier B,5.158,74.1,0.505,0.396,0.441,0.336,5.333,43,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Yuki Matsui,673513,799,Tier B,5.15,72.4,0.468,0.394,0.444,0.32,5.228,226,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Tyler Kinley,641755,725,Tier B,5.149,72.1,0.499,0.411,0.484,0.326,5.027,137,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Riley O'Brien,676617,839,Tier B,5.147,71.8,0.419,0.363,0.47,0.306,5.091,172,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Alex Hoppe,695380,511,Tier B,5.142,70.4,0.498,0.387,0.475,0.318,5.258,146,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Jonathan Hernández,642546,445,Tier B,5.14,70.0,0.452,0.372,0.471,0.308,5.121,92,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Tommy Nance,667297,728,Tier B,5.139,69.8,0.465,0.374,0.487,0.318,5.114,160,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Hunter Gaddis,683769,704,Tier B,5.139,69.7,0.502,0.398,0.476,0.325,5.167,185,improving,"PLV-result divergence: whiff rate elite, results may catch up"
Cristopher Sánchez,650911,2529,Tier A,5.136,68.9,0.469,0.364,0.471,0.31,5.079,477,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Dylan Lee,669276,899,Tier B,5.134,68.8,0.54,0.382,0.502,0.339,5.107,205,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Spencer Strider,675911,691,Tier B,5.13,67.9,0.467,0.38,0.454,0.336,5.022,68,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Tejay Antone,622088,705,Tier B,5.125,66.9,0.476,0.361,0.505,0.322,5.156,241,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Kodai Senga,673540,931,Tier B,5.122,66.4,0.45,0.389,0.455,0.333,5.214,145,hot,"PLV-result divergence: whiff rate elite, results may catch up"
