player_type,mlbam_id,player_name,team,position,own,proj_vol,naive_pace,gap,volume_percentile,recent_raw,rate,rate_source,impact,flags,unit,direction
H,672356,Gabriel Arias,CLE,3B,FA,1.8744,1.1453,0.7291000000000001,45.1,37.0,0.1915799807858288,rh3,0.1396809639909478,,PA/tg,RISER
H,662139,Daulton Varsho,TOR,OF,FA,3.0245,3.2821,-0.2575999999999996,74.5,71.0,0.5414547573567324,rh3,-0.13947874549509406,,PA/tg,FADER
SP,608379,Michael Wacha,KC,SP,FA,0.1834,0.1966,-0.01319999999999999,95.3,4.0,10.447036947694333,rp3,-0.13790088770956507,,GS/tg,FADER
SP,656876,Drew Rasmussen,TB,SP,MINE,0.1815,0.1913,-0.009800000000000003,93.4,4.0,14.063636479081318,rp3,-0.13782363749499696,,GS/tg,FADER
H,691723,Coby Mayo,BAL,3B,FA,2.1834,2.5259,-0.34250000000000025,53.4,43.0,0.4008408010331274,rh3,-0.13728797435384624,,PA/tg,FADER
H,694497,Evan Carter,TEX,OF,FA,2.5514,2.8276,-0.2761999999999998,64.3,61.0,0.4904158055257156,rh3,-0.13545284548620254,,PA/tg,FADER
H,672515,Gabriel Moreno,AZ,C,U Just Lost To Edwin Diaz,3.349,3.1111,0.23790000000000022,81.4,84.0,0.5683385508849848,rh3,0.135207741255538,,PA/tg,RISER
H,680474,Max Schuemann,NYY,OF,FA,1.1141,0.7672,0.3469000000000001,18.3,19.0,0.3883954008682394,rh3,0.13473436456119228,,PA/tg,RISER
H,655316,Andruw Monasterio,BOS,SS,FA,2.3542,2.0783,0.27590000000000003,58.0,70.0,0.4873556445226855,rh3,0.13446142232380895,,PA/tg,RISER
SP,607259,Nick Martinez,TB,SP,Boone's Bad Bullpen,0.1766,0.1913,-0.01469999999999999,91.2,4.0,9.05231235383803,rp3,-0.13306899160141894,,GS/tg,FADER
SP,663567,Peter Lambert,HOU,SP,2015 Draft First Round,0.1499,0.1624,-0.012499999999999983,68.2,3.0,10.592591569155068,rp3,-0.13240739461443818,,GS/tg,FADER
H,675961,Alika Williams,ATH,SS,FA,1.4961,1.1293,0.3668,33.1,42.0,0.360940965395857,rh3,0.13239314610720035,,PA/tg,RISER
H,687462,Spencer Horwitz,PIT,1B,FA,2.4565,2.678,-0.2214999999999998,61.2,21.0,0.5972371968303021,rh3,-0.13228803909791179,,PA/tg,FADER
H,668227,Randy Arozarena,SEA,OF,Treasure Island Mashers,3.7575,3.9915,-0.23399999999999999,93.5,83.0,0.564596136422691,rh3,-0.1321154959229097,,PA/tg,FADER
H,682674,Victor Bericoto,SF,OF,FA,0.7818,0.5086,0.2732,7.6,0.0,0.482492123855105,rh3,0.13181684823721468,IL@split,PA/tg,RISER
SP,702474,Mike Paredes,,SP,FA,0.0623,0.0431,0.019200000000000002,6.6,0.0,6.847733509157783,rp3_marcel_prior,0.13147648337582946,IL@split+IL-return+marcel-rate,GS/tg,RISER
H,642215,Weston Wilson,SEA,3B,FA,1.2211,0.8718,0.34930000000000005,23.4,37.0,0.3759854605782495,rh3,0.13133172137998256,,PA/tg,RISER
SP,621121,Lance McCullers Jr.,HOU,SP,FA,0.0861,0.0684,0.017699999999999994,24.1,0.0,7.407219182205535,rp3_marcel_prior,0.1311077795250379,IL@split+IL-return+marcel-rate,GS/tg,RISER
SP,592791,Jameson Taillon,CHC,SP,FA,0.1508,0.1368,0.013999999999999985,69.7,3.0,9.343037940050136,rp3,0.13080253116070176,IL-return,GS/tg,RISER
H,660821,Jesús Sánchez,TOR,OF,FA,1.8681,2.1453,-0.2772000000000001,44.7,17.0,0.4712324961631808,rh3,-0.13062564793643378,,PA/tg,FADER
H,620443,Luis Torrens,NYM,C,FA,1.4831,1.8462,-0.3631,32.5,38.0,0.3597435493690464,rh3,-0.13062288277590073,,PA/tg,FADER
SP,656288,Griffin Canning,SD,SP,FA,0.1078,0.094,0.013800000000000007,39.8,1.0,9.459636657078793,rp3,0.1305429858676874,,GS/tg,RISER
H,693304,Nick Gonzales,PIT,3B,FA,3.6025,3.9153,-0.31279999999999974,89.0,89.0,0.4155118220216186,rh3,-0.1299720979283622,,PA/tg,FADER
H,686894,Joey Wiemer,WSH,OF,FA,1.0195,0.7203,0.2992,13.3,0.0,0.4335068562970186,rh3,0.12970525140406797,,PA/tg,RISER
SP,641927,Bailey Ober,MIN,SP,FA,0.1604,0.1453,0.015099999999999975,77.4,3.0,8.548759345119269,rp3,0.12908626611130075,IL-return,GS/tg,RISER
SP,678394,Brayan Bello,BOS,SP,FA,0.0923,0.0783,0.013999999999999999,29.2,1.0,9.164685947780349,rp3,0.12830560326892487,,GS/tg,RISER
SP,702275,JR Ritchie,ATL,SP,FA,0.0935,0.0776,0.015899999999999997,29.9,1.0,8.04199873463848,rp3,0.1278677798807518,,GS/tg,RISER
H,687957,Dustin Harris,HOU,OF,FA,0.761,0.4444,0.3166,7.0,0.0,0.4037341776380778,rh3,0.1278222406402154,,PA/tg,RISER
H,596115,Trevor Story,BOS,SS,FA,1.852,1.5304,0.3216000000000001,43.7,0.0,0.3974160010228764,rh3,0.1278089859289571,IL@split,PA/tg,RISER
H,678882,Ceddanne Rafaela,BOS,OF,Boone's Bad Bullpen,3.7438,4.0087,-0.26490000000000036,93.2,84.0,0.4824032893619803,rh3,-0.12778863135198876,,PA/tg,FADER
H,665019,Kody Clemens,MIN,1B,FA,3.267,3.5128,-0.24580000000000002,79.5,75.0,0.5190996029640238,rh3,-0.12759468240855706,,PA/tg,FADER
SP,623211,Huascar Brazobán,NYM,SP,FA,0.063,0.0513,0.011700000000000002,6.9,0.0,10.899504916891509,rp3,0.12752420752763066,,GS/tg,RISER
H,699625,Jimmy Crooks,STL,C,FA,1.2628,0.9483,0.3144999999999999,24.5,36.0,0.4050175697949525,rh3,0.12737802570051251,,PA/tg,RISER
SP,681190,Randy Vásquez,SD,SP,FA,0.1376,0.1538,-0.016199999999999992,58.4,2.0,7.784564401002887,rp3,-0.12610994329624672,IL-return,GS/tg,FADER
SP,702056,Trey Yesavage,TOR,SP,U Just Lost To Edwin Diaz,0.1425,0.1538,-0.011300000000000004,61.7,4.0,11.041239164984503,rp3_marcel_prior,-0.12476600256432493,IL@split+IL-return+marcel-rate,GS/tg,FADER
SP,663992,Richard Lovelady,WSH,SP,FA,0.0597,0.0424,0.017300000000000003,4.7,0.0,7.194646120141568,rp3_marcel_prior,0.12446737787844915,IL@split+IL-return+marcel-rate,GS/tg,RISER
SP,682227,Brandon Williamson,CIN,SP,FA,0.0715,0.0522,0.01929999999999999,15.7,0.0,6.436601948285721,rp3_marcel_prior,0.12422641760191434,IL@split+IL-return+marcel-rate,GS/tg,RISER
H,701675,Nathan Church,STL,OF,FA,2.4945,2.7672,-0.27269999999999994,62.5,62.0,0.4512843174562168,rh3,-0.12306523337031029,,PA/tg,FADER
SP,691725,Andrew Painter,PHI,SP,FA,0.1058,0.1197,-0.013899999999999996,38.0,2.0,8.794128784338545,rp3,-0.12223839010230574,,GS/tg,FADER
H,690993,Colt Keith,DET,3B,FA,2.6218,2.8707,-0.2488999999999999,65.8,60.0,0.4889803878209925,rh3,-0.12170721852864498,,PA/tg,FADER
H,663368,Blake Perkins,MIL,OF,FA,0.6102,0.8793,-0.2691,4.4,0.0,0.4519925778328391,rh3,-0.121631202694817,,PA/tg,FADER
SP,668909,Gavin Williams,CLE,SP,U Just Lost To Edwin Diaz,0.1887,0.1966,-0.00789999999999999,97.8,4.0,15.303516473950175,rp3,-0.12089778014420624,,GS/tg,FADER
H,642708,Amed Rosario,NYY,3B,FA,1.4201,1.6724,-0.2523000000000002,30.0,28.0,0.4748226806805204,rh3,-0.11979776233569539,,PA/tg,FADER
