date,team_id,team_name,action,player,role,ros_fp,still_held
2026-04-22 16:35:25.026,8,New York Ligers,FA ADDED,Michael Soroka,pitcher,234.22190138582764,False
2026-04-21 10:19:30.418,8,New York Ligers,DROPPED,Alex Vesia,pitcher,143.9,False
2026-04-21 10:19:30.418,8,New York Ligers,FA ADDED,Robert Suarez,pitcher,161.9,False
2026-04-21 04:50:00.862,9,Frendy's Fantastic Team,WAIVER ADDED,Josh Naylor,hitter,221.0,True
2026-04-21 04:50:00.862,9,Frendy's Fantastic Team,DROPPED,Max Muncy,hitter,228.5,False
2026-04-21 04:50:00.862,9,Frendy's Fantastic Team,DROPPED,Nick Pivetta,pitcher,305.57085717863504,False
2026-04-21 04:50:00.862,9,Frendy's Fantastic Team,WAIVER ADDED,Bubba Chandler,pitcher,227.3433735951119,True
2026-04-20 17:33:12.300,8,New York Ligers,FA ADDED,Tanner Scott,pitcher,152.4,True
2026-04-20 17:33:12.300,8,New York Ligers,DROPPED,Louis Varland,pitcher,194.9,False
2026-04-20 07:49:44.038,9,Frendy's Fantastic Team,DROPPED,Jorge Soler,hitter,192.8,False
2026-04-20 07:49:44.038,9,Frendy's Fantastic Team,FA ADDED,Max Muncy,hitter,228.5,False
2026-04-19 22:37:52.264,5,U Just Lost To Edwin Diaz,DROPPED,Ryan Walker,pitcher,139.8,False
2026-04-19 22:37:52.264,5,U Just Lost To Edwin Diaz,FA ADDED,Gregory Soto,pitcher,166.2,True
2026-04-19 22:33:25.040,5,U Just Lost To Edwin Diaz,DROPPED,Bryan Abreu,pitcher,149.5,False
2026-04-19 22:33:25.040,5,U Just Lost To Edwin Diaz,FA ADDED,Tony Santillan,pitcher,141.0,True
2026-04-19 22:31:23.915,5,U Just Lost To Edwin Diaz,FA ADDED,Christian Walker,hitter,244.5,True
2026-04-19 22:31:23.915,5,U Just Lost To Edwin Diaz,DROPPED,Josh Naylor,hitter,221.0,False
2026-04-19 22:09:11.889,9,Frendy's Fantastic Team,DROPPED,Alec Bohm,hitter,181.3,False
2026-04-19 22:09:11.889,9,Frendy's Fantastic Team,FA ADDED,Colt Keith,hitter,137.8,False
